time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/learning_rate,train/value_loss,train/loss,train/approx_kl,train/std,train/clip_fraction,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
52224,42,1223,102,0.0004092704424510632,0.7545750038698316,0.186629980802536,0.007576864,0.9776230454444885,0.0386962890625,1616,0.2,0.1527543067932129,-0.005821652535814792,-43.21332848072052,-2.7387191951219507,1258.0
52736,43,1223,103,0.0004092704424510632,0.010380439925938845,-0.03175538778305054,0.022280727,0.9767985343933105,0.23828125,1632,0.2,-8.218770980834961,-0.02441785522387363,-43.20327377319336,-2.7387191951219507,1258.0
53248,43,1223,104,0.0004092704424510632,0.013765098934527487,-0.03801905736327171,0.018488083,0.974996030330658,0.2603759765625,1648,0.2,0.08745938539505005,-0.029717988014454022,-43.15837919712067,-2.7369486666666663,1258.0
53760,43,1222,105,0.0004092704424510632,0.6725189872086048,0.11444766074419022,0.008511351,0.9742817878723145,0.048095703125,1664,0.2,0.19493484497070312,-0.007050567961414345,-43.108983635902405,-2.7369486666666663,1258.0
54272,44,1222,106,0.0004092704424510632,0.07750276231672615,0.0025889985263347626,0.024088416,0.9746807217597961,0.1971435546875,1680,0.2,-1.4228010177612305,-0.022561636098544113,-43.100539565086365,-2.7341304883720925,1258.0
54784,44,1222,107,0.0004092704424510632,0.5989444674924016,0.134977325797081,0.0061578415,0.9746131896972656,0.018310546875,1696,0.2,0.32009828090667725,-0.007007150765275583,-43.10368454456329,-2.7341304883720925,1258.0
55296,45,1222,108,0.0004092704424510632,0.010686125053325668,-0.03241897001862526,0.020040143,0.974877655506134,0.236328125,1712,0.2,-2.6247622966766357,-0.021936798410024494,-43.097819805145264,-2.7341304883720925,1258.0
55808,45,1222,109,0.0004092704424510632,0.0122298696951475,-0.03785622492432594,0.018527906,0.9767510294914246,0.22900390625,1728,0.2,0.15316087007522583,-0.02345882516237907,-43.131961941719055,-2.7333087045454545,1258.0
56320,46,1222,110,0.0004092704424510632,0.43586876103654504,0.1292685717344284,0.00943545,0.9775264859199524,0.0804443359375,1744,0.2,0.3096691370010376,-0.010040026230853982,-43.19080293178558,-2.7333087045454545,1258.0
56832,46,1222,111,0.0004092704424510632,0.07820844941306859,-0.005355123430490494,0.017452538,0.9776527285575867,0.174560546875,1760,0.2,-2.761384963989258,-0.020032021377119236,-43.201273918151855,-2.7325592888888885,1258.0
