time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/value_loss,train/std,train/approx_kl,train/explained_variance,train/learning_rate,train/loss,train/clip_fraction,train/clip_range,rollout/ep_rew_mean,rollout/ep_len_mean
1955,20,77,189952,-0.025160518343909644,5920,-41.607839822769165,0.007140205558243906,0.9336098432540894,0.021476004,-10.784423828125,0.0004092704424510632,-0.04175970330834389,0.2313232421875,0.2,-2.18246938,1258.0
1955,20,78,190464,-0.019192672218196094,5936,-41.596012234687805,0.007337823146372102,0.9355147480964661,0.014251986,0.18134814500808716,0.0004092704424510632,-0.02182357758283615,0.20166015625,0.2,-2.1803436499999997,1258.0
1955,20,79,190976,-0.019846573006361723,5952,-41.64816474914551,0.06775794288842008,0.9360830187797546,0.04246764,0.04179924726486206,0.0004092704424510632,-0.002560952678322792,0.3193359375,0.2,-2.1803436499999997,1258.0
1953,20,80,191488,-0.022202185791684315,5968,-41.65769696235657,0.016095215556561016,0.9366556406021118,0.017445223,-8.77656364440918,0.0004092704424510632,-0.0319628082215786,0.224609375,0.2,-2.17964019,1258.0
1953,21,81,192000,-0.029085913105518557,5984,-41.65834188461304,0.28136069187894464,0.9358804225921631,0.031861432,0.03431057929992676,0.0004092704424510632,0.04493989795446396,0.332275390625,0.2,-2.17964019,1258.0
1953,21,82,192512,-0.024946155463112518,6000,-41.65312993526459,0.007731290224910481,0.9369052648544312,0.01779614,-5.960635185241699,0.0004092704424510632,-0.02324160560965538,0.240234375,0.2,-2.17725892,1258.0
1954,21,83,193024,-0.021518877591006458,6016,-41.68580746650696,0.273714117705822,0.9380199909210205,0.016320314,0.10870647430419922,0.0004092704424510632,0.044844258576631546,0.1473388671875,0.2,-2.17725892,1258.0
1954,22,84,193536,-0.025772093038540334,6032,-41.70178020000458,0.003833134876913391,0.9384823441505432,0.01617267,-1.8406705856323242,0.0004092704424510632,-0.03456296771764755,0.2218017578125,0.2,-2.17725892,1258.0
1954,22,85,194048,-0.026159269124036655,6048,-41.687053084373474,0.008030423836316913,0.9370325207710266,0.021258995,0.021629273891448975,0.0004092704424510632,-0.039414919912815094,0.2669677734375,0.2,-2.1780232300000004,1258.0
1954,22,86,194560,-0.02311042013025144,6064,-41.634531140327454,0.28959701070562005,0.9359470009803772,0.018665686,0.07174980640411377,0.0004092704424510632,0.1012524738907814,0.1917724609375,0.2,-2.1780232300000004,1258.0
1955,22,87,195072,-0.023262081551365554,6080,-41.597901582717896,0.07996997144073248,0.9347972273826599,0.017608857,-0.1550074815750122,0.0004092704424510632,-0.006882190704345703,0.2373046875,0.2,-2.1756491700000002,1258.0
1955,23,88,195584,-0.018162450433010235,6096,-41.55349385738373,0.21268202923238277,0.9336150884628296,0.0153034385,0.38021546602249146,0.0004092704424510632,0.08387219160795212,0.1729736328125,0.2,-2.1756491700000002,1258.0
