time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/n_updates,train/entropy_loss,train/clip_range,train/learning_rate,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
11,1234,27,13824,416,-43.28192389011383,0.2,0.0004092704424510632,-0.0437920019030571,0.2252197265625,0.0027491104665386956,0.021948993,-0.20886099338531494,-0.026792203192599118,0.9780311584472656,-2.2959989000000003,1257.0
11,1232,28,14336,432,-43.28760349750519,0.2,0.0004092704424510632,-0.039170295000076294,0.2122802734375,0.004302717563405167,0.015547888,-0.007096648216247559,-0.024501526408130303,0.9787204265594482,-2.2909329090909094,1257.0
12,1232,29,14848,448,-43.28455424308777,0.2,0.0004092704424510632,-0.014733229763805866,0.2655029296875,0.016908911886275746,0.027337138,0.002812027931213379,-0.020704130482045002,0.9778788685798645,-2.2909329090909094,1257.0
12,1231,30,15360,464,-43.27964997291565,0.2,0.0004092704424510632,-0.027462070807814598,0.1744384765625,0.004325155925471336,0.011880448,0.0018335580825805664,-0.019908432295778766,0.978848934173584,-2.274652,1257.0
12,1230,31,15872,480,-43.3074187040329,0.2,0.0004092704424510632,0.03348302096128464,0.162841796875,0.11472168192267418,0.016470525,0.0013349652290344238,-0.020921964358421974,0.9794708490371704,-2.274652,1257.0
13,1230,32,16384,496,-43.31282961368561,0.2,0.0004092704424510632,-0.035131197422742844,0.2049560546875,0.002558983407652704,0.016639438,-0.06386804580688477,-0.027976923942333087,0.9794549345970154,-2.2718778461538465,1257.0
13,1230,33,16896,512,-43.319260120391846,0.2,0.0004092704424510632,0.02924109809100628,0.2431640625,0.11873936303891242,0.022242807,-0.0004394054412841797,-0.030206891242414713,0.979740560054779,-2.2718778461538465,1257.0
14,1229,34,17408,528,-43.30343496799469,0.2,0.0004092704424510632,-0.01899304799735546,0.20361328125,0.004106645603314973,0.01892301,-0.0020439624786376953,-0.022340397015796043,0.9783148169517517,-2.2718778461538465,1257.0
14,1228,35,17920,544,-43.26912462711334,0.2,0.0004092704424510632,-0.029522525146603584,0.22216796875,0.002756988036708208,0.018000107,0.0003609657287597656,-0.024393952277023345,0.9781630635261536,-2.257171,1257.0
15,1228,36,18432,560,-43.25459933280945,0.2,0.0004092704424510632,0.03844425454735756,0.2255859375,0.13632778823375702,0.018572796,0.0009944438934326172,-0.02539278325275518,0.9766831994056702,-2.257171,1257.0
15,1227,37,18944,576,-43.196640610694885,0.2,0.0004092704424510632,-0.026198145002126694,0.2127685546875,0.0011521668111527106,0.015841238,-0.21879422664642334,-0.023294036131119356,0.9750655293464661,-2.2578123333333333,1257.0
15,1227,38,19456,592,-43.17253053188324,0.2,0.0004092704424510632,0.019383158534765244,0.2496337890625,0.12787011452019215,0.023810621,0.004304647445678711,-0.026863970357226208,0.975235104560852,-2.2578123333333333,1257.0
16,1227,39,19968,608,-43.18885958194733,0.2,0.0004092704424510632,-0.039935387670993805,0.2357177734375,0.004020422878966201,0.023164175,-0.4668314456939697,-0.03187071779393591,0.9760710597038269,-2.2578123333333333,1257.0
16,1227,40,20480,624,-43.22147834300995,0.2,0.0004092704424510632,-0.034630969166755676,0.207763671875,0.0041208671682397835,0.016420364,-0.0004410743713378906,-0.02413588805939071,0.9776723384857178,-2.2494033125,1257.0
17,1226,41,20992,640,-43.2850843667984,0.2,0.0004092704424510632,0.041468359529972076,0.2913818359375,0.15032670879736543,0.023114948,0.00017762184143066406,-0.031718230195110664,0.979616105556488,-2.2494033125,1257.0
17,1225,42,21504,656,-43.313153862953186,0.2,0.0004092704424510632,-0.032308224588632584,0.24853515625,0.0024487916416546796,0.022864854,-0.0017794370651245117,-0.02837576626916416,0.9796425104141235,-2.2508167647058825,1257.0
17,1225,43,22016,672,-43.32805788516998,0.2,0.0004092704424510632,0.05181093513965607,0.222412109375,0.1421676955651492,0.017920822,0.0008682012557983398,-0.023808687255950645,0.9806168079376221,-2.2508167647058825,1257.0
18,1224,44,22528,688,-43.332505106925964,0.2,0.0004092704424510632,-0.038277916610240936,0.3302001953125,0.003553957103576977,0.024327472,-0.26962053775787354,-0.03174380448763259,0.9795446991920471,-2.2508167647058825,1257.0
18,1224,45,23040,704,-43.29946982860565,0.2,0.0004092704424510632,-0.02137429639697075,0.214599609375,0.004762694086821284,0.014897728,7.325410842895508e-05,-0.023636527112103067,0.979381263256073,-2.246500166666667,1257.0
19,1224,46,23552,720,-43.308058977127075,0.2,0.0004092704424510632,0.05042102932929993,0.28759765625,0.1598545447923243,0.023074314,0.00036025047302246094,-0.02906990765768569,0.9792423248291016,-2.246500166666667,1257.0
19,1224,47,24064,736,-43.302204728126526,0.2,0.0004092704424510632,-0.026041924953460693,0.1947021484375,0.0035758727208303753,0.01455247,-0.00334775447845459,-0.02165356960904319,0.979239821434021,-2.2389104210526316,1257.0
20,1224,48,24576,752,-43.27568256855011,0.2,0.0004092704424510632,0.041477032005786896,0.2716064453125,0.15738247288390994,0.021286506,0.0008623003959655762,-0.02762797084869817,0.9777359366416931,-2.2389104210526316,1257.0
20,1224,49,25088,768,-43.216099977493286,0.2,0.0004092704424510632,-0.031211409717798233,0.2283935546875,0.003822299790044781,0.022773836,-0.2019864320755005,-0.02311446695239283,0.9754666686058044,-2.2389104210526316,1257.0
20,1224,50,25600,784,-43.12519943714142,0.2,0.0004092704424510632,-0.032610613852739334,0.2557373046875,0.0027178554482816253,0.01781571,-0.004451274871826172,-0.027614522114163265,0.9721232652664185,-2.23201835,1257.0
21,1225,51,26112,800,-43.05679905414581,0.2,0.0004092704424510632,0.03802855312824249,0.230712890625,0.15547088696621358,0.017832287,0.0008603334426879883,-0.022623278753599152,0.9717555642127991,-2.23201835,1257.0
