time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_fraction,train/learning_rate,train/loss,train/n_updates,train/approx_kl,train/entropy_loss,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/std,rollout/ep_len_mean,rollout/ep_rew_mean
141824,33,1988,130,0.2857666015625,0.0004092704424510632,-0.026378311216831207,4416,0.02942842,-43.12721228599548,0.047879833029583097,0.2,0.038305819034576416,-0.027142945225932635,0.9788127541542053,1223.0,-2.4451964800000003
142336,33,1987,131,0.2137451171875,0.0004092704424510632,0.023073416203260422,4432,0.015419975,-43.097952485084534,0.12405531504191458,0.2,0.41141819953918457,-0.023163879493949935,0.977599561214447,1223.0,-2.4446764900000004
142848,33,1987,132,0.2169189453125,0.0004092704424510632,-0.028385400772094727,4448,0.02473719,-43.05584168434143,0.06471132393926382,0.2,0.8305469751358032,-0.020840682554990053,0.9766920804977417,1223.0,-2.4446764900000004
143360,34,1987,133,0.2442626953125,0.0004092704424510632,-0.027372637763619423,4464,0.025789078,-43.03690183162689,0.050792903639376163,0.2,-3.170595169067383,-0.028385596378939226,0.9767110347747803,1223.0,-2.4438999200000002
143872,34,1987,134,0.1397705078125,0.0004092704424510632,0.005463283509016037,4480,0.02207183,-43.03774535655975,0.21139771211892366,0.2,0.3219076991081238,-0.01695494980958756,0.9768205285072327,1223.0,-2.4438999200000002
144384,34,1987,135,0.299072265625,0.0004092704424510632,-0.03373299539089203,4496,0.025679797,-43.038607597351074,0.014657202234957367,0.2,-1.271172285079956,-0.029727106339123566,0.9771084785461426,1223.0,-2.4437465
144896,35,1987,136,0.1473388671875,0.0004092704424510632,0.030863262712955475,4512,0.018400367,-43.05024802684784,0.2041623902041465,0.2,0.3688768744468689,-0.02106151827319991,0.9773134589195251,1223.0,-2.4437465
145408,35,1987,137,0.2532958984375,0.0004092704424510632,-0.029460623860359192,4528,0.018741414,-43.05373418331146,0.0032211103971349075,0.2,-0.9208825826644897,-0.027610391334746964,0.9772677421569824,1223.0,-2.4437465
145920,35,1987,138,0.2159423828125,0.0004092704424510632,-0.03732277825474739,4544,0.014038073,-43.05970072746277,0.002945988355349982,0.2,0.04989129304885864,-0.025324995920527726,0.9779439568519592,1223.0,-2.44185617
146432,35,1987,139,0.158203125,0.0004092704424510632,0.011900641024112701,4560,0.015445263,-43.08221936225891,0.2678420781157911,0.2,0.15517890453338623,-0.019802137307124212,0.9782521724700928,1223.0,-2.44185617
146944,36,1987,140,0.2255859375,0.0004092704424510632,-0.015841856598854065,4576,0.020740632,-43.08478355407715,0.055968615459278226,0.2,-2.8564646244049072,-0.021523263567360118,0.9781380295753479,1223.0,-2.4405731
