time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/std,train/clip_range,train/entropy_loss,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
13824,27,6,1988,0.014637183310696855,0.0004092704424510632,-0.0282966296072118,-0.03899979591369629,0.029356655,0.26513671875,416,0.9795175194740295,0.2,-43.33773350715637,0.08885812759399414,1257.0,-2.9226059999999996
14336,28,7,1986,0.01065261781332083,0.0004092704424510632,-0.022609604086028412,-0.02529478445649147,0.01587327,0.1993408203125,432,0.9774253964424133,0.2,-43.29796767234802,0.22223258018493652,1257.0,-2.9460502727272724
14848,29,7,1984,0.0320561395783443,0.0004092704424510632,-0.026705194104579277,-0.020361224189400673,0.03034328,0.2923583984375,448,0.97547447681427,0.2,-43.22725307941437,0.11183655261993408,1257.0,-2.9460502727272724
15360,30,7,1984,0.009061592965736054,0.0004092704424510632,-0.02585562370950356,-0.03923274204134941,0.01609339,0.24462890625,464,0.9741265177726746,0.2,-43.18263816833496,-0.12240147590637207,1257.0,-2.9601684999999995
15872,31,8,1982,0.1655281805433333,0.0004092704424510632,-0.02914409711956978,0.020854312926530838,0.021386836,0.268310546875,480,0.9734917879104614,0.2,-43.147796630859375,0.004313766956329346,1257.0,-2.9601684999999995
16384,32,8,1981,0.01136651796696242,0.0004092704424510632,-0.01891077330947155,-0.01501329056918621,0.018784426,0.2061767578125,496,0.9731367826461792,0.2,-43.13134956359863,-0.09294092655181885,1257.0,-2.954834307692307
16896,33,8,1980,0.16830804711207747,0.0004092704424510632,-0.0213539871328976,0.04676046594977379,0.01706094,0.201171875,512,0.9721623063087463,0.2,-43.11318790912628,0.14291799068450928,1257.0,-2.954834307692307
17408,34,8,1979,0.01557292474899441,0.0004092704424510632,-0.02637339453212917,-0.022204192355275154,0.017862972,0.2469482421875,528,0.9713279008865356,0.2,-43.077863812446594,-0.2214066982269287,1257.0,-2.954834307692307
17920,35,9,1978,0.0067807922314386815,0.0004092704424510632,-0.023965114320162684,-0.037093386054039,0.017333549,0.220947265625,544,0.9709597826004028,0.2,-43.05840265750885,-0.017235517501831055,1257.0,-2.9595844999999996
18432,36,9,1978,0.1889436962082982,0.0004092704424510632,-0.024509461276466027,0.045175664126873016,0.01807129,0.23486328125,560,0.970095157623291,0.2,-43.0415997505188,0.017055511474609375,1257.0,-2.9595844999999996
