time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/value_loss,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/loss,train/std,train/approx_kl,train/learning_rate,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
182272,1772,62,17,0.0384887756081298,-43.235000252723694,0.2,0.13462728261947632,0.309326171875,-0.026979503731126897,-0.010163921862840652,0.9817256927490234,0.025985591,0.0004092704424510632,5680,1257.0,-2.45872814
182784,1772,63,18,0.8620623806491494,-43.1934312582016,0.2,0.7428929805755615,0.0452880859375,-0.008144864383211825,0.23122507333755493,0.9811279773712158,0.010138599,0.0004092704424510632,5696,1257.0,-2.45872814
183296,1772,64,18,0.017892476316774264,-43.2137256860733,0.2,-3.440870761871338,0.2037353515625,-0.023028034789604135,-0.025917859748005867,0.9837580323219299,0.016483363,0.0004092704424510632,5712,1257.0,-2.45872814
183808,1772,65,18,0.0048982773660100065,-43.26852798461914,0.2,-0.13282978534698486,0.2603759765625,-0.02647396612155717,-0.03586394712328911,0.9829115271568298,0.014609626,0.0004092704424510632,5728,1257.0,-2.45944892
184320,1771,66,19,1.7992757335305214,-43.2229198217392,0.2,0.23914772272109985,0.1219482421875,-0.0037290549589670263,0.2178611308336258,0.9823166728019714,0.009424768,0.0004092704424510632,5744,1257.0,-2.45944892
184832,1771,67,19,0.011715335247572511,-43.21896934509277,0.2,-1.5276298522949219,0.2513427734375,-0.02632188136340119,-0.03708566725254059,0.9825475811958313,0.01833178,0.0004092704424510632,5760,1257.0,-2.45760456
185344,1770,68,19,1.3870318932458758,-43.21988320350647,0.2,0.4779112935066223,0.0240478515625,-0.009565938278683461,0.14687815308570862,0.9826977252960205,0.007027928,0.0004092704424510632,5776,1257.0,-2.45760456
185856,1770,69,19,0.011192076854058541,-43.27396082878113,0.2,-2.8880128860473633,0.2076416015625,-0.018955923849716783,-0.02281319908797741,0.9873371124267578,0.01647414,0.0004092704424510632,5792,1257.0,-2.45760456
186368,1768,70,20,0.004723290119727608,-43.388264536857605,0.2,-0.06355202198028564,0.2681884765625,-0.025854751467704773,-0.03560980409383774,0.9872756004333496,0.019656893,0.0004092704424510632,5808,1257.0,-2.45709392
186880,1768,71,20,1.8095849556848407,-43.353341937065125,0.2,0.19510489702224731,0.0238037109375,-0.003754206198209431,0.16357631981372833,0.9864086508750916,0.0060863188,0.0004092704424510632,5824,1257.0,-2.45709392
187392,1768,72,20,0.004348514958110172,-43.327940702438354,0.2,-2.987645387649536,0.318359375,-0.037891829502768815,-0.054607756435871124,0.9855217933654785,0.023453292,0.0004092704424510632,5840,1257.0,-2.45581707
187904,1768,73,21,1.9629765460267663,-43.31704914569855,0.2,0.08351778984069824,0.0284423828125,-0.00879589574469719,0.15378598868846893,0.9854798913002014,0.0084104,0.0004092704424510632,5856,1257.0,-2.45581707
188416,1767,74,21,0.00824453905079281,-43.30618476867676,0.2,-1.1012439727783203,0.253173828125,-0.026908196647127625,-0.04314727708697319,0.9850041270256042,0.016472127,0.0004092704424510632,5872,1257.0,-2.45581707
188928,1765,75,21,0.007635216839844361,-43.28974461555481,0.2,0.030556201934814453,0.2281494140625,-0.024882275087293237,-0.04311371222138405,0.9838849902153015,0.018151369,0.0004092704424510632,5888,1257.0,-2.45783697
189440,1764,76,22,1.6228747703135014,-43.25473964214325,0.2,0.24943721294403076,0.0687255859375,-0.0015350690446211956,0.10991143435239792,0.9834575653076172,0.0071469382,0.0004092704424510632,5904,1257.0,-2.45783697
