time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/approx_kl,train/loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/std,train/n_updates,train/explained_variance,train/value_loss,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1318,52,26624,20,0.013771158,-0.023079579696059227,0.2,0.0004092704424510632,-0.01895559360855259,0.1640625,0.9628583788871765,816,-2.188892364501953,0.01504863468289841,-42.792617201805115,1258.0,-2.2623900952380955
1319,53,27136,20,0.019062035,0.016267981380224228,0.2,0.0004092704424510632,-0.018867092032451183,0.1817626953125,0.9623332619667053,832,0.20565730333328247,0.09572372445836663,-42.75685787200928,1258.0,-2.2623900952380955
1319,54,27648,20,0.022062007,-0.03863172233104706,0.2,0.0004092704424510632,-0.028810479445382953,0.2626953125,0.9630372524261475,848,-1.9646937847137451,0.006017829815391451,-42.759079456329346,1258.0,-2.2623900952380955
1319,55,28160,21,0.016831758,-0.03512590005993843,0.2,0.0004092704424510632,-0.02427761112630833,0.219970703125,0.9619641304016113,864,0.41222965717315674,0.008578851600759663,-42.758959889411926,1258.0,-2.266789681818182
1319,56,28672,21,0.041446432,-0.02136383205652237,0.2,0.0004092704424510632,-0.026036062292405404,0.293701171875,0.9611862897872925,880,0.30318260192871094,0.06610322918277234,-42.718913078308105,1258.0,-2.266789681818182
1319,57,29184,22,0.0173116,-0.027804747223854065,0.2,0.0004092704424510632,-0.02137100866821129,0.19970703125,0.9620842337608337,896,-2.255664587020874,0.010753624781500548,-42.715908885002136,1258.0,-2.260866869565217
1319,58,29696,22,0.013616542,0.011497482657432556,0.2,0.0004092704424510632,-0.02023078137426637,0.2113037109375,0.9617329835891724,912,0.17560899257659912,0.10650808014906943,-42.73784029483795,1258.0,-2.260866869565217
1319,59,30208,22,0.016179636,-0.04291033744812012,0.2,0.0004092704424510632,-0.02520863233075943,0.23046875,0.9619998931884766,928,-0.768487811088562,0.0053235271043377,-42.72786319255829,1258.0,-2.258726708333333
1318,60,30720,23,0.019606663,0.015761304646730423,0.2,0.0004092704424510632,-0.01997894371743314,0.182861328125,0.9617401957511902,944,0.2078607678413391,0.142497883643955,-42.72805941104889,1258.0,-2.258726708333333
1318,61,31232,23,0.018119173,-0.04150407016277313,0.2,0.0004092704424510632,-0.025223444132279838,0.210205078125,0.961191713809967,960,-4.959167003631592,0.008426268563198391,-42.713648557662964,1258.0,-2.258726708333333
