time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/clip_fraction,train/value_loss,train/learning_rate,train/explained_variance,train/n_updates,train/clip_range,train/entropy_loss,train/loss,train/policy_gradient_loss,train/approx_kl,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
1775,19,67,34304,0.25537109375,0.0055396490497514606,0.0004092704424510632,0.08713215589523315,1056,0.2,-43.90268135070801,-0.02952655963599682,-0.026604337705066428,0.017626798,1.0004938840866089,-2.1650417407407407,1258.0
1773,19,68,34816,0.14990234375,0.11360903596505523,0.0004092704424510632,0.29731667041778564,1072,0.2,-43.965680956840515,-0.007594417780637741,-0.020375434280140325,0.017370693,1.0016124248504639,-2.1650417407407407,1258.0
1772,19,69,35328,0.24462890625,0.008509487117407843,0.0004092704424510632,-2.3088741302490234,1088,0.2,-43.98121654987335,-0.016040528193116188,-0.02196545051992871,0.016464362,1.0016087293624878,-2.162675214285714,1258.0
1771,20,70,35840,0.2037353515625,0.15221544296946377,0.0004092704424510632,0.2009086012840271,1104,0.2,-43.97466683387756,-0.016651395708322525,-0.02829918757925043,0.024828477,1.0014760494232178,-2.162675214285714,1258.0
1771,20,71,36352,0.296142578125,0.008181119046639651,0.0004092704424510632,-1.112550973892212,1120,0.2,-43.99018979072571,-0.028452076017856598,-0.023822148970793933,0.021435725,1.002620816230774,-2.162675214285714,1258.0
1770,20,72,36864,0.199462890625,0.004112461254408117,0.0004092704424510632,0.0637018084526062,1136,0.2,-43.994157791137695,-0.033922240138053894,-0.019030717288842425,0.013237167,1.0013535022735596,-2.1600580000000003,1258.0
1769,21,73,37376,0.204833984375,0.13602258125320077,0.0004092704424510632,0.2814682722091675,1152,0.2,-43.966174840927124,-0.012113787233829498,-0.02450483631400857,0.022410376,1.0015836954116821,-2.1600580000000003,1258.0
1769,21,74,37888,0.2542724609375,0.007375628651061561,0.0004092704424510632,-3.680725574493408,1168,0.2,-43.989002108573914,-0.022833604365587234,-0.02619404722645413,0.020041447,1.0022846460342407,-2.1582943,1258.0
1767,21,75,38400,0.218505859375,0.1802227688021958,0.0004092704424510632,0.24517422914505005,1184,0.2,-43.988388895988464,-0.010312719270586967,-0.021876127022551373,0.021368783,1.0017237663269043,-2.1582943,1258.0
1767,22,76,38912,0.34228515625,0.015622549020918086,0.0004092704424510632,-1.3116347789764404,1200,0.2,-43.96877372264862,-0.02636866085231304,-0.029780106531688944,0.022004772,1.0009931325912476,-2.1582943,1258.0
1767,22,77,39424,0.2720947265625,0.004067202869919129,0.0004092704424510632,0.2850465178489685,1216,0.2,-43.926778078079224,-0.023971248418092728,-0.025747822015546262,0.0155867385,0.998975396156311,-2.1606268387096774,1258.0
1766,22,78,39936,0.16162109375,0.12051734258420765,0.0004092704424510632,0.3746022582054138,1232,0.2,-43.87420833110809,-0.007405964657664299,-0.017670049710432068,0.016591143,0.9979203939437866,-2.1606268387096774,1258.0
1766,22,79,40448,0.2850341796875,0.007960692739288788,0.0004092704424510632,-5.619412899017334,1248,0.2,-43.87028384208679,-0.046280134469270706,-0.028531745716463774,0.021317061,0.9988576769828796,-2.16285903125,1258.0
1768,23,80,40960,0.177001953125,0.1617608868982643,0.0004092704424510632,0.23156487941741943,1264,0.2,-43.898080468177795,0.00966251827776432,-0.019974426249973476,0.021296818,0.9991560578346252,-2.16285903125,1258.0
1767,23,81,41472,0.215576171875,0.01205017723259516,0.0004092704424510632,-4.299316883087158,1280,0.2,-43.90066158771515,-0.03628717362880707,-0.02388396683090832,0.017974181,0.9995474219322205,-2.16285903125,1258.0
1766,23,82,41984,0.2803955078125,0.003208103677025065,0.0004092704424510632,0.2208118438720703,1296,0.2,-43.91514468193054,-0.027108894661068916,-0.024195926329412032,0.02731906,0.9998725056648254,-2.1611836666666666,1258.0
1765,24,83,42496,0.1988525390625,0.12041516549652442,0.0004092704424510632,0.21680963039398193,1312,0.2,-43.908607959747314,-0.003773283213376999,-0.022288617401500233,0.019393655,0.9991089701652527,-2.1611836666666666,1258.0
1764,24,84,43008,0.2086181640625,0.006673307958408259,0.0004092704424510632,-2.346060276031494,1328,0.2,-43.88386142253876,-0.032620351761579514,-0.02065066879731603,0.017125383,0.998880922794342,-2.1588565294117648,1258.0
1762,24,85,43520,0.1478271484375,0.21890458837151527,0.0004092704424510632,0.1873105764389038,1344,0.2,-43.88519775867462,-0.005398239940404892,-0.022585549915675074,0.020109946,0.9989439845085144,-2.1588565294117648,1258.0
1762,24,86,44032,0.23876953125,0.0050604122297954746,0.0004092704424510632,-3.6044301986694336,1360,0.2,-43.88726592063904,-0.03308328986167908,-0.021421703218948096,0.014179088,0.9988387823104858,-2.1585824285714286,1258.0
1761,25,87,44544,0.16748046875,0.21027562813833356,0.0004092704424510632,0.205000638961792,1376,0.2,-43.86123239994049,0.022191498428583145,-0.024984129653603304,0.027221076,0.9978787302970886,-2.1585824285714286,1258.0
