time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/clip_range,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_fraction,train/loss,train/value_loss,train/policy_gradient_loss,train/std,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
1306,24,63,32256,992,0.2,0.0188487,0.00011169910430908203,-43.44251465797424,0.210693359375,0.054253384470939636,0.18208998255431652,-0.022546140098711476,0.9852580428123474,0.0004092704424510632,-2.5272640799999997,1257.0
1306,25,64,32768,1008,0.2,0.017300863,-0.0016628503799438477,-43.48552942276001,0.2308349609375,-0.033233772963285446,0.004283324407879263,-0.02252314842189662,0.9865231513977051,0.0004092704424510632,-2.5242894999999996,1257.0
1306,25,65,33280,1024,0.2,0.016282622,7.861852645874023e-05,-43.544899463653564,0.2545166015625,0.052039846777915955,0.18179566599428654,-0.02636849226837512,0.9893994331359863,0.0004092704424510632,-2.5242894999999996,1257.0
1306,25,66,33792,1040,0.2,0.021157755,0.0002828836441040039,-43.60770916938782,0.2540283203125,-0.026133565232157707,0.0021570828848780366,-0.027962911583017558,0.989554226398468,0.0004092704424510632,-2.5242894999999996,1257.0
1306,26,67,34304,1056,0.2,0.020172995,0.00020521879196166992,-43.60518407821655,0.2523193359375,-0.03930218890309334,0.0034212940008728765,-0.028013278380967677,0.9901241660118103,0.0004092704424510632,-2.524961851851852,1257.0
1305,26,68,34816,1072,0.2,0.027854815,0.0002117753028869629,-43.61360430717468,0.2615966796875,0.04992502182722092,0.184493868611753,-0.02899539480858948,0.98952716588974,0.0004092704424510632,-2.524961851851852,1257.0
1305,27,69,35328,1088,0.2,0.016584514,-0.00042498111724853516,-43.590739727020264,0.260498046875,-0.03540848195552826,0.005145106493728235,-0.027157728050951846,0.9893960356712341,0.0004092704424510632,-2.517088785714286,1257.0
1305,27,70,35840,1104,0.2,0.017772403,0.0001310110092163086,-43.59543251991272,0.1968994140625,0.06834046542644501,0.18853056337684393,-0.021856771636521444,0.9894499182701111,0.0004092704424510632,-2.517088785714286,1257.0
1304,27,71,36352,1120,0.2,0.015968066,-0.0002288818359375,-43.58500671386719,0.20166015625,-0.04525018483400345,0.004016107013740111,-0.023603024616022594,0.9886821508407593,0.0004092704424510632,-2.517088785714286,1257.0
1304,28,72,36864,1136,0.2,0.02955938,6.16312026977539e-05,-43.56327831745148,0.2823486328125,-0.04798589646816254,0.0018241401467093965,-0.03193467957316898,0.9888714551925659,0.0004092704424510632,-2.5089110344827588,1257.0
1304,28,73,37376,1152,0.2,0.024006989,0.00024700164794921875,-43.59746313095093,0.2657470703125,0.05202608183026314,0.19583210907876492,-0.02911933365976438,0.9905230402946472,0.0004092704424510632,-2.5089110344827588,1257.0
1304,29,74,37888,1168,0.2,0.01903829,0.0020523667335510254,-43.624024987220764,0.2388916015625,-0.043986931443214417,0.004315068385039922,-0.028012857990688644,0.9903565049171448,0.0004092704424510632,-2.5097542,1257.0
1303,29,75,38400,1184,0.2,0.021870993,0.00011026859283447266,-43.61649739742279,0.2459716796875,0.05613971874117851,0.1874398346990347,-0.02722848326084204,0.9902516007423401,0.0004092704424510632,-2.5097542,1257.0
1303,29,76,38912,1200,0.2,0.01682061,-0.00010764598846435547,-43.60511016845703,0.2103271484375,-0.021092910319566727,0.004767339392856229,-0.02053733689535875,0.9895471334457397,0.0004092704424510632,-2.5097542,1257.0
1303,30,77,39424,1216,0.2,0.0133805545,-0.00015807151794433594,-43.56561887264252,0.181396484375,-0.021449824795126915,0.0024120852795022074,-0.021190004335949197,0.9876542687416077,0.0004092704424510632,-2.520287612903226,1257.0
1303,30,78,39936,1232,0.2,0.021551121,0.00010967254638671875,-43.52330195903778,0.23291015625,0.05377467721700668,0.19441266683861613,-0.0235685360385105,0.9870555400848389,0.0004092704424510632,-2.520287612903226,1257.0
1303,31,79,40448,1248,0.2,0.022401603,0.001209855079650879,-43.49845039844513,0.2408447265625,-0.02400439791381359,0.00455956622317899,-0.024846439599059522,0.9856083393096924,0.0004092704424510632,-2.51732465625,1257.0
1303,31,80,40960,1264,0.2,0.019126093,0.00012981891632080078,-43.47327721118927,0.2340087890625,0.048467185348272324,0.20511704916134477,-0.022920961841009557,0.9859755039215088,0.0004092704424510632,-2.51732465625,1257.0
1303,31,81,41472,1280,0.2,0.025963785,0.0004748702049255371,-43.49213981628418,0.2606201171875,-0.029675226658582687,0.0038162775308592245,-0.02937551061040722,0.9864621162414551,0.0004092704424510632,-2.51732465625,1257.0
1302,32,82,41984,1296,0.2,0.020685079,0.0008748769760131836,-43.476755023002625,0.2218017578125,-0.042855340987443924,0.002352104551391676,-0.027487380226375535,0.9846044182777405,0.0004092704424510632,-2.5141000606060606,1257.0
1302,32,83,42496,1312,0.2,0.0263118,3.063678741455078e-05,-43.40803122520447,0.2601318359375,0.012307688593864441,0.08181263378355652,-0.020744772104080766,0.9829384684562683,0.0004092704424510632,-2.5141000606060606,1257.0
