time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/learning_rate,train/explained_variance,train/n_updates,train/clip_range,train/clip_fraction,train/value_loss,train/std,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
16384,32,1794,9,0.0004092704424510632,0.33591556549072266,496,0.2,0.144775390625,0.0036677094249171205,0.9792046546936035,-43.35286748409271,0.013479587,-0.028698332607746124,-0.018389138116617687,-2.6802053846153844,1258.0
16896,33,1794,9,0.0004092704424510632,0.11886018514633179,512,0.2,0.225341796875,0.09480718127451837,0.9790404438972473,-43.292425751686096,0.020663053,0.006559256464242935,-0.026877879834501073,-2.6802053846153844,1258.0
17408,34,1793,9,0.0004092704424510632,-0.08023834228515625,528,0.2,0.1719970703125,0.003563882244634442,0.9805563688278198,-43.30971145629883,0.015094495,-0.026252131909132004,-0.020141443295869976,-2.6802053846153844,1258.0
17920,35,1792,9,0.0004092704424510632,0.08389395475387573,544,0.2,0.275390625,0.005335003341315314,0.9806886911392212,-43.34863579273224,0.02943096,-0.03350408747792244,-0.027491865388583392,-2.6810984285714285,1258.0
18432,36,1791,10,0.0004092704424510632,0.019009709358215332,560,0.2,0.2755126953125,0.10695506073534489,0.9805794358253479,-43.346957206726074,0.026853584,0.006097432225942612,-0.033514302675030194,-2.6810984285714285,1258.0
18944,37,1790,10,0.0004092704424510632,-0.4048532247543335,576,0.2,0.204833984375,0.0029930052878626157,0.9800699353218079,-43.336934328079224,0.016978798,-0.02523457258939743,-0.0239899450680241,-2.6857129333333334,1258.0
19456,38,1792,10,0.0004092704424510632,0.09706860780715942,592,0.2,0.2281494140625,0.13046538387425244,0.9796258211135864,-43.322726368904114,0.025546601,0.04107270389795303,-0.024810949806123972,-2.6857129333333334,1258.0
19968,39,1791,11,0.0004092704424510632,-1.0938665866851807,608,0.2,0.201904296875,0.0034694114510784857,0.9781257510185242,-43.29106569290161,0.016015187,-0.03972531855106354,-0.023913522803923115,-2.6857129333333334,1258.0
20480,40,1790,11,0.0004092704424510632,0.19057893753051758,624,0.2,0.21630859375,0.00714806052565109,0.9770740270614624,-43.244404792785645,0.019074213,-0.02871580794453621,-0.022606517624808475,-2.6835403125,1258.0
20992,41,1791,11,0.0004092704424510632,0.07949399948120117,640,0.2,0.180908203125,0.1295307381078601,0.9778266549110413,-43.237605690956116,0.021985382,0.02894042432308197,-0.022452704841271043,-2.6835403125,1258.0
21504,42,1790,12,0.0004092704424510632,-0.8046400547027588,656,0.2,0.2410888671875,0.003041710555407917,0.9774311184883118,-43.245970010757446,0.020692838,-0.035102441906929016,-0.0269455670932075,-2.679293,1258.0
22016,43,1791,12,0.0004092704424510632,0.04250305891036987,672,0.2,0.256591796875,0.148421217687428,0.9770196676254272,-43.231467843055725,0.026611041,0.02500077337026596,-0.03040644634165801,-2.679293,1258.0
22528,44,1792,12,0.0004092704424510632,-2.602273464202881,688,0.2,0.2215576171875,0.004681100743255229,0.9757701754570007,-43.201462507247925,0.022463627,-0.046278275549411774,-0.02607299444207456,-2.679293,1258.0
23040,45,1792,12,0.0004092704424510632,0.11576902866363525,704,0.2,0.2342529296875,0.009724661940708756,0.9748466610908508,-43.16586124897003,0.0258346,-0.04801162704825401,-0.02589341258862987,-2.670212777777778,1258.0
23552,46,1792,13,0.0004092704424510632,0.12412261962890625,720,0.2,0.23583984375,0.13735837046988308,0.9746084809303284,-43.14482617378235,0.024067048,0.01971711590886116,-0.025331681958050467,-2.670212777777778,1258.0
24064,47,1791,13,0.0004092704424510632,-3.6311445236206055,736,0.2,0.2197265625,0.003075040534895379,0.975253701210022,-43.14907157421112,0.015563624,-0.0362902395427227,-0.0281703888613265,-2.6695336315789473,1258.0
24576,48,1790,13,0.0004092704424510632,0.04574179649353027,752,0.2,0.2137451171875,0.16559284599497914,0.9756700992584229,-43.17128598690033,0.020730369,0.04260717332363129,-0.022928010730538517,-2.6695336315789473,1258.0
25088,49,1790,14,0.0004092704424510632,-3.317430019378662,768,0.2,0.1864013671875,0.003645121611043578,0.9757097959518433,-43.1780651807785,0.017750677,-0.03621549531817436,-0.020172937511233613,-2.6695336315789473,1258.0
25600,50,1790,14,0.0004092704424510632,0.13682156801223755,784,0.2,0.2098388671875,0.007644276280188933,0.9758788347244263,-43.1784942150116,0.018931288,-0.030543925240635872,-0.02507072220032569,-2.6702456999999997,1258.0
26112,51,1790,14,0.0004092704424510632,0.12307673692703247,800,0.2,0.201904296875,0.14423992857336998,0.976462721824646,-43.18778860569,0.019675283,0.022613536566495895,-0.02144736296031624,-2.6702456999999997,1258.0
26624,52,1791,14,0.0004092704424510632,-5.984028339385986,816,0.2,0.1878662109375,0.0060683498086291365,0.9773973226547241,-43.21306622028351,0.016230708,-0.03605930507183075,-0.02053765357413795,-2.667001761904762,1258.0
27136,53,1791,15,0.0004092704424510632,0.023892223834991455,832,0.2,0.1932373046875,0.20438474882394075,0.975295901298523,-43.2026150226593,0.017560707,0.05956577509641647,-0.022226260392926633,-2.667001761904762,1258.0
27648,54,1790,15,0.0004092704424510632,-1.2293801307678223,848,0.2,0.2313232421875,0.003900388597685378,0.9748088717460632,-43.14640176296234,0.02765623,-0.03904213756322861,-0.028144488751422614,-2.667001761904762,1258.0
28160,55,1790,15,0.0004092704424510632,0.47398680448532104,864,0.2,0.163330078125,0.012505904858699068,0.9762641191482544,-43.17364811897278,0.01619456,-0.0292782224714756,-0.019611080395407043,-2.6748654545454547,1258.0
28672,56,1790,16,0.0004092704424510632,0.14687973260879517,880,0.2,0.3787841796875,0.14849996753036976,0.974968433380127,-43.18025195598602,0.046164848,0.015725206583738327,-0.0311248102952959,-2.6748654545454547,1258.0
29184,57,1789,16,0.0004092704424510632,-5.895945072174072,896,0.2,0.24072265625,0.006652512682194356,0.9757124185562134,-43.16505265235901,0.018511172,-0.04520777612924576,-0.028520044848846737,-2.676506,1258.0
