time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/explained_variance,train/clip_fraction,train/n_updates,train/clip_range,train/std,train/loss,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
45056,88,1260,35,-43.274518847465515,-4.0939812660217285,0.23291015625,1392,0.2,0.9799925088882446,-0.02736276388168335,0.01747615,0.0004092704424510632,0.00505931113002589,-0.02439654743648134,1258.0,-2.3112162857142855
45568,89,1259,36,-43.274574518203735,0.06480276584625244,0.283935546875,1408,0.2,0.9815986752510071,-0.03548317030072212,0.023458399,0.0004092704424510632,0.005684923977241851,-0.026547168046818115,1258.0,-2.3112829166666664
46080,90,1259,36,-43.327240347862244,0.152177095413208,0.1605224609375,1424,0.2,0.9821106195449829,0.014617353677749634,0.015289769,0.0004092704424510632,0.44989159633405507,-0.021205253462539986,1258.0,-2.3112829166666664
46592,91,1259,36,-43.32854604721069,-19.768678665161133,0.2352294921875,1440,0.2,0.9825161695480347,-0.030284468084573746,0.018139746,0.0004092704424510632,0.01360338745143963,-0.023896269718534313,1258.0,-2.3124467567567564
47104,92,1259,37,-43.34851109981537,0.09273040294647217,0.0914306640625,1456,0.2,0.9830964207649231,0.11394035071134567,0.01488406,0.0004092704424510632,0.5079619688913226,-0.017078648874303326,1258.0,-2.3124467567567564
47616,93,1258,37,-43.376561522483826,-12.41274642944336,0.2435302734375,1472,0.2,0.9847418665885925,-0.038717351853847504,0.019139607,0.0004092704424510632,0.010786088452732656,-0.02465831824520137,1258.0,-2.3124467567567564
48128,94,1258,38,-43.39950335025787,0.034847140312194824,0.23095703125,1488,0.2,0.9837594628334045,-0.034767504781484604,0.01679624,0.0004092704424510632,0.007388809171970934,-0.025966085377149284,1258.0,-2.3112706052631573
48640,95,1258,38,-43.36203229427338,0.13532692193984985,0.1214599609375,1504,0.2,0.9830450415611267,0.04996069148182869,0.013060868,0.0004092704424510632,0.43942729919217527,-0.01587483616458485,1258.0,-2.3112706052631573
49152,96,1257,39,-43.35010087490082,-4.922019004821777,0.2564697265625,1520,0.2,0.9830259680747986,-0.01884058676660061,0.026292194,0.0004092704424510632,0.012877835222752765,-0.02619015243544709,1258.0,-2.308213948717948
49664,97,1256,39,-43.34528183937073,0.26373404264450073,0.1514892578125,1536,0.2,0.9824615716934204,0.04948431998491287,0.014521859,0.0004092704424510632,0.3956976616755128,-0.016946847492363304,1258.0,-2.308213948717948
50176,98,1256,39,-43.33020269870758,-13.565765380859375,0.248291015625,1552,0.2,0.9825953841209412,-0.036189086735248566,0.018877499,0.0004092704424510632,0.0066506682996987365,-0.0237703112361487,1258.0,-2.308213948717948
50688,99,1255,40,-43.33300817012787,0.06316643953323364,0.247802734375,1568,0.2,0.9823433756828308,-0.03065505437552929,0.01905944,0.0004092704424510632,0.006429409550037235,-0.025046522816410288,1258.0,-2.308979875
51200,100,1255,40,-43.31264865398407,0.15418559312820435,0.0755615234375,1584,0.2,0.9819226264953613,0.050830259919166565,0.010610674,0.0004092704424510632,0.4938634024001658,-0.015506786963669583,1258.0,-2.308979875
51712,101,1255,41,-43.324283957481384,-7.21945858001709,0.201416015625,1600,0.2,0.9837584495544434,-0.023381395265460014,0.01494798,0.0004092704424510632,0.01969437331717927,-0.02056288786116056,1258.0,-2.307486975609756
52224,102,1254,41,-43.37616562843323,0.13075494766235352,0.192626953125,1616,0.2,0.9844245314598083,0.03281445801258087,0.015850762,0.0004092704424510632,0.4646608270704746,-0.02091605353052728,1258.0,-2.307486975609756
52736,103,1254,42,-43.38778507709503,-7.103940010070801,0.242919921875,1632,0.2,0.9850671291351318,-0.031161578372120857,0.017947402,0.0004092704424510632,0.007938808244944084,-0.025578252025297843,1258.0,-2.307486975609756
53248,104,1254,42,-43.42367649078369,0.05387824773788452,0.2481689453125,1648,0.2,0.9869547486305237,-0.036450814455747604,0.01970733,0.0004092704424510632,0.006872974932775833,-0.02350693968764972,1258.0,-2.309990476190476
53760,105,1253,42,-43.46623146533966,0.14421319961547852,0.08154296875,1664,0.2,0.9874293804168701,0.05747692286968231,0.016007315,0.0004092704424510632,0.4124442455358803,-0.01728530587570276,1258.0,-2.309990476190476
54272,106,1253,43,-43.47941815853119,-9.464254379272461,0.249755859375,1680,0.2,0.9888249635696411,-0.044651567935943604,0.022943988,0.0004092704424510632,0.017202108341734856,-0.02641540704644285,1258.0,-2.3102203720930232
54784,107,1253,43,-43.51824367046356,0.160872220993042,0.0623779296875,1696,0.2,0.9890967011451721,0.07323399931192398,0.016973577,0.0004092704424510632,0.4162088022567332,-0.01183924893848598,1258.0,-2.3102203720930232
55296,108,1253,44,-43.500494837760925,-8.384187698364258,0.23583984375,1712,0.2,0.9880505204200745,-0.03622414544224739,0.015884852,0.0004092704424510632,0.003999313757958589,-0.02333383879158646,1258.0,-2.3102203720930232
55808,109,1253,44,-43.481202602386475,0.07649886608123779,0.267822265625,1728,0.2,0.9882249236106873,-0.03477116674184799,0.022456761,0.0004092704424510632,0.00535933107312303,-0.02544723175378749,1258.0,-2.308199159090909
56320,110,1253,44,-43.49372363090515,0.08209526538848877,0.0921630859375,1744,0.2,0.988355278968811,0.027075061574578285,0.01569583,0.0004092704424510632,0.4590985409449786,-0.015395833106595092,1258.0,-2.308199159090909
56832,111,1252,45,-43.50414741039276,-0.0797497034072876,0.2882080078125,1760,0.2,0.9894060492515564,0.037581704556941986,0.021350985,0.0004092704424510632,0.16873124986886978,-0.030093754816334695,1258.0,-2.305541244444444
57344,112,1252,45,-43.53596651554108,0.5091883540153503,0.1624755859375,1776,0.2,0.9898668527603149,0.043037623167037964,0.02378979,0.0004092704424510632,0.25488115288317204,-0.022874402930028737,1258.0,-2.305541244444444
57856,113,1252,46,-43.52935028076172,-13.128029823303223,0.2796630859375,1792,0.2,0.9890241026878357,-0.033171799033880234,0.020466518,0.0004092704424510632,0.007667928861337714,-0.030294156313175336,1258.0,-2.305541244444444
58368,114,1252,46,-43.491215109825134,0.45741474628448486,0.2431640625,1808,0.2,0.9874992370605469,-0.034250274300575256,0.01933838,0.0004092704424510632,0.01431219742516987,-0.02263388255960308,1258.0,-2.3044200869565215
58880,115,1251,47,-43.45418620109558,0.2605072259902954,0.307373046875,1824,0.2,0.9871596097946167,-0.0021314378827810287,0.041721165,0.0004092704424510632,0.17870930902427062,-0.022353718639351428,1258.0,-2.3044200869565215
59392,116,1251,47,-43.46914565563202,-3.244065761566162,0.288330078125,1840,0.2,0.9878285527229309,-0.036546166986227036,0.025074534,0.0004092704424510632,0.009185393821098842,-0.02720547266653739,1258.0,-2.3050325531914893
59904,117,1251,47,-43.47095501422882,0.1241159439086914,0.12744140625,1856,0.2,0.9873368740081787,0.017312966287136078,0.021012433,0.0004092704424510632,0.4101583568844944,-0.023457739502191544,1258.0,-2.3050325531914893
60416,118,1251,48,-43.46469807624817,-16.61042594909668,0.244384765625,1872,0.2,0.9880594611167908,-0.03714364394545555,0.019421104,0.0004092704424510632,0.0051671706860361155,-0.024363487114896998,1258.0,-2.3070182083333335
60928,119,1251,48,-43.50050950050354,0.17187875509262085,0.0921630859375,1888,0.2,0.9888720512390137,0.04814403876662254,0.014774219,0.0004092704424510632,0.5135385324247181,-0.01650007884018123,1258.0,-2.3070182083333335
61440,120,1251,49,-43.517254114151,-5.351298809051514,0.2808837890625,1904,0.2,0.9894965887069702,-0.033201415091753006,0.019979155,0.0004092704424510632,0.003948782305087661,-0.02518154498829972,1258.0,-2.3070182083333335
61952,121,1250,49,-43.5337917804718,0.03546714782714844,0.2901611328125,1920,0.2,0.9897804260253906,-0.036056842654943466,0.023417978,0.0004092704424510632,0.006942653970327228,-0.028865981003036723,1258.0,-2.3066236734693875
62464,122,1250,49,-43.521236419677734,0.1814139485359192,0.13916015625,1936,0.2,0.9890978932380676,0.024370290338993073,0.02191907,0.0004092704424510632,0.5043176291510463,-0.01975662197219208,1258.0,-2.3066236734693875
62976,123,1250,50,-43.51376748085022,-2.498108386993408,0.2955322265625,1952,0.2,0.9894953370094299,-0.02745683863759041,0.018578043,0.0004092704424510632,0.011310893489280716,-0.023213625434436835,1258.0,-2.30570076
63488,124,1249,50,-43.53414976596832,0.3071044087409973,0.1346435546875,1968,0.2,0.9899975657463074,0.11499139666557312,0.019069768,0.0004092704424510632,0.45970053505152464,-0.018503570230677724,1258.0,-2.30570076
