time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/loss,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,train/std,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
1769,184832,67,19,-0.046196505427360535,-42.84437799453735,-2.7514195442199707,-0.02892456456902437,5760,0.00452893940746435,0.2,0.0004092704424510632,0.022599408,0.9758063554763794,0.294677734375,1258.0,-2.10745172
1768,185344,68,19,-0.032435592263936996,-42.850834131240845,0.2353639006614685,-0.02406071126461029,5776,0.004568466276396066,0.2,0.0004092704424510632,0.016118156,0.9765835404396057,0.2384033203125,1258.0,-2.10614645
1767,185856,69,19,0.1306557059288025,-42.87805497646332,0.5173107385635376,-0.016580113908275962,5792,0.7722313003614545,0.2,0.0004092704424510632,0.014251156,0.9770117402076721,0.08642578125,1258.0,-2.10614645
1765,186368,70,20,-0.028202105313539505,-42.893831729888916,-0.9646309614181519,-0.02823629876365885,5808,0.018107815412804484,0.2,0.0004092704424510632,0.023366626,0.9783180952072144,0.262451171875,1258.0,-2.1058312
1765,186880,71,20,0.42696934938430786,-42.91648066043854,0.5271980166435242,-0.008377132966415957,5824,0.9056986700743437,0.2,0.0004092704424510632,0.008118393,0.9786122441291809,0.0318603515625,1258.0,-2.1058312
1764,187392,72,20,-0.04173090308904648,-42.90444326400757,-17.05034065246582,-0.025724413542775437,5840,0.008750224769755732,0.2,0.0004092704424510632,0.02632429,0.9772700667381287,0.280517578125,1258.0,-2.1058312
1764,187904,73,21,-0.03801404684782028,-42.857722878456116,0.25409239530563354,-0.028288737070397474,5856,0.005618447408778593,0.2,0.0004092704424510632,0.019059632,0.9757885336875916,0.2618408203125,1258.0,-2.10381243
1762,188416,74,21,-0.010585494339466095,-42.82642328739166,0.4177536368370056,-0.018594301567645743,5872,0.47542604932095855,0.2,0.0004092704424510632,0.015301488,0.9753377437591553,0.1026611328125,1258.0,-2.10381243
1762,188928,75,21,-0.027401378378272057,-42.81579387187958,-6.591299533843994,-0.023093569005141035,5888,0.007476870610844344,0.2,0.0004092704424510632,0.022099372,0.9747732281684875,0.2586669921875,1258.0,-2.10064005
1762,189440,76,22,0.18035995960235596,-42.802409052848816,0.3244638442993164,-0.01154783260426484,5904,0.8643531668931246,0.2,0.0004092704424510632,0.014963139,0.9746182560920715,0.0811767578125,1258.0,-2.10064005
1761,189952,77,22,-0.02196536771953106,-42.81473207473755,-11.667163848876953,-0.021898982071434148,5920,0.002713990121264942,0.2,0.0004092704424510632,0.01987869,0.9753291606903076,0.2591552734375,1258.0,-2.10064005
1761,190464,78,22,0.04801153019070625,-42.822867035865784,0.5042920112609863,-0.025076443467696663,5936,0.2157627921551466,0.2,0.0004092704424510632,0.024044389,0.9740854501724243,0.2747802734375,1258.0,-2.09978122
