time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/loss,train/policy_gradient_loss,train/explained_variance,train/std,train/value_loss,train/entropy_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/n_updates,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
39,93,1207,47616,-0.027260519564151764,-0.025604304508306086,-0.6970049142837524,1.005348801612854,0.003898770704836352,-44.056225061416626,0.2,0.266357421875,0.016121563,1472,0.0004092704424510632,-2.5939174324324323,1257.0
39,94,1208,48128,-0.03819116950035095,-0.030170644022291526,-0.7899668216705322,1.0054123401641846,0.0030210673285182565,-44.047545313835144,0.2,0.2841796875,0.018754173,1488,0.0004092704424510632,-2.593965894736842,1257.0
40,95,1207,48640,-0.02957664057612419,-0.02738499217957724,0.2239748239517212,1.0055683851242065,0.06641303445212543,-44.05426025390625,0.2,0.2069091796875,0.026285717,1504,0.0004092704424510632,-2.593965894736842,1257.0
40,96,1207,49152,-0.031292058527469635,-0.020710779877845198,-1.711550235748291,1.0061664581298828,0.00964803465467412,-44.057904958724976,0.2,0.1722412109375,0.013164446,1520,0.0004092704424510632,-2.5954298205128206,1257.0
41,97,1207,49664,-0.026525426656007767,-0.020948529592715204,0.338026762008667,1.006404161453247,0.06329200469190255,-44.07870280742645,0.2,0.13916015625,0.015470785,1536,0.0004092704424510632,-2.5954298205128206,1257.0
41,98,1207,50176,-0.03721660375595093,-0.024164765593013726,0.44026315212249756,1.0064674615859985,0.012161706603365019,-44.07356369495392,0.2,0.212890625,0.015766336,1552,0.0004092704424510632,-2.5954298205128206,1257.0
41,99,1207,50688,-0.019051596522331238,-0.0181332444481086,-0.6777201890945435,1.0063016414642334,0.00659208012802992,-44.07134222984314,0.2,0.17236328125,0.012360765,1568,0.0004092704424510632,-2.5981106,1257.0
42,100,1207,51200,-0.015859227627515793,-0.018688705094973557,0.44289982318878174,1.0062741041183472,0.04728312976658344,-44.068296790122986,0.2,0.137939453125,0.016880963,1584,0.0004092704424510632,-2.5981106,1257.0
42,101,1207,51712,-0.02805822156369686,-0.0204923001001589,-0.7893786430358887,1.006491780281067,0.015315582510083914,-44.070138573646545,0.2,0.1845703125,0.015368819,1600,0.0004092704424510632,-2.596251097560976,1257.0
43,102,1207,52224,-0.006090555340051651,-0.014661999099189416,0.7267711162567139,1.006824016571045,0.05328155047027394,-44.07781183719635,0.2,0.12158203125,0.014834765,1616,0.0004092704424510632,-2.596251097560976,1257.0
43,103,1207,52736,-0.016640538349747658,-0.021725191531004384,0.4603445529937744,1.0069679021835327,0.02613215387100354,-44.092211961746216,0.2,0.1966552734375,0.01350417,1632,0.0004092704424510632,-2.596251097560976,1257.0
44,104,1207,53248,-0.030037187039852142,-0.027863702998729423,0.5706010460853577,1.0046497583389282,0.023055422643665224,-44.06968092918396,0.2,0.25048828125,0.019325841,1648,0.0004092704424510632,-2.5959144761904764,1257.0
44,105,1207,53760,-0.01619739457964897,-0.01991308431024663,0.8495092391967773,1.0037305355072021,0.028458741726353765,-44.01176202297211,0.2,0.2371826171875,0.022784788,1664,0.0004092704424510632,-2.5959144761904764,1257.0
44,106,1207,54272,-0.030975501984357834,-0.024812815121549647,-0.5735710859298706,1.0023884773254395,0.0173302183393389,-43.98158657550812,0.2,0.2286376953125,0.021365758,1680,0.0004092704424510632,-2.5965648372093026,1257.0
45,107,1207,54784,-0.016373755410313606,-0.01749121316242963,0.7956217527389526,1.0011675357818604,0.04389045981224626,-43.938103437423706,0.2,0.1279296875,0.017408933,1696,0.0004092704424510632,-2.5965648372093026,1257.0
45,108,1207,55296,-0.01952250674366951,-0.019811000282061286,0.1708906888961792,1.0012229681015015,0.02292185404803604,-43.912665247917175,0.2,0.1719970703125,0.015347723,1712,0.0004092704424510632,-2.5965648372093026,1257.0
46,109,1206,55808,-0.004835240542888641,-0.020826763087825384,0.774813711643219,1.0011171102523804,0.06640502973459661,-43.917895555496216,0.2,0.1629638671875,0.017884709,1728,0.0004092704424510632,-2.599334363636364,1257.0
46,110,1203,56320,-0.044788047671318054,-0.027460343291750178,0.9147121906280518,1.000473976135254,0.012490366731071845,-43.90377426147461,0.2,0.238525390625,0.01688895,1744,0.0004092704424510632,-2.599334363636364,1257.0
47,111,1202,56832,-0.03400973230600357,-0.023175247792096343,-0.24501025676727295,1.0003260374069214,0.011670781663269736,-43.889559268951416,0.2,0.286376953125,0.027258907,1760,0.0004092704424510632,-2.595767288888889,1257.0
47,112,1202,57344,-0.018550686538219452,-0.017836266619269736,0.745193600654602,1.0008089542388916,0.04405204649083316,-43.89352798461914,0.2,0.139404296875,0.019955087,1776,0.0004092704424510632,-2.595767288888889,1257.0
48,113,1202,57856,-0.027656668797135353,-0.019982815079856664,-0.671623706817627,1.0012671947479248,0.02211482761777006,-43.90525209903717,0.2,0.189697265625,0.016888231,1792,0.0004092704424510632,-2.594475739130435,1257.0
48,114,1202,58368,-0.011010279878973961,-0.019004340196261182,0.8083758354187012,1.0010385513305664,0.047255694516934454,-43.913395404815674,0.2,0.148193359375,0.018181993,1808,0.0004092704424510632,-2.594475739130435,1257.0
48,115,1202,58880,-0.020756082609295845,-0.020366445765830576,0.18730086088180542,1.0017961263656616,0.01194833527551964,-43.91410207748413,0.2,0.210693359375,0.015472503,1824,0.0004092704424510632,-2.594475739130435,1257.0
49,116,1202,59392,-0.025362947955727577,-0.01890240782086039,-0.5443130731582642,1.0008656978607178,0.011615546478424221,-43.920923352241516,0.2,0.1815185546875,0.014412345,1840,0.0004092704424510632,-2.594998765957447,1257.0
49,117,1202,59904,-0.025492332875728607,-0.014973012759583071,0.7061277627944946,1.000768780708313,0.040052966156508774,-43.885401368141174,0.2,0.157470703125,0.015527626,1856,0.0004092704424510632,-2.594998765957447,1257.0
50,118,1203,60416,-0.03605637326836586,-0.02499399206135422,-2.044285535812378,0.9999750256538391,0.008437565295025706,-43.877232789993286,0.2,0.2305908203125,0.014789075,1872,0.0004092704424510632,-2.5916279166666665,1257.0
50,119,1203,60928,-0.02131044864654541,-0.027382315165596083,0.4782642126083374,0.998267650604248,0.044993413786869496,-43.83827447891235,0.2,0.2283935546875,0.01842976,1888,0.0004092704424510632,-2.5916279166666665,1257.0
51,120,1203,61440,-0.0302144642919302,-0.027878148102900013,0.3148477077484131,0.9987055063247681,0.005814673088025302,-43.803783893585205,0.2,0.326416015625,0.027817735,1904,0.0004092704424510632,-2.5916279166666665,1257.0
51,121,1203,61952,-0.03561127930879593,-0.024895155307604,-0.8916584253311157,1.0001192092895508,0.004934766286169179,-43.83673143386841,0.2,0.24755859375,0.017491054,1920,0.0004092704424510632,-2.589818244897959,1257.0
51,122,1203,62464,-0.017958689481019974,-0.020729602314531803,0.5143218040466309,1.000746488571167,0.049162255600094795,-43.87249672412872,0.2,0.1812744140625,0.018952634,1936,0.0004092704424510632,-2.589818244897959,1257.0
52,123,1203,62976,-0.03243296965956688,-0.030716567343915813,-1.366222858428955,0.9993953704833984,0.013991934480145574,-43.867109537124634,0.2,0.2891845703125,0.02921759,1952,0.0004092704424510632,-2.59375424,1257.0
