time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/explained_variance,train/loss,train/value_loss,train/n_updates,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
42,1665,21504,12,0.20068359375,-5.3346171379089355,-0.03935733065009117,0.00520641131879529,656,0.2,0.0004092704424510632,-0.022443640686105937,0.016251184,-43.30934751033783,0.9789444804191589,-2.9967702941176473,1257.0
43,1662,22016,13,0.193359375,0.0029913783073425293,0.07443162798881531,0.17642232310026884,672,0.2,0.0004092704424510632,-0.01803292460681405,0.016981568,-43.25412333011627,0.9758532643318176,-2.9967702941176473,1257.0
44,1659,22528,13,0.2490234375,-0.029155611991882324,-0.03683880716562271,0.003937372282962315,688,0.2,0.0004092704424510632,-0.027710927126463503,0.019432845,-43.169386982917786,0.9745306968688965,-2.9967702941176473,1257.0
45,1657,23040,13,0.1988525390625,-0.06424939632415771,-0.022754289209842682,0.0024737537423789036,704,0.2,0.0004092704424510632,-0.021908435854129493,0.017045155,-43.17128658294678,0.9758791923522949,-2.991758,1257.0
46,1655,23552,14,0.2049560546875,0.024963676929473877,0.005932055413722992,0.13042275165207684,720,0.2,0.0004092704424510632,-0.0198267065352411,0.021813981,-43.21859276294708,0.9768278002738953,-2.991758,1257.0
47,1652,24064,14,0.2825927734375,-2.953416109085083,-0.0447896346449852,0.02567645802628249,736,0.2,0.0004092704424510632,-0.03288791513477918,0.019303244,-43.23321270942688,0.977186381816864,-3.0003342105263155,1257.0
48,1650,24576,14,0.3060302734375,0.004105508327484131,0.01895087957382202,0.13030490814708173,752,0.2,0.0004092704424510632,-0.0263434307416901,0.028053133,-43.2402366399765,0.977058470249176,-3.0003342105263155,1257.0
49,1648,25088,15,0.2049560546875,-0.7757154703140259,-0.03928619250655174,0.004133531969273463,768,0.2,0.0004092704424510632,-0.02266977439285256,0.013157517,-43.21237587928772,0.9753140807151794,-3.0003342105263155,1257.0
50,1646,25600,15,0.253173828125,0.004426002502441406,-0.021919451653957367,0.0016621188606222859,784,0.2,0.0004092704424510632,-0.026857204240513965,0.020132061,-43.15048670768738,0.9732663631439209,-2.9912967999999998,1257.0
51,1644,26112,15,0.28076171875,0.004046618938446045,0.006090059876441956,0.12966784415766597,800,0.2,0.0004092704424510632,-0.026339320582337677,0.023079209,-43.083417892456055,0.9715859889984131,-2.9912967999999998,1257.0
52,1643,26624,16,0.248779296875,-3.3116984367370605,-0.02812144160270691,0.005015353475755546,816,0.2,0.0004092704424510632,-0.025526358367642388,0.021121629,-43.05120360851288,0.9715575575828552,-2.986966285714286,1257.0
53,1641,27136,16,0.2705078125,0.0015934109687805176,0.036330923438072205,0.1486379043199122,832,0.2,0.0004092704424510632,-0.02650166765670292,0.024844341,-43.05578947067261,0.971114456653595,-2.986966285714286,1257.0
54,1640,27648,16,0.2314453125,-0.19962775707244873,-0.041124552488327026,0.0031603925344825257,848,0.2,0.0004092704424510632,-0.024690895865205675,0.017452635,-43.0599867105484,0.9724726676940918,-2.986966285714286,1257.0
55,1638,28160,17,0.2462158203125,0.005354523658752441,-0.03711649030447006,0.0019501825099723646,864,0.2,0.0004092704424510632,-0.028720987815177068,0.021473415,-43.08587181568146,0.9722057580947876,-2.9784874545454545,1257.0
56,1637,28672,17,0.3167724609375,0.0006859898567199707,-0.013572821393609047,0.04530215958948247,880,0.2,0.0004092704424510632,-0.024619266638183035,0.04455007,-43.05738079547882,0.9711240530014038,-2.9784874545454545,1257.0
57,1636,29184,17,0.232177734375,-0.004777193069458008,-0.03643360361456871,0.004544315022940282,896,0.2,0.0004092704424510632,-0.024731785902986303,0.017136205,-43.020352840423584,0.9696443676948547,-2.966520695652174,1257.0
58,1635,29696,18,0.2335205078125,0.0012225508689880371,0.05078747868537903,0.17960579972714186,912,0.2,0.0004092704424510632,-0.02655262801272329,0.020520167,-42.965816020965576,0.9680756330490112,-2.966520695652174,1257.0
59,1633,30208,18,0.2513427734375,-0.13126611709594727,-0.038391176611185074,0.0039523729210486636,928,0.2,0.0004092704424510632,-0.028156048138043843,0.01833278,-42.93840718269348,0.96848064661026,-2.9605835416666664,1257.0
60,1632,30720,18,0.2310791015625,0.0008879303932189941,0.06624630838632584,0.1789776082150638,944,0.2,0.0004092704424510632,-0.022277588315773755,0.016486943,-42.95035922527313,0.9683110117912292,-2.9605835416666664,1257.0
61,1631,31232,19,0.2960205078125,0.013876795768737793,-0.04134950786828995,0.0026814699012902565,960,0.2,0.0004092704424510632,-0.027481104058097117,0.027414747,-42.949087381362915,0.9688569903373718,-2.9605835416666664,1257.0
62,1630,31744,19,0.2088623046875,-0.0005906820297241211,-0.023263057693839073,0.0044254248787183315,976,0.2,0.0004092704424510632,-0.02293905569240451,0.017385077,-42.969196796417236,0.9694802165031433,-2.96077616,1257.0
63,1629,32256,19,0.2855224609375,0.0015416741371154785,0.04927283525466919,0.20258396584540606,992,0.2,0.0004092704424510632,-0.027175359209650196,0.02201248,-42.97554159164429,0.9690061211585999,-2.96077616,1257.0
64,1628,32768,20,0.17919921875,-0.5111103057861328,-0.03724253177642822,0.008925892318075057,1008,0.2,0.0004092704424510632,-0.023369703616481274,0.0134649,-42.962138056755066,0.9692103266716003,-2.9578483076923074,1257.0
65,1627,33280,20,0.22021484375,0.006115376949310303,0.04296499490737915,0.16302868141792715,1024,0.2,0.0004092704424510632,-0.02096570422872901,0.01765509,-42.98168706893921,0.9700798988342285,-2.9578483076923074,1257.0
