time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/std,train/learning_rate,train/clip_fraction,train/value_loss,train/loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
26624,52,1333,19,-43.4695166349411,0.9846485257148743,0.0004092704424510632,0.2650146484375,0.003753150987904519,-0.03569914028048515,-0.0025566816329956055,-0.03023077435500454,0.021995641,0.2,816,-2.2794396190476194,1257.0
27136,53,1333,20,-43.47859728336334,0.9843790531158447,0.0004092704424510632,0.1756591796875,0.17652336903847754,0.06541837751865387,0.0005064010620117188,-0.020610379084246233,0.012456957,0.2,832,-2.2794396190476194,1257.0
27648,54,1334,20,-43.47576904296875,0.9850175976753235,0.0004092704424510632,0.2510986328125,0.003266106767114252,-0.045816726982593536,-0.22873187065124512,-0.029435676347929984,0.023797357,0.2,848,-2.2794396190476194,1257.0
28160,55,1333,21,-43.46084916591644,0.9828473329544067,0.0004092704424510632,0.1751708984375,0.004383871790196281,-0.015340604819357395,0.0009748339653015137,-0.018130289608961903,0.014669778,0.2,864,-2.2806520000000003,1257.0
28672,56,1332,21,-43.392720341682434,0.981752336025238,0.0004092704424510632,0.271240234375,0.04917395388474688,-0.010632146149873734,2.473592758178711e-05,-0.021277290434227325,0.03431572,0.2,880,-2.2806520000000003,1257.0
29184,57,1332,21,-43.367987751960754,0.9805645942687988,0.0004092704424510632,0.238037109375,0.005133578983077314,-0.03722871467471123,-7.390975952148438e-05,-0.023225018609082326,0.0158789,0.2,896,-2.2743428695652175,1257.0
29696,58,1332,22,-43.31446635723114,0.9786678552627563,0.0004092704424510632,0.2607421875,0.20589062431827188,0.05845756083726883,0.00010991096496582031,-0.03018587715632748,0.021787394,0.2,912,-2.2743428695652175,1257.0
30208,59,1332,22,-43.29138207435608,0.9799970984458923,0.0004092704424510632,0.2589111328125,0.003449550124059897,-0.036629337817430496,-0.0009655952453613281,-0.028015723582939245,0.027608097,0.2,928,-2.272428666666667,1257.0
30720,60,1332,23,-43.33972907066345,0.9810296297073364,0.0004092704424510632,0.2265625,0.20277581689879298,0.06054617464542389,0.0003344416618347168,-0.02126566370134242,0.019081404,0.2,944,-2.272428666666667,1257.0
31232,61,1331,23,-43.34807729721069,0.9804114103317261,0.0004092704424510632,0.2388916015625,0.004939517813909333,-0.04916968569159508,-0.04220235347747803,-0.028209225565660745,0.022650618,0.2,960,-2.272428666666667,1257.0
31744,62,1331,23,-43.313297748565674,0.97923743724823,0.0004092704424510632,0.212890625,0.004506705867242999,-0.03390748053789139,-0.0006418228149414062,-0.023001201334409416,0.016439134,0.2,976,-2.27281236,1257.0
32256,63,1330,24,-43.27128732204437,0.977810263633728,0.0004092704424510632,0.2723388671875,0.20930906711146235,0.06822490692138672,0.00012087821960449219,-0.029569166610599495,0.018407702,0.2,992,-2.27281236,1257.0
32768,64,1329,24,-43.26276981830597,0.9793123006820679,0.0004092704424510632,0.2672119140625,0.001472917188948486,-0.04370149224996567,-0.004075884819030762,-0.03073021859745495,0.021759028,0.2,1008,-2.270670576923077,1257.0
33280,65,1329,25,-43.2949937582016,0.978992760181427,0.0004092704424510632,0.215576171875,0.19683137815445662,0.04568153992295265,0.00030791759490966797,-0.024673202089616098,0.018015966,0.2,1024,-2.270670576923077,1257.0
33792,66,1328,25,-43.27584886550903,0.9785138964653015,0.0004092704424510632,0.27880859375,0.004678520206653047,-0.04315297678112984,-0.03691864013671875,-0.02986762856016867,0.028339097,0.2,1040,-2.270670576923077,1257.0
34304,67,1328,25,-43.293296098709106,0.9804330468177795,0.0004092704424510632,0.22705078125,0.0037896757676207926,-0.02390790916979313,-0.0012538433074951172,-0.019817562089883722,0.018854082,0.2,1056,-2.2707724814814814,1257.0
34816,68,1327,26,-43.35758054256439,0.981854259967804,0.0004092704424510632,0.2119140625,0.21116241160780191,0.07721160352230072,8.487701416015625e-05,-0.019826938638288993,0.017474055,0.2,1072,-2.2707724814814814,1257.0
35328,69,1327,26,-43.40575706958771,0.9843037128448486,0.0004092704424510632,0.185791015625,0.0038568946911254898,-0.02775738388299942,-0.001083970069885254,-0.0220155262213666,0.010457657,0.2,1088,-2.2732190357142854,1257.0
35840,70,1326,27,-43.455540895462036,0.9839297533035278,0.0004092704424510632,0.2041015625,0.19641936151310802,0.0780152752995491,0.00014412403106689453,-0.01659278542501852,0.02060423,0.2,1104,-2.2732190357142854,1257.0
