time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/explained_variance,train/clip_range,train/loss,train/clip_fraction,train/approx_kl,train/entropy_loss,train/n_updates,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
1297,96,199680,37,-0.46304142475128174,0.2,-0.03410350903868675,0.27294921875,0.01893872,-42.336578130722046,6224,0.0004092704424510632,0.0029582932074845303,-0.02705732189497212,0.9587751030921936,-2.0996235499999996,1223.0
1297,97,200192,38,0.28213274478912354,0.2,0.023580461740493774,0.1068115234375,0.012668086,-42.313517570495605,6240,0.0004092704424510632,0.24843424023129046,-0.016309141043166164,0.9580034613609314,-2.0996235499999996,1223.0
1297,98,200704,38,-9.862228393554688,0.2,-0.05311788618564606,0.2730712890625,0.022951977,-42.259294271469116,6256,0.0004092704424510632,0.011364650723407976,-0.027553208463359624,0.9556673169136047,-2.09830221,1223.0
1297,99,201216,39,0.21856892108917236,0.2,0.03211416304111481,0.114990234375,0.015343387,-42.19372248649597,6272,0.0004092704424510632,0.25138748344033957,-0.018943565810332075,0.9549059867858887,-2.09830221,1223.0
1297,100,201728,39,-3.851527214050293,0.2,-0.04124569520354271,0.304931640625,0.019545991,-42.18521773815155,6288,0.0004092704424510632,0.005711578116461169,-0.030786514631472528,0.9551814198493958,-2.09830221,1223.0
1297,101,202240,39,-0.013532042503356934,0.2,-0.04234543815255165,0.255615234375,0.0182638,-42.19661831855774,6304,0.0004092704424510632,0.002365836287935963,-0.0283702461165376,0.9550721049308777,-2.09688738,1223.0
1296,102,202752,40,0.1925448775291443,0.2,0.024478890001773834,0.0726318359375,0.014497867,-42.1843878030777,6320,0.0004092704424510632,0.2419918419327587,-0.010331276891520247,0.9546551704406738,-2.09688738,1223.0
1296,103,203264,40,-7.5826616287231445,0.2,-0.019056161865592003,0.2686767578125,0.020864008,-42.18028438091278,6336,0.0004092704424510632,0.01760286433272995,-0.02409061299840687,0.9557518362998962,-2.0934105900000004,1223.0
1295,104,203776,41,0.2257763147354126,0.2,0.009018618613481522,0.1678466796875,0.023056297,-42.2165070772171,6352,0.0004092704424510632,0.233178993454203,-0.021154115616809577,0.9561526775360107,-2.0934105900000004,1223.0
1295,105,204288,41,-10.453726768493652,0.2,-0.035364530980587006,0.2490234375,0.01679214,-42.234251260757446,6368,0.0004092704424510632,0.003318946783110732,-0.024239165271865204,0.9575319886207581,-2.0904328600000004,1223.0
