time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/approx_kl,train/loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/std,train/n_updates,train/explained_variance,train/value_loss,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1318,37,18944,14,0.022743378,-0.036144401878118515,0.2,0.0004092704424510632,-0.03148993768263608,0.2703857421875,0.9842351078987122,576,-0.3889632225036621,0.014252447843318805,-43.46116507053375,1258.0,-2.3370042000000004
1318,38,19456,14,0.018455293,0.02891571819782257,0.2,0.0004092704424510632,-0.02631625258072745,0.2159423828125,0.9831743836402893,592,0.36091673374176025,0.14876354322768748,-43.457998275756836,1258.0,-2.3370042000000004
1318,39,19968,15,0.015607044,-0.027255916967988014,0.2,0.0004092704424510632,-0.025935769168427214,0.225830078125,0.9813603162765503,608,-6.696905136108398,0.009789607109269127,-43.40667414665222,1258.0,-2.3370042000000004
1316,40,20480,15,0.022701858,-0.03664354607462883,0.2,0.0004092704424510632,-0.024761971668340266,0.2744140625,0.9794922471046448,624,0.16537833213806152,0.004689612760557793,-43.35128164291382,1258.0,-2.3296633125
1316,41,20992,15,0.02227113,0.019169650971889496,0.2,0.0004092704424510632,-0.029160801612306386,0.2664794921875,0.9786479473114014,640,0.09304141998291016,0.14541563182137907,-43.30133521556854,1258.0,-2.3296633125
1315,42,21504,16,0.014780974,-0.02919728308916092,0.2,0.0004092704424510632,-0.022452618402894586,0.19140625,0.9787036180496216,656,-2.703641414642334,0.009487199757131748,-43.287320494651794,1258.0,-2.331178235294118
1315,43,22016,16,0.030282542,0.027610868215560913,0.2,0.0004092704424510632,-0.023862188681960106,0.23828125,0.9784826040267944,672,0.2574514150619507,0.2191268391907215,-43.286572337150574,1258.0,-2.331178235294118
1313,44,22528,17,0.022693524,-0.03526487573981285,0.2,0.0004092704424510632,-0.026539066864643246,0.23681640625,0.9773915410041809,688,-10.403696060180664,0.010812720225658268,-43.269142270088196,1258.0,-2.331178235294118
1308,45,23040,17,0.020026688,-0.03929171711206436,0.2,0.0004092704424510632,-0.02574298405670561,0.2373046875,0.9761180877685547,704,-0.10792040824890137,0.007757275117910467,-43.22580397129059,1258.0,-2.3419171666666667
1296,46,23552,18,0.022861253,0.011432580649852753,0.2,0.0004092704424510632,-0.02540577747276984,0.27490234375,0.9759650826454163,720,0.2631745934486389,0.21965113771148026,-43.20339357852936,1258.0,-2.3419171666666667
1296,47,24064,18,0.017092634,-0.022383131086826324,0.2,0.0004092704424510632,-0.030655348062282428,0.251708984375,0.9740650653839111,736,-1.6292438507080078,0.023348793503828347,-43.17669498920441,1258.0,-2.335225
1295,48,24576,18,0.026187822,0.13557854294776917,0.2,0.0004092704424510632,-0.027583151415456086,0.329345703125,0.9735167622566223,752,0.220048725605011,0.2996285669505596,-43.122544288635254,1258.0,-2.335225
1294,49,25088,19,0.017773084,-0.03775378316640854,0.2,0.0004092704424510632,-0.030268641450675204,0.2593994140625,0.9738067984580994,768,-7.925647735595703,0.013631581889057998,-43.124157667160034,1258.0,-2.335225
1293,50,25600,19,0.015794039,-0.02819896675646305,0.2,0.0004092704424510632,-0.027419371297582984,0.24365234375,0.9718964695930481,784,0.4253023862838745,0.005685477597580757,-43.1052668094635,1258.0,-2.3296866
1292,51,26112,20,0.021767046,0.025195397436618805,0.2,0.0004092704424510632,-0.022936836212466005,0.2567138671875,0.9710768461227417,800,0.1984999179840088,0.18010043073445559,-43.04620718955994,1258.0,-2.3296866
1291,52,26624,20,0.014591451,-0.02626841701567173,0.2,0.0004092704424510632,-0.025205225858371705,0.21923828125,0.9714223742485046,816,-2.372857093811035,0.014545267229550518,-43.04156005382538,1258.0,-2.3192595714285718
1290,53,27136,21,0.027535211,0.02232675999403,0.2,0.0004092704424510632,-0.02974735230964143,0.2955322265625,0.9708976745605469,832,0.09813445806503296,0.21057258127257228,-43.04823696613312,1258.0,-2.3192595714285718
1289,54,27648,21,0.021706384,-0.028803978115320206,0.2,0.0004092704424510632,-0.02963339874986559,0.28564453125,0.9712337255477905,848,-2.546092987060547,0.0073073006788035855,-43.033645272254944,1258.0,-2.3192595714285718
1289,55,28160,21,0.017793573,-0.030492687597870827,0.2,0.0004092704424510632,-0.02447306776593905,0.2430419921875,0.9720170497894287,864,0.37932920455932617,0.009101909556193277,-43.05308759212494,1258.0,-2.322804363636364
1288,56,28672,22,0.031908624,0.01037939079105854,0.2,0.0004092704424510632,-0.023789126076735556,0.2230224609375,0.9717159867286682,880,0.22121590375900269,0.1403874228708446,-43.066001653671265,1258.0,-2.322804363636364
1287,57,29184,22,0.017346196,-0.03403865545988083,0.2,0.0004092704424510632,-0.029661343025509268,0.2611083984375,0.9713446497917175,896,-1.5890209674835205,0.023600192100275308,-43.05170488357544,1258.0,-2.31932447826087
1286,58,29696,23,0.015028736,0.0379737988114357,0.2,0.0004092704424510632,-0.015503952738072257,0.1201171875,0.9700738787651062,912,0.28344231843948364,0.18518414325080812,-43.02987766265869,1258.0,-2.31932447826087
1286,59,30208,23,0.01632758,-0.03171299397945404,0.2,0.0004092704424510632,-0.02386169374221936,0.211181640625,0.9686408638954163,928,-0.980499267578125,0.011175209772773087,-42.978795409202576,1258.0,-2.319827875
1285,60,30720,23,0.02288148,0.1106293797492981,0.2,0.0004092704424510632,-0.026191952667431906,0.189453125,0.9680033326148987,944,0.16654080152511597,0.31467329943552613,-42.94661831855774,1258.0,-2.319827875
1284,61,31232,24,0.016486987,-0.04588557407259941,0.2,0.0004092704424510632,-0.02747336492757313,0.2393798828125,0.9663097858428955,960,-7.191245079040527,0.008610947508714162,-42.91456699371338,1258.0,-2.319827875
1283,62,31744,24,0.015258417,-0.03057797998189926,0.2,0.0004092704424510632,-0.020368391822557896,0.216552734375,0.9652163982391357,976,-0.05564570426940918,0.0024283239399665035,-42.858630776405334,1258.0,-2.3133974
