time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/std,train/learning_rate,train/loss,train/explained_variance,train/n_updates,train/clip_fraction,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
1263,15360,30,12,0.2,-0.02109747374197468,0.006371149342157878,-43.808207392692566,0.9944790005683899,0.0004092704424510632,-0.026303892955183983,-0.04868209362030029,464,0.2279052734375,0.018423876,-2.136675666666667,1258.0
1262,15872,31,12,0.2,-0.0229986623453442,0.0291607630206272,-43.7836811542511,0.9945905208587646,0.0004092704424510632,-0.01457464974373579,0.4476052522659302,480,0.2275390625,0.019346427,-2.136675666666667,1258.0
1261,16384,32,12,0.2,-0.01935458778461907,0.003321995300211711,-43.80612349510193,0.9957637190818787,0.0004092704424510632,-0.027419941499829292,-3.288498878479004,496,0.1778564453125,0.013969922,-2.1313826153846156,1258.0
1260,16896,33,13,0.2,-0.02920516431913711,0.04787827853579074,-43.838963866233826,0.9965051412582397,0.0004092704424510632,-0.01955070160329342,0.10509234666824341,512,0.2843017578125,0.025984447,-2.1313826153846156,1258.0
1259,17408,34,13,0.2,-0.01820980078628054,0.0024475438040099107,-43.863569259643555,0.9979221820831299,0.0004092704424510632,-0.03163864091038704,-2.1028592586517334,528,0.1820068359375,0.013173914,-2.1313826153846156,1258.0
1258,17920,35,14,0.2,-0.02597427016007714,0.005488163355039433,-43.884811758995056,0.9976897835731506,0.0004092704424510632,-0.03714650124311447,0.10029077529907227,544,0.2034912109375,0.015667599,-2.1477195714285715,1258.0
1257,18432,36,14,0.2,-0.026852566115849186,0.04407249501673505,-43.85834324359894,0.9962767362594604,0.0004092704424510632,-0.019541241228580475,0.2301385998725891,560,0.234619140625,0.023531208,-2.1477195714285715,1258.0
1257,18944,37,15,0.2,-0.02343459591793362,0.005208412869251333,-43.807870864868164,0.9950429201126099,0.0004092704424510632,-0.031765297055244446,-1.769789218902588,576,0.218017578125,0.016142087,-2.1511978000000003,1258.0
1255,19456,38,15,0.2,-0.028660566167673096,0.06396665459033102,-43.779478907585144,0.9944690465927124,0.0004092704424510632,-0.02517913095653057,0.06596767902374268,592,0.290771484375,0.027099732,-2.1511978000000003,1258.0
1253,19968,39,15,0.2,-0.025538750225678086,0.0029443061248457525,-43.75446152687073,0.9932805895805359,0.0004092704424510632,-0.034762267023324966,-3.816828727722168,608,0.274169921875,0.021395134,-2.1511978000000003,1258.0
1253,20480,40,16,0.2,-0.020409424731042236,0.0041366890000062995,-43.74855387210846,0.9944076538085938,0.0004092704424510632,-0.03257133066654205,0.06070929765701294,624,0.2161865234375,0.017371546,-2.1434645625,1258.0
1253,20992,41,16,0.2,-0.031003469426650554,0.06555283337365836,-43.80039656162262,0.9962127208709717,0.0004092704424510632,-0.02716175653040409,0.1455124020576477,640,0.2362060546875,0.026443524,-2.1434645625,1258.0
1253,21504,42,17,0.2,-0.02917050465475768,0.006602419787668623,-43.85397708415985,0.9979552626609802,0.0004092704424510632,-0.03080579824745655,-0.2148897647857666,656,0.2601318359375,0.024339851,-2.1462496470588235,1258.0
1252,22016,43,17,0.2,-0.02197345861350186,0.0772013250971213,-43.91257047653198,0.9994639754295349,0.0004092704424510632,0.014801738783717155,0.5112285614013672,672,0.18359375,0.021110449,-2.1462496470588235,1258.0
1252,22528,44,17,0.2,-0.021416535280877724,0.005465139802254271,-43.955902457237244,1.0013467073440552,0.0004092704424510632,-0.03370720520615578,-4.425028324127197,688,0.2080078125,0.020104866,-2.1462496470588235,1258.0
1251,23040,45,18,0.2,-0.027931141230510548,0.004343946362496354,-43.97785747051239,0.9998489022254944,0.0004092704424510632,-0.042175814509391785,-0.005204200744628906,704,0.239501953125,0.017112918,-2.1444210555555556,1258.0
1251,23552,46,18,0.2,-0.025999723045970313,0.07202293572481722,-43.912463784217834,0.9986488819122314,0.0004092704424510632,-0.01480868086218834,0.11438637971878052,720,0.2550048828125,0.020536687,-2.1444210555555556,1258.0
1251,24064,47,19,0.2,-0.027548657439183444,0.006698400851746555,-43.888574719429016,0.9978540539741516,0.0004092704424510632,-0.03275042027235031,-0.8986388444900513,736,0.240478515625,0.019715589,-2.1523495263157897,1258.0
1251,24576,48,19,0.2,-0.018854621084756218,0.06491170939989388,-43.8562194108963,0.9966481328010559,0.0004092704424510632,-0.0072215162217617035,0.4811466932296753,752,0.1387939453125,0.018112151,-2.1523495263157897,1258.0
1250,25088,49,20,0.2,-0.027224788413150236,0.005040393538365606,-43.82428550720215,0.9959285259246826,0.0004092704424510632,-0.03971037641167641,-5.291718006134033,768,0.250732421875,0.02069123,-2.1523495263157897,1258.0
1250,25600,50,20,0.2,-0.02524127760261763,0.0027697422556229867,-43.81224572658539,0.996163547039032,0.0004092704424510632,-0.03519235551357269,0.0717739462852478,784,0.264404296875,0.017756544,-2.1490184,1258.0
1250,26112,51,20,0.2,-0.01895028534636367,0.06433991546509787,-43.82677471637726,0.9966065883636475,0.0004092704424510632,-0.01108939666301012,0.11705082654953003,800,0.1973876953125,0.015626756,-2.1490184,1258.0
1250,26624,52,21,0.2,-0.027587933203903958,0.009303954691858962,-43.824931025505066,0.9959601759910583,0.0004092704424510632,-0.025261251255869865,-0.9940605163574219,816,0.2889404296875,0.022779226,-2.152133380952381,1258.0
1250,27136,53,21,0.2,-0.01930448399798479,0.07091480016242713,-43.79817605018616,0.9952489733695984,0.0004092704424510632,-0.008973425254225731,0.3161083459854126,832,0.2012939453125,0.017568838,-2.152133380952381,1258.0
1249,27648,54,22,0.2,-0.020071026927325875,0.005067505240731407,-43.78361904621124,0.9951759576797485,0.0004092704424510632,-0.037891387939453125,-3.7501211166381836,848,0.1983642578125,0.014511092,-2.152133380952381,1258.0
1249,28160,55,22,0.2,-0.025858941982733086,0.004296563594834879,-43.79983627796173,0.9963830709457397,0.0004092704424510632,-0.03984510898590088,0.22932535409927368,864,0.2637939453125,0.023396388,-2.1497143636363636,1258.0
1249,28672,56,22,0.2,-0.026578956487355754,0.03945365472463891,-43.834593653678894,0.9968224167823792,0.0004092704424510632,-0.02427537925541401,0.3600805997848511,880,0.2596435546875,0.032717083,-2.1497143636363636,1258.0
1249,29184,57,23,0.2,-0.026420589427289087,0.008781602460658178,-43.82869470119476,0.9964565634727478,0.0004092704424510632,-0.04493828862905502,-2.0534372329711914,896,0.260986328125,0.023029257,-2.1468324347826084,1258.0
1249,29696,58,23,0.2,-0.023114560681278817,0.06443442404270172,-43.82170855998993,0.9966857433319092,0.0004092704424510632,-0.006631739437580109,0.4209398627281189,912,0.1983642578125,0.02031232,-2.1468324347826084,1258.0
1249,30208,59,24,0.2,-0.026017053736723028,0.004385074465972139,-43.854024052619934,0.9983797669410706,0.0004092704424510632,-0.030755382031202316,-8.362737655639648,928,0.2637939453125,0.024274005,-2.1496200416666666,1258.0
1249,30720,60,24,0.2,-0.021757655253168195,0.10105782968457788,-43.883326172828674,0.9984808564186096,0.0004092704424510632,-0.006910581141710281,0.17381519079208374,944,0.1796875,0.01676483,-2.1496200416666666,1258.0
1248,31232,61,25,0.2,-0.02256395717995474,0.0026781207052408718,-43.86532282829285,0.997309148311615,0.0004092704424510632,-0.024631770327687263,-2.3124406337738037,960,0.241455078125,0.026912358,-2.1496200416666666,1258.0
1248,31744,62,25,0.2,-0.02457207682891749,0.0037158755731070414,-43.82554519176483,0.9956463575363159,0.0004092704424510632,-0.029832253232598305,0.029127895832061768,976,0.2357177734375,0.018048953,-2.14604968,1258.0
1248,32256,63,25,0.2,-0.020824908424401656,0.10487811174243689,-43.780417919158936,0.9947658777236938,0.0004092704424510632,0.003042217344045639,0.08074885606765747,992,0.197509765625,0.0210579,-2.14604968,1258.0
