time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/std,train/n_updates,train/clip_fraction,train/clip_range,train/value_loss,train/loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
126976,101,28,1843,-42.874271392822266,-0.02308608641033061,0.017973268,-0.9539356231689453,0.970425009727478,3952,0.28271484375,0.2,0.005798502912512049,-0.0393669456243515,0.0004092704424510632,1258.0,-2.7184685299999996
127488,102,28,1843,-42.85605013370514,-0.02434645642642863,0.019889668,0.7137963771820068,0.9699174761772156,3968,0.2171630859375,0.2,0.038969904475379735,-0.010458391159772873,0.0004092704424510632,1258.0,-2.7159081400000007
128000,103,28,1843,-42.84826958179474,-0.00818692211760208,0.011884364,0.5626999139785767,0.9700272083282471,3984,0.029541015625,0.2,1.097620654385537,0.04197418689727783,0.0004092704424510632,1258.0,-2.7159081400000007
128512,104,28,1843,-42.854150891304016,-0.025723363971337676,0.031337835,-1.4884302616119385,0.9702252149581909,4000,0.2642822265625,0.2,0.09361614636145532,0.007379923015832901,0.0004092704424510632,1258.0,-2.7150571
129024,105,29,1843,-42.8570601940155,-0.0030198352978914045,0.005392789,0.7795642614364624,0.9703058004379272,4016,0.0364990234375,0.2,0.9337762435898185,0.23511432111263275,0.0004092704424510632,1258.0,-2.7150571
129536,106,29,1843,-42.82737112045288,-0.0268600888812216,0.020783722,-0.19905030727386475,0.9678769111633301,4032,0.283447265625,0.2,0.0652894414961338,-0.008966648951172829,0.0004092704424510632,1258.0,-2.7150571
130048,107,29,1843,-42.75138187408447,-0.008648751798318699,0.0071455166,0.8505723476409912,0.9667173624038696,4048,0.0150146484375,0.2,0.47602082788944244,0.17024922370910645,0.0004092704424510632,1258.0,-2.715787390000001
130560,108,29,1843,-42.738165497779846,-0.022146303796034772,0.029609846,0.9681769609451294,0.9666011333465576,4064,0.22314453125,0.2,0.04598400596296415,-0.026279468089342117,0.0004092704424510632,1258.0,-2.715787390000001
131072,109,30,1843,-42.71777904033661,-0.025763867437490262,0.024748228,-1.9828860759735107,0.9652013182640076,4080,0.2725830078125,0.2,0.0907029997324571,-0.0024283193051815033,0.0004092704424510632,1258.0,-2.71529325
131584,110,30,1843,-42.673343539237976,-0.008138229102769401,0.008191599,0.8333616852760315,0.9644599556922913,4096,0.0533447265625,0.2,0.78886728733778,0.10396632552146912,0.0004092704424510632,1258.0,-2.71529325
132096,111,30,1843,-42.69911813735962,-0.020994597070966847,0.019133642,-2.931511640548706,0.9674454927444458,4112,0.2303466796875,0.2,0.036961346690077335,-0.012891199439764023,0.0004092704424510632,1258.0,-2.7156067100000003
132608,112,31,1842,-42.78494369983673,-0.006281692185439169,0.0069370205,0.6744957566261292,0.9685072898864746,4128,0.0306396484375,0.2,1.295887011103332,0.46923691034317017,0.0004092704424510632,1258.0,-2.7156067100000003
133120,113,31,1842,-42.79926371574402,-0.030352076835697517,0.018651873,-1.9387876987457275,0.9687062501907349,4144,0.2781982421875,0.2,0.003191509109456092,-0.0304812490940094,0.0004092704424510632,1258.0,-2.7156067100000003
133632,114,31,1842,-42.79852902889252,-0.026137325447052717,0.021822244,-0.31819581985473633,0.9685031175613403,4160,0.2630615234375,0.2,0.0042926539535983466,-0.03512488678097725,0.0004092704424510632,1258.0,-2.7148302699999998
134144,115,31,1841,-42.792890548706055,-0.013932337657024618,0.012503534,0.5293044447898865,0.9683013558387756,4176,0.069580078125,0.2,1.5641303067095578,0.3345062732696533,0.0004092704424510632,1258.0,-2.7148302699999998
134656,116,32,1841,-42.79819345474243,-0.023535196436569095,0.016899426,-0.16086900234222412,0.9690600037574768,4192,0.2232666015625,0.2,0.010252896914607845,-0.03010021336376667,0.0004092704424510632,1258.0,-2.7141212599999993
135168,117,32,1840,-42.815804958343506,-0.005856089574081125,0.0069785137,0.7023875713348389,0.9692663550376892,4208,0.0260009765625,0.2,1.1978711453266442,0.2549307942390442,0.0004092704424510632,1258.0,-2.7141212599999993
