time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/explained_variance,train/learning_rate,train/clip_range,train/approx_kl,train/n_updates,train/entropy_loss,train/std,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
66,18,1796,33792,0.07077997922897339,0.0004092704424510632,0.2,0.021248918,1040,-43.666322112083435,0.9912784695625305,0.2908935546875,-0.026292803217074834,0.07330735435243696,-0.005303686484694481,1223.0,-2.2378926666666668
67,19,1794,34304,-1.4201815128326416,0.0004092704424510632,0.2,0.013314808,1056,-43.675179958343506,0.9909116625785828,0.1795654296875,-0.019379473917069845,0.001888760592919425,-0.02952089160680771,1223.0,-2.232185785714286
68,19,1792,34816,0.2561885714530945,0.0004092704424510632,0.2,0.013028209,1072,-43.66274082660675,0.9905205965042114,0.0972900390625,-0.01490980941161979,0.08980478823650628,0.017998896539211273,1223.0,-2.232185785714286
69,19,1790,35328,-1.5595624446868896,0.0004092704424510632,0.2,0.017186105,1088,-43.652485609054565,0.9906159043312073,0.24267578125,-0.023488235514378175,0.0040930720351752825,-0.03525760769844055,1223.0,-2.232185785714286
70,19,1792,35840,-0.0005074739456176758,0.0004092704424510632,0.2,0.020445764,1104,-43.66683030128479,0.991255521774292,0.2568359375,-0.026671123603591695,0.0027375520185159985,-0.03254837170243263,1223.0,-2.2341897931034485
71,20,1792,36352,0.2104063630104065,0.0004092704424510632,0.2,0.016877603,1120,-43.67944324016571,0.9913631081581116,0.2047119140625,-0.023096096701920033,0.06605914299143478,-0.015650339424610138,1223.0,-2.2341897931034485
72,20,1791,36864,-1.6863789558410645,0.0004092704424510632,0.2,0.023158919,1136,-43.69153106212616,0.9926580786705017,0.234375,-0.024252060407889076,0.005229733345913701,-0.03713664039969444,1223.0,-2.2328995000000003
73,20,1792,37376,0.1895952820777893,0.0004092704424510632,0.2,0.01755745,1152,-43.73297154903412,0.993323028087616,0.1566162109375,-0.02236019854899496,0.08697588602080941,-0.011349678039550781,1223.0,-2.2328995000000003
74,21,1790,37888,-0.542056679725647,0.0004092704424510632,0.2,0.020073459,1168,-43.75061810016632,0.9942888021469116,0.282958984375,-0.027884372044354677,0.0037001139935455285,-0.039993882179260254,1223.0,-2.2328995000000003
75,21,1789,38400,0.3536375164985657,0.0004092704424510632,0.2,0.016875496,1184,-43.74357771873474,0.9921432137489319,0.1971435546875,-0.020487303889240138,0.002660860540345311,-0.03435887396335602,1223.0,-2.231611612903226
76,21,1789,38912,0.23661714792251587,0.0004092704424510632,0.2,0.03303638,1200,-43.67485165596008,0.9903711080551147,0.2720947265625,-0.02639031084254384,0.051431155879981816,-0.02982160821557045,1223.0,-2.231611612903226
77,22,1790,39424,-5.028687000274658,0.0004092704424510632,0.2,0.028345395,1216,-43.63190567493439,0.9895274043083191,0.2618408203125,-0.028966541183763184,0.007298880082089454,-0.03774315491318703,1223.0,-2.2250640625
78,22,1790,39936,0.06334775686264038,0.0004092704424510632,0.2,0.023656148,1232,-43.61146283149719,0.9888110756874084,0.207763671875,-0.025844709933153354,0.10365216946229339,-0.0037882737815380096,1223.0,-2.2250640625
79,22,1790,40448,-0.6909903287887573,0.0004092704424510632,0.2,0.019140989,1248,-43.601112604141235,0.9891534447669983,0.21240234375,-0.02103538779192604,0.0026944851560983807,-0.03778193145990372,1223.0,-2.222429818181818
80,22,1789,40960,0.2815198302268982,0.0004092704424510632,0.2,0.02153888,1264,-43.6134352684021,0.9893128275871277,0.184326171875,-0.024143262577126734,0.1077288716332987,0.01868343912065029,1223.0,-2.222429818181818
