time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/approx_kl,train/std,train/entropy_loss,train/loss,train/explained_variance,train/n_updates,train/clip_range,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
1274,44,22528,17,0.021793598,0.9936563372612,-43.771782755851746,-0.009508481249213219,0.3026617765426636,688,0.2,0.22607421875,0.06764332950115204,-0.024162160145351663,0.0004092704424510632,1223.0,-2.2651528888888888
1273,45,23040,18,0.019231282,0.9914091229438782,-43.72441363334656,-0.03752024471759796,-0.2690688371658325,704,0.2,0.2529296875,0.007194608784629963,-0.029285352560691535,0.0004092704424510632,1223.0,-2.2651528888888888
1273,46,23552,18,0.024326544,0.9908326864242554,-43.672385931015015,-0.04022710770368576,-0.27915310859680176,720,0.2,0.2757568359375,0.003858078438497614,-0.032312601018929854,0.0004092704424510632,1223.0,-2.2548978947368417
1273,47,24064,18,0.01780412,0.9905125498771667,-43.66204500198364,0.00037366338074207306,0.12218761444091797,736,0.2,0.2606201171875,0.073416234459728,-0.02167160496173892,0.0004092704424510632,1223.0,-2.2548978947368417
1272,48,24576,19,0.018299289,0.9912737011909485,-43.66277039051056,-0.023541981354355812,-1.413041114807129,752,0.2,0.2650146484375,0.009706519762403332,-0.029064936301438138,0.0004092704424510632,1223.0,-2.2520700499999995
1271,49,25088,19,0.016369963,0.9911428093910217,-43.68037962913513,0.0009230561554431915,0.1858941912651062,768,0.2,0.2216796875,0.08273011026903987,-0.019167174817994237,0.0004092704424510632,1223.0,-2.2520700499999995
1271,50,25600,20,0.019742994,0.9906443953514099,-43.66509139537811,-0.03895527496933937,-0.6019006967544556,784,0.2,0.2701416015625,0.0065494077280163765,-0.028832184048951603,0.0004092704424510632,1223.0,-2.2520700499999995
1271,51,26112,20,0.01650348,0.9904575347900391,-43.652495980262756,-0.036553844809532166,-0.23843955993652344,800,0.2,0.24560546875,0.004213630687445402,-0.02389565875637345,0.0004092704424510632,1223.0,-2.249920952380952
1270,52,26624,20,0.025422573,0.9907326102256775,-43.6561963558197,-0.010279431939125061,0.11662924289703369,816,0.2,0.2816162109375,0.08372878993395716,-0.030126205063425004,0.0004092704424510632,1223.0,-2.249920952380952
1270,53,27136,21,0.022138232,0.9910095930099487,-43.665403962135315,-0.03921228647232056,-5.894681453704834,832,0.2,0.2686767578125,0.009212822493282147,-0.028574120355187915,0.0004092704424510632,1223.0,-2.2519482727272724
1270,54,27648,21,0.032479286,0.991645872592926,-43.67901396751404,-0.0009860917925834656,0.04427069425582886,848,0.2,0.32080078125,0.11160399008076638,-0.029105338267982006,0.0004092704424510632,1223.0,-2.2519482727272724
1269,55,28160,22,0.013290961,0.99288409948349,-43.70072138309479,-0.022206716239452362,-1.580676794052124,864,0.2,0.16455078125,0.015467729623196647,-0.01989213060005568,0.0004092704424510632,1223.0,-2.249720217391304
1269,56,28672,22,0.016935464,0.9930368661880493,-43.72970366477966,0.03760203719139099,0.22729450464248657,880,0.2,0.2181396484375,0.12375193927437067,-0.02241304752533324,0.0004092704424510632,1223.0,-2.249720217391304
1268,57,29184,23,0.015224304,0.9936150908470154,-43.730483293533325,-0.031024716794490814,-0.6603734493255615,896,0.2,0.2470703125,0.011025733663700521,-0.03020443257992156,0.0004092704424510632,1223.0,-2.249720217391304
1267,58,29696,23,0.019138588,0.9925302863121033,-43.732329964637756,-0.036346711218357086,-0.5470592975616455,912,0.2,0.2825927734375,0.0034780826972564682,-0.0294584323419258,0.0004092704424510632,1223.0,-2.249664458333333
1267,59,30208,23,0.023473822,0.9917073249816895,-43.694697856903076,-0.0092054083943367,0.11079561710357666,928,0.2,0.2445068359375,0.09615588700398803,-0.02637546211190056,0.0004092704424510632,1223.0,-2.249664458333333
1267,60,30720,24,0.01786603,0.9923591613769531,-43.68904006481171,-0.02741861343383789,-3.871112823486328,944,0.2,0.1767578125,0.025434003677219152,-0.02465625222248491,0.0004092704424510632,1223.0,-2.25061968
1266,61,31232,24,0.017979663,0.9924305081367493,-43.7122608423233,0.0013703778386116028,0.11290013790130615,960,0.2,0.2254638671875,0.09302542766090482,-0.020823280749027617,0.0004092704424510632,1223.0,-2.25061968
1265,62,31744,25,0.01818109,0.9936006665229797,-43.720510840415955,-0.03823857754468918,-0.17641735076904297,976,0.2,0.2408447265625,0.010818013193784282,-0.025194137895596214,0.0004092704424510632,1223.0,-2.25061968
1265,63,32256,25,0.01449555,0.9961332678794861,-43.781983375549316,-0.016994185745716095,0.04421567916870117,992,0.2,0.2125244140625,0.014109704497968778,-0.023998567165108398,0.0004092704424510632,1223.0,-2.2571578076923076
1265,64,32768,25,0.025060717,0.9968276619911194,-43.83739387989044,0.0007543191313743591,0.35634344816207886,1008,0.2,0.2197265625,0.08162874390836805,-0.025664910121122375,0.0004092704424510632,1223.0,-2.2571578076923076
1265,65,33280,26,0.016419144,0.9976006150245667,-43.85343301296234,-0.023956986144185066,-3.6682395935058594,1024,0.2,0.1798095703125,0.01869766105664894,-0.018757673460640945,0.0004092704424510632,1223.0,-2.2622827777777776
1265,66,33792,26,0.021530196,0.9971391558647156,-43.86485254764557,0.026402011513710022,0.03941524028778076,1040,0.2,0.2296142578125,0.11796347028575838,-0.020477668818784878,0.0004092704424510632,1223.0,-2.2622827777777776
1265,67,34304,27,0.018705916,0.9974396228790283,-43.85628616809845,-0.02419104613363743,-1.613569736480713,1056,0.2,0.1622314453125,0.02343076656688936,-0.021745641097368207,0.0004092704424510632,1223.0,-2.2686608214285715
1265,68,34816,27,0.024555903,0.9985083937644958,-43.87891495227814,0.008126959204673767,0.22696614265441895,1072,0.2,0.2147216796875,0.10184667888097465,-0.025120869133388624,0.0004092704424510632,1223.0,-2.2686608214285715
1264,69,35328,27,0.0129213035,0.9984217882156372,-43.89943206310272,-0.02361752651631832,-1.5478756427764893,1088,0.2,0.1678466796875,0.007818790094461292,-0.018261275537952315,0.0004092704424510632,1223.0,-2.2686608214285715
1264,70,35840,28,0.014537551,0.9975361227989197,-43.88032364845276,-0.03838362172245979,-0.16672122478485107,1104,0.2,0.197509765625,0.0033824341517174616,-0.02310659713111818,0.0004092704424510632,1223.0,-2.2738880344827583
1264,71,36352,28,0.015945569,0.9970672130584717,-43.8586745262146,-0.0024548638612031937,0.11475831270217896,1120,0.2,0.208984375,0.11055081093218178,-0.01894803496543318,0.0004092704424510632,1223.0,-2.2738880344827583
1264,72,36864,29,0.01370974,0.9983856678009033,-43.86422574520111,-0.028551101684570312,-4.976743221282959,1136,0.2,0.1624755859375,0.01617256047029514,-0.018556980809080414,0.0004092704424510632,1223.0,-2.2778814666666665
1264,73,37376,29,0.026285868,0.9987512826919556,-43.90304112434387,-0.0049264095723629,0.04855489730834961,1152,0.2,0.247314453125,0.11537026206497103,-0.02887218602700159,0.0004092704424510632,1223.0,-2.2778814666666665
1263,74,37888,29,0.016645143,0.999511182308197,-43.90553271770477,-0.028003539890050888,-1.2912790775299072,1168,0.2,0.2100830078125,0.009095516463275999,-0.021759588053100742,0.0004092704424510632,1223.0,-2.2778814666666665
1263,75,38400,30,0.0152348755,0.9998827576637268,-43.93353188037872,-0.027943341061472893,0.5405725240707397,1184,0.2,0.18701171875,0.005882200857740827,-0.02148216322530061,0.0004092704424510632,1223.0,-2.2777793548387097
1263,76,38912,30,0.024376534,0.9994378685951233,-43.92760479450226,-0.011750370264053345,0.3259150981903076,1200,0.2,0.1949462890625,0.06618503190111369,-0.020866707287495956,0.0004092704424510632,1223.0,-2.2777793548387097
1263,77,39424,31,0.018203411,0.9997775554656982,-43.9245080947876,-0.03224420174956322,-4.516921520233154,1216,0.2,0.1846923828125,0.008300809873617254,-0.01755849465553183,0.0004092704424510632,1223.0,-2.28027453125
1263,78,39936,31,0.022395961,1.0005273818969727,-43.94876313209534,0.024807896465063095,0.04630768299102783,1232,0.2,0.2506103515625,0.13765220995992422,-0.023858484513766598,0.0004092704424510632,1223.0,-2.28027453125
1263,79,40448,32,0.0134115955,1.0002211332321167,-43.95390319824219,-0.026525132358074188,-2.0832676887512207,1248,0.2,0.1773681640625,0.006393023591954261,-0.01985561745823361,0.0004092704424510632,1223.0,-2.281457818181818
1263,80,40960,32,0.016592696,1.0000202655792236,-43.944509625434875,0.021261684596538544,0.1497597098350525,1264,0.2,0.1416015625,0.19340402213856578,-0.01991322956746444,0.0004092704424510632,1223.0,-2.281457818181818
1263,81,41472,32,0.019559667,1.0002892017364502,-43.94506347179413,-0.035762522369623184,-1.1711721420288086,1280,0.2,0.2525634765625,0.006108203262556344,-0.02739712794573279,0.0004092704424510632,1223.0,-2.281457818181818
1263,82,41984,33,0.019017722,1.000632882118225,-43.95574176311493,-0.04020565003156662,0.005228996276855469,1296,0.2,0.21923828125,0.002492364506906597,-0.022461632353952155,0.0004092704424510632,1223.0,-2.279446088235294
1263,83,42496,33,0.021068018,1.0002518892288208,-43.9576952457428,0.022144094109535217,0.03546953201293945,1312,0.2,0.2393798828125,0.2167626628652215,-0.023807554389350116,0.0004092704424510632,1223.0,-2.279446088235294
1262,84,43008,34,0.017522085,0.9982351660728455,-43.921985268592834,-0.028147609904408455,-7.281282424926758,1328,0.2,0.2103271484375,0.014665109032648616,-0.02489694427640643,0.0004092704424510632,1223.0,-2.2792370571428573
1262,85,43520,34,0.017659023,0.9975636005401611,-43.86679768562317,0.027792885899543762,0.026927649974822998,1344,0.2,0.2327880859375,0.21897600777447224,-0.019888136710505933,0.0004092704424510632,1223.0,-2.2792370571428573
1262,86,44032,34,0.0166637,0.9985918402671814,-43.87233233451843,-0.038713861256837845,-1.017988681793213,1360,0.2,0.2113037109375,0.010548366451985203,-0.025470002641668543,0.0004092704424510632,1223.0,-2.2829630277777775
1261,87,44544,35,0.01216799,0.9991022944450378,-43.9029301404953,0.06280933320522308,0.37559711933135986,1376,0.2,0.103759765625,0.21103911334648728,-0.014816650102147833,0.0004092704424510632,1223.0,-2.2829630277777775
1261,88,45056,35,0.017953198,0.9982338547706604,-43.89370095729828,-0.026942478492856026,-0.7523096799850464,1392,0.2,0.2222900390625,0.010263616350130178,-0.02261560712940991,0.0004092704424510632,1223.0,-2.2829630277777775
1262,89,45568,36,0.02120106,0.9972999691963196,-43.86850678920746,-0.044759705662727356,-0.18025052547454834,1408,0.2,0.266357421875,0.002930557879153639,-0.02874938730383292,0.0004092704424510632,1223.0,-2.2790795945945943
1262,90,46080,36,0.013024825,0.9970791339874268,-43.854512095451355,0.03180110454559326,0.12860500812530518,1424,0.2,0.125,0.22041387669742107,-0.01803638384444639,0.0004092704424510632,1223.0,-2.2790795945945943
1262,91,46592,36,0.019443152,0.9973690509796143,-43.852707624435425,-0.028985509648919106,-3.0391035079956055,1440,0.2,0.2554931640625,0.01582546971621923,-0.02434391312999651,0.0004092704424510632,1223.0,-2.2795836578947366
1262,92,47104,37,0.014259976,0.9972111582756042,-43.86193096637726,0.036781731992959976,0.08150690793991089,1456,0.2,0.1405029296875,0.31508618080988526,-0.020844289523665793,0.0004092704424510632,1223.0,-2.2795836578947366
1261,93,47616,37,0.019481504,0.9976360201835632,-43.86156868934631,-0.02979731373488903,-0.5008816719055176,1472,0.2,0.1973876953125,0.03411598067032173,-0.02458550891606137,0.0004092704424510632,1223.0,-2.2795836578947366
1261,94,48128,38,0.020911872,0.9987607598304749,-43.88499164581299,-0.03102691099047661,-1.608259916305542,1488,0.2,0.2537841796875,0.012133827491197735,-0.026189897253061645,0.0004092704424510632,1223.0,-2.279712205128205
1261,95,48640,38,0.01726947,0.9988617897033691,-43.90841066837311,0.010823821648955345,0.06750023365020752,1504,0.2,0.1971435546875,0.2016703167464584,-0.021037843165686354,0.0004092704424510632,1223.0,-2.279712205128205
1261,96,49152,38,0.016923372,0.9987466931343079,-43.90162754058838,-0.02278420887887478,-6.932154178619385,1520,0.2,0.2076416015625,0.022194388380739838,-0.02441532164812088,0.0004092704424510632,1223.0,-2.2765272
1261,97,49664,39,0.023513947,0.998466968536377,-43.90068876743317,0.012707732617855072,0.03238493204116821,1536,0.2,0.2318115234375,0.22904646256938577,-0.020885820646071807,0.0004092704424510632,1223.0,-2.2765272
1261,98,50176,39,0.023980528,0.9985896348953247,-43.89841055870056,-0.02811887301504612,-2.2679905891418457,1552,0.2,0.201171875,0.028840865765232593,-0.023119981822674163,0.0004092704424510632,1223.0,-2.2793789268292683
1261,99,50688,40,0.014559926,0.998266875743866,-43.89123785495758,0.026625920087099075,0.17145466804504395,1568,0.2,0.153076171875,0.2096991592552513,-0.020378616376547143,0.0004092704424510632,1223.0,-2.2793789268292683
1261,100,51200,40,0.016425986,1.0009660720825195,-43.9184445142746,-0.03608855605125427,-0.5132251977920532,1584,0.2,0.25048828125,0.008621697779744864,-0.025678878708276898,0.0004092704424510632,1223.0,-2.2793789268292683
1260,101,51712,41,0.022231942,0.9985485076904297,-43.94723892211914,-0.0370197631418705,0.053670644760131836,1600,0.2,0.2894287109375,0.0031814993744774256,-0.029912358251749538,0.0004092704424510632,1223.0,-2.2839051904761907
1260,102,52224,41,0.014965571,0.9974879026412964,-43.870197892189026,0.01728229597210884,0.08712631464004517,1616,0.2,0.0963134765625,0.23713631159625947,-0.016527541607501917,0.0004092704424510632,1223.0,-2.2839051904761907
1260,103,52736,41,0.01754026,0.9964335560798645,-43.843422651290894,-0.029928620904684067,-4.441272258758545,1632,0.2,0.1837158203125,0.02819488543900661,-0.0203204020508565,0.0004092704424510632,1223.0,-2.281909953488372
1260,104,53248,42,0.012370254,0.9958983063697815,-43.811896562576294,0.03387432545423508,0.07106238603591919,1648,0.2,0.09228515625,0.2609891651663929,-0.014452822229941376,0.0004092704424510632,1223.0,-2.281909953488372
1260,105,53760,42,0.018521547,0.9948569536209106,-43.79000914096832,-0.017733396962285042,0.053643226623535156,1664,0.2,0.247314453125,0.03517151129199192,-0.025894685910316184,0.0004092704424510632,1223.0,-2.281909953488372
1260,106,54272,43,0.015818898,0.9949228763580322,-43.762744784355164,-0.027880363166332245,-0.30734241008758545,1680,0.2,0.220947265625,0.030861113918945193,-0.02400885909446515,0.0004092704424510632,1223.0,-2.2844871363636368
1260,107,54784,43,0.026936483,0.9951287508010864,-43.774803042411804,0.0025487132370471954,0.571970522403717,1696,0.2,0.2293701171875,0.0987630495801568,-0.02998815826140344,0.0004092704424510632,1223.0,-2.2844871363636368
1260,108,55296,43,0.019852009,0.9944397807121277,-43.76018500328064,-0.03373563662171364,-6.388459205627441,1712,0.2,0.19970703125,0.025484093523118645,-0.021598860825179145,0.0004092704424510632,1223.0,-2.2861156444444446
1259,109,55808,44,0.037126254,0.9931619167327881,-43.72498083114624,0.013236373662948608,0.015326738357543945,1728,0.2,0.2977294921875,0.3030951578402892,-0.02121264470042661,0.0004092704424510632,1223.0,-2.2861156444444446
1259,110,56320,44,0.018008888,0.9929672479629517,-43.7046822309494,-0.020792128518223763,-1.4761896133422852,1744,0.2,0.1827392578125,0.02794346632435918,-0.021025542650022544,0.0004092704424510632,1223.0,-2.2858555434782613
1259,111,56832,45,0.014694607,0.9925411939620972,-43.698543310165405,0.01663939841091633,0.22351163625717163,1760,0.2,0.1424560546875,0.18084552069194615,-0.01746855874080211,0.0004092704424510632,1223.0,-2.2858555434782613
1259,112,57344,45,0.018317984,0.9927729964256287,-43.69208371639252,-0.03021985851228237,-0.608184814453125,1776,0.2,0.2459716796875,0.005887087172595784,-0.024127510492689908,0.0004092704424510632,1223.0,-2.2858555434782613
1259,113,57856,45,0.01694446,0.9907638430595398,-43.67875099182129,-0.030534790828824043,0.013304173946380615,1792,0.2,0.2232666015625,0.0027623371533991303,-0.024267912638606504,0.0004092704424510632,1223.0,-2.2824454680851067
1259,114,58368,46,0.021628864,0.9898489117622375,-43.61863970756531,0.0005617029964923859,0.03890359401702881,1808,0.2,0.2261962890625,0.24577719904482365,-0.02390548901166767,0.0004092704424510632,1223.0,-2.2824454680851067
1259,115,58880,46,0.019896358,0.9885737299919128,-43.59502899646759,-0.02704104408621788,-5.392533779144287,1824,0.2,0.17578125,0.030353805603226647,-0.022801288949267473,0.0004092704424510632,1223.0,-2.2815494375
1259,116,59392,47,0.01757976,0.9875953793525696,-43.54906928539276,-0.002573292702436447,0.053814589977264404,1840,0.2,0.21875,0.21884320653043687,-0.024426651471003424,0.0004092704424510632,1223.0,-2.2815494375
1259,117,59904,47,0.017591752,0.988083004951477,-43.54000961780548,-0.04222775623202324,-1.141045093536377,1856,0.2,0.2537841796875,0.0129340915591456,-0.03319770203961525,0.0004092704424510632,1223.0,-2.2815494375
1258,118,60416,47,0.019353956,0.9891379475593567,-43.57099151611328,-0.025989433750510216,0.5525704622268677,1872,0.2,0.2574462890625,0.019914486270863563,-0.028293472809309606,0.0004092704424510632,1223.0,-2.283723020408163
1258,119,60928,48,0.030030988,0.9889615178108215,-43.58067345619202,-0.007883261889219284,0.5183209180831909,1888,0.2,0.241943359375,0.08189736446365714,-0.026144376635784283,0.0004092704424510632,1223.0,-2.283723020408163
1258,120,61440,48,0.02494329,0.9888809323310852,-43.58152437210083,-0.04621368646621704,-6.236783504486084,1904,0.2,0.2911376953125,0.01206961993011646,-0.029463455866789445,0.0004092704424510632,1223.0,-2.2825900199999998
1258,121,61952,49,0.015394571,0.9892669320106506,-43.5810683965683,0.021969377994537354,0.0604093074798584,1920,0.2,0.238037109375,0.24004210741259158,-0.01893378287786618,0.0004092704424510632,1223.0,-2.2825900199999998
1258,122,62464,49,0.016940162,0.9888743162155151,-43.579906821250916,-0.016447830945253372,-2.5684375762939453,1936,0.2,0.2008056640625,0.017556388513185084,-0.022063305892515928,0.0004092704424510632,1223.0,-2.2822062745098037
1258,123,62976,50,0.014922351,0.9887265563011169,-43.568464517593384,0.03242906555533409,0.21574753522872925,1952,0.2,0.1370849609375,0.2035325493197888,-0.019728687140741386,0.0004092704424510632,1223.0,-2.2822062745098037
1257,124,63488,50,0.0187902,0.9861298203468323,-43.53714299201965,-0.030987434089183807,-1.137786626815796,1968,0.2,0.2734375,0.005736476778110955,-0.024308369116624817,0.0004092704424510632,1223.0,-2.2822062745098037
1257,125,64000,50,0.0155596705,0.9859604835510254,-43.468265771865845,-0.030735090374946594,-0.20792174339294434,1984,0.2,0.2420654296875,0.004192713393422309,-0.022015576527337544,0.0004092704424510632,1223.0,-2.2859888846153846
1257,126,64512,51,0.017490529,0.9862449169158936,-43.48521947860718,-0.010517682880163193,0.1318051815032959,2000,0.2,0.126708984375,0.20101983391214162,-0.02152028000273276,0.0004092704424510632,1223.0,-2.2859888846153846
1257,127,65024,51,0.019532682,0.9836240410804749,-43.45266938209534,-0.04369659349322319,-5.796370029449463,2016,0.2,0.2642822265625,0.017191119986819103,-0.0344447719398886,0.0004092704424510632,1223.0,-2.2850311698113206
1257,128,65536,52,0.012656892,0.9829863905906677,-43.38860023021698,0.023325175046920776,0.06698834896087646,2032,0.2,0.0880126953125,0.289524391759187,-0.014333172468468547,0.0004092704424510632,1223.0,-2.2850311698113206
1257,129,66048,52,0.018197801,0.9833511710166931,-43.39082384109497,-0.023470846936106682,-1.6138343811035156,2048,0.2,0.1937255859375,0.019671738264150918,-0.023742970981402323,0.0004092704424510632,1223.0,-2.2852077037037035
