time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/clip_range,train/entropy_loss,train/std,train/value_loss,train/policy_gradient_loss,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
77312,1583,1,4,0.0004092704424510632,0.2,-42.4185836315155,0.9550008177757263,0.5252003977075219,-0.020288288666051812,0.09350043535232544,0.019352768,0.1085205078125,2400,0.2659910321235657,-2.4216751311475404,1257.0
77824,1523,1,5,0.0004092704424510632,0.2,-42.410924434661865,0.9543737173080444,0.029334494553040713,-0.019775718654273078,-0.01746731624007225,0.015553581,0.200927734375,2416,-1.544898271560669,-2.4216751311475404,1257.0
78336,1480,2,6,0.0004092704424510632,0.2,-42.396915555000305,0.9548079967498779,0.004367781795735937,-0.024097390662063845,-0.034193310886621475,0.0232173,0.2421875,2432,0.060103654861450195,-2.4182759838709673,1257.0
78848,1454,2,7,0.0004092704424510632,0.2,-42.41744804382324,0.955162763595581,0.49057312961667776,-0.014974192483350635,0.09348034113645554,0.016024321,0.0760498046875,2448,0.2698075771331787,-2.4182759838709673,1257.0
79360,1435,2,8,0.0004092704424510632,0.2,-42.39280068874359,0.9526652097702026,0.01889495554496534,-0.022529671754455194,-0.03221867233514786,0.016308801,0.2232666015625,2464,-5.360505104064941,-2.4167508888888882,1257.0
79872,1420,3,9,0.0004092704424510632,0.2,-42.3259220123291,0.9520828127861023,0.6164567633531988,-0.016005669174774084,0.1265229731798172,0.016238919,0.1087646484375,2480,0.08355891704559326,-2.4167508888888882,1257.0
80384,1410,3,10,0.0004092704424510632,0.2,-42.33733141422272,0.9531183838844299,0.016609569953288883,-0.026955784735037014,-0.03063534013926983,0.023626357,0.275146484375,2496,-1.5942027568817139,-2.4167508888888882,1257.0
80896,1402,4,11,0.0004092704424510632,0.2,-42.35047006607056,0.9526012539863586,0.005390343256294727,-0.03252095147036016,-0.052120983600616455,0.020116895,0.2625732421875,2512,0.015540063381195068,-2.4129920937500002,1257.0
81408,1394,4,12,0.0004092704424510632,0.2,-42.32640242576599,0.9521839618682861,0.48731554625555873,-0.010511667773243971,0.07637256383895874,0.012115206,0.123046875,2528,0.24062305688858032,-2.4129920937500002,1257.0
81920,1388,4,13,0.0004092704424510632,0.2,-42.28435409069061,0.9493404030799866,0.029515899426769465,-0.024416472908342257,-0.027735548093914986,0.020018982,0.2686767578125,2544,-5.519055366516113,-2.4138976615384617,1257.0
82432,1384,5,14,0.0004092704424510632,0.2,-42.20235192775726,0.9481987953186035,0.6838985830545425,-0.0181110031917342,0.1166982501745224,0.016489653,0.103271484375,2560,0.11698973178863525,-2.4138976615384617,1257.0
82944,1380,5,15,0.0004092704424510632,0.2,-42.205861926078796,0.9494536519050598,0.01814651137101464,-0.02540564573428128,-0.038065239787101746,0.021931402,0.2640380859375,2576,-1.4491117000579834,-2.4138976615384617,1257.0
83456,1376,5,16,0.0004092704424510632,0.2,-42.2381854057312,0.9498233795166016,0.23109924560412765,-0.018568710147519596,0.05120649188756943,0.01877335,0.172119140625,2592,0.3555169701576233,-2.413108560606061,1257.0
83968,1373,6,17,0.0004092704424510632,0.2,-42.241568207740784,0.9497002363204956,0.08040713216178119,-0.02476674375066068,-0.014121761545538902,0.03768806,0.2979736328125,2608,0.8269239664077759,-2.413108560606061,1257.0
84480,1370,6,18,0.0004092704424510632,0.2,-42.24586319923401,0.9503047466278076,0.012555272289318964,-0.025259177054977044,-0.030747581273317337,0.02102636,0.259033203125,2624,-2.1398754119873047,-2.4112069850746276,1257.0
84992,1368,7,19,0.0004092704424510632,0.2,-42.264111280441284,0.9503268003463745,0.6095230332575738,-0.018318059825105593,0.14984573423862457,0.014129134,0.118896484375,2640,0.2214202880859375,-2.4112069850746276,1257.0
85504,1365,7,20,0.0004092704424510632,0.2,-42.267492055892944,0.9502638578414917,0.01019254734274,-0.02673114842036739,-0.0388934463262558,0.017281922,0.243896484375,2656,-2.01533842086792,-2.4084394558823536,1257.0
86016,1363,7,21,0.0004092704424510632,0.2,-42.26100516319275,0.9495864510536194,0.5885242884978652,-0.015313160940422677,0.1570710688829422,0.016838845,0.0933837890625,2672,0.3376343846321106,-2.4084394558823536,1257.0
86528,1361,8,22,0.0004092704424510632,0.2,-42.25253713130951,0.9503047466278076,0.016499554592883214,-0.020456034399103373,-0.0230703204870224,0.015580588,0.18896484375,2688,-2.8759148120880127,-2.4084394558823536,1257.0
87040,1359,8,23,0.0004092704424510632,0.2,-42.27704107761383,0.9509111046791077,0.004315316735301167,-0.02970588448806666,-0.051129408180713654,0.0242236,0.3172607421875,2704,-0.04917585849761963,-2.408610405797102,1257.0
87552,1358,9,24,0.0004092704424510632,0.2,-42.29357898235321,0.9513384699821472,0.5237528635188937,-0.017058051365893334,0.11776435375213623,0.018115591,0.1278076171875,2720,0.17927449941635132,-2.408610405797102,1257.0
88064,1356,9,25,0.0004092704424510632,0.2,-42.28911650180817,0.9504307508468628,0.016344226809451357,-0.02790268583339639,-0.04106392711400986,0.023501601,0.3319091796875,2736,-1.8330307006835938,-2.4064274571428577,1257.0
88576,1354,9,26,0.0004092704424510632,0.2,-42.26194226741791,0.9502319097518921,0.6249496284872293,-0.010063152338261716,0.10707633197307587,0.013322568,0.07666015625,2752,0.15886706113815308,-2.4064274571428577,1257.0
89088,1353,10,27,0.0004092704424510632,0.2,-42.26987946033478,0.9508534073829651,0.022617579059442505,-0.026715708037954755,-0.0313539057970047,0.021997483,0.2701416015625,2768,-1.1848547458648682,-2.4064274571428577,1257.0
89600,1352,10,28,0.0004092704424510632,0.2,-42.302098989486694,0.952087938785553,0.004050115880090743,-0.025440099474508315,-0.035846538841724396,0.014836121,0.24365234375,2784,-0.3304539918899536,-2.4027072253521133,1257.0
90112,1351,10,29,0.0004092704424510632,0.2,-42.32187867164612,0.9520240426063538,0.5623570294119418,-0.01064273931842763,0.13855446875095367,0.013782678,0.068115234375,2800,0.25604718923568726,-2.4027072253521133,1257.0
90624,1348,11,30,0.0004092704424510632,0.2,-42.30646204948425,0.951179563999176,0.01688300576643087,-0.024300221557496116,-0.03379631042480469,0.016059078,0.2366943359375,2816,-4.967179775238037,-2.4027838888888886,1257.0
91136,1347,11,31,0.0004092704424510632,0.2,-42.287766098976135,0.9510537385940552,0.648628362454474,-0.015665783488657326,0.06906203925609589,0.014718404,0.0999755859375,2832,0.2053723931312561,-2.4027838888888886,1257.0
91648,1346,12,32,0.0004092704424510632,0.2,-42.28448271751404,0.9508308172225952,0.03495829016901553,-0.020760005136253312,-0.021396689116954803,0.016886584,0.1785888671875,2848,-1.1065342426300049,-2.4027838888888886,1257.0
92160,1345,12,33,0.0004092704424510632,0.2,-42.27343928813934,0.9503236413002014,0.0074362055893288925,-0.0297461951704463,-0.03703644126653671,0.02153638,0.2967529296875,2864,-0.10189175605773926,-2.3996112876712328,1257.0
92672,1344,12,34,0.0004092704424510632,0.2,-42.255759477615356,0.950183093547821,0.5084849889390171,-0.015358237811597064,0.0986766517162323,0.011450217,0.0751953125,2880,0.3217535614967346,-2.3996112876712328,1257.0
93184,1343,13,35,0.0004092704424510632,0.2,-42.24159550666809,0.9490846395492554,0.024237893434474245,-0.025775004673050717,-0.027575861662626266,0.016041894,0.203125,2896,-4.350431442260742,-2.399789905405405,1257.0
93696,1342,13,36,0.0004092704424510632,0.2,-42.218318819999695,0.9487482905387878,0.6738827563822269,-0.019770913873799145,0.09465695172548294,0.015257125,0.111572265625,2912,0.08740103244781494,-2.399789905405405,1257.0
94208,1341,14,37,0.0004092704424510632,0.2,-42.20667362213135,0.9487156867980957,0.021611347096040845,-0.02298248048464302,-0.015199244022369385,0.02110966,0.23779296875,2928,-2.3987927436828613,-2.399789905405405,1257.0
94720,1341,14,38,0.0004092704424510632,0.2,-42.20261359214783,0.9484712481498718,0.005675623724528123,-0.022459655607235618,-0.03925030305981636,0.015369259,0.2099609375,2944,0.07591485977172852,-2.3982139199999994,1257.0
95232,1340,14,39,0.0004092704424510632,0.2,-42.18699550628662,0.9483656883239746,0.6467323517426848,-0.016126911810715683,0.06749285757541656,0.012926055,0.0999755859375,2960,0.2827429175376892,-2.3982139199999994,1257.0
95744,1340,15,40,0.0004092704424510632,0.2,-42.19113886356354,0.9489735960960388,0.021683471626602113,-0.019292920485895593,-0.01627763733267784,0.014752846,0.17138671875,2976,-4.659341812133789,-2.399198434210526,1257.0
96256,1339,15,41,0.0004092704424510632,0.2,-42.20220375061035,0.9489047527313232,0.5723362751305103,-0.009564477717503905,0.1464482545852661,0.0110054,0.04833984375,2992,0.3026605248451233,-2.399198434210526,1257.0
96768,1339,16,42,0.0004092704424510632,0.2,-42.21117055416107,0.950243353843689,0.022175224061356857,-0.023013464553514495,-0.019734496250748634,0.020064637,0.2210693359375,3008,-1.3254730701446533,-2.399198434210526,1257.0
97280,1338,16,43,0.0004092704424510632,0.2,-42.23673367500305,0.9495814442634583,0.12246689922176301,-0.02087448787642643,0.019747015088796616,0.018582601,0.1986083984375,3024,0.4004281759262085,-2.398284272727272,1257.0
97792,1338,16,44,0.0004092704424510632,0.2,-42.19885504245758,0.9486857652664185,0.08704251766903326,-0.023604037196491845,-0.02401995286345482,0.03184142,0.2392578125,3040,0.7730553150177002,-2.398284272727272,1257.0
98304,1338,17,45,0.0004092704424510632,0.2,-42.21220076084137,0.9508267045021057,0.01725288075977005,-0.030424910015426576,-0.03780264034867287,0.024477957,0.285400390625,3056,-2.262824773788452,-2.4006379358974357,1257.0
98816,1338,17,46,0.0004092704424510632,0.2,-42.27594316005707,0.9518426060676575,0.5696188556030393,-0.013839976469171233,0.13638031482696533,0.0122766225,0.0694580078125,3072,0.2851218581199646,-2.4006379358974357,1257.0
99328,1337,17,47,0.0004092704424510632,0.2,-42.285070180892944,0.952191948890686,0.023025721835438162,-0.026318068339605816,-0.025807855650782585,0.015928037,0.238525390625,3088,-2.5560457706451416,-2.4003043544303795,1257.0
99840,1336,18,48,0.0004092704424510632,0.2,-42.2829532623291,0.9517225623130798,0.5035776952281594,-0.019064745865762234,0.17406658828258514,0.019075833,0.1572265625,3104,0.5089390277862549,-2.4003043544303795,1257.0
100352,1335,18,49,0.0004092704424510632,0.2,-42.273486971855164,0.9523003101348877,0.06471920514013618,-0.024047774844802916,5.821883678436279e-05,0.01697475,0.233154296875,3120,-1.4177908897399902,-2.4003043544303795,1257.0
100864,1335,19,50,0.0004092704424510632,0.2,-42.263466358184814,0.9507830142974854,0.0035826322782668285,-0.02903986045566853,-0.041888587176799774,0.02112272,0.2821044921875,3136,-0.012654542922973633,-2.3979851500000002,1257.0
101376,1334,19,51,0.0004092704424510632,0.2,-42.220505595207214,0.9504934549331665,0.6217869794927537,-0.013835216392180882,0.07732601463794708,0.01621595,0.099609375,3152,0.11354213953018188,-2.3979851500000002,1257.0
101888,1334,19,52,0.0004092704424510632,0.2,-42.23336112499237,0.9511386752128601,0.01786951260874048,-0.029381570842815563,-0.034195318818092346,0.021878641,0.2923583984375,3168,-2.4103341102600098,-2.397807654320988,1257.0
102400,1334,20,53,0.0004092704424510632,0.2,-42.248374819755554,0.9512814879417419,0.523917687125504,-0.018829679960617796,0.11496473848819733,0.019210527,0.1209716796875,3184,0.2946963906288147,-2.397807654320988,1257.0
102912,1334,20,54,0.0004092704424510632,0.2,-42.28310966491699,0.9541648030281067,0.017841937544289976,-0.028415695764124393,-0.036047253757715225,0.0175373,0.275390625,3200,-1.9654674530029297,-2.397807654320988,1257.0
103424,1333,21,55,0.0004092704424510632,0.2,-42.3659907579422,0.9557183384895325,0.004576566600007936,-0.03064129955600947,-0.04017655551433563,0.02267052,0.3076171875,3216,-0.03515934944152832,-2.3976173780487806,1257.0
103936,1333,21,56,0.0004092704424510632,0.2,-42.3794447183609,0.9554827213287354,0.7205932470969856,-0.010939769868855365,0.09779779613018036,0.011130263,0.04541015625,3232,0.21722275018692017,-2.3976173780487806,1257.0
