time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/entropy_loss,train/std,train/loss,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/n_updates,train/value_loss,train/clip_range,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
1300,33,12,16896,-43.40664076805115,0.9813703894615173,0.04119247943162918,-0.02345810501719825,1.8596649169921875e-05,0.015020536,0.0004092704424510632,512,0.1834723288193345,0.2,0.200927734375,1257.0,-3.061819923076923
1299,34,13,17408,-43.326964139938354,0.9782699346542358,-0.02835012599825859,-0.024315361297340132,-0.011438250541687012,0.018505067,0.0004092704424510632,528,0.0031566757716063876,0.2,0.21923828125,1257.0,-3.061819923076923
1298,35,13,17920,-43.27137219905853,0.9789677262306213,-0.03269675374031067,-0.02760151293477975,0.0006362795829772949,0.01994576,0.0004092704424510632,544,0.004635251287254505,0.2,0.256103515625,1257.0,-3.0575965000000003
1297,36,14,18432,-43.326932191848755,0.9809795618057251,0.061496153473854065,-0.025640099942393135,0.00011688470840454102,0.027642839,0.0004092704424510632,560,0.2168782684020698,0.2,0.232421875,1257.0,-3.0575965000000003
1295,37,14,18944,-43.34301149845123,0.979792058467865,-0.03663141652941704,-0.028891062567709014,0.004749417304992676,0.023301475,0.0004092704424510632,576,0.005032173932704609,0.2,0.2772216796875,1257.0,-3.0585636000000003
1294,38,15,19456,-43.29420852661133,0.9784477353096008,0.07297482341527939,-0.027747486426960677,7.063150405883789e-05,0.026346613,0.0004092704424510632,592,0.2174381297081709,0.2,0.2581787109375,1257.0,-3.0585636000000003
1293,39,15,19968,-43.251973390579224,0.9771153926849365,-0.034985411912202835,-0.022473593562608585,-0.003885626792907715,0.014355347,0.0004092704424510632,608,0.0029621502399095334,0.2,0.2103271484375,1257.0,-3.0585636000000003
1292,40,15,20480,-43.2281368970871,0.9777946472167969,-0.04064764827489853,-0.027897837513592094,1.615285873413086e-05,0.024324702,0.0004092704424510632,624,0.0025966407993109897,0.2,0.2462158203125,1257.0,-3.0479267500000002
1292,41,16,20992,-43.24738800525665,0.9773316979408264,0.09863978624343872,-0.022648210055194795,0.0001125335693359375,0.018685762,0.0004092704424510632,640,0.22605246538296342,0.2,0.2183837890625,1257.0,-3.0479267500000002
1292,42,16,21504,-43.25448000431061,0.9787685871124268,-0.02874038740992546,-0.027931469929171726,-0.004629731178283691,0.020662295,0.0004092704424510632,656,0.005684168019797653,0.2,0.2403564453125,1257.0,-3.044452
1292,43,17,22016,-43.26678824424744,0.977185070514679,0.06981556862592697,-0.024386767705436796,0.00021719932556152344,0.017861042,0.0004092704424510632,672,0.22616795962676406,0.2,0.2275390625,1257.0,-3.044452
1289,44,17,22528,-43.225205063819885,0.9775553345680237,-0.02740255370736122,-0.02465838543139398,-0.022228002548217773,0.016552001,0.0004092704424510632,688,0.004806721975910477,0.2,0.22607421875,1257.0,-3.044452
1288,45,17,23040,-43.24154281616211,0.9772361516952515,-0.03301480785012245,-0.02188289409969002,-0.0015304088592529297,0.017440215,0.0004092704424510632,704,0.0027235683010076173,0.2,0.2137451171875,1257.0,-3.0371584444444446
1288,46,18,23552,-43.233274936676025,0.977341890335083,0.08149632066488266,-0.02844479790655896,0.0003275275230407715,0.021829326,0.0004092704424510632,720,0.24369069514796138,0.2,0.22900390625,1257.0,-3.0371584444444446
1287,47,18,24064,-43.236512541770935,0.9769732356071472,-0.03544376417994499,-0.026856967364437878,-0.013119935989379883,0.01940504,0.0004092704424510632,736,0.007066528589348309,0.2,0.2392578125,1257.0,-3.0283756842105265
1287,48,19,24576,-43.216410636901855,0.9761068224906921,0.08634055405855179,-0.02143399912165478,0.00047010183334350586,0.014734992,0.0004092704424510632,752,0.21828502137213945,0.2,0.2138671875,1257.0,-3.0283756842105265
1286,49,19,25088,-43.198349595069885,0.9765641093254089,-0.03708195313811302,-0.025002901151310652,-0.02271449565887451,0.020095674,0.0004092704424510632,768,0.005118667962960899,0.2,0.2437744140625,1257.0,-3.0283756842105265
1286,50,19,25600,-43.21046435832977,0.9761191606521606,-0.045912861824035645,-0.02467593138862867,0.001128852367401123,0.016666465,0.0004092704424510632,784,0.0023491597930842545,0.2,0.22998046875,1257.0,-3.0201376
1286,51,20,26112,-43.17378604412079,0.9746066331863403,0.0713665783405304,-0.026086348545504734,0.00014603137969970703,0.02679013,0.0004092704424510632,800,0.22594512347131968,0.2,0.2498779296875,1257.0,-3.0201376
1286,52,20,26624,-43.169660806655884,0.9769036769866943,-0.030427539721131325,-0.02390902268962236,-0.05514538288116455,0.018579725,0.0004092704424510632,816,0.0031117653925321065,0.2,0.2291259765625,1257.0,-3.0210757142857143
1286,53,21,27136,-43.23796308040619,0.9776415228843689,0.09616503119468689,-0.027506621365319006,8.130073547363281e-05,0.026054775,0.0004092704424510632,832,0.26128636859357357,0.2,0.2579345703125,1257.0,-3.0210757142857143
1285,54,21,27648,-43.24092245101929,0.9775496125221252,-0.05453897640109062,-0.031262346616131254,-0.0008370876312255859,0.020475034,0.0004092704424510632,848,0.005513310636160895,0.2,0.268798828125,1257.0,-3.0210757142857143
1285,55,21,28160,-43.22806012630463,0.9766986966133118,-0.043208952993154526,-0.03093633073149249,-0.0001804828643798828,0.02023536,0.0004092704424510632,864,0.0018389523811492836,0.2,0.271484375,1257.0,-3.0190290909090907
1285,56,22,28672,-43.21731913089752,0.9773224592208862,0.038151200860738754,-0.02261887287022546,1.9609928131103516e-05,0.053393774,0.0004092704424510632,880,0.07946790776622947,0.2,0.336669921875,1257.0,-3.0190290909090907
1285,57,22,29184,-43.25516200065613,0.9790301322937012,-0.04360309988260269,-0.031325848249252886,0.00026553869247436523,0.029637551,0.0004092704424510632,896,0.005944021460891236,0.2,0.304443359375,1257.0,-3.0278203478260868
1284,58,23,29696,-43.30769765377045,0.980186939239502,0.10707481950521469,-0.02881442676880397,4.601478576660156e-05,0.025668118,0.0004092704424510632,912,0.3092005089856684,0.2,0.2620849609375,1257.0,-3.0278203478260868
1284,59,23,30208,-43.31876063346863,0.9793897867202759,-0.03089035488665104,-0.026865169289521873,0.00016695261001586914,0.020156503,0.0004092704424510632,928,0.0064058064162964,0.2,0.225341796875,1257.0,-3.0248077916666674
1284,60,23,30720,-43.31044089794159,0.9801119565963745,0.0813734382390976,-0.02331664458324667,-6.556510925292969e-06,0.019282956,0.0004092704424510632,944,0.28016079822555184,0.2,0.205078125,1257.0,-3.0248077916666674
1284,61,24,31232,-43.30497348308563,0.9780914187431335,-0.03756857290863991,-0.022669335739919916,-4.100799560546875e-05,0.017567959,0.0004092704424510632,960,0.0026817519283213187,0.2,0.2315673828125,1257.0,-3.0248077916666674
1284,62,24,31744,-43.23441183567047,0.9771444201469421,-0.03254598751664162,-0.026802675682120025,3.695487976074219e-05,0.0184242,0.0004092704424510632,976,0.004345666209701449,0.2,0.213623046875,1257.0,-3.011860720000001
1284,63,25,32256,-43.210232734680176,0.9755008816719055,0.12001727521419525,-0.021998664451530203,2.3484230041503906e-05,0.021474533,0.0004092704424510632,992,0.28885159734636545,0.2,0.2283935546875,1257.0,-3.011860720000001
1285,64,25,32768,-43.164520382881165,0.9751449227333069,-0.02830107882618904,-0.018868180035497062,0.000863194465637207,0.01336511,0.0004092704424510632,1008,0.005271877504128497,0.2,0.1846923828125,1257.0,-3.004496000000001
1285,65,25,33280,-43.15891087055206,0.9748433828353882,0.11562219262123108,-0.024566822838096414,7.766485214233398e-05,0.021437079,0.0004092704424510632,1024,0.283728011418134,0.2,0.2176513671875,1257.0,-3.004496000000001
1285,66,26,33792,-43.13567578792572,0.9734591841697693,-0.043402206152677536,-0.025941286789020523,-0.0018031597137451172,0.018831164,0.0004092704424510632,1040,0.0026766233931994066,0.2,0.24169921875,1257.0,-3.004496000000001
1285,67,26,34304,-43.095311641693115,0.9727622270584106,-0.030477548018097878,-0.028294086834648624,-0.0005252361297607422,0.022797553,0.0004092704424510632,1056,0.0030156068460200913,0.2,0.2408447265625,1257.0,-3.0048244074074084
1285,68,27,34816,-43.07528376579285,0.9722026586532593,0.09852448850870132,-0.02817781770863803,4.220008850097656e-05,0.023715243,0.0004092704424510632,1072,0.2921802308410406,0.2,0.248291015625,1257.0,-3.0048244074074084
1285,69,27,35328,-43.07574737071991,0.9729264974594116,-0.03444918617606163,-0.023726012354018167,-0.0020447969436645508,0.018187098,0.0004092704424510632,1088,0.005815551150590181,0.2,0.2178955078125,1257.0,-3.0088640714285724
1285,70,27,35840,-43.07013535499573,0.9714152812957764,0.12499319016933441,-0.025732593378052115,3.337860107421875e-06,0.021100314,0.0004092704424510632,1104,0.2882383354008198,0.2,0.2508544921875,1257.0,-3.0088640714285724
1285,71,28,36352,-43.01973235607147,0.9705079793930054,-0.04542423412203789,-0.02907258740742691,5.4836273193359375e-05,0.01922011,0.0004092704424510632,1120,0.004316814454796258,0.2,0.262939453125,1257.0,-3.0088640714285724
1285,72,28,36864,-43.0145503282547,0.97100830078125,-0.03237257897853851,-0.020590029220329598,9.357929229736328e-05,0.017060261,0.0004092704424510632,1136,0.002548166761698667,0.2,0.2239990234375,1257.0,-3.0177389655172426
1284,73,29,37376,-43.03601801395416,0.9712852835655212,0.0835292860865593,-0.031665882328525186,4.887580871582031e-06,0.020069484,0.0004092704424510632,1152,0.30054418044164777,0.2,0.29150390625,1257.0,-3.0177389655172426
1284,74,29,37888,-43.02869939804077,0.9709005951881409,-0.03855748474597931,-0.025553242885507643,8.553266525268555e-05,0.01502614,0.0004092704424510632,1168,0.005872907902812585,0.2,0.24169921875,1257.0,-3.020341666666668
1284,75,29,38400,-43.018951058387756,0.9707488417625427,0.09418077766895294,-0.03361221338127507,8.463859558105469e-06,0.020739175,0.0004092704424510632,1184,0.29621366364881396,0.2,0.30322265625,1257.0,-3.020341666666668
1284,76,30,38912,-42.99345374107361,0.9692819118499756,-0.017695201560854912,-0.017676541741820984,4.106760025024414e-05,0.016589116,0.0004092704424510632,1200,0.0045702684874413535,0.2,0.17578125,1257.0,-3.020341666666668
1284,77,30,39424,-42.95842933654785,0.9694393277168274,-0.03719307854771614,-0.027554588625207543,6.186962127685547e-05,0.017951569,0.0004092704424510632,1216,0.0021973361108393874,0.2,0.2452392578125,1257.0,-3.019716741935485
1283,78,31,39936,-42.983200669288635,0.970374345779419,0.0880318433046341,-0.03100759552035015,2.6106834411621094e-05,0.030396571,0.0004092704424510632,1232,0.2974414839409292,0.2,0.303466796875,1257.0,-3.019716741935485
1284,79,31,40448,-42.99889063835144,0.9707066416740417,-0.026240751147270203,-0.027595178922638297,4.4226646423339844e-05,0.019892506,0.0004092704424510632,1248,0.004370884416857734,0.2,0.248046875,1257.0,-3.0233103437500004
1284,80,31,40960,-42.96568846702576,0.9672949910163879,0.08891244232654572,-0.028328650965704583,1.895427703857422e-05,0.024889663,0.0004092704424510632,1264,0.31027889251708984,0.2,0.2515869140625,1257.0,-3.0233103437500004
1283,81,32,41472,-42.877094745635986,0.9665764570236206,-0.035543423146009445,-0.025242764328140765,2.205371856689453e-06,0.019309055,0.0004092704424510632,1280,0.005001632518542465,0.2,0.247314453125,1257.0,-3.0233103437500004
1283,82,32,41984,-42.87419879436493,0.9662761688232422,-0.020028982311487198,-0.02523230214137584,0.0003973841667175293,0.015123559,0.0004092704424510632,1296,0.0022098912704677787,0.2,0.2049560546875,1257.0,-3.0199868181818186
1283,83,33,42496,-42.87057554721832,0.9665069580078125,0.03617836534976959,-0.02159259212203324,2.9921531677246094e-05,0.023931291,0.0004092704424510632,1312,0.12267829035408795,0.2,0.2713623046875,1257.0,-3.0199868181818186
1282,84,33,43008,-42.88954293727875,0.9677296280860901,-0.02327665314078331,-0.02133327492629178,0.0005936026573181152,0.013752073,0.0004092704424510632,1328,0.005149424025148619,0.2,0.19921875,1257.0,-3.025208529411765
1282,85,33,43520,-42.92023015022278,0.9682282209396362,0.11225219070911407,-0.024065418023383245,6.586313247680664e-05,0.018785521,0.0004092704424510632,1344,0.35141958948224783,0.2,0.2176513671875,1257.0,-3.025208529411765
1281,86,34,44032,-42.936824440956116,0.9691178202629089,-0.04282289743423462,-0.025941934261936694,-0.053755760192871094,0.01882724,0.0004092704424510632,1360,0.003595777256123256,0.2,0.230712890625,1257.0,-3.0265197428571433
1281,87,34,44544,-42.974384784698486,0.9711328148841858,0.0911041647195816,-0.02399583358783275,1.3113021850585938e-06,0.023470163,0.0004092704424510632,1376,0.3313537947833538,0.2,0.2532958984375,1257.0,-3.0265197428571433
1281,88,35,45056,-43.031577825546265,0.9723542332649231,-0.02307264693081379,-0.01974543754477054,3.9696693420410156e-05,0.021215897,0.0004092704424510632,1392,0.0032920516714511905,0.2,0.2291259765625,1257.0,-3.0265197428571433
1281,89,35,45568,-43.05359613895416,0.9724802374839783,-0.0275065116584301,-0.024747251765802503,4.9173831939697266e-05,0.016981903,0.0004092704424510632,1408,0.005207397494814359,0.2,0.207763671875,1257.0,-3.020217638888889
1280,90,35,46080,-43.03282952308655,0.971381425857544,0.1382603794336319,-0.02154225554841105,1.0788440704345703e-05,0.020104028,0.0004092704424510632,1424,0.3369319224730134,0.2,0.2396240234375,1257.0,-3.020217638888889
1280,91,36,46592,-43.01227295398712,0.9714646339416504,-0.03380275517702103,-0.023061447718646377,0.00021839141845703125,0.017372511,0.0004092704424510632,1440,0.005647408084769268,0.2,0.218505859375,1257.0,-3.0199509729729734
1280,92,36,47104,-43.01402449607849,0.9709380865097046,0.1532142162322998,-0.021014447294874117,1.531839370727539e-05,0.020079806,0.0004092704424510632,1456,0.3273052694275975,0.2,0.2181396484375,1257.0,-3.0199509729729734
1280,93,37,47616,-43.00394570827484,0.9713853597640991,-0.03895382583141327,-0.02984442366869189,-0.001354217529296875,0.021918494,0.0004092704424510632,1472,0.0033025500270014163,0.2,0.236328125,1257.0,-3.0199509729729734
1280,94,37,48128,-43.01573836803436,0.9715455174446106,-0.03288869559764862,-0.025925014255335554,2.5033950805664062e-05,0.017219909,0.0004092704424510632,1488,0.003038942610146478,0.2,0.2418212890625,1257.0,-3.020958789473685
1280,95,37,48640,-43.02197992801666,0.972027599811554,0.1277184784412384,-0.02507825259817764,2.1278858184814453e-05,0.020052848,0.0004092704424510632,1504,0.3334074644371867,0.2,0.2181396484375,1257.0,-3.020958789473685
1280,96,38,49152,-43.05052447319031,0.9737396836280823,-0.03785370662808418,-0.023527318000560626,0.00032407045364379883,0.01765358,0.0004092704424510632,1520,0.005055766261648387,0.2,0.21630859375,1257.0,-3.01405917948718
1280,97,38,49664,-43.10743689537048,0.9755541086196899,0.1440613865852356,-0.02314282073348295,4.947185516357422e-06,0.017738841,0.0004092704424510632,1536,0.32508572470396757,0.2,0.1893310546875,1257.0,-3.01405917948718
1279,98,39,50176,-43.14678454399109,0.9759632349014282,-0.03508665785193443,-0.027100048289867118,-2.9802322387695312e-05,0.022758015,0.0004092704424510632,1552,0.004362438350653974,0.2,0.25390625,1257.0,-3.01405917948718
1279,99,39,50688,-43.116798520088196,0.9729868173599243,-0.029533376917243004,-0.01789092889521271,-1.895427703857422e-05,0.017553326,0.0004092704424510632,1568,0.0022741312568541616,0.2,0.174560546875,1257.0,-3.010195575
1279,100,40,51200,-43.02781891822815,0.971587061882019,0.13340364396572113,-0.02691073072492145,6.556510925292969e-06,0.018738467,0.0004092704424510632,1584,0.342881977558136,0.2,0.2896728515625,1257.0,-3.010195575
1279,101,40,51712,-43.004969000816345,0.9712967872619629,-0.036838117986917496,-0.037427299917908385,1.0788440704345703e-05,0.020948667,0.0004092704424510632,1600,0.006028948177117854,0.2,0.3427734375,1257.0,-3.0140110975609757
1279,102,40,52224,-43.00811946392059,0.9714279174804688,0.12300439178943634,-0.028336408373434097,1.5139579772949219e-05,0.020219276,0.0004092704424510632,1616,0.3195586446672678,0.2,0.2589111328125,1257.0,-3.0140110975609757
1279,103,41,52736,-43.0053596496582,0.9714757800102234,-0.025330137461423874,-0.020969363584299572,0.0006806850433349609,0.01647916,0.0004092704424510632,1632,0.004303507965232711,0.2,0.207275390625,1257.0,-3.0140110975609757
1279,104,41,53248,-42.98954379558563,0.9697262048721313,-0.03328852728009224,-0.02854631599620916,-2.9921531677246094e-05,0.016041024,0.0004092704424510632,1648,0.0022349943246808834,0.2,0.2489013671875,1257.0,-3.0141160476190474
1279,105,42,53760,-42.950398683547974,0.969718337059021,0.10547119379043579,-0.0222048852883745,5.662441253662109e-06,0.018268645,0.0004092704424510632,1664,0.3107340964488685,0.2,0.2261962890625,1257.0,-3.0141160476190474
1279,106,42,54272,-42.947842478752136,0.9691293239593506,-0.03679368644952774,-0.03222580335568637,-1.7523765563964844e-05,0.022196598,0.0004092704424510632,1680,0.005186065442103427,0.2,0.28125,1257.0,-3.0101214883720933
1279,107,42,54784,-42.900304317474365,0.966874361038208,0.1257946789264679,-0.0220354823541129,7.867813110351562e-06,0.023007732,0.0004092704424510632,1696,0.3158632852137089,0.2,0.2078857421875,1257.0,-3.0101214883720933
1279,108,43,55296,-42.85066366195679,0.9674583673477173,-0.03598004952073097,-0.025014509010361508,-4.601478576660156e-05,0.01698117,0.0004092704424510632,1712,0.0053202452618279494,0.2,0.2314453125,1257.0,-3.0101214883720933
1279,109,43,55808,-42.887614250183105,0.9683019518852234,-0.03606998920440674,-0.02465948370809201,1.5139579772949219e-05,0.019271716,0.0004092704424510632,1728,0.0017102024921769043,0.2,0.220703125,1257.0,-3.0069501136363637
1279,110,44,56320,-42.87974655628204,0.9671489000320435,0.05623357743024826,-0.02342747889633756,1.2159347534179688e-05,0.04249516,0.0004092704424510632,1744,0.1520605239784345,0.2,0.3309326171875,1257.0,-3.0069501136363637
1279,111,44,56832,-42.85398232936859,0.9670581221580505,-0.05900290608406067,-0.02874338142282795,2.586841583251953e-05,0.027241532,0.0004092704424510632,1760,0.006574323051609099,0.2,0.2596435546875,1257.0,-3.007648111111111
1279,112,44,57344,-42.82983577251434,0.9653605222702026,0.13132767379283905,-0.026179251639405265,3.147125244140625e-05,0.023373917,0.0004092704424510632,1776,0.3674472952261567,0.2,0.247802734375,1257.0,-3.007648111111111
1279,113,45,57856,-42.785160422325134,0.9651573300361633,-0.024989238008856773,-0.022242220118641853,-1.1920928955078125e-07,0.017599877,0.0004092704424510632,1792,0.006263674331421498,0.2,0.216552734375,1257.0,-3.0100467173913046
1279,114,45,58368,-42.79680001735687,0.965508759021759,0.15116262435913086,-0.02759919765230734,3.4570693969726562e-06,0.024562893,0.0004092704424510632,1808,0.3410432622767985,0.2,0.291015625,1257.0,-3.0100467173913046
1279,115,46,58880,-42.79305398464203,0.9651964902877808,-0.02406158484518528,-0.022115745072369464,1.5914440155029297e-05,0.022074385,0.0004092704424510632,1824,0.004692612652434036,0.2,0.226806640625,1257.0,-3.0100467173913046
1279,116,46,59392,-42.771140336990356,0.9639254212379456,-0.03876909241080284,-0.026070583815453574,1.537799835205078e-05,0.021165181,0.0004092704424510632,1840,0.005029883832321502,0.2,0.2684326171875,1257.0,-3.0093711702127663
1279,117,46,59904,-42.71981203556061,0.9623521566390991,0.14831149578094482,-0.02644336939556524,5.0067901611328125e-06,0.02387413,0.0004092704424510632,1856,0.3532808041200042,0.2,0.2626953125,1257.0,-3.0093711702127663
1277,118,47,60416,-42.66422939300537,0.9605937600135803,-0.032119523733854294,-0.024155203995178454,-0.0019817352294921875,0.017691005,0.0004092704424510632,1872,0.0050855412482633255,0.2,0.21533203125,1257.0,-3.003672041666667
1275,119,47,60928,-42.60977303981781,0.9590041637420654,0.15473626554012299,-0.027125297761813272,7.152557373046875e-07,0.024238905,0.0004092704424510632,1888,0.3387172296643257,0.2,0.2352294921875,1257.0,-3.003672041666667
1275,120,48,61440,-42.55220091342926,0.9574548006057739,-0.03487583249807358,-0.023768477694829926,1.5795230865478516e-05,0.013753491,0.0004092704424510632,1904,0.004131218433030881,0.2,0.216796875,1257.0,-3.003672041666667
1275,121,48,61952,-42.50332009792328,0.9560988545417786,-0.024031903594732285,-0.02282990238745697,-9.5367431640625e-07,0.02253354,0.0004092704424510632,1920,0.003846696112304926,0.2,0.245849609375,1257.0,-3.0055239387755104
1275,122,48,62464,-42.45959532260895,0.9549963474273682,0.155936136841774,-0.029168105364078656,3.5762786865234375e-07,0.030828709,0.0004092704424510632,1936,0.35428359266370535,0.2,0.273681640625,1257.0,-3.0055239387755104
