time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/std,train/loss,train/n_updates,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
38,126,64512,1667,0.014909154,0.25341796875,0.0004092704424510632,0.2,0.04608029127120972,-0.025463631667662412,-43.69350969791412,0.9936774373054504,-0.03859430551528931,2000,0.003802542880293913,1258.0,-2.1276809411764703
38,127,65024,1670,0.018282544,0.1312255859375,0.0004092704424510632,0.2,0.17149585485458374,-0.017393777903635055,-43.72232162952423,0.9940335750579834,0.031446006149053574,2016,0.3892415431328118,1258.0,-2.1276809411764703
39,128,65536,1672,0.023228843,0.327392578125,0.0004092704424510632,0.2,-1.049227237701416,-0.030706143530551344,-43.744200468063354,0.9955113530158997,-0.03249762952327728,2032,0.026306122541427612,1258.0,-2.1300426153846153
39,129,66048,1674,0.011060831,0.0667724609375,0.0004092704424510632,0.2,0.42775917053222656,-0.010126763983862475,-43.78284180164337,0.9957939386367798,0.09074873477220535,2048,0.4096263232640922,1258.0,-2.1300426153846153
39,130,66560,1676,0.019584984,0.2515869140625,0.0004092704424510632,0.2,-10.166986465454102,-0.02096042947960086,-43.77607548236847,0.9953002333641052,-0.02433578297495842,2064,0.0040447490173392,1258.0,-2.1300426153846153
39,131,67072,1677,0.022961259,0.281005859375,0.0004092704424510632,0.2,0.05092501640319824,-0.026441735040862113,-43.79642581939697,0.9972847700119019,-0.038442645221948624,2080,0.004100017526070587,1258.0,-2.130631886792453
40,132,67584,1678,0.018782917,0.16650390625,0.0004092704424510632,0.2,0.16406792402267456,-0.021993278147419915,-43.83627223968506,0.9970828890800476,0.030861563980579376,2096,0.3947442900389433,1258.0,-2.130631886792453
40,133,68096,1679,0.02379053,0.3287353515625,0.0004092704424510632,0.2,-4.484951972961426,-0.031996724603231996,-43.814889669418335,0.9966559410095215,-0.04225868359208107,2112,0.008631327073089778,1258.0,-2.1289331296296297
40,134,68608,1680,0.024144705,0.159912109375,0.0004092704424510632,0.2,0.21337348222732544,-0.02106373422429897,-43.81504487991333,0.9968680143356323,0.09781332314014435,2128,0.4009151612408459,1258.0,-2.1289331296296297
41,135,69120,1681,0.014229922,0.2117919921875,0.0004092704424510632,0.2,-11.202122688293457,-0.02105380588909611,-43.823445558547974,0.9976516962051392,-0.023520853370428085,2144,0.004676544816902606,1258.0,-2.1289331296296297
41,136,69632,1681,0.022928659,0.28076171875,0.0004092704424510632,0.2,0.08746707439422607,-0.026806507870787755,-43.88749873638153,1.0014784336090088,-0.026536691933870316,2160,0.0033671555283945054,1258.0,-2.1301216363636364
41,137,70144,1682,0.012954807,0.1033935546875,0.0004092704424510632,0.2,0.1943204402923584,-0.017804179631639272,-43.975781083106995,1.0022257566452026,0.04305589571595192,2176,0.40983553719706833,1258.0,-2.1301216363636364
41,138,70656,1682,0.02654723,0.256591796875,0.0004092704424510632,0.2,-0.8815332651138306,-0.02766226200037636,-43.97288155555725,1.0019292831420898,0.017556093633174896,2192,0.1313413365278393,1258.0,-2.1293201964285715
42,139,71168,1683,0.011543304,0.0791015625,0.0004092704424510632,0.2,0.1708037257194519,-0.012317831453401595,-43.95964813232422,1.0012000799179077,0.0490310862660408,2208,0.40903398487716913,1258.0,-2.1293201964285715
42,140,71680,1685,0.015686253,0.2203369140625,0.0004092704424510632,0.2,-15.526788711547852,-0.024888798041502014,-43.90251803398132,0.9978652000427246,-0.03167234733700752,2224,0.007348775914579164,1258.0,-2.1293201964285715
42,141,72192,1687,0.021157155,0.302490234375,0.0004092704424510632,0.2,0.3469409942626953,-0.029125142471457366,-43.85428082942963,1.0002655982971191,-0.04504428431391716,2240,0.004753813853312749,1258.0,-2.1306719649122807
43,142,72704,1689,0.022793533,0.16748046875,0.0004092704424510632,0.2,0.2958892583847046,-0.016905175987631083,-43.93142116069794,1.001202940940857,-0.0023334454745054245,2256,0.19366432109382004,1258.0,-2.1306719649122807
43,143,73216,1691,0.03645748,0.34814453125,0.0004092704424510632,0.2,-4.558389663696289,-0.02934767826809548,-43.94040358066559,1.0016807317733765,-0.02993471920490265,2272,0.011931472719879821,1258.0,-2.1319980172413793
43,144,73728,1692,0.012680129,0.166015625,0.0004092704424510632,0.2,0.06819623708724976,-0.01739750723936595,-43.95290946960449,1.001701831817627,0.0700279027223587,2288,0.6090626078657806,1258.0,-2.1319980172413793
43,145,74240,1694,0.017892277,0.2889404296875,0.0004092704424510632,0.2,-22.112703323364258,-0.027719820383936167,-43.96740901470184,1.0031635761260986,-0.04188521206378937,2304,0.006617569510126486,1258.0,-2.1310969830508477
44,146,74752,1696,0.015616458,0.0914306640625,0.0004092704424510632,0.2,0.17348331212997437,-0.016814103204524145,-44.009920716285706,1.0040334463119507,0.061466675251722336,2320,0.47844655299559236,1258.0,-2.1310969830508477
44,147,75264,1698,0.022958018,0.2969970703125,0.0004092704424510632,0.2,-6.155248165130615,-0.02796650686650537,-44.02587831020355,1.0039819478988647,-0.03352034464478493,2336,0.003781160859944066,1258.0,-2.1310969830508477
0,1,75776,3948,0.022098705,0.25146484375,0.0004092704424510632,0.2,0.015891551971435547,-0.028920490105520003,-44.01429772377014,1.003695011138916,-0.03321109712123871,2352,0.005326546190190129,1258.0,-2.1335835833333334
0,2,76288,2619,0.011639483,0.0511474609375,0.0004092704424510632,0.2,0.051340579986572266,-0.0124012274609413,-44.021891713142395,1.003539800643921,0.08944564312696457,2368,0.6754434430040419,1258.0,-2.1335835833333334
