time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/value_loss,train/std,train/clip_fraction,train/n_updates,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
73,22,37376,1681,0.12270639440976083,0.9862741231918335,0.20556640625,1152,0.0004092704424510632,0.030578196048736572,0.2,-0.01820652522292221,0.02124682,-43.473548889160156,0.01758326217532158,-2.296846266666667,1223.0
74,22,37888,1680,0.016989328229101375,0.9858245253562927,0.1815185546875,1168,0.0004092704424510632,-0.5593578815460205,0.2,-0.019299248669994995,0.017900283,-43.46204447746277,-0.026149187237024307,-2.296846266666667,1223.0
75,22,38400,1679,0.02724920882610604,0.9842579960823059,0.265869140625,1184,0.0004092704424510632,0.48271822929382324,0.2,-0.027624964583083056,0.017897986,-43.43578004837036,-0.024982940405607224,-2.299313,1223.0
76,23,38912,1678,0.06033160106744617,0.9827331304550171,0.2181396484375,1200,0.0004092704424510632,0.5101824998855591,0.2,-0.018010626401519403,0.021997029,-43.38034904003143,0.0040858350694179535,-2.299313,1223.0
77,23,39424,1678,0.008784390767687,0.982037365436554,0.24169921875,1216,0.0004092704424510632,-2.3259599208831787,0.2,-0.02429159115126822,0.017805578,-43.34556210041046,-0.026583414524793625,-2.30041221875,1223.0
78,23,39936,1677,0.12905232969205827,0.9808406233787537,0.18994140625,1232,0.0004092704424510632,0.10525017976760864,0.2,-0.02711001204443164,0.016273275,-43.31631851196289,0.005381494760513306,-2.30041221875,1223.0
79,24,40448,1676,0.006321045046206564,0.9789896607398987,0.250244140625,1248,0.0004092704424510632,-1.5939149856567383,0.2,-0.02539931960927788,0.020821396,-43.2712539434433,-0.03402390331029892,-2.2988318484848485,1223.0
80,24,40960,1675,0.147888645529747,0.9776995778083801,0.1253662109375,1264,0.0004092704424510632,0.1672385334968567,0.2,-0.01869630035071168,0.01696619,-43.21777021884918,0.025526374578475952,-2.2988318484848485,1223.0
81,24,41472,1676,0.005459353233163711,0.9772151708602905,0.2479248046875,1280,0.0004092704424510632,-1.5138804912567139,0.2,-0.02676253000390716,0.017865077,-43.18884468078613,-0.04128929600119591,-2.2988318484848485,1223.0
82,25,41984,1677,0.0034480264148442075,0.9752926826477051,0.2513427734375,1296,0.0004092704424510632,-0.06451714038848877,0.2,-0.03191572488867678,0.020203078,-43.15982484817505,-0.05392393097281456,-2.296468911764706,1223.0
83,25,42496,1677,0.16327364661265165,0.973554253578186,0.109130859375,1312,0.0004092704424510632,0.11426752805709839,0.2,-0.01687774804304354,0.015203682,-43.093379855155945,0.007887247949838638,-2.296468911764706,1223.0
84,25,43008,1678,0.020764776068972424,0.9734954833984375,0.1341552734375,1328,0.0004092704424510632,-4.628869533538818,0.2,-0.015520082786679268,0.012965824,-43.05877959728241,-0.018437227234244347,-2.2990653142857145,1223.0
85,25,43520,1678,0.22629370144568384,0.9731123447418213,0.2396240234375,1344,0.0004092704424510632,0.013591468334197998,0.2,-0.020892500615445897,0.022112416,-43.05441188812256,0.027654776349663734,-2.2990653142857145,1223.0
86,26,44032,1678,0.02946009481092915,0.9743594527244568,0.1844482421875,1360,0.0004092704424510632,-0.4737708568572998,0.2,-0.019588406750699505,0.016866341,-43.05640518665314,-0.01598449796438217,-2.300540138888889,1223.0
87,26,44544,1678,0.11645070626400411,0.9770251512527466,0.164306640625,1376,0.0004092704424510632,0.5478425621986389,0.2,-0.017912408569827676,0.016197547,-43.116515159606934,0.025315653532743454,-2.300540138888889,1223.0
88,26,45056,1678,0.0051808808275382034,0.9771135449409485,0.201416015625,1392,0.0004092704424510632,-0.5877654552459717,0.2,-0.0217053831947851,0.015033912,-43.17003047466278,-0.028485506772994995,-2.300540138888889,1223.0
89,27,45568,1678,0.004381640792416874,0.9770364165306091,0.261474609375,1408,0.0004092704424510632,-0.07721173763275146,0.2,-0.027639657593681477,0.020204343,-43.15860593318939,-0.032980553805828094,-2.305949810810811,1223.0
90,27,46080,1678,0.13456278713420033,0.97690349817276,0.173828125,1424,0.0004092704424510632,0.13362467288970947,0.2,-0.02183860332297627,0.01835224,-43.161269545555115,0.03129417449235916,-2.305949810810811,1223.0
91,27,46592,1677,0.019193329120753333,0.9790473580360413,0.1971435546875,1440,0.0004092704424510632,-2.8283517360687256,0.2,-0.023685692547587678,0.015898496,-43.17922842502594,-0.0397455133497715,-2.3034384210526313,1223.0
92,28,47104,1676,0.14201487333048135,0.9801895022392273,0.2691650390625,1456,0.0004092704424510632,0.036728739738464355,0.2,-0.02551577404665295,0.029382005,-43.24704360961914,0.01797810196876526,-2.3034384210526313,1223.0
93,28,47616,1674,0.024024832411669195,0.980301022529602,0.2813720703125,1472,0.0004092704424510632,-0.05897068977355957,0.2,-0.027945033769356087,0.023442809,-43.254889369010925,-0.024069055914878845,-2.3034384210526313,1223.0
94,28,48128,1673,0.009978870017221197,0.9813149571418762,0.269287109375,1488,0.0004092704424510632,-1.699265956878662,0.2,-0.027270532154943794,0.022339486,-43.270453095436096,-0.03628167882561684,-2.3028733076923076,1223.0
95,29,48640,1672,0.12935751618351787,0.9808066487312317,0.243408203125,1504,0.0004092704424510632,0.09573221206665039,0.2,-0.02094077371293679,0.018355347,-43.288833022117615,0.009184837341308594,-2.3028733076923076,1223.0
96,29,49152,1671,0.016959636501269415,0.9803203344345093,0.2183837890625,1520,0.0004092704424510632,-4.321485996246338,0.2,-0.02705468874773942,0.019438516,-43.26625061035156,-0.032354604452848434,-2.29962105,1223.0
97,29,49664,1670,0.1883376369951293,0.9791141748428345,0.3046875,1536,0.0004092704424510632,0.025381922721862793,0.2,-0.02747102704597637,0.03485652,-43.243892312049866,-0.0037771426141262054,-2.29962105,1223.0
98,30,50176,1670,0.013777369880699553,0.9794579744338989,0.2066650390625,1552,0.0004092704424510632,-1.4523906707763672,0.2,-0.0223790462478064,0.014792029,-43.228519558906555,-0.03940994292497635,-2.299944414634146,1223.0
99,30,50688,1668,0.21041045291349292,0.979191243648529,0.179931640625,1568,0.0004092704424510632,0.08688431978225708,0.2,-0.022245249514526222,0.014122582,-43.23680818080902,0.036858461797237396,-2.299944414634146,1223.0
100,30,51200,1668,0.006731860325089656,0.9801269173622131,0.2735595703125,1584,0.0004092704424510632,-1.2160015106201172,0.2,-0.028041255078278482,0.021714443,-43.23873329162598,-0.043789442628622055,-2.299944414634146,1223.0
101,31,51712,1667,0.0034237437284900807,0.9800561666488647,0.25439453125,1600,0.0004092704424510632,-0.03138899803161621,0.2,-0.02995702908083331,0.022659283,-43.26150286197662,-0.04703516885638237,-2.297402904761905,1223.0
102,31,52224,1666,0.19769120728597045,0.9796088933944702,0.1236572265625,1616,0.0004092704424510632,0.12033289670944214,0.2,-0.01641909428872168,0.014123229,-43.25207197666168,0.023380756378173828,-2.297402904761905,1223.0
103,31,52736,1666,0.023303061549086124,0.978925883769989,0.237548828125,1632,0.0004092704424510632,-2.5361428260803223,0.2,-0.023407026164932176,0.024470838,-43.230135440826416,-0.02384263277053833,-2.2982969069767445,1223.0
104,31,53248,1665,0.21624832483939826,0.9776022434234619,0.2098388671875,1648,0.0004092704424510632,0.044286906719207764,0.2,-0.017871461575850844,0.01643778,-43.20223546028137,0.02472379058599472,-2.2982969069767445,1223.0
105,32,53760,1665,0.033105248236097395,0.9762699604034424,0.19775390625,1664,0.0004092704424510632,0.32400739192962646,0.2,-0.02040950492664706,0.018548831,-43.1559933423996,-0.014752683229744434,-2.2982969069767445,1223.0
106,32,54272,1664,0.03607199224643409,0.9757065773010254,0.217529296875,1680,0.0004092704424510632,-0.6861226558685303,0.2,-0.023365341461612843,0.023484506,-43.12834966182709,-0.012557396665215492,-2.300978431818182,1223.0
107,32,54784,1663,0.11594976391643286,0.9750791192054749,0.15283203125,1696,0.0004092704424510632,0.35490626096725464,0.2,-0.018821481993654743,0.017834373,-43.11072528362274,0.0019342191517353058,-2.300978431818182,1223.0
108,33,55296,1663,0.02120220713550225,0.9754214286804199,0.185791015625,1712,0.0004092704424510632,-3.4565329551696777,0.2,-0.020618937545805238,0.015566684,-43.09974420070648,-0.019943321123719215,-2.3015037333333335,1223.0
109,33,55808,1662,0.17920149478595704,0.9744948148727417,0.3455810546875,1728,0.0004092704424510632,0.037006676197052,0.2,-0.027868723263964057,0.023661846,-43.09883153438568,-0.0033307690173387527,-2.3015037333333335,1223.0
110,33,56320,1661,0.016546012135222554,0.9749184250831604,0.256591796875,1744,0.0004092704424510632,-0.9533134698867798,0.2,-0.02398640345199965,0.022187319,-43.077720522880554,-0.024659505113959312,-2.2998697608695657,1223.0
111,34,56832,1660,0.21132097858935595,0.9749926328659058,0.143798828125,1760,0.0004092704424510632,0.3245105743408203,0.2,-0.01946739907725714,0.021872329,-43.09092617034912,0.05517496168613434,-2.2998697608695657,1223.0
112,34,57344,1659,0.004673147392168175,0.9747593402862549,0.260009765625,1776,0.0004092704424510632,-0.6065216064453125,0.2,-0.02877497425652109,0.020441934,-43.08285295963287,-0.03646768629550934,-2.2998697608695657,1223.0
113,34,57856,1658,0.002408231594017707,0.9748061299324036,0.256591796875,1792,0.0004092704424510632,0.02367877960205078,0.2,-0.02490484667941928,0.018676203,-43.08428716659546,-0.037663061171770096,-2.2990835106382983,1223.0
114,35,58368,1657,0.22050206316635013,0.97496098279953,0.183837890625,1808,0.0004092704424510632,0.0982159972190857,0.2,-0.02229357769829221,0.02394262,-43.09444999694824,0.013916868716478348,-2.2990835106382983,1223.0
115,35,58880,1656,0.04298964358167723,0.9765471816062927,0.261474609375,1824,0.0004092704424510632,-3.4801697731018066,0.2,-0.031340793866547756,0.026142087,-43.11332440376282,-0.034035325050354004,-2.3004705,1223.0
116,35,59392,1655,0.1840560717973858,0.9773887991905212,0.184814453125,1840,0.0004092704424510632,0.1158210039138794,0.2,-0.024992716455017217,0.020495448,-43.164711356163025,-0.0007026158273220062,-2.3004705,1223.0
117,36,59904,1655,0.014761141210328788,0.9796837568283081,0.2332763671875,1856,0.0004092704424510632,-0.7014496326446533,0.2,-0.024528477719286457,0.016416341,-43.19765627384186,-0.02430148422718048,-2.3004705,1223.0
118,36,60416,1654,0.04531257727649063,0.9794115424156189,0.196044921875,1872,0.0004092704424510632,0.5418497323989868,0.2,-0.021154998830752447,0.014757272,-43.24928641319275,-0.01833985187113285,-2.2990505510204082,1223.0
119,36,60928,1654,0.08393055654596537,0.9780283570289612,0.2601318359375,1888,0.0004092704424510632,0.5677579641342163,0.2,-0.022949456237256527,0.027608283,-43.21103763580322,0.002157069742679596,-2.2990505510204082,1223.0
120,37,61440,1653,0.034614741685800254,0.9758725762367249,0.21630859375,1904,0.0004092704424510632,-2.908257484436035,0.2,-0.021394979834440164,0.021446722,-43.159798979759216,-0.025306250900030136,-2.2993338,1223.0
121,37,61952,1653,0.18407968385145068,0.9756043553352356,0.217529296875,1920,0.0004092704424510632,0.05548197031021118,0.2,-0.026543512096395716,0.019927498,-43.10996747016907,-0.007018212229013443,-2.2993338,1223.0
122,37,62464,1652,0.01477708457969129,0.9734191298484802,0.23095703125,1936,0.0004092704424510632,-1.6720523834228516,0.2,-0.022712882491759956,0.01724483,-43.08961474895477,-0.02845567651093006,-2.300324568627451,1223.0
123,38,62976,1652,0.22453463589772582,0.9729694724082947,0.09814453125,1952,0.0004092704424510632,0.23352175951004028,0.2,-0.015830543357878923,0.016815811,-43.02847719192505,0.03228257969021797,-2.300324568627451,1223.0
124,38,63488,1652,0.006271326041314751,0.9722978472709656,0.2113037109375,1968,0.0004092704424510632,-1.9746003150939941,0.2,-0.024359302333323285,0.014614928,-43.027143478393555,-0.044222597032785416,-2.300324568627451,1223.0
