time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/loss,train/std,train/entropy_loss,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/explained_variance,train/clip_fraction,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
30208,24,1246,59,-0.007300242781639099,0.9792053699493408,-43.28235185146332,0.09871771547477692,0.0004092704424510632,-0.02583644051628653,928,0.021453083,0.13139843940734863,0.2672119140625,0.2,1223.0,-2.43781325
30720,24,1246,60,-0.03249010443687439,0.9784334897994995,-43.26332950592041,0.010839196969754994,0.0004092704424510632,-0.02326158419600688,944,0.017641872,-3.2628273963928223,0.2210693359375,0.2,1223.0,-2.4408860400000005
31232,25,1246,61,-0.014268174767494202,0.9782036542892456,-43.240742444992065,0.10583308234345168,0.0004092704424510632,-0.023190510895801708,960,0.023205314,0.05738264322280884,0.26220703125,0.2,1223.0,-2.4408860400000005
31744,25,1246,62,-0.04494862258434296,0.9774458408355713,-43.2322074174881,0.009375423745950684,0.0004092704424510632,-0.030169610545272008,976,0.01821392,-0.18940365314483643,0.2666015625,0.2,1223.0,-2.4408860400000005
32256,25,1246,63,-0.027394825592637062,0.975906491279602,-43.19136917591095,0.011447048949776217,0.0004092704424510632,-0.02635518737952225,992,0.015254056,0.09729278087615967,0.2498779296875,0.2,1223.0,-2.4420776538461544
32768,26,1245,64,-0.0006375722587108612,0.9755467176437378,-43.16169989109039,0.0965935445856303,0.0004092704424510632,-0.02198339215829037,1008,0.02318832,0.34551024436950684,0.20361328125,0.2,1223.0,-2.4420776538461544
33280,26,1244,65,-0.03698907047510147,0.976812481880188,-43.1711905002594,0.01024636675720103,0.0004092704424510632,-0.021840141198481433,1024,0.012321466,-3.169508934020996,0.1856689453125,0.2,1223.0,-2.449313148148148
33792,27,1244,66,0.015018392354249954,0.9770883321762085,-43.20343470573425,0.12865716277156025,0.0004092704424510632,-0.019455443223705515,1040,0.017364707,0.035743534564971924,0.1917724609375,0.2,1223.0,-2.449313148148148
34304,27,1244,67,-0.028287623077630997,0.9778586626052856,-43.21244406700134,0.012714687181869522,0.0004092704424510632,-0.026608843123540282,1056,0.016400037,-1.6572790145874023,0.2261962890625,0.2,1223.0,-2.450635607142857
34816,27,1244,68,0.004197012633085251,0.9792083501815796,-43.24747967720032,0.12885962589643896,0.0004092704424510632,-0.02189137612003833,1072,0.01956014,0.12246733903884888,0.16748046875,0.2,1223.0,-2.450635607142857
35328,28,1243,69,-0.02987024188041687,0.9800991415977478,-43.2866667509079,0.005541943493881263,0.0004092704424510632,-0.024973549065180123,1088,0.015813285,-0.7241224050521851,0.223876953125,0.2,1223.0,-2.450635607142857
35840,28,1243,70,-0.04492846131324768,0.97892165184021,-43.28657805919647,0.003391678343177773,0.0004092704424510632,-0.028411997598595917,1104,0.017483484,-0.1503591537475586,0.2362060546875,0.2,1223.0,-2.452166551724138
