time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_range,train/value_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
55,28160,22,1240,-0.02483592729549855,0.020804297,0.3468806743621826,-43.251428723335266,0.2,0.0078002537484280765,864,0.0004092704424510632,0.297607421875,-0.033706407994031906,0.97683185338974,-2.4543637727272727,1258.0
56,28672,23,1240,-0.028765950322849676,0.05818019,0.1255989670753479,-43.20952343940735,0.2,0.1067537491908297,880,0.0004092704424510632,0.38671875,0.021939381957054138,0.9761720895767212,-2.4543637727272727,1258.0
57,29184,23,1239,-0.02087494364241138,0.011387538,-0.08592104911804199,-43.2015620470047,0.2,0.011240549036301672,896,0.0004092704424510632,0.1966552734375,-0.028337016701698303,0.975768506526947,-2.4463183478260873,1258.0
58,29696,23,1239,-0.03060340421507135,0.024995998,0.09335821866989136,-43.20718276500702,0.2,0.141035545617342,912,0.0004092704424510632,0.279296875,0.013248693197965622,0.9771711230278015,-2.4463183478260873,1258.0
59,30208,24,1238,-0.024965560442069545,0.014477326,0.5440848469734192,-43.23868274688721,0.2,0.01158633260638453,928,0.0004092704424510632,0.241455078125,-0.03245742619037628,0.9772385954856873,-2.44200825,1258.0
60,30720,24,1238,-0.02581156190717593,0.020121524,0.19299453496932983,-43.2413432598114,0.2,0.12474692496471107,944,0.0004092704424510632,0.2567138671875,0.02837437391281128,0.9777951836585999,-2.44200825,1258.0
61,31232,25,1237,-0.02705725602572784,0.020419486,-2.6035618782043457,-43.26884150505066,0.2,0.0029353906320466194,960,0.0004092704424510632,0.2716064453125,-0.03889989107847214,0.9788821935653687,-2.44200825,1258.0
62,31744,25,1237,-0.028092376538552344,0.029391412,0.055702030658721924,-43.295892119407654,0.2,0.003170921598211862,976,0.0004092704424510632,0.3006591796875,-0.040219735354185104,0.979561448097229,-2.4400832400000003,1258.0
63,32256,26,1236,-0.025936888152500615,0.022693876,0.03214603662490845,-43.2919180393219,0.2,0.1458655612077564,992,0.0004092704424510632,0.25634765625,0.03797166794538498,0.9783951640129089,-2.4400832400000003,1258.0
64,32768,26,1236,-0.0241360334912315,0.01708239,0.4666682481765747,-43.24752879142761,0.2,0.011357543029589579,1008,0.0004092704424510632,0.23486328125,-0.019713472574949265,0.9770838618278503,-2.4396561153846155,1258.0
65,33280,26,1235,-0.029964914545416832,0.02146152,0.1769375205039978,-43.197806000709534,0.2,0.14767558360472322,1024,0.0004092704424510632,0.2552490234375,0.051747582852840424,0.975709080696106,-2.4396561153846155,1258.0
66,33792,27,1235,-0.022120926732895896,0.019285526,0.5306836366653442,-43.1786162853241,0.2,0.020246768923243508,1040,0.0004092704424510632,0.2298583984375,-0.025103647261857986,0.9759011268615723,-2.4396561153846155,1258.0
67,34304,27,1235,-0.034340066253207624,0.026050359,-0.32546961307525635,-43.15765690803528,0.2,0.005154190497705713,1056,0.0004092704424510632,0.2886962890625,-0.050437480211257935,0.973494827747345,-2.434915481481482,1258.0
68,34816,28,1234,-0.024043669080128893,0.023660883,0.1297873854637146,-43.08952438831329,0.2,0.10799575643613935,1072,0.0004092704424510632,0.2864990234375,0.018921148031949997,0.9725176095962524,-2.434915481481482,1258.0
69,35328,28,1234,-0.027504602418048307,0.017858047,0.09788268804550171,-43.07170343399048,0.2,0.018106819421518594,1088,0.0004092704424510632,0.2232666015625,-0.03424062207341194,0.9721941947937012,-2.427338178571429,1258.0
70,35840,29,1234,-0.02410381408117246,0.028411314,0.2938185930252075,-43.072423696517944,0.2,0.09932409995235503,1104,0.0004092704424510632,0.247314453125,0.014229748398065567,0.9724162220954895,-2.427338178571429,1258.0
71,36352,29,1233,-0.027777196693932638,0.025047649,0.5253309011459351,-43.052520513534546,0.2,0.014049422898096964,1120,0.0004092704424510632,0.26123046875,-0.03455190360546112,0.9709193706512451,-2.427338178571429,1258.0
72,36864,29,1233,-0.030469214805634692,0.017592628,-0.16320514678955078,-43.032116770744324,0.2,0.0034326987733948044,1136,0.0004092704424510632,0.2618408203125,-0.03566418215632439,0.9714374542236328,-2.4235157586206904,1258.0
73,37376,30,1232,-0.01855064617120661,0.018366866,0.11231374740600586,-43.06636822223663,0.2,0.09734399360604584,1152,0.0004092704424510632,0.191162109375,0.009588582441210747,0.9727821350097656,-2.4235157586206904,1258.0
74,37888,30,1230,-0.026020139586762525,0.01673065,0.16655045747756958,-43.09769570827484,0.2,0.01509215627447702,1168,0.0004092704424510632,0.216064453125,-0.03373262286186218,0.9730133414268494,-2.4226527000000004,1258.0
75,38400,31,1229,-0.02234272036002949,0.024245877,0.21053582429885864,-43.07008361816406,0.2,0.10946547240018845,1184,0.0004092704424510632,0.2216796875,0.01832173764705658,0.9715678691864014,-2.4226527000000004,1258.0
76,38912,31,1225,-0.020940630842233077,0.015527848,0.35831117630004883,-43.042081236839294,0.2,0.011968787701334804,1200,0.0004092704424510632,0.21533203125,-0.03156808018684387,0.9714847803115845,-2.4226527000000004,1258.0
77,39424,32,1214,-0.031468396191485226,0.021676678,0.14553439617156982,-43.02164971828461,0.2,0.0025102086437982507,1216,0.0004092704424510632,0.2864990234375,-0.04153957590460777,0.9697288870811462,-2.4173328709677424,1258.0
78,39936,32,1212,-0.021389847446698695,0.016816802,0.12312126159667969,-42.95775258541107,0.2,0.10143844271078706,1232,0.0004092704424510632,0.197265625,0.027672942727804184,0.9679219126701355,-2.4173328709677424,1258.0
79,40448,33,1211,-0.026735125109553337,0.022463318,-0.004486799240112305,-42.922457337379456,0.2,0.013621568912640214,1248,0.0004092704424510632,0.2315673828125,-0.03942621126770973,0.9680172204971313,-2.41317415625,1258.0
80,40960,33,1211,-0.024849453802744392,0.026425555,0.15368854999542236,-42.90464198589325,0.2,0.10361291631124914,1264,0.0004092704424510632,0.275634765625,0.014017865061759949,0.9660624861717224,-2.41317415625,1258.0
81,41472,34,1211,-0.026611034329107497,0.018958619,0.51655513048172,-42.84750247001648,0.2,0.014442497544223443,1280,0.0004092704424510632,0.265380859375,-0.01626933179795742,0.9651448726654053,-2.41317415625,1258.0
82,41984,34,1211,-0.023960431994055398,0.017607804,-0.010196924209594727,-42.83880841732025,0.2,0.01267771195853129,1296,0.0004092704424510632,0.2203369140625,-0.01410062424838543,0.9654141664505005,-2.4113188484848487,1258.0
83,42496,35,1210,-0.02712991790031083,0.03395851,0.367881715297699,-42.86891841888428,0.2,0.08573006605729461,1312,0.0004092704424510632,0.2864990234375,0.022961847484111786,0.9669651389122009,-2.4113188484848487,1258.0
