time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/loss,train/policy_gradient_loss,train/n_updates,train/clip_range,train/approx_kl,train/explained_variance,train/clip_fraction,train/entropy_loss,train/value_loss,train/std,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
33,132096,1720,111,-0.03859135881066322,-0.027693253388861194,4112,0.2,0.018015727,-4.420186996459961,0.2745361328125,-42.45461845397949,0.007267934604897164,0.9580733776092529,0.0004092704424510632,-2.5233839600000003,1257.0
33,132608,1721,112,0.16731609404087067,-0.008049432886764407,4128,0.2,0.013682753,0.37579870223999023,0.05859375,-42.47502243518829,0.9083646377548575,0.958336591720581,0.0004092704424510632,-2.5233839600000003,1257.0
33,133120,1721,113,-0.014796252362430096,-0.02018608554499224,4144,0.2,0.01738111,-1.2989661693572998,0.1904296875,-42.463019609451294,0.022075534070609137,0.9576375484466553,0.0004092704424510632,-2.5233839600000003,1257.0
33,133632,1721,114,-0.0319727398455143,-0.027858549525262788,4160,0.2,0.018154457,0.29101860523223877,0.2703857421875,-42.451184034347534,0.008377183316042647,0.9581196904182434,0.0004092704424510632,-2.5243030200000005,1257.0
34,134144,1721,115,0.1318175494670868,-0.007813756943505723,4176,0.2,0.00808274,0.4402902126312256,0.0445556640625,-42.464762806892395,1.0281126089394093,0.9583659768104553,0.0004092704424510632,-2.5243030200000005,1257.0
34,134656,1721,116,-0.03563360124826431,-0.027699228783603758,4192,0.2,0.031754747,-4.418010711669922,0.2884521484375,-42.46770441532135,0.03787379467394203,0.9581371545791626,0.0004092704424510632,-2.52424096,1257.0
34,135168,1721,117,0.13447631895542145,-0.004650507384212688,4208,0.2,0.011423651,0.4236215353012085,0.07958984375,-42.45420491695404,0.9485343908891082,0.95771324634552,0.0004092704424510632,-2.52424096,1257.0
35,135680,1721,118,-0.03976810351014137,-0.028112985426560044,4224,0.2,0.019619038,-0.8942241668701172,0.2642822265625,-42.40825843811035,0.014248547464376315,0.9551865458488464,0.0004092704424510632,-2.52424096,1257.0
35,136192,1721,119,-0.03151215612888336,-0.024491976262652315,4240,0.2,0.015600972,0.3390848636627197,0.2269287109375,-42.333094000816345,0.006010750003042631,0.9545120596885681,0.0004092704424510632,-2.5267919100000005,1257.0
35,136704,1721,120,0.12881307303905487,-0.009402571246027946,4256,0.2,0.009876125,0.4207998514175415,0.074951171875,-42.324841380119324,0.8738061562180519,0.9546329379081726,0.0004092704424510632,-2.5267919100000005,1257.0
35,137216,1722,121,-0.018664656206965446,-0.020124460686929524,4272,0.2,0.014940265,-3.712259292602539,0.1787109375,-42.32102453708649,0.05199411488138139,0.9542815089225769,0.0004092704424510632,-2.5286393900000004,1257.0
36,137728,1722,122,0.2548367381095886,-0.009626489154470619,4288,0.2,0.010927765,0.32856661081314087,0.07763671875,-42.30172085762024,1.0554358456283808,0.9540988802909851,0.0004092704424510632,-2.5286393900000004,1257.0
36,138240,1721,123,-0.03188833221793175,-0.030068112799199298,4304,0.2,0.022223346,-0.8357709646224976,0.2884521484375,-42.27724051475525,0.04136483708862215,0.9525097608566284,0.0004092704424510632,-2.5286393900000004,1257.0
36,138752,1720,124,0.006145291030406952,-0.022006074417731725,4320,0.2,0.014504303,0.7411611080169678,0.2049560546875,-42.22110915184021,0.07019356533419341,0.9517524838447571,0.0004092704424510632,-2.5306857199999997,1257.0
37,139264,1720,125,0.01025526225566864,-0.016605157492449507,4336,0.2,0.029508699,0.5917727947235107,0.1287841796875,-42.213259100914,0.2782089333049953,0.9516270160675049,0.0004092704424510632,-2.5306857199999997,1257.0
37,139776,1720,126,-0.04141676053404808,-0.026768802374135703,4352,0.2,0.017905425,-6.169628620147705,0.2762451171875,-42.207319140434265,0.008098016493022442,0.9512795209884644,0.0004092704424510632,-2.5331959800000003,1257.0
37,140288,1720,127,0.1544087529182434,-0.014007159479660913,4368,0.2,0.014216078,0.21978724002838135,0.0821533203125,-42.19329476356506,1.4024469750002027,0.95100337266922,0.0004092704424510632,-2.5331959800000003,1257.0
38,140800,1720,128,-0.025452297180891037,-0.024150254961568862,4384,0.2,0.015486939,-0.4752514362335205,0.23486328125,-42.19625282287598,0.011987219768343493,0.9519118070602417,0.0004092704424510632,-2.5304811500000004,1257.0
38,141312,1720,129,0.13588577508926392,-0.005473643308505416,4400,0.2,0.008566776,0.48213815689086914,0.0301513671875,-42.22299551963806,1.0709048379212618,0.9523127675056458,0.0004092704424510632,-2.5304811500000004,1257.0
38,141824,1720,130,-0.025029314681887627,-0.024995301704620942,4416,0.2,0.01923998,-1.1464083194732666,0.2633056640625,-42.256611824035645,0.01466587302275002,0.9545313715934753,0.0004092704424510632,-2.5304811500000004,1257.0
38,142336,1720,131,-0.034094635397195816,-0.018163582280976698,4432,0.2,0.013832467,0.002240598201751709,0.208984375,-42.31656312942505,0.0034006000714725815,0.9552229046821594,0.0004092704424510632,-2.5298422499999997,1257.0
39,142848,1720,132,0.1551656424999237,-0.0048054417566163465,4448,0.2,0.005970873,0.13132131099700928,0.0284423828125,-42.32016885280609,1.9564998475834727,0.9550713300704956,0.0004092704424510632,-2.5298422499999997,1257.0
39,143360,1720,133,-0.025809243321418762,-0.022552021633600816,4464,0.2,0.01895936,-3.052889823913574,0.250732421875,-42.31833839416504,0.00693186312855687,0.9550410509109497,0.0004092704424510632,-2.53250738,1257.0
39,143872,1720,134,0.5624043345451355,-0.006486436941486318,4480,0.2,0.007139217,0.02640998363494873,0.0367431640625,-42.3215411901474,2.743335099890828,0.9550526738166809,0.0004092704424510632,-2.53250738,1257.0
40,144384,1720,135,-0.033363256603479385,-0.033189458859851584,4496,0.2,0.027219053,-0.9585694074630737,0.3355712890625,-42.33877110481262,0.021520012873224914,0.956534206867218,0.0004092704424510632,-2.53250738,1257.0
40,144896,1720,136,-0.045345570892095566,-0.02576652842981275,4512,0.2,0.018023917,-0.795556902885437,0.228759765625,-42.382631063461304,0.0051522224239306524,0.9577593803405762,0.0004092704424510632,-2.5287818,1257.0
40,145408,1720,137,0.16939114034175873,-0.010968119269818999,4528,0.2,0.010608882,0.3813900351524353,0.040283203125,-42.39304780960083,0.96724460599944,0.9578561186790466,0.0004092704424510632,-2.5287818,1257.0
