time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/learning_rate,train/clip_fraction,train/value_loss,train/clip_range,train/std,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
1245,97280,17,43,0.0004092704424510632,0.0374755859375,0.5338168004527688,0.2,0.9951404333114624,-43.662782073020935,-0.009442084570764564,0.00873494,0.2533147633075714,0.8137303590774536,3024,-2.30447074025974,1257.0
1244,97792,18,44,0.0004092704424510632,0.2369384765625,0.010982842140947469,0.2,0.9960291981697083,-43.67694008350372,-0.026315016963053495,0.014509924,-0.03267987072467804,0.9891793131828308,3040,-2.30447074025974,1257.0
1244,98304,18,45,0.0004092704424510632,0.2398681640625,0.0311696317512542,0.2,0.9960485696792603,-43.688732981681824,-0.021737696559284814,0.026260553,-0.0225319042801857,-2.001386880874634,3056,-2.301573807692307,1257.0
1244,98816,18,46,0.0004092704424510632,0.035888671875,0.31427936465479434,0.2,0.9959841966629028,-43.68457818031311,-0.006458027000917355,0.010725665,0.026007775217294693,0.41945719718933105,3072,-2.301573807692307,1257.0
1243,99328,19,47,0.0004092704424510632,0.272216796875,0.004605393311067019,0.2,0.995591402053833,-43.67663824558258,-0.02584931015735492,0.021718688,-0.035787250846624374,-0.6492408514022827,3088,-2.3008204050632903,1257.0
1243,99840,19,48,0.0004092704424510632,0.07275390625,0.3059355628211051,0.2,0.99516761302948,-43.66198801994324,-0.01369812956545502,0.013369605,0.05639941990375519,0.453657865524292,3104,-2.3008204050632903,1257.0
1243,100352,20,49,0.0004092704424510632,0.239501953125,0.004374633921543136,0.2,0.9930363297462463,-43.626081347465515,-0.025510515028145164,0.016375735,-0.040392592549324036,-0.3209710121154785,3120,-2.3008204050632903,1257.0
1243,100864,20,50,0.0004092704424510632,0.218994140625,0.005307939129124861,0.2,0.9909573197364807,-43.57362353801727,-0.025531420746119693,0.0134937,-0.02864510379731655,-0.2607687711715698,3136,-2.3020519249999998,1257.0
1242,101376,21,51,0.0004092704424510632,0.06005859375,0.4543610457330942,0.2,0.9904377460479736,-43.53736460208893,-0.015052596558234654,0.013493352,0.006749900057911873,0.3080734610557556,3152,-2.3020519249999998,1257.0
1242,101888,21,52,0.0004092704424510632,0.274169921875,0.01203099187114276,0.2,0.9906590580940247,-43.53694939613342,-0.026109662925591692,0.02589512,-0.030683260411024094,-0.5680058002471924,3168,-2.301889555555556,1257.0
1242,102400,21,53,0.0004092704424510632,0.044677734375,0.2816041107289493,0.2,0.9907411932945251,-43.54150104522705,-0.010153089868254028,0.010819278,0.08381743729114532,0.671174168586731,3184,-2.301889555555556,1257.0
1242,102912,22,54,0.0004092704424510632,0.26611328125,0.005830784619320184,0.2,0.9926005601882935,-43.564395785331726,-0.02857620509166736,0.01974377,-0.039846017956733704,-0.5871390104293823,3200,-2.301889555555556,1257.0
1241,103424,22,55,0.0004092704424510632,0.25537109375,0.00637392325734254,0.2,0.9929713606834412,-43.61196732521057,-0.024012202949961647,0.018272286,-0.025912849232554436,-0.5356732606887817,3216,-2.300976719512195,1257.0
1241,103936,23,56,0.0004092704424510632,0.0423583984375,0.3617505612783134,0.2,0.9924763441085815,-43.60576546192169,-0.00968487624777481,0.011748559,0.03120296820998192,0.2734018564224243,3232,-2.300976719512195,1257.0
1241,104448,23,57,0.0004092704424510632,0.222900390625,0.005482756823766977,0.2,0.9916697144508362,-43.58301293849945,-0.024940718823927455,0.016299862,-0.03328435868024826,-1.6077632904052734,3248,-2.3009713012048194,1257.0
1241,104960,23,58,0.0004092704424510632,0.04345703125,0.34608525643125176,0.2,0.9919707179069519,-43.581146121025085,-0.010300154288415797,0.011056842,0.03417664393782616,0.44606655836105347,3264,-2.3009713012048194,1257.0
1240,105472,24,59,0.0004092704424510632,0.236572265625,0.011767402029363438,0.2,0.9927260279655457,-43.59914493560791,-0.024343366705579683,0.017016739,-0.029960058629512787,0.297199010848999,3280,-2.3009713012048194,1257.0
