time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/entropy_loss,train/value_loss,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_range,train/explained_variance,train/clip_fraction,train/std,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
166400,1283,12,31,-44.164443492889404,0.013924018538091332,-0.035618338733911514,-0.02526624221354723,5184,0.0004092704424510632,0.2,0.028923213481903076,0.2791748046875,1.0175602436065674,0.024754941,-2.7703015200000003,1258.0
166912,1282,12,32,-44.192010164260864,0.8092604503035545,0.17431358993053436,-0.0056606222642585635,5200,0.0004092704424510632,0.2,0.41980475187301636,0.04248046875,1.0175986289978027,0.009459661,-2.7703015200000003,1258.0
167424,1281,13,33,-44.187971353530884,0.015286246401956305,-0.03330054134130478,-0.025220719617209397,5216,0.0004092704424510632,0.2,-10.99754810333252,0.287109375,1.0173661708831787,0.024616977,-2.7712957900000004,1258.0
167936,1281,13,34,-44.195111870765686,1.0764188980683684,0.20500996708869934,-0.015855344565352425,5232,0.0004092704424510632,0.2,0.3363174796104431,0.0758056640625,1.0171916484832764,0.013267778,-2.7712957900000004,1258.0
168448,1281,13,35,-44.199782490730286,0.015028915659058839,-0.04047439992427826,-0.02494499649037607,5248,0.0004092704424510632,0.2,-16.60480499267578,0.2708740234375,1.017734169960022,0.026700245,-2.7712957900000004,1258.0
168960,1280,14,36,-44.19611716270447,0.01326233841245994,-0.021444683894515038,-0.02465409784053918,5264,0.0004092704424510632,0.2,0.013148188591003418,0.25439453125,1.0164344310760498,0.016216746,-2.76992702,1258.0
169472,1280,14,37,-44.168601632118225,0.9314050506800413,0.09445855021476746,-0.01625908925780095,5280,0.0004092704424510632,0.2,0.2177424430847168,0.0762939453125,1.0164074897766113,0.017463451,-2.76992702,1258.0
169984,1280,15,38,-44.19621121883392,0.01029368104354944,-0.03535597771406174,-0.02816967108810786,5296,0.0004092704424510632,0.2,-1.3514142036437988,0.30078125,1.0182660818099976,0.028944014,-2.7703897400000006,1258.0
170496,1280,15,39,-44.23458456993103,0.979265971109271,0.1674375832080841,-0.00572589848889038,5312,0.0004092704424510632,0.2,0.37809067964553833,0.027587890625,1.018707513809204,0.008829639,-2.7703897400000006,1258.0
171008,1279,16,40,-44.25579106807709,0.007335366251936648,-0.03308095782995224,-0.023759840754792094,5328,0.0004092704424510632,0.2,-18.58905792236328,0.2691650390625,1.0201383829116821,0.022637319,-2.7703897400000006,1258.0
171520,1278,16,41,-44.27302312850952,0.011735773397958837,-0.0346432588994503,-0.026914834015769884,5344,0.0004092704424510632,0.2,0.04517984390258789,0.2708740234375,1.018481969833374,0.019983003,-2.7702761500000004,1258.0
172032,1278,16,42,-44.23285162448883,0.8582562524825335,0.12755487859249115,-0.014378659907379188,5360,0.0004092704424510632,0.2,0.42978668212890625,0.074951171875,1.017958164215088,0.01653833,-2.7702761500000004,1258.0
172544,1277,17,43,-44.220152497291565,0.02163222263334319,-0.01870516501367092,-0.021273257370921783,5376,0.0004092704424510632,0.2,-7.16795539855957,0.2366943359375,1.016919732093811,0.02012834,-2.76991953,1258.0
173056,1277,17,44,-44.18394315242767,1.1142912553623319,0.12477442622184753,-0.009828896247199737,5392,0.0004092704424510632,0.2,0.3003818988800049,0.0450439453125,1.016254186630249,0.0096244365,-2.76991953,1258.0
173568,1277,18,45,-44.174551248550415,0.0060114246189186815,-0.040841393172740936,-0.029532012922572903,5408,0.0004092704424510632,0.2,-15.00853157043457,0.3134765625,1.0159744024276733,0.02407035,-2.76991953,1258.0
174080,1277,18,46,-44.13954222202301,0.05884970084298402,-0.0160926952958107,-0.02670841835788451,5424,0.0004092704424510632,0.2,0.3737490177154541,0.2572021484375,1.0130102634429932,0.021050595,-2.7717769899999998,1258.0
174592,1276,18,47,-44.05272960662842,0.5502160656033084,0.02053852379322052,-0.01280776277417317,5440,0.0004092704424510632,0.2,0.5814884901046753,0.0911865234375,1.0115394592285156,0.019866642,-2.7717769899999998,1258.0
175104,1276,19,48,-44.02791213989258,0.01926236620056443,-0.019652830436825752,-0.02572851385048125,5456,0.0004092704424510632,0.2,-3.541727066040039,0.2640380859375,1.0114542245864868,0.027752211,-2.77033825,1258.0
175616,1275,19,49,-44.034406900405884,1.1165085071697831,0.21922695636749268,-0.010815770056069596,5472,0.0004092704424510632,0.2,0.2924138307571411,0.0548095703125,1.0116740465164185,0.010157526,-2.77033825,1258.0
176128,1276,20,50,-44.042635560035706,0.00615725562965963,-0.0256162341684103,-0.02478099105064757,5488,0.0004092704424510632,0.2,-17.167268753051758,0.26611328125,1.0119580030441284,0.020353243,-2.7688239699999997,1258.0
176640,1275,20,51,-44.053940296173096,1.0599861154332757,0.30054840445518494,-0.013203672497184016,5504,0.0004092704424510632,0.2,0.5140854120254517,0.086669921875,1.0119909048080444,0.011701588,-2.7688239699999997,1258.0
177152,1275,20,52,-44.03310537338257,0.01719162661174778,-0.029019100591540337,-0.026809473762114067,5520,0.0004092704424510632,0.2,-17.016170501708984,0.263427734375,1.0109570026397705,0.017794281,-2.7688239699999997,1258.0
