time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/clip_fraction,train/std,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
1762,35840,70,20,0.013818697,0.0004092704424510632,-0.0018014907836914062,1104,0.19189453125,0.9899970293045044,0.00237595614453312,-0.022215600452909712,-43.58642363548279,0.2,-0.03679739311337471,1223.0,-2.2046477241379314
1762,36352,71,20,0.021626137,0.0004092704424510632,0.00024330615997314453,1120,0.2581787109375,0.9904977083206177,0.16592382011003792,-0.025106942397542298,-43.63366448879242,0.2,0.06326568126678467,1223.0,-2.2046477241379314
1763,36864,72,20,0.020082276,0.0004092704424510632,-0.003106236457824707,1136,0.2532958984375,0.9893225431442261,0.0013265691377455369,-0.023133964685257524,-43.61967360973358,0.2,-0.03249718248844147,1223.0,-2.2010541333333338
1764,37376,73,21,0.019032935,0.0004092704424510632,0.0004884004592895508,1152,0.2589111328125,0.9873788952827454,0.155904327519238,-0.030012249742867425,-43.56726777553558,0.2,0.033801108598709106,1223.0,-2.2010541333333338
1766,37888,74,21,0.01433772,0.0004092704424510632,-0.006662487983703613,1168,0.2060546875,0.9865609407424927,0.0015420197232742794,-0.020785394444828853,-43.513102293014526,0.2,-0.027695437893271446,1223.0,-2.2010541333333338
1767,38400,75,21,0.021969613,0.0004092704424510632,-0.00043320655822753906,1184,0.2608642578125,0.9866498112678528,0.0027315682018524967,-0.028143923365860246,-43.50509238243103,0.2,-0.03478604927659035,1223.0,-2.196404290322581
1768,38912,76,21,0.039758205,0.0004092704424510632,0.0002422928810119629,1200,0.311767578125,0.9861952066421509,0.1197668919339776,-0.027839021960971877,-43.49794292449951,0.2,0.023357894271612167,1223.0,-2.196404290322581
1769,39424,77,22,0.020723289,0.0004092704424510632,-0.006746649742126465,1216,0.252197265625,0.9859200119972229,0.0020586609352903906,-0.025096470664720982,-43.48576068878174,0.2,-0.03249427676200867,1223.0,-2.19480034375
1770,39936,78,22,0.020070747,0.0004092704424510632,0.0004862546920776367,1232,0.2288818359375,0.984677255153656,0.17697181785479188,-0.024282228128868155,-43.464916467666626,0.2,0.06050306186079979,1223.0,-2.19480034375
1770,40448,79,22,0.022507915,0.0004092704424510632,-0.023473739624023438,1248,0.2889404296875,0.9835900664329529,0.0014984766494308133,-0.03021025040652603,-43.42560911178589,0.2,-0.03903485834598541,1223.0,-2.1920238181818177
