time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/policy_gradient_loss,train/clip_range,train/n_updates,train/std,train/loss,train/learning_rate,train/value_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
28,71,36352,1279,-0.02286572187585989,0.2,1120,0.9783341288566589,-0.027835115790367126,0.0004092704424510632,0.008413750656472985,0.015410399,-6.708522796630859,-43.26254081726074,0.20166015625,-2.552849714285714,1257.0
28,72,36864,1279,-0.027114207769045606,0.2,1136,0.9774764776229858,-0.04419240355491638,0.0004092704424510632,0.002588423009001417,0.020985767,-0.03382313251495361,-43.22454535961151,0.253662109375,-2.5565587241379304,1257.0
29,73,37376,1279,-0.019088382672634907,0.2,1152,0.9768051505088806,0.0372651033103466,0.0004092704424510632,0.19340407638810575,0.01644893,0.04300433397293091,-43.20493495464325,0.193115234375,-2.5565587241379304,1257.0
29,74,37888,1279,-0.019627508445410058,0.2,1168,0.97865891456604,-0.03535895049571991,0.0004092704424510632,0.011451665428467095,0.015691293,-9.281063079833984,-43.20882534980774,0.17529296875,-2.5561627,1257.0
30,75,38400,1279,-0.019983115562354214,0.2,1184,0.9780351519584656,0.0492137111723423,0.0004092704424510632,0.2259520306251943,0.01782033,0.01329714059829712,-43.25177454948425,0.239990234375,-2.5561627,1257.0
30,76,38912,1279,-0.023127535088860895,0.2,1200,0.9796691536903381,-0.02718997374176979,0.0004092704424510632,0.01253430126234889,0.016723894,-2.729311466217041,-43.25135278701782,0.234619140625,-2.5561627,1257.0
30,77,39424,1279,-0.029501195618649945,0.2,1216,0.9799747467041016,-0.052045490592718124,0.0004092704424510632,0.002602172549813986,0.02129202,0.08192706108093262,-43.29501819610596,0.2457275390625,-2.557479258064516,1257.0
31,78,39936,1279,-0.022298937881714664,0.2,1232,0.9791378378868103,0.030662253499031067,0.0004092704424510632,0.1782692177221179,0.02280974,0.07896965742111206,-43.27859103679657,0.1683349609375,-2.557479258064516,1257.0
31,79,40448,1278,-0.024394605701672845,0.2,1248,0.9782573580741882,-0.028313584625720978,0.0004092704424510632,0.01174955723399762,0.016851477,-6.842153549194336,-43.24831295013428,0.2191162109375,-2.563159625,1257.0
32,80,40960,1278,-0.021351339877583086,0.2,1264,0.9775217175483704,0.029635097831487656,0.0004092704424510632,0.1921807627659291,0.020292155,0.053948163986206055,-43.22166550159454,0.223388671875,-2.563159625,1257.0
32,81,41472,1278,-0.024943866563262418,0.2,1280,0.9762068390846252,-0.04085712134838104,0.0004092704424510632,0.008556239568861201,0.01691224,-2.054569959640503,-43.19141983985901,0.25439453125,-2.563159625,1257.0
32,82,41984,1278,-0.030568780668545514,0.2,1296,0.9756119251251221,-0.0513964407145977,0.0004092704424510632,0.0023685634878347628,0.018780079,0.22999101877212524,-43.1550954580307,0.2882080078125,-2.563495515151515,1257.0
33,83,42496,1278,-0.022974237392190844,0.2,1312,0.9751046895980835,0.002737250179052353,0.0004092704424510632,0.08180839201668277,0.038012333,0.0506930947303772,-43.134846448898315,0.3089599609375,-2.563495515151515,1257.0
33,84,43008,1278,-0.02606038816156797,0.2,1328,0.9734194874763489,-0.038030605763196945,0.0004092704424510632,0.012957366081536748,0.016264012,-2.0019168853759766,-43.10059916973114,0.229248046875,-2.5640041764705876,1257.0
34,85,43520,1277,-0.02657003547938075,0.2,1344,0.9733301401138306,0.024353526532649994,0.0004092704424510632,0.2017932932358235,0.02284909,0.06367820501327515,-43.06080627441406,0.251708984375,-2.5640041764705876,1257.0
34,86,44032,1277,-0.02830119535792619,0.2,1360,0.9721521139144897,-0.03556324169039726,0.0004092704424510632,0.010089229777804576,0.019958273,-1.730961799621582,-43.056893706321716,0.2371826171875,-2.560195971428571,1257.0
34,87,44544,1277,-0.018623913994815666,0.2,1376,0.9713682532310486,0.02386576496064663,0.0004092704424510632,0.22251275251619518,0.016031094,0.1376338005065918,-43.01343750953674,0.101806640625,-2.560195971428571,1257.0
35,88,45056,1277,-0.029216352879302576,0.2,1392,0.9709752202033997,-0.038374632596969604,0.0004092704424510632,0.005390230340708513,0.021047916,-5.665916442871094,-42.99667525291443,0.2545166015625,-2.560195971428571,1257.0
35,89,45568,1276,-0.02300625438510906,0.2,1408,0.9717496037483215,-0.03718782961368561,0.0004092704424510632,0.0050431877170922235,0.0161205,0.0034140348434448242,-42.996920108795166,0.220947265625,-2.565036722222222,1257.0
36,90,46080,1276,-0.017237375272088684,0.2,1424,0.971489667892456,0.026981614530086517,0.0004092704424510632,0.25198073079809546,0.018979928,0.02055877447128296,-43.01348114013672,0.2303466796875,-2.565036722222222,1257.0
36,91,46592,1276,-0.023868091142503545,0.2,1440,0.9718067049980164,-0.027827639132738113,0.0004092704424510632,0.013916008771047927,0.017117783,-2.480010509490967,-43.00792384147644,0.2249755859375,-2.568509351351351,1257.0
36,92,47104,1276,-0.020149717922322452,0.2,1456,0.9721502065658569,0.08752976357936859,0.0004092704424510632,0.25425015669316053,0.017264094,0.08365678787231445,-43.01834833621979,0.1790771484375,-2.568509351351351,1257.0
37,93,47616,1276,-0.02540662144019734,0.2,1472,0.9739974737167358,-0.03830104321241379,0.0004092704424510632,0.012981326042790897,0.02092053,-7.3485212326049805,-43.04385054111481,0.2457275390625,-2.568509351351351,1257.0
37,94,48128,1276,-0.021743196819443256,0.2,1488,0.9758341312408447,-0.038170889019966125,0.0004092704424510632,0.002739290808676742,0.016708732,-0.00025653839111328125,-43.11204695701599,0.209716796875,-2.5632178421052627,1257.0
38,95,48640,1277,-0.021256753083434887,0.2,1504,0.9755656719207764,0.010654302313923836,0.0004092704424510632,0.2329149367287755,0.02055094,0.03706163167953491,-43.13684368133545,0.22265625,-2.5632178421052627,1257.0
38,96,49152,1277,-0.024786370304354932,0.2,1520,0.9744263887405396,-0.03479032590985298,0.0004092704424510632,0.02054048323770985,0.018738937,-8.831756591796875,-43.11026322841644,0.2269287109375,-2.5633135128205122,1257.0
38,97,49664,1277,-0.0279117310710717,0.2,1536,0.9730280637741089,0.07638198882341385,0.0004092704424510632,0.25684957951307297,0.030280579,0.014749765396118164,-43.07183301448822,0.2904052734375,-2.5633135128205122,1257.0
39,98,50176,1277,-0.029745581152383238,0.2,1552,0.9712620377540588,-0.03786151483654976,0.0004092704424510632,0.01734240716905333,0.019504193,-4.33066987991333,-43.024412393569946,0.2449951171875,-2.5633135128205122,1257.0
