time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/value_loss,train/policy_gradient_loss,train/std,train/clip_range,train/clip_fraction,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/approx_kl,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
19,66,33792,1776,0.0030173697778081987,-0.02093866174982395,0.9865182638168335,0.2,0.218017578125,-1.89040207862854,1040,-0.022352341562509537,0.0004092704424510632,0.015901508,-43.49478602409363,-2.2949462692307696,1258.0
19,67,34304,1776,0.006436861120164394,-0.024118296554661356,0.9858170747756958,0.2,0.236572265625,0.060170114040374756,1056,-0.039612721651792526,0.0004092704424510632,0.018682985,-43.50339460372925,-2.2979002592592597,1258.0
19,68,34816,1776,0.09860327036585659,-0.018033644591923803,0.9853150844573975,0.2,0.1246337890625,0.5409870147705078,1072,-0.012844856828451157,0.0004092704424510632,0.020157978,-43.470542430877686,-2.2979002592592597,1258.0
19,69,35328,1776,0.0053774439002154395,-0.024966336524812505,0.9867969155311584,0.2,0.2603759765625,-0.003815293312072754,1088,-0.030622944235801697,0.0004092704424510632,0.022312004,-43.48334801197052,-2.2956133214285717,1258.0
20,70,35840,1775,0.08768506837077439,-0.01655500754714012,0.9871594309806824,0.2,0.146728515625,0.6750367879867554,1104,-0.007473686710000038,0.0004092704424510632,0.016852751,-43.51861822605133,-2.2956133214285717,1258.0
20,71,36352,1775,0.0047213721118168905,-0.02661674410046544,0.9866042733192444,0.2,0.2498779296875,-0.9379512071609497,1120,-0.0318601168692112,0.0004092704424510632,0.018158505,-43.520097494125366,-2.2956133214285717,1258.0
20,72,36864,1776,0.0106748063408304,-0.02537580009084195,0.9858346581459045,0.2,0.2305908203125,0.14848178625106812,1136,-0.030831243842840195,0.0004092704424510632,0.018010342,-43.49202239513397,-2.301026862068966,1258.0
21,73,37376,1776,0.06385252554900944,-0.02055064529122319,0.9844678640365601,0.2,0.1622314453125,0.7096919417381287,1152,-0.028212830424308777,0.0004092704424510632,0.01908808,-43.46521842479706,-2.301026862068966,1258.0
21,74,37888,1777,0.005575747818511445,-0.02251727069960907,0.9831863641738892,0.2,0.2042236328125,-0.3746826648712158,1168,-0.02387024648487568,0.0004092704424510632,0.015618347,-43.415236830711365,-2.303256366666667,1258.0
21,75,38400,1777,0.0796640309272334,-0.023159558535553515,0.982428252696991,0.2,0.1820068359375,0.709243893623352,1184,-0.022748271003365517,0.0004092704424510632,0.019405972,-43.392817735672,-2.303256366666667,1258.0
21,76,38912,1778,0.005054891385952942,-0.028289885667618364,0.9820392727851868,0.2,0.269287109375,-1.217170238494873,1200,-0.03857803717255592,0.0004092704424510632,0.020682614,-43.369439363479614,-2.303256366666667,1258.0
22,77,39424,1777,0.009322174824774265,-0.025843475508736446,0.9823644161224365,0.2,0.26171875,0.3964378237724304,1216,-0.027616512030363083,0.0004092704424510632,0.018618647,-43.37331402301788,-2.302251774193549,1258.0
22,78,39936,1777,0.0652073179371655,-0.018949652891024016,0.9825819134712219,0.2,0.156982421875,0.7429214715957642,1232,-0.01640329137444496,0.0004092704424510632,0.015312014,-43.383652448654175,-2.302251774193549,1258.0
22,79,40448,1777,0.005839593126438558,-0.023527132740127854,0.9815994501113892,0.2,0.2073974609375,-0.3773019313812256,1248,-0.041802164167165756,0.0004092704424510632,0.011922295,-43.37357270717621,-2.2924701875,1258.0
23,80,40960,1776,0.11212921026162803,-0.018185414490289986,0.9816615581512451,0.2,0.119384765625,0.7576287984848022,1264,-0.007313307374715805,0.0004092704424510632,0.02088653,-43.34912872314453,-2.2924701875,1258.0
