time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/clip_fraction,train/explained_variance,train/std,train/learning_rate,train/loss,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/value_loss,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
18,33792,1852,66,0.2044677734375,0.01456916332244873,0.9799917936325073,0.0004092704424510632,0.02146191895008087,0.2,-0.022610236541368067,-43.32248377799988,0.02132707,0.1304734842851758,1040,1223.0,-2.1960831111111108
18,34304,1851,67,0.161376953125,-1.3566160202026367,0.977297842502594,0.0004092704424510632,-0.027937181293964386,0.2,-0.01942093373509124,-43.276854038238525,0.013130339,0.004521693077549571,1056,1223.0,-2.194658964285714
18,34816,1851,68,0.2193603515625,0.07410365343093872,0.9761309623718262,0.0004092704424510632,-0.002345450222492218,0.2,-0.02629498261376284,-43.20570170879364,0.021878377,0.13616167777217925,1072,1223.0,-2.194658964285714
19,35328,1850,69,0.2120361328125,-0.04923689365386963,0.9755263924598694,0.0004092704424510632,-0.04857056960463524,0.2,-0.024575706163886935,-43.18385457992554,0.017492888,0.0031138471968006343,1088,1223.0,-2.194658964285714
19,35840,1850,70,0.262939453125,0.00014215707778930664,0.9774507880210876,0.0004092704424510632,-0.04482830688357353,0.2,-0.030813293255050667,-43.19676113128662,0.019104563,0.0018934878880827455,1104,1223.0,-2.190158068965517
19,36352,1849,71,0.27001953125,0.0017252564430236816,0.9764156937599182,0.0004092704424510632,0.047318361699581146,0.2,-0.028644441554206423,-43.22461938858032,0.024980646,0.22028196463361382,1120,1223.0,-2.190158068965517
19,36864,1849,72,0.2452392578125,0.10421997308731079,0.9752625226974487,0.0004092704424510632,-0.03598625585436821,0.2,-0.026840988066396676,-43.1859530210495,0.020040046,0.0034469282218196895,1136,1223.0,-2.188629666666666
20,37376,1849,73,0.268798828125,0.008301734924316406,0.9741414785385132,0.0004092704424510632,0.03913521021604538,0.2,-0.02626799941936042,-43.14807462692261,0.02908295,0.18997908919118345,1152,1223.0,-2.188629666666666
20,37888,1848,74,0.2364501953125,-0.14892876148223877,0.9726689457893372,0.0004092704424510632,-0.03239002078771591,0.2,-0.025718039163621143,-43.11094605922699,0.01592983,0.005624180310405791,1168,1223.0,-2.188629666666666
20,38400,1848,75,0.231689453125,0.6087063550949097,0.9730923771858215,0.0004092704424510632,-0.03571495786309242,0.2,-0.02285926547483541,-43.08263337612152,0.017806754,0.008009836208657362,1184,1223.0,-2.188946774193548
