time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/std,train/policy_gradient_loss,train/approx_kl,train/loss,train/value_loss,train/entropy_loss,train/learning_rate,train/clip_range,train/explained_variance,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
1948,49,12,100352,0.2672119140625,0.9385490417480469,-0.025569291756255552,0.02461892,0.1576685756444931,0.3988661039620638,-41.91065740585327,0.0004092704424510632,0.2,3.0994415283203125e-06,3120,1258.0,-3.16513817721519
1948,50,13,100864,0.28759765625,0.9369133114814758,-0.028654710768023506,0.021016873,-0.04280223324894905,0.015068889857502654,-41.877878069877625,0.0004092704424510632,0.2,1.4841556549072266e-05,3136,1258.0,-3.16454625
1948,51,13,101376,0.254638671875,0.9376987218856812,-0.027199836971703917,0.021651095,0.1555507779121399,0.4122138377279043,-41.85393273830414,0.0004092704424510632,0.2,4.291534423828125e-06,3152,1258.0,-3.16454625
1947,52,13,101888,0.2738037109375,0.9390228986740112,-0.027087611582828686,0.023106396,-0.03007037378847599,0.014070695004193112,-41.891231298446655,0.0004092704424510632,0.2,7.88569450378418e-05,3168,1258.0,-3.16454625
1946,53,13,102400,0.2205810546875,0.9394678473472595,-0.024979113310109824,0.015912991,-0.04239261895418167,0.005156763902050443,-41.92018496990204,0.0004092704424510632,0.2,4.112720489501953e-05,3184,1258.0,-3.1622015308641975
1946,54,14,102912,0.33984375,0.9376089572906494,-0.021760790230473503,0.03896388,0.046107664704322815,0.16695909074041992,-41.895477414131165,0.0004092704424510632,0.2,8.106231689453125e-06,3200,1258.0,-3.1622015308641975
1945,55,14,103424,0.320068359375,0.9368945956230164,-0.02721115169697441,0.032615352,-0.043168194591999054,0.011092169967014343,-41.85163080692291,0.0004092704424510632,0.2,0.00010085105895996094,3216,1258.0,-3.16004818292683
1944,56,14,103936,0.269287109375,0.9363724589347839,-0.027887072032172,0.025749464,0.17193350195884705,0.46428201254457235,-41.83470964431763,0.0004092704424510632,0.2,2.5033950805664062e-06,3232,1258.0,-3.16004818292683
1944,57,15,104448,0.2662353515625,0.9369698166847229,-0.024122043512761593,0.025025962,-0.03700743615627289,0.011023549785022624,-41.830915689468384,0.0004092704424510632,0.2,1.3828277587890625e-05,3248,1258.0,-3.156252602409639
1944,58,15,104960,0.2275390625,0.9361381530761719,-0.024430894118268043,0.021124601,0.1539190411567688,0.4360269606113434,-41.83933877944946,0.0004092704424510632,0.2,1.5497207641601562e-06,3264,1258.0,-3.156252602409639
1944,59,15,105472,0.2193603515625,0.9356252551078796,-0.02189276076387614,0.014682949,-0.021609075367450714,0.003056365079828538,-41.80321907997131,0.0004092704424510632,0.2,1.4722347259521484e-05,3280,1258.0,-3.156252602409639
