time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/loss,train/clip_range,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/entropy_loss,train/approx_kl,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
27136,1310,53,20,-0.02495034836465493,0.020485427230596542,0.2,0.9876807332038879,0.24610003596171737,0.2742919921875,832,0.0004092704424510632,-43.54117226600647,0.024835818,0.021328449249267578,-2.7902099999999996,1258.0
27648,1310,54,21,-0.026876656018430367,-0.03607013076543808,0.2,0.9896126985549927,0.011300146114081144,0.2415771484375,848,0.0004092704424510632,-43.57596147060394,0.020822695,-1.4702987670898438,-2.7902099999999996,1258.0
28160,1311,55,21,-0.02716495307686273,-0.03753113001585007,0.2,0.9911021590232849,0.004612688870111015,0.2525634765625,864,0.0004092704424510632,-43.642345905303955,0.020304091,0.11011272668838501,-2.795453818181818,1258.0
28672,1310,56,21,-0.01790774569963105,0.04819035157561302,0.2,0.990659236907959,0.18419774901121855,0.1732177734375,880,0.0004092704424510632,-43.653480887413025,0.02124213,0.07471907138824463,-2.795453818181818,1258.0
29184,1310,57,22,-0.02188713214127347,-0.024307632818818092,0.2,0.9907087087631226,0.025944805791368708,0.2099609375,896,0.0004092704424510632,-43.641578912734985,0.020050555,-6.337095737457275,-2.7952270434782607,1258.0
29696,1310,58,22,-0.02431069225713145,0.00755772739648819,0.2,0.9905940294265747,0.19580557313747704,0.25244140625,912,0.0004092704424510632,-43.643412828445435,0.017993785,0.03428506851196289,-2.7952270434782607,1258.0
30208,1310,59,23,-0.02600782783702016,-0.030009785667061806,0.2,0.9896673560142517,0.012192104535643011,0.2393798828125,928,0.0004092704424510632,-43.63492679595947,0.020292727,-1.109537124633789,-2.7886002083333334,1258.0
30720,1309,60,23,-0.016643834562273696,0.031591299921274185,0.2,0.9879065752029419,0.15419220551848412,0.104736328125,944,0.0004092704424510632,-43.58465838432312,0.016859682,0.24841123819351196,-2.7886002083333334,1258.0
31232,1309,61,23,-0.02060791636176873,-0.025850754231214523,0.2,0.9882975220680237,0.004372508428787114,0.1849365234375,960,0.0004092704424510632,-43.55794394016266,0.012733768,-5.326444149017334,-2.7886002083333334,1258.0
31744,1309,62,24,-0.02871194129693322,-0.023625412955880165,0.2,0.988231360912323,0.0035145185538567603,0.2938232421875,976,0.0004092704424510632,-43.57025706768036,0.031371713,-0.0363161563873291,-2.79563564,1258.0
32256,1309,63,24,-0.018699448672123253,0.01655254140496254,0.2,0.9883983135223389,0.2321315067820251,0.1319580078125,992,0.0004092704424510632,-43.5639328956604,0.018147483,0.11458462476730347,-2.79563564,1258.0
32768,1309,64,25,-0.029133109172107652,-0.03652944415807724,0.2,0.9882342219352722,0.012549312552437186,0.339111328125,1008,0.0004092704424510632,-43.57028615474701,0.02302735,-1.9898216724395752,-2.7931160769230767,1258.0
33280,1309,65,25,-0.017864345252746716,0.023297172039747238,0.2,0.9878271222114563,0.22801813436672091,0.1224365234375,1024,0.0004092704424510632,-43.55595874786377,0.01812454,0.21416258811950684,-2.7931160769230767,1258.0
33792,1308,66,25,-0.02700914171873592,-0.041615139693021774,0.2,0.9884870648384094,0.01776732130383607,0.2716064453125,1040,0.0004092704424510632,-43.55579900741577,0.027421782,-2.5798609256744385,-2.7931160769230767,1258.0
34304,1308,67,26,-0.02707548116450198,-0.03964678570628166,0.2,0.9909823536872864,0.0026055067537527066,0.2479248046875,1056,0.0004092704424510632,-43.61005425453186,0.01764996,-0.3172096014022827,-2.783994629629629,1258.0
34816,1308,68,26,-0.0164481974352384,0.025308173149824142,0.2,0.9915048480033875,0.252709828549996,0.087646484375,1072,0.0004092704424510632,-43.660396218299866,0.014340688,0.17543655633926392,-2.783994629629629,1258.0
35328,1308,69,26,-0.021949749629129656,-0.024342771619558334,0.2,0.9917428493499756,0.01130751684831921,0.23779296875,1088,0.0004092704424510632,-43.65924096107483,0.018192202,-3.6628427505493164,-2.7837552499999996,1258.0
35840,1308,70,27,-0.016349364683264866,0.05664913356304169,0.2,0.9918728470802307,0.3276110398583114,0.103515625,1104,0.0004092704424510632,-43.67134511470795,0.013032917,0.0525781512260437,-2.7837552499999996,1258.0
36352,1308,71,27,-0.023790881314198487,-0.01902375929057598,0.2,0.9924835562705994,0.009922189274220727,0.259765625,1120,0.0004092704424510632,-43.67675828933716,0.018094238,-4.5723161697387695,-2.7837552499999996,1258.0
36864,1308,72,28,-0.024749462900217623,-0.03901999443769455,0.2,0.9912629127502441,0.002372720784478588,0.2320556640625,1136,0.0004092704424510632,-43.6792653799057,0.01595302,-0.008973956108093262,-2.7800811724137926,1258.0
37376,1308,73,28,-0.01816219257307239,0.07433129101991653,0.2,0.9906346797943115,0.37071256223134696,0.107177734375,1152,0.0004092704424510632,-43.638832092285156,0.016891394,0.08214491605758667,-2.7800811724137926,1258.0
37888,1308,74,28,-0.025199612631695345,-0.03889232501387596,0.2,0.991035521030426,0.01662258230498992,0.260498046875,1168,0.0004092704424510632,-43.6346720457077,0.021578902,-2.604121446609497,-2.7752819,1258.0
38400,1308,75,29,-0.01864366215886548,0.07086021453142166,0.2,0.9910963773727417,0.356369589921087,0.1148681640625,1184,0.0004092704424510632,-43.644906401634216,0.015980355,0.20020270347595215,-2.7752819,1258.0
38912,1308,76,29,-0.03447754328226438,-0.04842929542064667,0.2,0.9914795160293579,0.00823742087231949,0.335205078125,1200,0.0004092704424510632,-43.64985477924347,0.028177502,-5.970276832580566,-2.7752819,1258.0
39424,1307,77,30,-0.028507272654678673,-0.04448315128684044,0.2,0.9916813969612122,0.004207436133583542,0.2763671875,1216,0.0004092704424510632,-43.65707445144653,0.019140564,0.0340312123298645,-2.778856709677419,1258.0
39936,1306,78,30,-0.016841050310176797,0.12321425974369049,0.2,0.9919320344924927,0.4154834558721632,0.089599609375,1232,0.0004092704424510632,-43.66568303108215,0.013582574,0.10659581422805786,-2.778856709677419,1258.0
40448,1306,79,30,-0.027752469082770403,-0.0330970399081707,0.2,0.9944126009941101,0.020460574654862285,0.2806396484375,1248,0.0004092704424510632,-43.698577761650085,0.027147349,-2.4461920261383057,-2.7719373125,1258.0
40960,1306,80,31,-0.011760398585465737,0.13342732191085815,0.2,0.9953440427780151,0.40908363414928317,0.0517578125,1264,0.0004092704424510632,-43.76652133464813,0.011240032,0.23557883501052856,-2.7719373125,1258.0
41472,1306,81,31,-0.020159866398898885,0.010662177577614784,0.2,0.9946855306625366,0.0811521599534899,0.2266845703125,1280,0.0004092704424510632,-43.76538276672363,0.022954289,-0.20495843887329102,-2.7719373125,1258.0
41984,1306,82,32,-0.024567110333009623,-0.014645380899310112,0.2,0.9928270578384399,0.0561203642282635,0.2366943359375,1296,0.0004092704424510632,-43.72763276100159,0.019946767,0.5185480117797852,-2.7667784242424243,1258.0
42496,1306,83,32,-0.022796180506702513,0.012237422168254852,0.2,0.9928923845291138,0.1685718521475792,0.180908203125,1312,0.0004092704424510632,-43.68715500831604,0.020228662,0.7464802861213684,-2.7667784242424243,1258.0
43008,1306,84,32,-0.027707683941116557,-0.03174861520528793,0.2,0.9941343069076538,0.034287946473341435,0.22412109375,1328,0.0004092704424510632,-43.7100944519043,0.026426677,-4.614614486694336,-2.7639230588235293,1258.0
43520,1306,85,33,-0.014464520150795579,0.05631108582019806,0.2,0.9942912459373474,0.461233678041026,0.0706787109375,1344,0.0004092704424510632,-43.73296916484833,0.011872136,0.08489847183227539,-2.7639230588235293,1258.0
44032,1306,86,33,-0.02064947522012517,-0.025844363495707512,0.2,0.994329035282135,0.013703645745408721,0.2178955078125,1360,0.0004092704424510632,-43.73027145862579,0.019908186,-3.0396647453308105,-2.7605049142857143,1258.0
44544,1306,87,34,-0.009274852112866938,0.04464494436979294,0.2,0.9939989447593689,0.4214998669922352,0.0552978515625,1376,0.0004092704424510632,-43.73073732852936,0.012247416,0.13333064317703247,-2.7605049142857143,1258.0
