time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/n_updates,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/learning_rate,train/loss,train/explained_variance,train/std,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean
39,16,19968,1237,608,0.2225341796875,-43.63298749923706,-0.023283746355446056,0.018507637,0.2,0.0004092704424510632,-0.03374480828642845,-1.571274995803833,0.9893774390220642,0.0037877310169278644,-2.1656205999999996,1258.0
40,16,20480,1237,624,0.204833984375,-43.65369963645935,-0.018950039899209514,0.020470954,0.2,0.0004092704424510632,-0.016572948545217514,0.09394431114196777,0.9912502765655518,0.004951099894242361,-2.1676644375,1258.0
41,16,20992,1237,640,0.18359375,-43.6991583108902,-0.019700848701177165,0.019872963,0.2,0.0004092704424510632,-0.0042555443942546844,0.2495386004447937,0.9916571378707886,0.059751521330326796,-2.1676644375,1258.0
42,17,21504,1237,656,0.213134765625,-43.688488721847534,-0.025028313510119915,0.016451184,0.2,0.0004092704424510632,-0.03280145674943924,-4.118567943572998,0.9906319379806519,0.0036667750719061587,-2.1621509411764706,1258.0
43,17,22016,1237,672,0.1668701171875,-43.65519571304321,-0.01980878214817494,0.018313259,0.2,0.0004092704424510632,-0.013717936351895332,0.272505521774292,0.9897742867469788,0.05558669660240412,-2.1621509411764706,1258.0
44,18,22528,1237,688,0.2384033203125,-43.627370953559875,-0.025879030785290524,0.01862069,0.2,0.0004092704424510632,-0.03175860270857811,-3.137160301208496,0.9888497591018677,0.0018968281729030423,-2.1621509411764706,1258.0
45,18,23040,1237,704,0.2620849609375,-43.60736119747162,-0.027097428195702378,0.025974203,0.2,0.0004092704424510632,-0.028617508709430695,0.278192400932312,0.9886736869812012,0.004762324002513196,-2.162337111111111,1258.0
46,19,23552,1237,720,0.2076416015625,-43.604732394218445,-0.024450891214655712,0.028638091,0.2,0.0004092704424510632,-0.018334118649363518,0.5946643352508545,0.9887688755989075,0.05400177469709888,-2.162337111111111,1258.0
47,19,24064,1237,736,0.2744140625,-43.61055552959442,-0.02910413790959865,0.01581898,0.2,0.0004092704424510632,-0.04106103256344795,-0.25799787044525146,0.9888195395469666,0.0059988224020344205,-2.162986842105263,1258.0
48,19,24576,1237,752,0.219970703125,-43.603986501693726,-0.023982030019396916,0.023165725,0.2,0.0004092704424510632,-0.023901283740997314,0.5961331129074097,0.9883913993835449,0.0650054452707991,-2.162986842105263,1258.0
49,20,25088,1236,768,0.185791015625,-43.59645652770996,-0.022283462138148025,0.014530327,0.2,0.0004092704424510632,-0.03883462771773338,-7.583478927612305,0.9884681105613708,0.0021351239829527913,-2.162986842105263,1258.0
50,20,25600,1236,784,0.267822265625,-43.60379457473755,-0.029064693924738094,0.022086162,0.2,0.0004092704424510632,-0.0418623611330986,0.33892446756362915,0.9886074662208557,0.004109175381017849,-2.1607136499999995,1258.0
51,21,26112,1236,800,0.180419921875,-43.58086895942688,-0.020277708375942893,0.018414259,0.2,0.0004092704424510632,-0.024515502154827118,0.5451631546020508,0.9867638945579529,0.04309902427485213,-2.1607136499999995,1258.0
52,21,26624,1236,816,0.253662109375,-43.53750383853912,-0.0294992948329309,0.017592646,0.2,0.0004092704424510632,-0.04127522557973862,-1.0852763652801514,0.9866012930870056,0.0061358505772659555,-2.1631707619047615,1258.0
53,21,27136,1236,832,0.184326171875,-43.544265270233154,-0.021442718549224082,0.021804065,0.2,0.0004092704424510632,-0.003972142934799194,0.6679672598838806,0.9866842031478882,0.06977933167945594,-2.1631707619047615,1258.0
54,22,27648,1235,848,0.219970703125,-43.52201557159424,-0.02220318603212945,0.014963072,0.2,0.0004092704424510632,-0.04437056928873062,-1.8776280879974365,0.9847651124000549,0.002078126224660082,-2.1631707619047615,1258.0
55,22,28160,1235,864,0.2186279296875,-43.44652283191681,-0.023970065885805525,0.015014317,0.2,0.0004092704424510632,-0.01986607350409031,0.5691500902175903,0.9823623895645142,0.009001025871839374,-2.1596987727272725,1258.0
56,23,28672,1235,880,0.226806640625,-43.41303026676178,-0.024044906138442457,0.028676331,0.2,0.0004092704424510632,-0.030689522624015808,0.5598625540733337,0.9825439453125,0.034330714435782284,-2.1596987727272725,1258.0
57,23,29184,1234,896,0.2120361328125,-43.40615129470825,-0.022640263501671143,0.01656098,0.2,0.0004092704424510632,-0.039836518466472626,-0.3917052745819092,0.9815850853919983,0.00534888484980911,-2.1585140434782604,1258.0
58,24,29696,1234,912,0.168701171875,-43.36414170265198,-0.022279118296864908,0.023574814,0.2,0.0004092704424510632,-0.005873430520296097,0.4705338478088379,0.9799827337265015,0.07901869219494984,-2.1585140434782604,1258.0
59,24,30208,1234,928,0.2322998046875,-43.34407413005829,-0.02429998699517455,0.018221743,0.2,0.0004092704424510632,-0.021072247996926308,-0.5662291049957275,0.9811127781867981,0.003336543515615631,-2.1526992916666665,1258.0
60,24,30720,1234,944,0.1260986328125,-43.37823152542114,-0.011564789252588525,0.013936089,0.2,0.0004092704424510632,0.007072160020470619,0.5100079774856567,0.9810428619384766,0.12440287135541439,-2.1526992916666665,1258.0
61,25,31232,1234,960,0.237060546875,-43.37494361400604,-0.022829826833913103,0.016454305,0.2,0.0004092704424510632,-0.03155083954334259,-1.5631754398345947,0.9815645813941956,0.004567855256027542,-2.1526992916666665,1258.0
62,25,31744,1234,976,0.22998046875,-43.38043034076691,-0.026936038018902764,0.014437948,0.2,0.0004092704424510632,-0.04154161363840103,0.13717281818389893,0.9809232354164124,0.001677530022789142,-2.14758908,1258.0
63,26,32256,1233,992,0.0838623046875,-43.36390447616577,-0.012960572690644767,0.015085736,0.2,0.0004092704424510632,0.044286295771598816,0.31546270847320557,0.9809787273406982,0.14382158068474382,-2.14758908,1258.0
64,26,32768,1233,1008,0.1923828125,-43.36918103694916,-0.024185575486626476,0.011071857,0.2,0.0004092704424510632,-0.036257125437259674,-1.8240652084350586,0.9813441634178162,0.004772169850184582,-2.1510405,1258.0
65,26,33280,1233,1024,0.1156005859375,-43.37684965133667,-0.017739245580742136,0.014463024,0.2,0.0004092704424510632,0.015751739963889122,0.44030827283859253,0.9812164306640625,0.14711489726323634,-2.1510405,1258.0
66,27,33792,1232,1040,0.2933349609375,-43.375208377838135,-0.027979504942777567,0.026863066,0.2,0.0004092704424510632,-0.05578833073377609,-3.2135348320007324,0.981472373008728,0.0028972978980164044,-2.1510405,1258.0
67,27,34304,1232,1056,0.1947021484375,-43.385207533836365,-0.019242223963374272,0.02043828,0.2,0.0004092704424510632,-0.016541391611099243,0.10250973701477051,0.9822087287902832,0.0037761230632895604,-2.1491922962962966,1258.0
68,28,34816,1232,1072,0.10546875,-43.398597717285156,-0.015205089206574485,0.016605124,0.2,0.0004092704424510632,-3.688409924507141e-05,0.2908416986465454,0.9820016026496887,0.1838366879383102,-2.1491922962962966,1258.0
69,28,35328,1232,1088,0.2056884765625,-43.377607464790344,-0.027131104172440246,0.012791947,0.2,0.0004092704424510632,-0.04599180817604065,-1.5590219497680664,0.9813141226768494,0.0039789124566596,-2.1461180357142857,1258.0
70,29,35840,1232,1104,0.1168212890625,-43.354841113090515,-0.01513110308587784,0.020483175,0.2,0.0004092704424510632,0.019608108326792717,0.4135856628417969,0.9809150099754333,0.16903927770908922,-2.1461180357142857,1258.0
71,29,36352,1231,1120,0.29345703125,-43.32776427268982,-0.026329648128012195,0.019481415,0.2,0.0004092704424510632,-0.041977059096097946,-1.4499053955078125,0.9793668985366821,0.002378246070293244,-2.1461180357142857,1258.0
72,29,36864,1230,1136,0.2822265625,-43.253414273262024,-0.03056262391328346,0.015901737,0.2,0.0004092704424510632,-0.04281798005104065,0.39406996965408325,0.9760845303535461,0.0037413831159938127,-2.1469641379310347,1258.0
73,30,37376,1230,1152,0.1533203125,-43.16684055328369,-0.020900814153719693,0.017275508,0.2,0.0004092704424510632,0.0017565228044986725,0.4416726231575012,0.9748478531837463,0.15912693506106734,-2.1469641379310347,1258.0
74,30,37888,1230,1168,0.2469482421875,-43.16608786582947,-0.02448668942815857,0.016396925,0.2,0.0004092704424510632,-0.03890344500541687,-1.7287652492523193,0.9758115410804749,0.005996456937282346,-2.1444530666666664,1258.0
75,31,38400,1230,1184,0.09912109375,-43.19290566444397,-0.0149968134064693,0.01855106,0.2,0.0004092704424510632,0.013479199260473251,0.15764117240905762,0.9763683676719666,0.2720439611002803,-2.1444530666666664,1258.0
76,31,38912,1230,1200,0.2777099609375,-43.20654797554016,-0.023075666904333048,0.014873511,0.2,0.0004092704424510632,-0.035286806523799896,-0.6461696624755859,0.9769824147224426,0.005730358199798502,-2.1444530666666664,1258.0
77,32,39424,1230,1216,0.2149658203125,-43.199702739715576,-0.021088681038236246,0.015073416,0.2,0.0004092704424510632,-0.022361064329743385,0.5648488998413086,0.9754124283790588,0.005443984722660389,-2.148124774193548,1258.0
78,32,39936,1229,1232,0.2293701171875,-43.15276300907135,-0.02680857214727439,0.0282863,0.2,0.0004092704424510632,-0.01587364636361599,0.5531688928604126,0.974955141544342,0.13956130668520927,-2.148124774193548,1258.0
