time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/std,train/learning_rate,train/loss,train/explained_variance,train/n_updates,train/clip_fraction,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
1272,167424,33,13,0.2,-0.02291127006174065,0.020830647699767724,-42.3573237657547,0.9572969079017639,0.0004092704424510632,-0.03874162957072258,-17.319284439086914,5216,0.2415771484375,0.02160246,-2.0994796399999998,1258.0
1272,167936,34,13,0.2,-0.02051084121922031,0.5377649888396263,-42.34540498256683,0.9568990468978882,0.0004092704424510632,0.05854129418730736,0.32388466596603394,5232,0.127685546875,0.0155446455,-2.0994796399999998,1258.0
1271,168448,35,14,0.2,-0.02255919622257352,0.008423202583799139,-42.32832062244415,0.9560818672180176,0.0004092704424510632,-0.03188537061214447,-9.44085693359375,5248,0.245849609375,0.020699523,-2.0994796399999998,1258.0
1270,168960,36,14,0.2,-0.02722147035819944,0.005073149877716787,-42.29387068748474,0.9550980925559998,0.0004092704424510632,-0.02399301342666149,0.004433333873748779,5264,0.2327880859375,0.015189069,-2.09809251,1258.0
1270,169472,37,14,0.2,-0.024764578934991732,0.48414378706365824,-42.27589190006256,0.9552225470542908,0.0004092704424510632,0.023197133094072342,0.33788013458251953,5280,0.161376953125,0.022201046,-2.09809251,1258.0
1270,169984,38,15,0.2,-0.02563810056017246,0.016834403955726884,-42.30745077133179,0.9572085738182068,0.0004092704424510632,-0.02617359347641468,-17.869569778442383,5296,0.2794189453125,0.022557972,-2.09745286,1258.0
1269,170496,39,15,0.2,-0.009530453480692813,0.7096026530489326,-42.35509669780731,0.9577265381813049,0.0004092704424510632,0.07156659662723541,0.14811193943023682,5312,0.0614013671875,0.013126383,-2.09745286,1258.0
1268,171008,40,16,0.2,-0.02607146420632489,0.00457142865343485,-42.36426079273224,0.9582605957984924,0.0004092704424510632,-0.026839202269911766,-14.657646179199219,5328,0.2869873046875,0.024555407,-2.09745286,1258.0
1268,171520,41,16,0.2,-0.02858061480219476,0.0038974934795987792,-42.337623715400696,0.9552419185638428,0.0004092704424510632,-0.046114176511764526,0.025150418281555176,5344,0.29541015625,0.019633748,-2.0967315000000006,1258.0
1267,172032,42,16,0.2,-0.019664272942463867,0.4415803444571793,-42.25264012813568,0.9542149305343628,0.0004092704424510632,0.02959398925304413,0.4423404335975647,5360,0.1419677734375,0.023843873,-2.0967315000000006,1258.0
1266,172544,43,17,0.2,-0.01727787745767273,0.017076015094062313,-42.228776812553406,0.952924370765686,0.0004092704424510632,-0.02723952941596508,-11.582000732421875,5376,0.1900634765625,0.016084114,-2.0954967900000003,1258.0
1266,173056,44,17,0.2,-0.01912252233887557,0.5955862901173532,-42.1992130279541,0.952479898929596,0.0004092704424510632,0.04714463651180267,0.28068608045578003,5392,0.1005859375,0.018434867,-2.0954967900000003,1258.0
1265,173568,45,18,0.2,-0.02683499621343799,0.012648262818402145,-42.18621802330017,0.9517630338668823,0.0004092704424510632,-0.03039447031915188,-9.301642417907715,5408,0.287353515625,0.023631848,-2.0954967900000003,1258.0
1264,174080,46,18,0.2,-0.027643915091175586,0.013005360000533983,-42.14504253864288,0.9494775533676147,0.0004092704424510632,-0.03657946735620499,0.09364336729049683,5424,0.2930908203125,0.019874949,-2.0966277700000004,1258.0
1264,174592,47,19,0.2,-0.012614423350896686,0.276717476779595,-42.073753237724304,0.9481790065765381,0.0004092704424510632,0.01092500239610672,0.35447657108306885,5440,0.1456298828125,0.02713913,-2.0966277700000004,1258.0
1264,175104,48,19,0.2,-0.02852509214426391,0.008243486990977544,-42.07310509681702,0.9499221444129944,0.0004092704424510632,-0.039018310606479645,-7.201534271240234,5456,0.3109130859375,0.033565246,-2.09513052,1258.0
1264,175616,49,19,0.2,-0.018232796792290173,0.5462640840560198,-42.13489091396332,0.9509702920913696,0.0004092704424510632,0.07166566699743271,0.3632715940475464,5472,0.1170654296875,0.018030822,-2.09513052,1258.0
1263,176128,50,20,0.2,-0.020416738669155166,0.005098171492136316,-42.149195075035095,0.9508419036865234,0.0004092704424510632,-0.03184692561626434,-10.491931915283203,5488,0.24560546875,0.021242602,-2.09330201,1258.0
1263,176640,51,20,0.2,-0.014114918478298932,0.5907680774107575,-42.15072953701019,0.950749933719635,0.0004092704424510632,0.09957447648048401,0.5035221576690674,5504,0.1141357421875,0.014759477,-2.09330201,1258.0
1263,177152,52,21,0.2,-0.024300405639223754,0.010899755245191045,-42.145291447639465,0.9505791068077087,0.0004092704424510632,-0.02343018166720867,-11.260470390319824,5520,0.271728515625,0.021881595,-2.09330201,1258.0
1263,177664,53,21,0.2,-0.02586712177435402,0.004632242664229125,-42.1362726688385,0.9502072334289551,0.0004092704424510632,-0.0316658653318882,0.00437617301940918,5536,0.2724609375,0.02000229,-2.0958249299999996,1258.0
