time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/n_updates,train/value_loss,train/std,train/clip_range,train/loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
19456,38,1641,11,0.1517333984375,-44.00468313694,-0.020601594558684155,0.0004092704424510632,0.019541115,592,0.10684963373932987,1.001219391822815,0.2,-0.005559530109167099,0.19238990545272827,-2.6917283333333333,1258.0
19968,39,1640,12,0.2161865234375,-44.0050345659256,-0.022487662281491794,0.0004092704424510632,0.021901779,608,0.0032622287653794046,1.0017731189727783,0.2,-0.022349510341882706,-4.1846818923950195,-2.6917283333333333,1258.0
20480,40,1639,12,0.2564697265625,-43.99923801422119,-0.023780981282470748,0.0004092704424510632,0.01808106,624,0.010550234248512425,1.0007566213607788,0.2,-0.031075984239578247,0.045838236808776855,-2.6947633125,1258.0
20992,41,1638,12,0.2301025390625,-43.98173379898071,-0.02452726363844704,0.0004092704424510632,0.016885381,640,0.09392997191753238,1.0011934041976929,0.2,-0.003339724615216255,0.21893185377120972,-2.6947633125,1258.0
21504,42,1637,13,0.28662109375,-43.98231065273285,-0.028364278055960312,0.0004092704424510632,0.01589352,656,0.012374183075735345,1.0001157522201538,0.2,-0.024490881711244583,-0.34158146381378174,-2.696189823529412,1258.0
22016,43,1637,13,0.220703125,-43.93951749801636,-0.026069747618748806,0.0004092704424510632,0.020029794,672,0.09953250573016703,0.9990277886390686,0.2,-0.0037582311779260635,0.5029507875442505,-2.696189823529412,1258.0
22528,44,1637,13,0.261962890625,-43.94067966938019,-0.026682798641559202,0.0004092704424510632,0.019930616,688,0.003227967350539984,1.000638723373413,0.2,-0.04478142037987709,-2.733212471008301,-2.696189823529412,1258.0
23040,45,1637,14,0.2818603515625,-43.981590151786804,-0.029863342555472627,0.0004092704424510632,0.020363797,704,0.008179976968676783,1.0007864236831665,0.2,-0.03374147415161133,0.10209435224533081,-2.684083166666667,1258.0
23552,46,1637,14,0.19287109375,-43.97863805294037,-0.020003875804832205,0.0004092704424510632,0.019301886,720,0.13373865094035864,1.0010015964508057,0.2,-0.019825266674160957,0.3636165261268616,-2.684083166666667,1258.0
24064,47,1636,14,0.269775390625,-43.991554856300354,-0.029120339662767947,0.0004092704424510632,0.021900762,736,0.006318583415122703,1.0014721155166626,0.2,-0.052146174013614655,-1.3204829692840576,-2.6759575789473686,1258.0
