time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/clip_fraction,train/std,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/approx_kl,train/clip_range,train/n_updates,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
30208,1938,15,59,0.201171875,0.9983958601951599,-0.03674756735563278,-43.86600601673126,-0.024728566320845857,0.002867237515602028,0.12028205394744873,0.0145516,0.2,928,0.0004092704424510632,-2.6816342499999997,1258.0
30720,1938,15,60,0.278076171875,0.9979225397109985,0.06778812408447266,-43.85548210144043,-0.027554904314456508,0.24738889653235674,-0.009265422821044922,0.031597205,0.2,944,0.0004092704424510632,-2.6816342499999997,1258.0
31232,1936,16,61,0.243896484375,0.9990200400352478,-0.0351615734398365,-43.85762655735016,-0.027718181430827826,0.0027456543684820645,0.00017148256301879883,0.01665787,0.2,960,0.0004092704424510632,-2.6816342499999997,1258.0
31744,1936,16,62,0.2586669921875,0.998928964138031,-0.03509317338466644,-43.88088810443878,-0.02868667582515627,0.010516259659198113,0.0009770989418029785,0.023394555,0.2,976,0.0004092704424510632,-2.67969344,1258.0
32256,1935,16,63,0.1976318359375,0.9977880120277405,0.11051688343286514,-43.858449816703796,-0.019813281047390774,0.26012340281158686,7.12275505065918e-05,0.015666468,0.2,992,0.0004092704424510632,-2.67969344,1258.0
32768,1935,16,64,0.2552490234375,0.9968258142471313,-0.05008356273174286,-43.82372200489044,-0.024845966341672465,0.01039399359433446,-8.690357208251953e-05,0.023741415,0.2,1008,0.0004092704424510632,-2.674718192307692,1258.0
33280,1935,17,65,0.1597900390625,0.9956313371658325,0.08439912647008896,-43.79725122451782,-0.019588449562434107,0.2409668737091124,-5.245208740234375e-05,0.012462254,0.2,1024,0.0004092704424510632,-2.674718192307692,1258.0
33792,1935,17,66,0.2171630859375,0.9955804347991943,-0.033968184143304825,-43.762372732162476,-0.024939679700764827,0.003769843351619784,0.00013202428817749023,0.018282369,0.2,1040,0.0004092704424510632,-2.674718192307692,1258.0
34304,1935,17,67,0.227294921875,0.9951134324073792,-0.02716999128460884,-43.76001036167145,-0.02515160309849307,0.013520684238756076,0.0006051063537597656,0.017222455,0.2,1056,0.0004092704424510632,-2.6725778888888887,1258.0
34816,1935,17,68,0.1983642578125,0.994564414024353,0.07203996181488037,-43.73989272117615,-0.02255762206914369,0.2482227748259902,6.80685043334961e-05,0.014700981,0.2,1072,0.0004092704424510632,-2.6725778888888887,1258.0
