time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/clip_range,train/clip_fraction,train/std,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/learning_rate,train/approx_kl,train/loss,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1722,37,126,64512,0.2,0.2132568359375,0.950490415096283,-42.37531816959381,-0.022621029551373795,-0.060442209243774414,2000,0.0004092704424510632,0.015671551,-0.03340393304824829,0.002824182651238516,1257.0,-2.51775931372549
1721,37,127,65024,0.2,0.224853515625,0.9506469368934631,-42.356120109558105,-0.020551128080114722,0.08379089832305908,2016,0.0004092704424510632,0.019334394,-0.006076104938983917,0.14053144620265812,1257.0,-2.51775931372549
1721,38,128,65536,0.2,0.2203369140625,0.94996577501297,-42.35705530643463,-0.02468368216068484,-5.608463764190674,2032,0.0004092704424510632,0.019009901,-0.03522918373346329,0.029712321265833452,1257.0,-2.5173751346153845
1721,38,129,66048,0.2,0.23779296875,0.9498571157455444,-42.33700740337372,-0.021394959068857133,0.05689769983291626,2048,0.0004092704424510632,0.017691527,-0.0014076214283704758,0.1191982013406232,1257.0,-2.5173751346153845
1720,38,130,66560,0.2,0.2203369140625,0.9520968794822693,-42.365819692611694,-0.02488444882328622,-4.744997978210449,2064,0.0004092704424510632,0.018239543,-0.03072378598153591,0.007326347971684299,1257.0,-2.5173751346153845
1720,38,131,67072,0.2,0.2650146484375,0.95014488697052,-42.39026439189911,-0.029196048722951673,0.006566524505615234,2080,0.0004092704424510632,0.01834165,-0.042990922927856445,0.0016111129316414008,1257.0,-2.517194811320754
1720,39,132,67584,0.2,0.3409423828125,0.9482734203338623,-42.30716836452484,-0.02820356620941311,0.024515271186828613,2096,0.0004092704424510632,0.040622704,-0.0003472156822681427,0.14000463974662125,1257.0,-2.517194811320754
1719,39,133,68096,0.2,0.2418212890625,0.9488900899887085,-42.29004454612732,-0.026730845565907657,-4.7532639503479,2112,0.0004092704424510632,0.017115097,-0.032789234071969986,0.00545674106979277,1257.0,-2.518257796296296
1719,39,134,68608,0.2,0.2686767578125,0.9486117362976074,-42.3043977022171,-0.023758482857374474,0.03208523988723755,2128,0.0004092704424510632,0.0236005,0.006879594177007675,0.16583345946855843,1257.0,-2.518257796296296
1719,40,135,69120,0.2,0.2701416015625,0.9501500129699707,-42.315550565719604,-0.026113501604413614,-2.336775064468384,2144,0.0004092704424510632,0.019573383,-0.03276768699288368,0.012297561712330207,1257.0,-2.518257796296296
1719,40,136,69632,0.2,0.2574462890625,0.950019359588623,-42.34998428821564,-0.030103309865808114,0.34404456615448,2160,0.0004092704424510632,0.02131692,-0.03229668363928795,0.009765709342900664,1257.0,-2.5158712
1719,40,137,70144,0.2,0.2969970703125,0.9503681063652039,-42.340550780296326,-0.02765018099307781,0.5531647205352783,2176,0.0004092704424510632,0.041168127,-0.02198084443807602,0.042917282378766686,1257.0,-2.5158712
1719,41,138,70656,0.2,0.2657470703125,0.9519228339195251,-42.37220001220703,-0.025893221303704195,-4.750434398651123,2192,0.0004092704424510632,0.020898115,-0.033102404326200485,0.007389294070890173,1257.0,-2.516385892857143
1719,41,139,71168,0.2,0.266845703125,0.9516340494155884,-42.39596974849701,-0.023175460155471228,0.05342000722885132,2208,0.0004092704424510632,0.024344437,-0.001080527901649475,0.1812651176005602,1257.0,-2.516385892857143
1719,41,140,71680,0.2,0.239501953125,0.9517128467559814,-42.3841415643692,-0.026712094942922704,-1.3384146690368652,2224,0.0004092704424510632,0.023097862,-0.026067739352583885,0.034492195060011,1257.0,-2.512997824561403
1719,41,141,72192,0.2,0.17138671875,0.9507220983505249,-42.38128745555878,-0.0204355641908478,0.3877599835395813,2240,0.0004092704424510632,0.023474779,0.021914426237344742,0.12649817811325192,1257.0,-2.512997824561403
1719,42,142,72704,0.2,0.2694091796875,0.9491803646087646,-42.33263647556305,-0.025673506592283957,-2.636234760284424,2256,0.0004092704424510632,0.016147714,-0.036061372607946396,0.0060056278452975675,1257.0,-2.512997824561403
1719,42,143,73216,0.2,0.2581787109375,0.9492071270942688,-42.30635666847229,-0.027341838052961975,-0.15885722637176514,2272,0.0004092704424510632,0.019918624,-0.04006147012114525,0.0038091179812909104,1257.0,-2.511478879310345
1718,42,144,73728,0.2,0.1767578125,0.9484463334083557,-42.298341274261475,-0.020905544472043402,0.1688440442085266,2288,0.0004092704424510632,0.018114239,0.01191038079559803,0.14020649227313697,1257.0,-2.511478879310345
1718,43,145,74240,0.2,0.29638671875,0.9488207697868347,-42.284398317337036,-0.029271599007188343,-5.600869655609131,2304,0.0004092704424510632,0.027127685,-0.03613222390413284,0.00855040826718323,1257.0,-2.5128750169491525
1718,43,146,74752,0.2,0.278564453125,0.9495789408683777,-42.308626890182495,-0.023300379849388264,0.031692326068878174,2320,0.0004092704424510632,0.023658494,0.012311741709709167,0.18607843248173594,1257.0,-2.5128750169491525
1717,43,147,75264,0.2,0.27685546875,0.9503642320632935,-42.32811486721039,-0.02569189268979244,-7.22263240814209,2336,0.0004092704424510632,0.022100054,-0.031210297718644142,0.005588344225543551,1257.0,-2.5128750169491525
4264,0,1,75776,0.2,0.281005859375,0.9513125419616699,-42.36270081996918,-0.03196814068360254,-0.06191146373748779,2352,0.0004092704424510632,0.024428293,-0.039749544113874435,0.0026893096874118783,1257.0,-2.5130711333333333
2447,0,2,76288,0.2,0.1552734375,0.9509464502334595,-42.37461590766907,-0.01996923307160614,0.07485848665237427,2368,0.0004092704424510632,0.015760863,0.0026263147592544556,0.19325352448504418,1257.0,-2.5130711333333333
2124,0,3,76800,0.2,0.2103271484375,0.9513506889343262,-42.366828203201294,-0.020402514754096046,-6.0935869216918945,2384,0.0004092704424510632,0.018474706,-0.025490736588835716,0.027151742775458843,1257.0,-2.5102704918032788
1987,1,4,77312,0.2,0.1533203125,0.952517569065094,-42.39496171474457,-0.020401539746671915,0.13244742155075073,2400,0.0004092704424510632,0.015402278,0.0014077648520469666,0.16028322104830295,1257.0,-2.5102704918032788
1918,1,5,77824,0.2,0.302001953125,0.9517256617546082,-42.407763719558716,-0.027895783627172932,-7.5643463134765625,2416,0.0004092704424510632,0.02778842,-0.04392143338918686,0.005884292913833633,1257.0,-2.5102704918032788
1865,1,6,78336,0.2,0.241455078125,0.9512324333190918,-42.376919865608215,-0.026133840969123412,-0.023440241813659668,2432,0.0004092704424510632,0.015895247,-0.03921879827976227,0.0024250344176834915,1257.0,-2.513705532258064
1839,1,7,78848,0.2,0.2393798828125,0.9508068561553955,-42.365018367767334,-0.02372910376288928,0.04370301961898804,2448,0.0004092704424510632,0.022709627,0.0014895256608724594,0.17796629667282104,1257.0,-2.513705532258064
1813,2,8,79360,0.2,0.2244873046875,0.9506098031997681,-42.35157251358032,-0.024581963385571726,-6.730386734008789,2464,0.0004092704424510632,0.02633914,-0.030399393290281296,0.025865123083349317,1257.0,-2.5106192063492063
1799,2,9,79872,0.2,0.146484375,0.9496800899505615,-42.335853815078735,-0.017991294531384483,0.19315177202224731,2480,0.0004092704424510632,0.015445244,0.005997799336910248,0.1458891408983618,1257.0,-2.5106192063492063
