time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/approx_kl,train/std,train/entropy_loss,train/n_updates,train/loss,train/clip_fraction,train/value_loss,train/explained_variance,train/clip_range,train/learning_rate,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
14,18432,36,1287,0.015024918,0.9874739646911621,-43.56299304962158,560,0.01437263935804367,0.2164306640625,0.1612994372844696,0.01491004228591919,0.2,0.0004092704424510632,-0.01788540139386896,-2.7326482857142858,1258.0
14,18944,37,1286,0.016719867,0.9872142672538757,-43.55859899520874,576,-0.033430036157369614,0.214599609375,0.004439951298991218,-0.6198428869247437,0.2,0.0004092704424510632,-0.02408745139837265,-2.715136133333333,1258.0
15,19456,38,1285,0.02045494,0.9868163466453552,-43.548423409461975,592,0.016150880604982376,0.1767578125,0.15172478649765253,0.25830721855163574,0.2,0.0004092704424510632,-0.018595232802908868,-2.715136133333333,1258.0
15,19968,39,1284,0.01609714,0.9868505001068115,-43.543450474739075,608,-0.03995439037680626,0.2249755859375,0.004561159905279055,-2.4914987087249756,0.2,0.0004092704424510632,-0.028107667123549618,-2.715136133333333,1258.0
15,20480,40,1284,0.019245636,0.9876944422721863,-43.5518079996109,624,-0.02612980082631111,0.2457275390625,0.011604286410147324,0.044416069984436035,0.2,0.0004092704424510632,-0.02686837264627684,-2.7211253749999997,1258.0
16,20992,41,1284,0.014813675,0.9887738823890686,-43.58409368991852,640,0.0021891258656978607,0.140380859375,0.1360387725289911,0.15279102325439453,0.2,0.0004092704424510632,-0.017807714524678886,-2.7211253749999997,1258.0
16,21504,42,1283,0.02056373,0.9890788197517395,-43.60927760601044,656,-0.03862113505601883,0.2471923828125,0.004975672622094862,-4.238585948944092,0.2,0.0004092704424510632,-0.02765957261726726,-2.727529764705882,1258.0
17,22016,43,1282,0.024734542,0.9892730116844177,-43.61379277706146,672,0.014323275536298752,0.1607666015625,0.17751480545848608,0.1287480592727661,0.2,0.0004092704424510632,-0.022645599601673894,-2.727529764705882,1258.0
17,22528,44,1281,0.015594374,0.9903846383094788,-43.62668836116791,688,-0.03801490738987923,0.2108154296875,0.003401318834221456,-4.826961517333984,0.2,0.0004092704424510632,-0.023174391477368772,-2.727529764705882,1258.0
17,23040,45,1281,0.024477411,0.9884273409843445,-43.62686884403229,704,-0.032580673694610596,0.2568359375,0.011751883168471977,0.1037757396697998,0.2,0.0004092704424510632,-0.022769504095776938,-2.725529222222222,1258.0
18,23552,46,1280,0.018290557,0.9880998730659485,-43.572107672691345,720,0.005980588495731354,0.14453125,0.1762248066952452,0.31535470485687256,0.2,0.0004092704424510632,-0.01925342004687991,-2.725529222222222,1258.0
18,24064,47,1279,0.012675774,0.9889292120933533,-43.585662722587585,736,-0.025879744440317154,0.224853515625,0.015101777680683881,-2.074474334716797,0.2,0.0004092704424510632,-0.021886698494199663,-2.725982789473684,1258.0
19,24576,48,1278,0.018722646,0.9902761578559875,-43.61259424686432,752,0.025521282106637955,0.198974609375,0.15212230454199016,0.2854599952697754,0.2,0.0004092704424510632,-0.021926625864580274,-2.725982789473684,1258.0
19,25088,49,1278,0.028447088,0.9909941554069519,-43.65148317813873,768,-0.05309276282787323,0.3140869140625,0.0030472710641333833,-8.734684944152832,0.2,0.0004092704424510632,-0.03350888573913835,-2.725982789473684,1258.0
20,25600,50,1277,0.019774828,0.9920423030853271,-43.67361092567444,784,-0.03413955494761467,0.2760009765625,0.012165782129159197,0.11156350374221802,0.2,0.0004092704424510632,-0.0241588754724944,-2.7205197999999995,1258.0
20,26112,51,1277,0.017711835,0.9922427535057068,-43.70165932178497,800,0.017859090119600296,0.152587890625,0.13127594685647637,0.4516228437423706,0.2,0.0004092704424510632,-0.021304092326317914,-2.7205197999999995,1258.0
20,26624,52,1277,0.015154609,0.9931355714797974,-43.707276821136475,816,-0.029848452657461166,0.2196044921875,0.006727874584612437,-2.760925054550171,0.2,0.0004092704424510632,-0.024258655728772283,-2.716819714285714,1258.0
21,27136,53,1277,0.019072901,0.9932174682617188,-43.730852246284485,832,0.04155313968658447,0.10595703125,0.26759666018188,0.22266381978988647,0.2,0.0004092704424510632,-0.017211428836162668,-2.716819714285714,1258.0
21,27648,54,1277,0.01791194,0.9905086159706116,-43.69730281829834,848,-0.03473519906401634,0.1778564453125,0.011975269597314764,-3.2939019203186035,0.2,0.0004092704424510632,-0.019571832264773548,-2.716819714285714,1258.0
22,28160,55,1277,0.023691714,0.9905907511711121,-43.6371454000473,864,-0.022526057437062263,0.247314453125,0.016992491262499243,0.3850255012512207,0.2,0.0004092704424510632,-0.02684482029872015,-2.7180999545454543,1258.0
22,28672,56,1277,0.024976127,0.9910680651664734,-43.66279900074005,880,-0.015302013605833054,0.2095947265625,0.11142582749016583,0.33336758613586426,0.2,0.0004092704424510632,-0.02395426423754543,-2.7180999545454543,1258.0
