time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/explained_variance,train/std,train/approx_kl,train/clip_fraction,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/loss,train/value_loss,train/entropy_loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
15872,31,1826,8,-0.022742390632629395,1.0070598125457764,0.01950528,0.2078857421875,0.2,0.0004092704424510632,-0.021975624724291265,-0.03427485376596451,0.0017974118745769374,-44.155022859573364,480,-2.3066672500000003,1223.0
16384,32,1822,8,0.000671088695526123,1.0089287757873535,0.017452769,0.21728515625,0.2,0.0004092704424510632,-0.023026045702863485,-0.03462294116616249,0.0030963138342485763,-44.22086715698242,496,-2.3019258461538463,1223.0
16896,33,1818,9,0.0007454752922058105,1.0085502862930298,0.0381198,0.2828369140625,0.2,0.0004092704424510632,-0.02237985130341258,-0.007153641432523727,0.0827517582802102,-44.24256432056427,512,-2.3019258461538463,1223.0
17408,34,1817,9,-0.0044171810150146484,1.007981300354004,0.024143629,0.2861328125,0.2,0.0004092704424510632,-0.03344223179738037,-0.0386166125535965,0.0027802688637166284,-44.22446644306183,528,-2.3122515,1223.0
17920,35,1819,9,0.0007687807083129883,1.0074231624603271,0.024132185,0.2666015625,0.2,0.0004092704424510632,-0.026602133555570617,0.01925322785973549,0.12320563336834311,-44.20224416255951,544,-2.3122515,1223.0
18432,36,1820,10,-0.013272881507873535,1.0070714950561523,0.026582174,0.3292236328125,0.2,0.0004092704424510632,-0.035841952078044415,-0.04807467758655548,0.0017676789339020615,-44.18552839756012,560,-2.313032,1223.0
18944,37,1820,10,0.0009146928787231445,1.0064340829849243,0.019269366,0.2098388671875,0.2,0.0004092704424510632,-0.02153474325314164,0.037094373255968094,0.12585105723701417,-44.17850482463837,576,-2.313032,1223.0
19456,38,1819,10,-0.016719698905944824,1.0050745010375977,0.019317815,0.207763671875,0.2,0.0004092704424510632,-0.02439325441082474,-0.045381054282188416,0.002015009587921668,-44.14902365207672,592,-2.313032,1223.0
19968,39,1817,10,-0.001345515251159668,1.0046131610870361,0.016585149,0.2215576171875,0.2,0.0004092704424510632,-0.02501900415518321,-0.02886548452079296,0.003146052771626273,-44.107956647872925,608,-2.3126489375,1223.0
20480,40,1818,11,0.0005342960357666016,1.0044572353363037,0.014523195,0.1688232421875,0.2,0.0004092704424510632,-0.018763037922326475,0.05067410320043564,0.14566753921099007,-44.10122334957123,624,-2.3126489375,1223.0
20992,41,1818,11,0.0008516907691955566,1.003894329071045,0.028967045,0.2799072265625,0.2,0.0004092704424510632,-0.030613565118983388,-0.03419075906276703,0.0015977855728124268,-44.093300223350525,640,-2.313818411764706,1223.0
21504,42,1819,11,0.0010371208190917969,1.0032011270523071,0.020037843,0.2161865234375,0.2,0.0004092704424510632,-0.022072828374803066,0.028747327625751495,0.1381722583901137,-44.072317242622375,656,-2.313818411764706,1223.0
22016,43,1820,12,-0.013746380805969238,1.0028585195541382,0.017902363,0.265380859375,0.2,0.0004092704424510632,-0.029515111789805815,-0.04722394794225693,0.0017996281749219634,-44.0552978515625,672,-2.3163004444444444,1223.0
22528,44,1821,12,0.0010786056518554688,1.0010077953338623,0.017092295,0.2330322265625,0.2,0.0004092704424510632,-0.024324036930920556,0.026122353971004486,0.13726495183072984,-44.0285769701004,688,-2.3163004444444444,1223.0
23040,45,1821,12,-0.010500550270080566,1.000929355621338,0.011241804,0.1546630859375,0.2,0.0004092704424510632,-0.01677877816837281,-0.024994563311338425,0.002732920787821058,-43.98617482185364,704,-2.3163004444444444,1223.0
23552,46,1822,12,0.001826643943786621,1.0006297826766968,0.020957602,0.2213134765625,0.2,0.0004092704424510632,-0.02212653131573461,-0.0407223105430603,0.0027619283100648317,-43.99281144142151,720,-2.323120947368421,1223.0
24064,47,1823,13,0.00029855966567993164,1.0009113550186157,0.028218202,0.2794189453125,0.2,0.0004092704424510632,-0.030302574567031115,0.047461122274398804,0.16130941733717918,-43.98675608634949,736,-2.323120947368421,1223.0
24576,48,1824,13,-0.004560112953186035,1.0018563270568848,0.03271039,0.267333984375,0.2,0.0004092704424510632,-0.02661939478275599,-0.02894541621208191,0.001510372307166108,-43.99808168411255,752,-2.3202665999999996,1223.0
25088,49,1824,13,0.0004394650459289551,1.0017123222351074,0.019280486,0.226806640625,0.2,0.0004092704424510632,-0.021814094463479705,0.024260178208351135,0.156118432758376,-44.01693904399872,768,-2.3202665999999996,1223.0
25600,50,1825,14,-0.016413092613220215,1.001003384590149,0.017147943,0.2227783203125,0.2,0.0004092704424510632,-0.025299105065641925,-0.04476458951830864,0.001599314784471062,-44.00033926963806,784,-2.3202665999999996,1223.0
26112,51,1825,14,-0.00078582763671875,1.0023832321166992,0.023462912,0.2835693359375,0.2,0.0004092704424510632,-0.029457471013301983,-0.05537967011332512,0.0025985641368606593,-43.999098777770996,800,-2.3139320476190472,1223.0
26624,52,1826,14,0.00015354156494140625,1.0009056329727173,0.022026937,0.23876953125,0.2,0.0004092704424510632,-0.027099637445644476,0.05678791552782059,0.16744449315592647,-44.01548767089844,816,-2.3139320476190472,1223.0
27136,53,1827,14,-0.0016016960144042969,1.000264286994934,0.017873269,0.2156982421875,0.2,0.0004092704424510632,-0.022238497011130676,-0.0277940034866333,0.0014414362667594105,-43.96587407588959,832,-2.3091414999999995,1223.0
27648,54,1827,15,0.0004157423973083496,1.0000159740447998,0.020075325,0.2340087890625,0.2,0.0004092704424510632,-0.026070303247252014,0.04728196561336517,0.16971600148826838,-43.95341420173645,848,-2.3091414999999995,1223.0
28160,55,1828,15,-0.0061876773834228516,0.9968560338020325,0.015375992,0.193603515625,0.2,0.0004092704424510632,-0.019731716252863407,-0.028831517323851585,0.0016031596442189766,-43.909419655799866,864,-2.313202652173913,1223.0
28672,56,1829,15,0.00041979551315307617,0.9944891333580017,0.022734791,0.24853515625,0.2,0.0004092704424510632,-0.026640095995389856,0.038414087146520615,0.16289491718634963,-43.809645652770996,880,-2.313202652173913,1223.0
29184,57,1829,15,-0.011337757110595703,0.9932774901390076,0.016950274,0.2515869140625,0.2,0.0004092704424510632,-0.02661464891571086,-0.039630766957998276,0.002200860544689931,-43.75172483921051,896,-2.313202652173913,1223.0
29696,58,1830,16,0.0011736750602722168,0.994350790977478,0.018137507,0.21484375,0.2,0.0004092704424510632,-0.022958740795729682,-0.02684141881763935,0.0031761824175191578,-43.74382722377777,912,-2.3130745000000004,1223.0
30208,59,1829,16,0.00020509958267211914,0.9934244751930237,0.026265979,0.27978515625,0.2,0.0004092704424510632,-0.03064543177606538,0.04666091129183769,0.17092548590153456,-43.76353430747986,928,-2.3130745000000004,1223.0
30720,60,1827,16,-0.00986015796661377,0.9931181073188782,0.029222844,0.291015625,0.2,0.0004092704424510632,-0.029165667881898116,-0.03347567841410637,0.001583693081556703,-43.727630257606506,944,-2.31052816,1223.0
31232,61,1828,17,0.0003650188446044922,0.9923155903816223,0.024344724,0.2586669921875,0.2,0.0004092704424510632,-0.02737460349453613,0.056013621389865875,0.16628573508933187,-43.7212450504303,960,-2.31052816,1223.0
31744,62,1828,17,-0.02122628688812256,0.9927305579185486,0.0153650725,0.2032470703125,0.2,0.0004092704424510632,-0.020887174468953162,-0.03279727324843407,0.001535533243441023,-43.70330548286438,976,-2.31052816,1223.0
32256,63,1828,17,-0.001651167869567871,0.9931740164756775,0.023180798,0.265625,0.2,0.0004092704424510632,-0.02826531791652087,-0.03418070077896118,0.0027527203201316297,-43.723257064819336,992,-2.306755,1223.0
32768,64,1829,17,0.00016009807586669922,0.9931570887565613,0.02623219,0.2423095703125,0.2,0.0004092704424510632,-0.02444587073114235,0.052692629396915436,0.16952510457485914,-43.730263113975525,1008,-2.306755,1223.0
33280,65,1829,18,-0.003986001014709473,0.9904464483261108,0.024486408,0.25244140625,0.2,0.0004092704424510632,-0.026877706171944737,-0.030355878174304962,0.0022550824760401156,-43.693806409835815,1024,-2.3079274444444446,1223.0
33792,66,1830,18,0.00024700164794921875,0.9911003112792969,0.02493427,0.253662109375,0.2,0.0004092704424510632,-0.0268874678586144,0.060762323439121246,0.17993926675990224,-43.64229154586792,1040,-2.3079274444444446,1223.0
34304,67,1830,18,-0.011733412742614746,0.9904477596282959,0.024406016,0.2843017578125,0.2,0.0004092704424510632,-0.03292687825160101,-0.04661710560321808,0.0014123946530162357,-43.65552818775177,1056,-2.306954928571429,1223.0
34816,68,1830,19,0.00015550851821899414,0.9897778630256653,0.01854434,0.2435302734375,0.2,0.0004092704424510632,-0.024171792043489404,0.05596628785133362,0.17092065047472715,-43.631837010383606,1072,-2.306954928571429,1223.0
35328,69,1828,19,-0.0006422996520996094,0.9897940754890442,0.01770696,0.213134765625,0.2,0.0004092704424510632,-0.024812668190861586,-0.0316866859793663,0.002489416910975706,-43.61956202983856,1088,-2.306954928571429,1223.0
35840,70,1827,19,-0.0008779764175415039,0.9918873310089111,0.01342698,0.1927490234375,0.2,0.0004092704424510632,-0.021547848205955233,-0.0363478809595108,0.0026406301149108913,-43.65021061897278,1104,-2.3016824482758627,1223.0
36352,71,1826,19,0.00017148256301879883,0.9923583269119263,0.022958027,0.2528076171875,0.2,0.0004092704424510632,-0.024848165921866894,0.0713021531701088,0.1796833286061883,-43.693843603134155,1120,-2.3016824482758627,1223.0
36864,72,1827,20,-0.0005900859832763672,0.9910743236541748,0.020790849,0.24658203125,0.2,0.0004092704424510632,-0.02376720664324239,-0.03172512724995613,0.0014375351838680217,-43.67941689491272,1136,-2.298127666666667,1223.0
37376,73,1827,20,0.00027495622634887695,0.989298403263092,0.019017998,0.262939453125,0.2,0.0004092704424510632,-0.030095235313638113,0.03944959491491318,0.16911324299871922,-43.6272451877594,1152,-2.298127666666667,1223.0
37888,74,1828,20,-0.0006132125854492188,0.988503098487854,0.0145711675,0.21142578125,0.2,0.0004092704424510632,-0.020399611530592665,-0.02899068035185337,0.0016200345216930145,-43.576173186302185,1168,-2.298127666666667,1223.0
38400,75,1828,20,-0.0007739067077636719,0.9884210228919983,0.022032864,0.2637939453125,0.2,0.0004092704424510632,-0.02770779194543138,-0.033882610499858856,0.0030023515537322965,-43.56733787059784,1184,-2.293282612903226,1223.0
38912,76,1829,21,0.00012195110321044922,0.9879842400550842,0.038581118,0.3048095703125,0.2,0.0004092704424510632,-0.027824570090160705,0.03038545325398445,0.13069409132003784,-43.55563020706177,1200,-2.293282612903226,1223.0
39424,77,1829,21,-0.0028624534606933594,0.9875010251998901,0.022490472,0.2489013671875,0.2,0.0004092704424510632,-0.02418833499541506,-0.032794445753097534,0.0022536935830430593,-43.5384247303009,1216,-2.2916090625,1223.0
39936,78,1829,21,0.00031769275665283203,0.9863205552101135,0.020346843,0.2308349609375,0.2,0.0004092704424510632,-0.02422353833389934,0.07020118832588196,0.19468621164560318,-43.51733994483948,1232,-2.2916090625,1223.0
40448,79,1830,22,-0.007635951042175293,0.9854512214660645,0.021778002,0.2894287109375,0.2,0.0004092704424510632,-0.03076762266573496,-0.04098367691040039,0.0015099787669896614,-43.481879115104675,1248,-2.2887327272727274,1223.0
40960,80,1830,22,0.00018334388732910156,0.9864233732223511,0.017293025,0.2010498046875,0.2,0.0004092704424510632,-0.021069592679850757,0.047288957983255386,0.18683091108687222,-43.47686684131622,1264,-2.2887327272727274,1223.0
41472,81,1830,22,0.0015804171562194824,0.9855639338493347,0.023243401,0.2523193359375,0.2,0.0004092704424510632,-0.029117377736838534,-0.025390854105353355,0.0027868304096045904,-43.49016308784485,1280,-2.2887327272727274,1223.0
41984,82,1830,22,-0.0014246702194213867,0.9863966703414917,0.016392693,0.239013671875,0.2,0.0004092704424510632,-0.02781744820822496,-0.032122720032930374,0.002631378192745615,-43.47159159183502,1296,-2.291091411764706,1223.0
42496,83,1831,23,0.0002562403678894043,0.98625248670578,0.014814571,0.240234375,0.2,0.0004092704424510632,-0.025256319029722363,0.058160677552223206,0.19567088736221194,-43.49447000026703,1312,-2.291091411764706,1223.0
43008,84,1831,23,-0.0020956993103027344,0.9862037897109985,0.021120392,0.2467041015625,0.2,0.0004092704424510632,-0.027199917298275977,-0.02387480065226555,0.0012802280007235822,-43.48877704143524,1328,-2.2912097428571427,1223.0
43520,85,1831,23,0.0006707310676574707,0.9864038228988647,0.024674136,0.2369384765625,0.2,0.0004092704424510632,-0.024368455444346182,0.04667939245700836,0.1835445873439312,-43.491294264793396,1344,-2.2912097428571427,1223.0
44032,86,1831,24,-0.011881470680236816,0.9864897727966309,0.01802428,0.2342529296875,0.2,0.0004092704424510632,-0.026083185453899205,-0.04421088844537735,0.0015028539219201775,-43.49861764907837,1360,-2.2904816944444444,1223.0
44544,87,1829,24,0.00045353174209594727,0.9856342673301697,0.016604157,0.2010498046875,0.2,0.0004092704424510632,-0.022571457317098975,0.05253273993730545,0.1798930885270238,-43.4792560338974,1376,-2.2904816944444444,1223.0
45056,88,1828,24,-2.586841583251953e-05,0.985436201095581,0.016382568,0.2392578125,0.2,0.0004092704424510632,-0.025500868330709636,-0.024992359802126884,0.0028026442414557096,-43.45562124252319,1392,-2.2904816944444444,1223.0
