time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/value_loss,train/entropy_loss,train/std,train/approx_kl,train/explained_variance,train/clip_fraction,train/loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
5632,4,1316,11,160,0.004039289058709983,-44.1244912147522,1.005240559577942,0.018869335,0.007321536540985107,0.306640625,-0.0405438058078289,0.2,-0.02927047712728381,0.0004092704424510632,1257.0,-2.36613975
6144,4,1308,12,176,0.002749760609731311,-44.149489402770996,1.0055524110794067,0.018194417,0.010227501392364502,0.2490234375,-0.021456120535731316,0.2,-0.024160758228390478,0.0004092704424510632,1257.0,-2.36613975
6656,5,1301,13,192,0.0023315620273933746,-44.14724504947662,1.0054761171340942,0.015569095,-0.0011633634567260742,0.2193603515625,-0.04243592172861099,0.2,-0.02422254350676667,0.0004092704424510632,1257.0,-2.3741944
7168,5,1296,14,208,0.010821138275787234,-44.12664771080017,1.0037643909454346,0.029114075,-0.0016881227493286133,0.302001953125,-0.031141873449087143,0.2,-0.02770658428198658,0.0004092704424510632,1257.0,-2.3741944
7680,5,1292,15,224,0.004479366230953019,-44.07115149497986,1.0025519132614136,0.012561786,-0.004148721694946289,0.1988525390625,-0.027074268087744713,0.2,-0.0182538919034414,0.0004092704424510632,1257.0,-2.391871666666667
8192,6,1289,16,240,0.017065758438548073,-44.04487860202789,1.0018383264541626,0.015735328,0.00046247243881225586,0.2508544921875,-0.03396855294704437,0.2,-0.02921980930841528,0.0004092704424510632,1257.0,-2.391871666666667
8704,6,1285,17,256,0.0029374710575211793,-44.025641322135925,1.0017861127853394,0.014250338,-0.0012475252151489258,0.2371826171875,-0.030626242980360985,0.2,-0.023869221069617197,0.0004092704424510632,1257.0,-2.391871666666667
9216,7,1283,18,272,0.0020089746212761384,-44.046892523765564,1.0029287338256836,0.023139667,0.0007044672966003418,0.309814453125,-0.049060046672821045,0.2,-0.03329938856768422,0.0004092704424510632,1257.0,-2.379029
9728,7,1280,19,288,0.02527191664557904,-44.10003650188446,1.005293846130371,0.022532232,0.0005013346672058105,0.2806396484375,-0.026310592889785767,0.2,-0.027020726207410917,0.0004092704424510632,1257.0,-2.379029
10240,8,1277,20,304,0.004273568825738039,-44.12609827518463,1.0036510229110718,0.01738235,-0.015385985374450684,0.2657470703125,-0.03364512696862221,0.2,-0.028517015729448758,0.0004092704424510632,1257.0,-2.3840562499999995
10752,8,1274,21,320,0.031413817312568426,-44.05694603919983,1.0020051002502441,0.022737253,-6.0558319091796875e-05,0.28173828125,-0.024706384167075157,0.2,-0.027113983494928107,0.0004092704424510632,1257.0,-2.3840562499999995
11264,8,1271,22,336,0.003904176366631873,-44.03788495063782,1.0018962621688843,0.019660506,-0.0014834403991699219,0.2335205078125,-0.028916308656334877,0.2,-0.022956399421673268,0.0004092704424510632,1257.0,-2.3840562499999995
11776,9,1270,23,352,0.0022878629533806816,-44.02505803108215,1.0011426210403442,0.01941907,-0.00030791759490966797,0.25634765625,-0.03233532980084419,0.2,-0.02746846056834329,0.0004092704424510632,1257.0,-2.3714159999999995
12288,9,1268,24,368,0.04612093314062804,-43.99652659893036,0.9998781681060791,0.022731006,0.0001932382583618164,0.2991943359375,-0.012295011430978775,0.2,-0.031047290249262005,0.0004092704424510632,1257.0,-2.3714159999999995
12800,10,1265,25,384,0.0038628765105386265,-43.971062541007996,1.0005439519882202,0.021207578,-0.02761828899383545,0.2978515625,-0.028406338766217232,0.2,-0.026228973132674582,0.0004092704424510632,1257.0,-2.3834665999999993
13312,10,1263,26,400,0.056999778375029564,-44.01071274280548,1.0014444589614868,0.014006341,0.0003497004508972168,0.2254638671875,-0.0032163262367248535,0.2,-0.0228124548739288,0.0004092704424510632,1257.0,-2.3834665999999993
