time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/std,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/explained_variance,train/n_updates,train/loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
18,44,1247,22528,-0.02123110619140789,0.99631267786026,-43.87061035633087,0.008527557918569073,0.0004092704424510632,0.2,0.1978759765625,-0.17715537548065186,688,-0.028027458116412163,0.018567111,-3.0823936470588236,1257.0
18,45,1246,23040,-0.025930400792276487,0.9950768947601318,-43.81754183769226,0.00280039464996662,0.0004092704424510632,0.2,0.243408203125,-0.0003355741500854492,704,-0.027087653055787086,0.018537428,-3.081106777777778,1257.0
18,46,1246,23552,-0.029796398332109675,0.9943018555641174,-43.79267156124115,0.22920076921582222,0.0004092704424510632,0.2,0.30908203125,0.0023953914642333984,720,0.07428810745477676,0.020522894,-3.081106777777778,1257.0
19,47,1246,24064,-0.026043464873509947,0.9924073219299316,-43.75593304634094,0.0041199561092071235,0.0004092704424510632,0.2,0.2435302734375,-0.1827085018157959,736,-0.03745044022798538,0.01962139,-3.0688001052631577,1257.0
19,48,1246,24576,-0.024028300715144724,0.9907750487327576,-43.68718087673187,0.112051006173715,0.0004092704424510632,0.2,0.247314453125,0.05091792345046997,752,0.009421084076166153,0.021758176,-3.0688001052631577,1257.0
20,49,1246,25088,-0.02223236094141612,0.9908512234687805,-43.66561758518219,0.004018866129626986,0.0004092704424510632,0.2,0.207763671875,-2.972224712371826,768,-0.0345250740647316,0.015980199,-3.0688001052631577,1257.0
20,50,1246,25600,-0.029014266008744016,0.9897510409355164,-43.65289580821991,0.002270841803692747,0.0004092704424510632,0.2,0.272216796875,0.06204408407211304,784,-0.03819573298096657,0.020070277,-3.0529555499999996,1257.0
20,51,1246,26112,-0.023789895640220493,0.9894253015518188,-43.62754142284393,0.1183551310095936,0.0004092704424510632,0.2,0.2803955078125,0.033607304096221924,800,-0.013678807765245438,0.022793721,-3.0529555499999996,1257.0
21,52,1246,26624,-0.021736578964919318,0.9905166625976562,-43.63020062446594,0.007317239898839034,0.0004092704424510632,0.2,0.2080078125,-2.7852706909179688,816,-0.033182550221681595,0.016700007,-3.0493159523809523,1257.0
21,53,1246,27136,-0.027399166207032977,0.9907860159873962,-43.66261434555054,0.10721287259366363,0.0004092704424510632,0.2,0.25146484375,0.0547785758972168,832,-0.007200714200735092,0.024040133,-3.0493159523809523,1257.0
22,54,1246,27648,-0.027902605987037532,0.9893856644630432,-43.6442414522171,0.006422939011827111,0.0004092704424510632,0.2,0.237060546875,-3.245206356048584,848,-0.03410564363002777,0.01930262,-3.0493159523809523,1257.0
22,55,1245,28160,-0.02678647983702831,0.9887052774429321,-43.6042160987854,0.0037427222341648303,0.0004092704424510632,0.2,0.2421875,0.44535690546035767,864,-0.02764720655977726,0.0199879,-3.0518668636363633,1257.0
23,56,1244,28672,-0.021212330262642354,0.9868968725204468,-43.57127559185028,0.03970071428921074,0.0004092704424510632,0.2,0.3284912109375,0.16211825609207153,880,-0.013280674815177917,0.041485056,-3.0518668636363633,1257.0
23,57,1244,29184,-0.023761227348586544,0.9855526685714722,-43.51868736743927,0.004121801888686605,0.0004092704424510632,0.2,0.26318359375,-3.6296191215515137,896,-0.03439753130078316,0.017938552,-3.0569511304347827,1257.0
23,58,1244,29696,-0.018058708927128464,0.9860345721244812,-43.49865400791168,0.13177971506956965,0.0004092704424510632,0.2,0.2110595703125,0.024568259716033936,912,0.01863524690270424,0.018295314,-3.0569511304347827,1257.0
24,59,1244,30208,-0.023190516512840986,0.9873211979866028,-43.528282165527344,0.0042578725042403676,0.0004092704424510632,0.2,0.24267578125,-2.401209831237793,928,-0.04033995792269707,0.017245982,-3.0571885416666666,1257.0
24,60,1244,30720,-0.022452682693256065,0.9871456623077393,-43.552446603775024,0.2012589331716299,0.0004092704424510632,0.2,0.26416015625,0.006571173667907715,944,0.022029563784599304,0.024493884,-3.0571885416666666,1257.0
