time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/value_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
35,17920,9,1887,0.0027428399880591314,0.0212943,0.27587890625,-43.43999433517456,0.0004092704424510632,0.6946057081222534,0.2,-0.030973491986515,-0.04543042927980423,544,0.982733428478241,-2.434495642857143,1258.0
36,18432,9,1888,0.08681999507825822,0.025584545,0.248291015625,-43.40993893146515,0.0004092704424510632,0.13005602359771729,0.2,-0.02524528505455237,0.0005662702023983002,560,0.9816163778305054,-2.434495642857143,1258.0
37,18944,10,1887,0.010337486222852021,0.016879719,0.2054443359375,-43.36429584026337,0.0004092704424510632,-0.04648387432098389,0.2,-0.023181686676252866,-0.026924602687358856,576,0.9798623323440552,-2.436545466666667,1258.0
38,19456,10,1885,0.10564446821808815,0.033360343,0.30712890625,-43.31541633605957,0.0004092704424510632,0.29828065633773804,0.2,-0.028987253695959225,0.0018325112760066986,592,0.9790812134742737,-2.436545466666667,1258.0
39,19968,10,1884,0.02569873322499916,0.019692168,0.2364501953125,-43.29283046722412,0.0004092704424510632,0.12603503465652466,0.2,-0.026642437602276914,-0.028449948877096176,608,0.977899432182312,-2.436545466666667,1258.0
40,20480,10,1884,0.0063178940254147165,0.015970878,0.2388916015625,-43.26387166976929,0.0004092704424510632,-0.3511267900466919,0.2,-0.022655555745586753,-0.02771291509270668,624,0.9781214594841003,-2.4360799374999997,1258.0
41,20992,11,1882,0.08694778219796717,0.028106805,0.2579345703125,-43.29551815986633,0.0004092704424510632,0.1636054515838623,0.2,-0.03113791989744641,-0.01754428818821907,640,0.9796576499938965,-2.4360799374999997,1258.0
42,21504,11,1882,0.020716874045319855,0.022367198,0.272216796875,-43.32035279273987,0.0004092704424510632,-0.44459712505340576,0.2,-0.032727377431001514,-0.03385687246918678,656,0.9790365099906921,-2.431097764705882,1258.0
43,22016,11,1879,0.08692499971948564,0.018581495,0.2203369140625,-43.30591011047363,0.0004092704424510632,0.33037954568862915,0.2,-0.02311273937812075,0.010655783116817474,672,0.9794714450836182,-2.431097764705882,1258.0
44,22528,11,1880,0.014431296265684068,0.01735954,0.228759765625,-43.307411432266235,0.0004092704424510632,0.45486515760421753,0.2,-0.024492599157383665,-0.017521504312753677,688,0.9784789681434631,-2.431097764705882,1258.0
