time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/value_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/std,train/loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
41472,1222,33,81,0.0004092704424510632,-0.024735406099352986,0.2,-43.2397403717041,0.0022298789663182106,0.015323825,0.228271484375,-1.8391587734222412,0.9784937500953674,-0.03981218487024307,1280,-2.1288778437499998,1258.0
41984,1222,34,82,0.0004092704424510632,-0.024177330422389787,0.2,-43.24281561374664,0.010843826894415542,0.020697366,0.2564697265625,0.5464769601821899,0.9774447083473206,-0.027525287121534348,1296,-2.1298983333333332,1258.0
42496,1222,34,83,0.0004092704424510632,-0.019343202147865668,0.2,-43.210129618644714,0.05362261345726438,0.021562567,0.1856689453125,0.6397937536239624,0.97712242603302,-0.025207918137311935,1312,-2.1298983333333332,1258.0
43008,1222,35,84,0.0004092704424510632,-0.028194805432576686,0.2,-43.21678125858307,0.007553183560958132,0.02519073,0.2740478515625,-2.1712076663970947,0.9777668118476868,-0.040026452392339706,1328,-2.1313561764705877,1258.0
43520,1222,35,85,0.0004092704424510632,-0.017492877232143655,0.2,-43.23397207260132,0.12247566017322242,0.016778499,0.1134033203125,0.566940426826477,0.9780232906341553,0.015276681631803513,1344,-2.1313561764705877,1258.0
44032,1221,36,86,0.0004092704424510632,-0.026683306321501732,0.2,-43.24478232860565,0.003234759293263778,0.01856339,0.2730712890625,-5.897695064544678,0.9784403443336487,-0.04799091815948486,1360,-2.128647114285714,1258.0
44544,1221,36,87,0.0004092704424510632,-0.021605639150948264,0.2,-43.25207984447479,0.14145128626842052,0.018095441,0.1634521484375,0.41459232568740845,0.9786127209663391,-0.029595794156193733,1376,-2.128647114285714,1258.0
45056,1222,36,88,0.0004092704424510632,-0.02872239501448348,0.2,-43.24910593032837,0.0027758735450333916,0.02731629,0.3154296875,-0.6095854043960571,0.9777448773384094,-0.04173886775970459,1392,-2.128647114285714,1258.0
45568,1222,37,89,0.0004092704424510632,-0.020416765648406,0.2,-43.21004867553711,0.00387505091202911,0.015293353,0.228515625,0.12104517221450806,0.9766826629638672,-0.024697691202163696,1408,-2.1275583888888887,1258.0
46080,1222,37,90,0.0004092704424510632,-0.01704834058182314,0.2,-43.189008831977844,0.12194873299449682,0.016459543,0.103271484375,0.6064614057540894,0.9766379594802856,-0.024525854736566544,1424,-2.1275583888888887,1258.0
46592,1222,38,91,0.0004092704424510632,-0.027774621434218716,0.2,-43.22935664653778,0.0022734152589691803,0.016832663,0.2431640625,-3.913419723510742,0.9795447587966919,-0.03240857645869255,1440,-2.1243958378378376,1258.0
47104,1222,38,92,0.0004092704424510632,-0.018484336913388688,0.2,-43.30055332183838,0.13694709411356598,0.016280074,0.13427734375,0.4951680302619934,0.9802237749099731,-0.011203724890947342,1456,-2.1243958378378376,1258.0
47616,1221,38,93,0.0004092704424510632,-0.023718087424640544,0.2,-43.30154621601105,0.003486587265797425,0.013241921,0.231201171875,-1.0799274444580078,0.979961633682251,-0.026336703449487686,1472,-2.1243958378378376,1258.0
48128,1222,39,94,0.0004092704424510632,-0.02879761169606354,0.2,-43.2997841835022,0.00494257371610729,0.024459265,0.2562255859375,0.015205621719360352,0.9800406098365784,-0.03798558562994003,1488,-2.1269274999999994,1258.0
48640,1222,39,95,0.0004092704424510632,-0.01469829585403204,0.2,-43.29947102069855,0.23302629252430052,0.015086327,0.1104736328125,0.12319892644882202,0.9800916910171509,-0.0028653889894485474,1504,-2.1269274999999994,1258.0
49152,1222,40,96,0.0004092704424510632,-0.028321192323346622,0.2,-43.27735948562622,0.003915272878657561,0.019181047,0.2808837890625,-0.13100385665893555,0.9781171679496765,-0.034364208579063416,1520,-2.1230263589743585,1258.0
