time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/entropy_loss,train/value_loss,train/explained_variance,train/learning_rate,train/std,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
220672,54,137,1289,0.2498779296875,-0.02834988755057566,0.026766239,0.2,0.033423975110054016,-39.91956043243408,0.1437471250537783,-5.960464477539062e-07,0.0004092704424510632,0.8856250643730164,6880,-2.14725155,1257.0
221184,54,138,1289,0.2431640625,-0.02848802146036178,0.018099105,0.2,-0.04490630701184273,-39.9248925447464,0.003576809845981188,-5.841255187988281e-06,0.0004092704424510632,0.8853848576545715,6896,-2.14725155,1257.0
221696,55,139,1288,0.1973876953125,-0.021390267473179847,0.011898542,0.2,-0.04182017222046852,-39.91690540313721,0.0018245013743580785,-6.9141387939453125e-06,0.0004092704424510632,0.8855196237564087,6912,-2.14366442,1257.0
222208,55,140,1289,0.263916015625,-0.026343016666942276,0.025453437,0.2,0.04419047385454178,-39.92634963989258,0.13670070306397974,7.748603820800781e-07,0.0004092704424510632,0.8860375881195068,6928,-2.14366442,1257.0
222720,56,141,1288,0.218505859375,-0.02615050337044522,0.014540954,0.2,-0.030968468636274338,-39.92516839504242,0.0035675247563631274,-4.76837158203125e-07,0.0004092704424510632,0.8855978846549988,6944,-2.1389491200000004,1257.0
223232,56,142,1288,0.2666015625,-0.024998850683914497,0.023124937,0.2,0.01844332367181778,-39.907997369766235,0.1445220133755356,1.1920928955078125e-06,0.0004092704424510632,0.8851039409637451,6960,-2.1389491200000004,1257.0
223744,56,143,1288,0.215576171875,-0.02584357903106138,0.015242507,0.2,-0.0328223779797554,-39.89469540119171,0.004887611648882739,-3.933906555175781e-06,0.0004092704424510632,0.884772002696991,6976,-2.1389491200000004,1257.0
224256,57,144,1288,0.231689453125,-0.02816339355194941,0.021169055,0.2,-0.04018671065568924,-39.84550356864929,0.0016523945778317284,2.0265579223632812e-06,0.0004092704424510632,0.8825393915176392,6992,-2.13891466,1257.0
224768,57,145,1288,0.2305908203125,-0.017530101860756986,0.019347746,0.2,-0.017021693289279938,-39.77004110813141,0.017070732879801653,-1.1920928955078125e-06,0.0004092704424510632,0.8812247514724731,7008,-2.13891466,1257.0
225280,58,146,1288,0.1998291015625,-0.025376531964866444,0.016148608,0.2,-0.028499552980065346,-39.742637515068054,0.0037408785574370995,3.3974647521972656e-06,0.0004092704424510632,0.8804616332054138,7024,-2.1357687000000003,1257.0
225792,58,147,1288,0.22412109375,-0.023101995306205936,0.020912252,0.2,0.04693311080336571,-39.726876616477966,0.16525955870747566,1.7285346984863281e-06,0.0004092704424510632,0.8805843591690063,7040,-2.1357687000000003,1257.0
226304,0,1,4120,0.178466796875,-0.020390615420183167,0.012252932,0.2,-0.02136046811938286,-39.744996070861816,0.003632750918768579,-7.152557373046875e-07,0.0004092704424510632,0.8810123205184937,7056,-2.13816975,1257.0
226816,0,2,2006,0.2205810546875,-0.02231564512476325,0.016298395,0.2,0.06890380382537842,-39.77874219417572,0.16919172904454172,-2.384185791015625e-07,0.0004092704424510632,0.8822623491287231,7072,-2.13816975,1257.0
227328,0,3,1703,0.2342529296875,-0.025608203635783866,0.01906467,0.2,-0.03252125531435013,-39.79698729515076,0.0024579055061622057,-6.473064422607422e-05,0.0004092704424510632,0.8816997408866882,7088,-2.13816975,1257.0
227840,1,4,1582,0.1761474609375,-0.019441832540906034,0.012673035,0.2,-0.025743141770362854,-39.786646246910095,0.0028743100483552553,7.450580596923828e-06,0.0004092704424510632,0.8823479413986206,7104,-2.1368791399999996,1257.0
228352,1,5,1515,0.2529296875,-0.025743314385181293,0.022906726,0.2,0.02743801474571228,-39.80234968662262,0.16133882943540812,1.6093254089355469e-06,0.0004092704424510632,0.8821347951889038,7120,-2.1368791399999996,1257.0
228864,2,6,1473,0.2491455078125,-0.02846607394167222,0.021734621,0.2,-0.04135582223534584,-39.76595842838287,0.0037907238365733065,2.682209014892578e-06,0.0004092704424510632,0.8807771801948547,7136,-2.1376228200000003,1257.0
229376,2,7,1446,0.2652587890625,-0.030067996005527675,0.025750455,0.2,0.035423606634140015,-39.74125123023987,0.16152784833684564,1.7881393432617188e-07,0.0004092704424510632,0.8813300132751465,7152,-2.1376228200000003,1257.0
229888,2,8,1425,0.231689453125,-0.024381708732107654,0.015820805,0.2,-0.024910341948270798,-39.75184762477875,0.002425675033009611,-1.704692840576172e-05,0.0004092704424510632,0.8808382153511047,7168,-2.1376228200000003,1257.0
230400,3,9,1414,0.210205078125,-0.025564147625118494,0.017183755,0.2,-0.024063535034656525,-39.740588426589966,0.002040716124611208,-9.5367431640625e-06,0.0004092704424510632,0.881658136844635,7184,-2.13563809,1257.0
230912,3,10,1399,0.2613525390625,-0.025067647744435817,0.018014874,0.2,0.03435333073139191,-39.74900567531586,0.156797211850062,2.5033950805664062e-06,0.0004092704424510632,0.8807918429374695,7200,-2.13563809,1257.0
231424,4,11,1389,0.2410888671875,-0.027498289055074565,0.014161808,0.2,-0.03439478576183319,-39.699527859687805,0.0029553083186328877,6.496906280517578e-06,0.0004092704424510632,0.8795223236083984,7216,-2.1319270200000005,1257.0
231936,4,12,1379,0.20361328125,-0.01760382964857854,0.015969224,0.2,0.05735711753368378,-39.67057025432587,0.14841478411108255,3.3974647521972656e-06,0.0004092704424510632,0.8794111609458923,7232,-2.1319270200000005,1257.0
232448,4,13,1373,0.2308349609375,-0.026948263533995487,0.0212978,0.2,-0.03811877220869064,-39.665188908576965,0.003955799271352589,1.806020736694336e-05,0.0004092704424510632,0.8795506954193115,7248,-2.1319270200000005,1257.0
232960,5,14,1367,0.1761474609375,-0.020573639340000227,0.013744764,0.2,-0.048134200274944305,-39.67997419834137,0.0020912845538987312,1.341104507446289e-05,0.0004092704424510632,0.8801581859588623,7264,-2.12917236,1257.0
233472,5,15,1362,0.21435546875,-0.024338427145266905,0.021605507,0.2,0.034854624420404434,-39.68344163894653,0.1521166143938899,-1.1920928955078125e-07,0.0004092704424510632,0.8789170384407043,7280,-2.12917236,1257.0
233984,6,16,1356,0.218017578125,-0.021385668354923837,0.015090885,0.2,-0.024038249626755714,-39.666221380233765,0.0039472764256061055,1.0192394256591797e-05,0.0004092704424510632,0.880377471446991,7296,-2.12716223,1257.0
234496,6,17,1352,0.2410888671875,-0.027370777912437916,0.021932293,0.2,0.02146828919649124,-39.699440717697144,0.14214289793744683,1.3709068298339844e-06,0.0004092704424510632,0.8800143003463745,7312,-2.12716223,1257.0
