time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/learning_rate,train/approx_kl,train/std,train/loss,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/entropy_loss,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
23,1233,56,28672,0.6395304203033447,0.0004092704424510632,0.038866512,0.9707258939743042,-0.02112245373427868,0.05401543219340965,0.23193359375,880,0.2,-43.06177878379822,-0.023708372304099612,1258.0,-2.4379721818181816
23,1233,57,29184,-5.432887077331543,0.0004092704424510632,0.02039418,0.9680747389793396,-0.028361981734633446,0.010256690307869576,0.251220703125,896,0.2,-42.99118685722351,-0.02470241449191235,1258.0,-2.429306869565217
24,1233,58,29696,0.11631554365158081,0.0004092704424510632,0.017826568,0.9675077795982361,0.02093813195824623,0.2871421664021909,0.2099609375,912,0.2,-42.931565046310425,-0.02344027563231066,1258.0,-2.429306869565217
24,1233,59,30208,-1.133948564529419,0.0004092704424510632,0.019119637,0.9668452143669128,-0.033941444009542465,0.010041534216725267,0.26953125,928,0.2,-42.91945207118988,-0.027290600060950965,1258.0,-2.4240093333333337
24,1233,60,30720,0.417248010635376,0.0004092704424510632,0.012331856,0.9667754769325256,0.02263355627655983,0.2518096847925335,0.1248779296875,944,0.2,-42.90029013156891,-0.01538675685878843,1258.0,-2.4240093333333337
25,1233,61,31232,-6.478120803833008,0.0004092704424510632,0.017277349,0.9651970267295837,-0.033095892518758774,0.0035914908585255034,0.2611083984375,960,0.2,-42.88205969333649,-0.030332221649587154,1258.0,-2.4240093333333337
25,1232,62,31744,-0.053864240646362305,0.0004092704424510632,0.020259455,0.9639801383018494,-0.03046312928199768,0.002726213955611456,0.2572021484375,976,0.2,-42.826425194740295,-0.023552106897113845,1258.0,-2.42316728
26,1232,63,32256,0.19859880208969116,0.0004092704424510632,0.016452681,0.9629535675048828,0.004371173679828644,0.27810262714046985,0.110107421875,992,0.2,-42.79650270938873,-0.01636895173578523,1258.0,-2.42316728
26,1232,64,32768,-3.4465794563293457,0.0004092704424510632,0.021376042,0.960923969745636,-0.024124108254909515,0.023160992772318423,0.2457275390625,1008,0.2,-42.747434973716736,-0.025995331816375256,1258.0,-2.420954576923077
27,1232,65,33280,0.2814658284187317,0.0004092704424510632,0.016672075,0.960651695728302,0.04633987694978714,0.2519703730940819,0.1375732421875,1024,0.2,-42.703853726387024,-0.01723857359320391,1258.0,-2.420954576923077
27,1232,66,33792,-0.9029852151870728,0.0004092704424510632,0.015053663,0.96075439453125,-0.02363254316151142,0.008642953616799787,0.2044677734375,1040,0.2,-42.70628833770752,-0.02103672767407261,1258.0,-2.420954576923077
27,1232,67,34304,-0.9854907989501953,0.0004092704424510632,0.02630699,0.9618508815765381,-0.04095973074436188,0.002675968353287317,0.307373046875,1056,0.2,-42.71890366077423,-0.03323841890960466,1258.0,-2.409705925925926
28,1232,68,34816,0.2180943489074707,0.0004092704424510632,0.015037796,0.9622454047203064,0.0010445956140756607,0.2973011077847332,0.0985107421875,1072,0.2,-42.74991273880005,-0.0160956854961114,1258.0,-2.409705925925926
28,1232,69,35328,-4.152155876159668,0.0004092704424510632,0.018724944,0.9614848494529724,-0.027462223544716835,0.013277455684146844,0.248779296875,1088,0.2,-42.74482047557831,-0.023822531482437626,1258.0,-2.4136468214285713
29,1232,70,35840,0.2666108012199402,0.0004092704424510632,0.010353573,0.9610750079154968,0.01969284564256668,0.4682279648259282,0.0408935546875,1104,0.2,-42.71743404865265,-0.013009128044359386,1258.0,-2.4136468214285713
29,1232,71,36352,-1.9841184616088867,0.0004092704424510632,0.01468904,0.9611150622367859,-0.02865075133740902,0.010978609236190096,0.1949462890625,1120,0.2,-42.710954546928406,-0.01907400114578195,1258.0,-2.4136468214285713
29,1232,72,36864,-0.9654768705368042,0.0004092704424510632,0.018261438,0.9606947898864746,-0.028873760253190994,0.0025904170870489907,0.2510986328125,1136,0.2,-42.71531081199646,-0.027204283454921097,1258.0,-2.411578724137931
30,1232,73,37376,0.19814151525497437,0.0004092704424510632,0.01279703,0.9604552984237671,0.12236733734607697,0.4345125986728817,0.058837890625,1152,0.2,-42.70112955570221,-0.010204468824667856,1258.0,-2.411578724137931
30,1231,74,37888,-4.32206392288208,0.0004092704424510632,0.018556535,0.960773766040802,-0.03218913823366165,0.043334787886124104,0.21484375,1168,0.2,-42.701915979385376,-0.021514127671252936,1258.0,-2.4068213
31,1231,75,38400,0.34449416399002075,0.0004092704424510632,0.015586248,0.9607478976249695,0.02292371541261673,0.2993082602042705,0.115478515625,1184,0.2,-42.71373188495636,-0.01539094909094274,1258.0,-2.4068213
31,1231,76,38912,-3.570423126220703,0.0004092704424510632,0.021382056,0.9596008658409119,-0.03438065946102142,0.012194611292215995,0.2470703125,1200,0.2,-42.69680333137512,-0.023680889935349114,1258.0,-2.4068213
32,1231,77,39424,0.3076077103614807,0.0004092704424510632,0.017302856,0.957722008228302,-0.03476203605532646,0.004798181566002313,0.235595703125,1216,0.2,-42.64326822757721,-0.024634817673359066,1258.0,-2.4067286774193546
32,1231,78,39936,0.28456878662109375,0.0004092704424510632,0.015291449,0.9581412672996521,0.0023543518036603928,0.36146057990845293,0.10693359375,1232,0.2,-42.614158630371094,-0.01778910575376358,1258.0,-2.4067286774193546
32,1231,79,40448,-1.7683281898498535,0.0004092704424510632,0.021155996,0.956488311290741,-0.027036862447857857,0.03233914071461186,0.2586669921875,1248,0.2,-42.61325740814209,-0.02783576530055143,1258.0,-2.4046375
33,1231,80,40960,0.6010280847549438,0.0004092704424510632,0.010477736,0.9554253816604614,0.14333638548851013,0.3693367822561413,0.0885009765625,1264,0.2,-42.55356001853943,-0.016426093454356305,1258.0,-2.4046375
33,1231,81,41472,-0.5225536823272705,0.0004092704424510632,0.021520428,0.9533487558364868,0.010606486350297928,0.10136449639685452,0.2410888671875,1280,0.2,-42.512394428253174,-0.02884370733227115,1258.0,-2.4046375
34,1231,82,41984,0.6549389362335205,0.0004092704424510632,0.030353386,0.9529633522033691,-0.02889198809862137,0.036056203360203654,0.2706298828125,1296,0.2,-42.45966899394989,-0.027479837968712673,1258.0,-2.401602212121212
34,1230,83,42496,0.7016422748565674,0.0004092704424510632,0.028796304,0.9525099992752075,-0.03526803106069565,0.09441384603269398,0.216552734375,1312,0.2,-42.45870840549469,-0.026810334442416206,1258.0,-2.401602212121212
34,1230,84,43008,-2.476916790008545,0.0004092704424510632,0.01892372,0.9512040019035339,-0.028907854110002518,0.015049266949063167,0.26318359375,1328,0.2,-42.422391057014465,-0.025311157733085565,1258.0,-2.398399411764706
35,1230,85,43520,0.56718909740448,0.0004092704424510632,0.012313453,0.9500815272331238,0.020483780652284622,0.295824789442122,0.0750732421875,1344,0.2,-42.386383056640625,-0.014378570565895643,1258.0,-2.398399411764706
35,1230,86,44032,-1.8694572448730469,0.0004092704424510632,0.021089885,0.9486216902732849,-0.038087692111730576,0.011374052133760415,0.2496337890625,1360,0.2,-42.345019936561584,-0.022854502632981166,1258.0,-2.4021093428571425
36,1230,87,44544,0.47011637687683105,0.0004092704424510632,0.015479646,0.9481704235076904,0.03836645185947418,0.3315535639412701,0.0830078125,1376,0.2,-42.31143116950989,-0.009331228822702542,1258.0,-2.4021093428571425
36,1229,88,45056,-5.1012725830078125,0.0004092704424510632,0.010921476,0.9474843144416809,-0.01311570405960083,0.008040800432354445,0.176513671875,1392,0.2,-42.30093860626221,-0.015332405237131752,1258.0,-2.4021093428571425
37,1229,89,45568,0.02077507972717285,0.0004092704424510632,0.016104352,0.9480423927307129,-0.030763423070311546,0.003267560347012477,0.2396240234375,1408,0.2,-42.287508845329285,-0.02237599578802474,1258.0,-2.4024888611111113
37,1229,90,46080,0.2675870656967163,0.0004092704424510632,0.01316102,0.9488543272018433,0.010924328118562698,0.38243512623012066,0.0601806640625,1424,0.2,-42.3163378238678,-0.016059652392868884,1258.0,-2.4024888611111113
37,1229,91,46592,-1.7742705345153809,0.0004092704424510632,0.027035538,0.9484848380088806,-0.041434213519096375,0.011001809092704207,0.3023681640625,1440,0.2,-42.32898283004761,-0.027311133075272664,1258.0,-2.4012466756756754
38,1229,92,47104,0.5218414664268494,0.0004092704424510632,0.016433798,0.9477756023406982,0.036790523678064346,0.35898926784284413,0.1109619140625,1456,0.2,-42.305004835128784,-0.0169872741389554,1258.0,-2.4012466756756754
38,1229,93,47616,-1.493673324584961,0.0004092704424510632,0.016436782,0.9487744569778442,-0.0190908070653677,0.01420123447314836,0.23828125,1472,0.2,-42.30324983596802,-0.020374877800350077,1258.0,-2.4012466756756754
39,1229,94,48128,-1.5328078269958496,0.0004092704424510632,0.018239845,0.9500582814216614,-0.038137584924697876,0.00637311878381297,0.2576904296875,1488,0.2,-42.34633231163025,-0.022985100658843294,1258.0,-2.4030224736842105
39,1229,95,48640,0.22040611505508423,0.0004092704424510632,0.013746837,0.950716495513916,-0.0037472471594810486,0.4204646070720628,0.072021484375,1504,0.2,-42.37867224216461,-0.019634462965768762,1258.0,-2.4030224736842105
39,1229,96,49152,-1.6835880279541016,0.0004092704424510632,0.028535537,0.949323832988739,-0.03414561226963997,0.007797824495355599,0.32275390625,1520,0.2,-42.371004700660706,-0.02984261474921368,1258.0,-2.401811128205128
40,1228,97,49664,0.36202460527420044,0.0004092704424510632,0.010415517,0.9490697979927063,0.046523816883563995,0.49620064976625144,0.048583984375,1536,0.2,-42.334447503089905,-0.00846036414441187,1258.0,-2.401811128205128
40,1229,98,50176,-2.327807664871216,0.0004092704424510632,0.021947134,0.9511321783065796,-0.039722152054309845,0.005482528744323645,0.2889404296875,1552,0.2,-42.36700773239136,-0.027738028264138848,1258.0,-2.401811128205128
41,1229,99,50688,-0.3107607364654541,0.0004092704424510632,0.017722279,0.9499707818031311,-0.02720608189702034,0.0027230138512095436,0.22607421875,1568,0.2,-42.3887540102005,-0.01982763220439665,1258.0,-2.3983967999999996
41,1228,100,51200,0.2544422149658203,0.0004092704424510632,0.006219737,0.9491991996765137,0.04669986665248871,0.5393851036205888,0.0147705078125,1584,0.2,-42.34232556819916,-0.00678575926576741,1258.0,-2.3983967999999996
42,1228,101,51712,-2.282484292984009,0.0004092704424510632,0.020826038,0.9495618343353271,-0.03168177604675293,0.022888684296049178,0.2508544921875,1600,0.2,-42.33660018444061,-0.029976649544551037,1258.0,-2.3954173414634146
42,1228,102,52224,0.23760879039764404,0.0004092704424510632,0.014819842,0.9501474499702454,0.03159009665250778,0.43024214496836066,0.065185546875,1616,0.2,-42.352181911468506,-0.008550242535420693,1258.0,-2.3954173414634146
42,1228,103,52736,-0.5024009943008423,0.0004092704424510632,0.017978922,0.9507938027381897,-0.025440124794840813,0.014607660559704527,0.251953125,1632,0.2,-42.373050570487976,-0.02507937146583572,1258.0,-2.3954173414634146
43,1228,104,53248,-0.05120444297790527,0.0004092704424510632,0.0150097525,0.9511536359786987,-0.037916045635938644,0.0030341400342877023,0.2452392578125,1648,0.2,-42.38860595226288,-0.026177262188866735,1258.0,-2.393420976190476
43,1228,105,53760,0.20240938663482666,0.0004092704424510632,0.010605505,0.951316237449646,0.028279079124331474,0.5096100566443056,0.04443359375,1664,0.2,-42.39491808414459,-0.009278235971578397,1258.0,-2.393420976190476
44,1228,106,54272,-2.82196044921875,0.0004092704424510632,0.015489908,0.9504284858703613,-0.04466458037495613,0.015447988320374861,0.2354736328125,1680,0.2,-42.38316512107849,-0.0242545871733455,1258.0,-2.3908804418604648
44,1228,107,54784,0.4144445061683655,0.0004092704424510632,0.0063633192,0.9503152370452881,0.06649857014417648,0.5205509150400758,0.013427734375,1696,0.2,-42.364436984062195,-0.004090699017979205,1258.0,-2.3908804418604648
45,1228,108,55296,-2.0104246139526367,0.0004092704424510632,0.019000951,0.950615406036377,-0.019008859992027283,0.010156110845855437,0.2293701171875,1712,0.2,-42.369213342666626,-0.022615780973865185,1258.0,-2.3908804418604648
