time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/entropy_loss,train/value_loss,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_range,train/explained_variance,train/clip_fraction,train/std,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
11776,1284,9,23,-43.76826632022858,0.009372827567858621,-0.03171960264444351,-0.02236543456092477,352,0.0004092704424510632,0.2,0.1198345422744751,0.2266845703125,0.9936165809631348,0.018140607,-2.7070307777777782,1258.0
12288,1284,9,24,-43.78319442272186,0.06806442083325237,-0.015798423439264297,-0.028464158531278372,368,0.0004092704424510632,0.2,0.13335692882537842,0.279541015625,0.9944524168968201,0.028962512,-2.7070307777777782,1258.0
12800,1282,9,25,-43.79480576515198,0.02348260980215855,-0.02624656818807125,-0.02344177375198342,384,0.0004092704424510632,0.2,0.07528936862945557,0.216552734375,0.9942046999931335,0.0182738,-2.7119015000000006,1258.0
13312,1282,10,26,-43.78169798851013,0.0766072494443506,0.004853235557675362,-0.02221762837143615,400,0.0004092704424510632,0.2,0.4030414819717407,0.2872314453125,0.9939190149307251,0.026588526,-2.7119015000000006,1258.0
13824,1281,10,27,-43.7798855304718,0.004837774298721342,-0.03521731123328209,-0.026066976686706766,416,0.0004092704424510632,0.2,-14.951610565185547,0.245849609375,0.9942054748535156,0.02471238,-2.7119015000000006,1258.0
14336,1279,11,28,-43.79421830177307,0.007416377527988516,-0.040900398045778275,-0.030153061481541954,432,0.0004092704424510632,0.2,0.08331924676895142,0.3067626953125,0.9945946931838989,0.030259773,-2.705204,1258.0
14848,1277,11,29,-43.796035408973694,0.06443844677414745,-0.0184859037399292,-0.02240523195359856,448,0.0004092704424510632,0.2,0.044907569885253906,0.2841796875,0.9943373799324036,0.03650547,-2.705204,1258.0
15360,1276,12,30,-43.790451765060425,0.01768127188552171,-0.019006798043847084,-0.01704570301808417,464,0.0004092704424510632,0.2,-0.4326282739639282,0.1702880859375,0.9946065545082092,0.016547136,-2.7009565,1258.0
15872,1275,12,31,-43.79782819747925,0.08595062687527388,0.014903394505381584,-0.028810569609049708,480,0.0004092704424510632,0.2,0.4442481994628906,0.3106689453125,0.9946577548980713,0.033202365,-2.7009565,1258.0
16384,1273,12,32,-43.79545593261719,0.003225471533369273,-0.03685148432850838,-0.025978333957027644,496,0.0004092704424510632,0.2,-5.628851890563965,0.26123046875,0.9947422742843628,0.020680377,-2.6974987692307693,1258.0
