time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_range,train/approx_kl,train/loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/learning_rate,train/std,train/policy_gradient_loss,train/value_loss,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
18944,15,1234,37,0.2,0.0150836315,-0.018699510022997856,0.201171875,-43.74569010734558,576,0.0004092704424510632,0.995590090751648,-0.022135594961582683,0.004674468422308564,-0.2044435739517212,1257.0,-2.4146754666666665
19456,15,1233,38,0.2,0.026554547,0.04380248486995697,0.262939453125,-43.82540464401245,592,0.0004092704424510632,0.9966068863868713,-0.02740067416743841,0.15668710740283132,0.00011074542999267578,1257.0,-2.4146754666666665
19968,16,1233,39,0.2,0.016192745,-0.04049148038029671,0.240234375,-43.844061613082886,608,0.0004092704424510632,0.9975177645683289,-0.0286537870997563,0.0019919166406907607,-0.0004715919494628906,1257.0,-2.4146754666666665
20480,16,1233,40,0.2,0.01839241,-0.030424945056438446,0.2213134765625,-43.88881492614746,624,0.0004092704424510632,0.9999777674674988,-0.022999279259238392,0.0023263351795321796,-0.0003813505172729492,1257.0,-2.4151083124999997
20992,17,1232,41,0.2,0.023231443,0.050055406987667084,0.248046875,-43.93531513214111,640,0.0004092704424510632,0.9996591210365295,-0.026921589087578468,0.16056626313365996,0.00018322467803955078,1257.0,-2.4151083124999997
21504,17,1231,42,0.2,0.015671289,-0.022116828709840775,0.2025146484375,-43.926244020462036,656,0.0004092704424510632,1.0003358125686646,-0.022940058290259913,0.004713629074103665,0.00032448768615722656,1257.0,-2.4053400588235294
22016,17,1230,43,0.2,0.023251541,0.04781411960721016,0.2677001953125,-43.94473218917847,672,0.0004092704424510632,0.9996289610862732,-0.024093491098028608,0.15708981617353857,0.00030428171157836914,1257.0,-2.4053400588235294
22528,18,1230,44,0.2,0.017754685,-0.03732748702168465,0.23388671875,-43.885353207588196,688,0.0004092704424510632,0.9968023896217346,-0.02747007171274163,0.0034871758689405397,0.008724868297576904,1257.0,-2.4053400588235294
23040,18,1229,45,0.2,0.015342704,-0.03331156447529793,0.217529296875,-43.8153977394104,704,0.0004092704424510632,0.9956256151199341,-0.02520979791006539,0.0022874364076415077,-2.849102020263672e-05,1257.0,-2.4098878333333333
23552,19,1229,46,0.2,0.02484502,0.057274095714092255,0.2760009765625,-43.782230496406555,720,0.0004092704424510632,0.9945852756500244,-0.02981361871934496,0.16941363597288728,0.00040590763092041016,1257.0,-2.4098878333333333
24064,19,1229,47,0.2,0.013989425,-0.023025857284665108,0.1893310546875,-43.77328848838806,736,0.0004092704424510632,0.9956146478652954,-0.020623152347980067,0.003613422653870657,-0.028578639030456543,1257.0,-2.4145812631578947
24576,20,1228,48,0.2,0.018267415,0.057195208966732025,0.1502685546875,-43.7813925743103,752,0.0004092704424510632,0.9941985607147217,-0.01666636668960564,0.15623980085365474,0.0011050105094909668,1257.0,-2.4145812631578947
25088,20,1227,49,0.2,0.0184382,-0.03873898833990097,0.225830078125,-43.72061598300934,768,0.0004092704424510632,0.9925186634063721,-0.024337540002306923,0.002532792856072774,-0.1253812313079834,1257.0,-2.4145812631578947
25600,20,1227,50,0.2,0.015269764,-0.038355063647031784,0.2232666015625,-43.682252526283264,784,0.0004092704424510632,0.9913912415504456,-0.030324046121677384,0.0025585218900232576,0.0002471804618835449,1257.0,-2.4213207
26112,21,1226,51,0.2,0.032354593,0.03222143277525902,0.2916259765625,-43.645916223526,800,0.0004092704424510632,0.9901689291000366,-0.028636804228881374,0.16084761312231421,9.119510650634766e-05,1257.0,-2.4213207
26624,21,1226,52,0.2,0.0154316975,-0.04332277923822403,0.23828125,-43.59589505195618,816,0.0004092704424510632,0.9884403944015503,-0.028015730262268335,0.0032383463767473586,-0.006342291831970215,1257.0,-2.4237737619047617
27136,22,1226,53,0.2,0.017510757,0.05888845771551132,0.206298828125,-43.551379323005676,832,0.0004092704424510632,0.9876052737236023,-0.023541217407910153,0.1740921507589519,-0.00028395652770996094,1257.0,-2.4237737619047617
27648,22,1226,54,0.2,0.021966662,-0.042961858212947845,0.21630859375,-43.51932120323181,848,0.0004092704424510632,0.9861030578613281,-0.025872982165310532,0.00405627259897301,-0.00011730194091796875,1257.0,-2.4237737619047617
28160,22,1226,55,0.2,0.012782772,-0.029569992795586586,0.173828125,-43.468878746032715,864,0.0004092704424510632,0.9846480488777161,-0.0220398733363254,0.0018247120005980833,0.0015496015548706055,1257.0,-2.4237836818181817
28672,23,1225,56,0.2,0.023782775,-0.0032667145133018494,0.244873046875,-43.434385538101196,880,0.0004092704424510632,0.9841633439064026,-0.020045264885993674,0.05156885471660644,0.00034046173095703125,1257.0,-2.4237836818181817
