time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/std,train/learning_rate,train/clip_fraction,train/value_loss,train/loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
8704,17,1364,6,-43.883360624313354,0.9957126975059509,0.0004092704424510632,0.2288818359375,0.003853445974527858,-0.035351481288671494,-0.0614546537399292,-0.023698752440395765,0.017043157,0.2,256,-2.289153,1257.0
9216,18,1361,6,-43.830734729766846,0.9955272078514099,0.0004092704424510632,0.231689453125,0.00321922852890566,-0.03914782404899597,-0.0034519433975219727,-0.02730456620338373,0.016855175,0.2,272,-2.2817795714285714,1257.0
9728,19,1356,7,-43.84048390388489,0.995566725730896,0.0004092704424510632,0.2125244140625,0.06701525405514985,0.002587154507637024,0.0008937716484069824,-0.021558301217737608,0.019962406,0.2,288,-2.2817795714285714,1257.0
10240,20,1353,7,-43.808529019355774,0.9937396049499512,0.0004092704424510632,0.185302734375,0.0034203621762571856,-0.035372890532016754,-0.011871814727783203,-0.021763929435110185,0.013188752,0.2,304,-2.2796671249999996,1257.0
10752,21,1350,7,-43.734575629234314,0.9905914664268494,0.0004092704424510632,0.252685546875,0.06312962074298412,-0.011529169976711273,0.0018343925476074219,-0.026223193417536095,0.023431653,0.2,320,-2.2796671249999996,1257.0
11264,22,1348,8,-43.62449383735657,0.9871566891670227,0.0004092704424510632,0.2618408203125,0.004625183733878657,-0.044769905507564545,-0.1299755573272705,-0.0300911486701807,0.023816302,0.2,336,-2.2796671249999996,1257.0
11776,23,1346,8,-43.572245359420776,0.9882213473320007,0.0004092704424510632,0.20458984375,0.004314322053687647,-0.0392923541367054,-0.0009379386901855469,-0.02202493150252849,0.019767184,0.2,352,-2.284512222222222,1257.0
12288,24,1344,9,-43.61264204978943,0.9883372187614441,0.0004092704424510632,0.236083984375,0.08013456757180393,-0.004575625061988831,0.00011092424392700195,-0.025965832464862615,0.018565627,0.2,368,-2.284512222222222,1257.0
12800,25,1343,9,-43.58438992500305,0.9871741533279419,0.0004092704424510632,0.177490234375,0.0037867851606279146,-0.029680348932743073,-0.004330635070800781,-0.021251630401820876,0.013582649,0.2,384,-2.2876714999999996,1257.0
13312,26,1342,9,-43.55168437957764,0.9862995147705078,0.0004092704424510632,0.2427978515625,0.09284183848649263,0.010569315403699875,0.0009731054306030273,-0.025939176834071986,0.02326633,0.2,400,-2.2876714999999996,1257.0
13824,27,1340,10,-43.53790247440338,0.9865320324897766,0.0004092704424510632,0.2724609375,0.0036431575790629722,-0.030614223331212997,-0.07839429378509521,-0.025752734567504376,0.025053006,0.2,416,-2.2876714999999996,1257.0
14336,28,1339,10,-43.53431689739227,0.985666811466217,0.0004092704424510632,0.2340087890625,0.00501713551057037,-0.03654780238866806,0.0012243986129760742,-0.026438132641487755,0.01827323,0.2,432,-2.2801170909090906,1257.0
14848,29,1337,11,-43.51902961730957,0.9863099455833435,0.0004092704424510632,0.231689453125,0.01760043008107459,-0.022125819697976112,-0.00038230419158935547,-0.02198321015748661,0.023587454,0.2,448,-2.2801170909090906,1257.0
15360,30,1335,11,-43.534467577934265,0.9861121773719788,0.0004092704424510632,0.2701416015625,0.003987739430158399,-0.06117697060108185,0.0023695826530456543,-0.034633581337402575,0.022891011,0.2,464,-2.2782251666666666,1257.0
15872,31,1334,11,-43.50383412837982,0.9847878217697144,0.0004092704424510632,0.2010498046875,0.12330165202729404,0.04125814139842987,0.00029462575912475586,-0.021975547148031183,0.016887669,0.2,480,-2.2782251666666666,1257.0
16384,32,1332,12,-43.45789337158203,0.9832607507705688,0.0004092704424510632,0.258544921875,0.0031751863098179456,-0.040370989590883255,-0.005863785743713379,-0.027198703959584236,0.022087397,0.2,496,-2.2708943846153846,1257.0
16896,33,1331,12,-43.41470456123352,0.9821855425834656,0.0004092704424510632,0.25927734375,0.12183683249168098,0.021636825054883957,0.0007316470146179199,-0.025947674934286624,0.023187365,0.2,512,-2.2708943846153846,1257.0
17408,34,1330,13,-43.395712018013,0.9819148778915405,0.0004092704424510632,0.2569580078125,0.004252775528584607,-0.03932943195104599,-0.27285242080688477,-0.025205422309227288,0.019562759,0.2,528,-2.2708943846153846,1257.0
17920,35,1329,13,-43.399367928504944,0.9826090931892395,0.0004092704424510632,0.2672119140625,0.0033753382522263564,-0.043329428881406784,-0.005253434181213379,-0.028387729413225316,0.029401533,0.2,544,-2.2637427142857143,1257.0
18432,36,1329,13,-43.410874009132385,0.9823681712150574,0.0004092704424510632,0.197021484375,0.1430258417967707,0.048014674335718155,0.0001590251922607422,-0.02121086628176272,0.017918982,0.2,560,-2.2637427142857143,1257.0
18944,37,1328,14,-43.398409485816956,0.981798529624939,0.0004092704424510632,0.222900390625,0.0017549836593389045,-0.035184308886528015,-0.00394129753112793,-0.026260025362716988,0.016954988,0.2,576,-2.256935933333333,1257.0
19456,38,1327,14,-43.38410222530365,0.9814059138298035,0.0004092704424510632,0.2257080078125,0.13008948601782322,0.02046186849474907,0.0007467269897460938,-0.027417638921178877,0.018538915,0.2,592,-2.256935933333333,1257.0
19968,39,1327,15,-43.36995589733124,0.9809016585350037,0.0004092704424510632,0.2564697265625,0.005168471456272528,-0.046182818710803986,-0.07084929943084717,-0.028965936849999707,0.021070305,0.2,608,-2.256935933333333,1257.0
20480,40,1326,15,-43.349191188812256,0.9799878001213074,0.0004092704424510632,0.2305908203125,0.003649824022431858,-0.03654293715953827,-0.0014448165893554688,-0.02672271794290282,0.01985482,0.2,624,-2.2537432499999994,1257.0
20992,41,1325,15,-43.314743399620056,0.9787645936012268,0.0004092704424510632,0.1588134765625,0.15300747752189636,0.05292169377207756,0.00032573938369750977,-0.019624685126473196,0.015517049,0.2,640,-2.2537432499999994,1257.0
21504,42,1325,16,-43.283263206481934,0.9782806038856506,0.0004092704424510632,0.2366943359375,0.005449631855299231,-0.046778708696365356,-0.005329012870788574,-0.026437584223458543,0.023581399,0.2,656,-2.2564985294117643,1257.0
22016,43,1324,16,-43.280221462249756,0.9783059358596802,0.0004092704424510632,0.2110595703125,0.14662754046730697,0.03279779478907585,0.0013140439987182617,-0.02300335292238742,0.016819492,0.2,672,-2.2564985294117643,1257.0
22528,44,1323,17,-43.2921416759491,0.9795902371406555,0.0004092704424510632,0.2916259765625,0.003244863255531527,-0.029122428968548775,-0.2602050304412842,-0.030248357725213282,0.029221572,0.2,688,-2.2564985294117643,1257.0
23040,45,1323,17,-43.333791613578796,0.9802935719490051,0.0004092704424510632,0.1982421875,0.0038906164409127086,-0.02199556678533554,-5.9485435485839844e-05,-0.02001576285692863,0.015491374,0.2,704,-2.2472673888888886,1257.0
23552,46,1323,17,-43.342644572257996,0.9803182482719421,0.0004092704424510632,0.2408447265625,0.1701069511473179,0.05581162869930267,5.91278076171875e-05,-0.024262257924419828,0.020703556,0.2,720,-2.2472673888888886,1257.0
24064,47,1322,18,-43.339313983917236,0.9799613952636719,0.0004092704424510632,0.2110595703125,0.003543634280504193,-0.04431864619255066,0.00011610984802246094,-0.026184354966972023,0.014669623,0.2,736,-2.2497398947368423,1257.0
24576,48,1322,18,-43.30589520931244,0.9782559871673584,0.0004092704424510632,0.25341796875,0.15937739377841353,0.04449601471424103,0.00019723176956176758,-0.027346299684722908,0.024932023,0.2,752,-2.2497398947368423,1257.0
25088,49,1322,18,-43.26673483848572,0.977724552154541,0.0004092704424510632,0.1978759765625,0.005284286380629055,-0.03136209771037102,-0.03071308135986328,-0.018946756987133995,0.01826309,0.2,768,-2.2497398947368423,1257.0
