time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/clip_fraction,train/learning_rate,train/explained_variance,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/loss,train/n_updates,train/value_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
1867,173056,44,12,0.01171875,0.0004092704424510632,0.1535888910293579,0.0045868605,-42.23359835147858,-0.0032150449842447415,0.2,0.17573754489421844,5392,1.6329129356890917,0.954472005367279,-2.2361255499999997,1258.0
1866,173568,45,12,0.266357421875,0.0004092704424510632,-11.753751754760742,0.019667763,-42.200944662094116,-0.029399084392935038,0.2,-0.04588388279080391,5408,0.0037293844179657754,0.952557384967804,-2.2361255499999997,1258.0
1866,174080,46,12,0.2335205078125,0.0004092704424510632,0.4383874535560608,0.016390674,-42.149616837501526,-0.02634784739348106,0.2,-0.026397619396448135,5424,0.032041149272117764,0.9515065550804138,-2.2365386899999997,1258.0
1867,174592,47,12,0.1466064453125,0.0004092704424510632,0.5989601612091064,0.024425026,-42.13758599758148,-0.01706917218689341,0.2,-0.006258741021156311,5440,0.3444384620524943,0.951442539691925,-2.2365386899999997,1258.0
1866,175104,48,13,0.2529296875,0.0004092704424510632,-4.585207939147949,0.022754591,-42.15263259410858,-0.02287913832697086,0.2,-0.027462294325232506,5456,0.013390139865805395,0.9525866508483887,-2.23663678,1258.0
1865,175616,49,13,0.0101318359375,0.0004092704424510632,0.2003188133239746,0.0044073868,-42.17753326892853,-0.005309718530043028,0.2,0.2356881946325302,5472,2.023267436772585,0.9527985453605652,-2.23663678,1258.0
1864,176128,50,13,0.310546875,0.0004092704424510632,-2.3386270999908447,0.022871993,-42.188695669174194,-0.02639537357026711,0.2,-0.034471191465854645,5488,0.007021252284175716,0.953605592250824,-2.23653898,1258.0
1864,176640,51,14,0.0150146484375,0.0004092704424510632,0.3287859559059143,0.0052281823,-42.206778168678284,-0.005721259985875804,0.2,0.2813929617404938,5504,1.5315243313089013,0.953730046749115,-2.23653898,1258.0
1862,177152,52,14,0.22705078125,0.0004092704424510632,-5.907358646392822,0.015567366,-42.208584666252136,-0.02568770061407122,0.2,-0.038756340742111206,5520,0.007399244630505564,0.9540418982505798,-2.23653898,1258.0
1861,177664,53,14,0.2503662109375,0.0004092704424510632,0.03865182399749756,0.016880777,-42.18531692028046,-0.02505477104568854,0.2,-0.026814790442585945,5536,0.002071537521260325,0.9518250823020935,-2.2336041000000004,1258.0
1862,178176,54,14,0.0631103515625,0.0004092704424510632,0.21238863468170166,0.0093539385,-42.12990427017212,-0.008616997365606949,0.2,0.18847499787807465,5552,1.9327619019895792,0.9511147737503052,-2.2336041000000004,1258.0
1862,178688,55,15,0.3349609375,0.0004092704424510632,-2.8785789012908936,0.0283881,-42.14572727680206,-0.030464051946182735,0.2,-0.04608823359012604,5568,0.00805735546600772,0.9527089595794678,-2.23471921,1258.0
1862,179200,56,15,0.076171875,0.0004092704424510632,0.34428733587265015,0.014281886,-42.20027267932892,-0.013325325213372707,0.2,0.22036832571029663,5584,1.2430405095219612,0.9534565210342407,-2.23471921,1258.0
1861,179712,57,15,0.280517578125,0.0004092704424510632,-7.282798767089844,0.023387957,-42.2113733291626,-0.024547840614104643,0.2,-0.03518956899642944,5600,0.0029988291244080756,0.9538593292236328,-2.23471921,1258.0
1861,180224,58,15,0.2432861328125,0.0004092704424510632,0.0020133256912231445,0.015107544,-42.19989287853241,-0.02355103802983649,0.2,-0.030711771920323372,5616,0.006276789339608513,0.953201413154602,-2.23816703,1258.0
1860,180736,59,16,0.036865234375,0.0004092704424510632,0.32685160636901855,0.011058604,-42.18808603286743,-0.009327228704933077,0.2,0.3127080798149109,5632,1.238412075676024,0.9530562162399292,-2.23816703,1258.0
1859,181248,60,16,0.3095703125,0.0004092704424510632,-0.6591352224349976,0.02207337,-42.205005288124084,-0.03188845675322227,0.2,-0.04009763151407242,5648,0.004201814517728053,0.9542275667190552,-2.23883591,1258.0
1859,181760,61,16,0.0062255859375,0.0004092704424510632,0.5310001969337463,0.0037869369,-42.246533274650574,-0.001898757109302096,0.2,0.30558526515960693,5664,1.8174092452973127,0.9546791911125183,-2.23883591,1258.0
1859,182272,62,17,0.3089599609375,0.0004092704424510632,-5.693785667419434,0.030564751,-42.22950303554535,-0.028073590961867012,0.2,-0.029640302062034607,5680,0.0036984465732530225,0.9531594514846802,-2.23883591,1258.0
1859,182784,63,17,0.2889404296875,0.0004092704424510632,0.06242978572845459,0.018944042,-42.17823040485382,-0.029406607078271918,0.2,-0.04105251282453537,5696,0.005949470636551268,0.9518414735794067,-2.2386814,1258.0
1859,183296,64,17,0.0435791015625,0.0004092704424510632,0.31459468603134155,0.009095268,-42.14723885059357,-0.008759090676903725,0.2,0.17073290050029755,5712,1.4638645304366946,0.9515990614891052,-2.2386814,1258.0
1859,183808,65,17,0.2506103515625,0.0004092704424510632,-7.712976455688477,0.015697101,-42.14769959449768,-0.028058250623871572,0.2,-0.04127955064177513,5728,0.011193231759534683,0.9518248438835144,-2.2388063899999997,1258.0
1858,184320,66,18,0.0106201171875,0.0004092704424510632,0.2640354633331299,0.005307194,-42.147613167762756,-0.0026601021927490365,0.2,0.15651091933250427,5744,2.0019171284511685,0.9519192576408386,-2.2388063899999997,1258.0
1858,184832,67,18,0.224853515625,0.0004092704424510632,-2.9509029388427734,0.016698997,-42.11593770980835,-0.02382582370773889,0.2,-0.03292468935251236,5760,0.004088799185410608,0.9495313763618469,-2.2388063899999997,1258.0
1857,185344,68,18,0.291015625,0.0004092704424510632,0.15579551458358765,0.020734292,-42.05835247039795,-0.029159498706576414,0.2,-0.04463696852326393,5776,0.006141205158201046,0.9489560723304749,-2.23984272,1258.0
1857,185856,69,19,0.0223388671875,0.0004092704424510632,0.42411667108535767,0.0061899647,-42.05866241455078,-0.005915423316764645,0.2,0.17497923970222473,5792,1.2373821130022407,0.9490584135055542,-2.23984272,1258.0
1857,186368,70,19,0.254150390625,0.0004092704424510632,-1.6947052478790283,0.019349698,-42.05252206325531,-0.02135405398439616,0.2,-0.03437696769833565,5808,0.03280003339750692,0.9483082890510559,-2.2418354199999997,1258.0
1857,186880,71,19,0.0703125,0.0004092704424510632,0.46931737661361694,0.009189149,-42.02948451042175,-0.009908345542498864,0.2,0.25823354721069336,5824,1.664568681269884,0.9480311274528503,-2.2418354199999997,1258.0
1857,187392,72,19,0.33984375,0.0004092704424510632,-10.34852123260498,0.028526694,-42.03356575965881,-0.02845953169162385,0.2,-0.03925798833370209,5840,0.003579898111638613,0.9489531517028809,-2.2418354199999997,1258.0
1857,187904,73,20,0.298095703125,0.0004092704424510632,0.36063462495803833,0.02042043,-42.026495814323425,-0.027156081167049706,0.2,-0.030903322622179985,5856,0.010718948367866687,0.9472523331642151,-2.2428603,1258.0
1857,188416,74,20,0.0306396484375,0.0004092704424510632,0.4141002893447876,0.008920485,-41.967026352882385,-0.007194540579803288,0.2,0.2858979403972626,5872,0.7843405674211681,0.9463215470314026,-2.2428603,1258.0
1857,188928,75,20,0.251953125,0.0004092704424510632,-1.5756869316101074,0.018585628,-41.93966579437256,-0.02061655407305807,0.2,-0.025869708508253098,5888,0.0041964115043811034,0.9452735781669617,-2.24253431,1258.0
1856,189440,76,20,0.038818359375,0.0004092704424510632,0.44676095247268677,0.0068705333,-41.91263699531555,-0.007841752711101435,0.2,0.1633666455745697,5904,1.6325714383274317,0.9449133276939392,-2.24253431,1258.0
1856,189952,77,21,0.2442626953125,0.0004092704424510632,-13.054658889770508,0.020856872,-41.89243960380554,-0.02347533163265325,0.2,-0.03515174612402916,5920,0.010442650738696102,0.9436948895454407,-2.24253431,1258.0
1856,190464,78,21,0.2635498046875,0.0004092704424510632,0.46114104986190796,0.018011857,-41.86393916606903,-0.024892144225304946,0.2,0.04424424096941948,5936,0.2086011953651905,0.9434808492660522,-2.24159454,1258.0
1856,190976,79,21,0.150390625,0.0004092704424510632,0.44748711585998535,0.02075138,-41.86370134353638,-0.012636780127650127,0.2,-0.009711536578834057,5952,0.16689832520205528,0.9434385895729065,-2.24159454,1258.0
1856,191488,80,22,0.2908935546875,0.0004092704424510632,-0.6532509326934814,0.018451696,-41.84753894805908,-0.03081523862783797,0.2,-0.03896936774253845,5968,0.010926630056928843,0.9424271583557129,-2.24010953,1258.0
1856,192000,81,22,0.0347900390625,0.0004092704424510632,0.29669612646102905,0.0072320793,-41.811383843421936,-0.0060172875673742965,0.2,0.28956279158592224,5984,1.2840468753129244,0.9419461488723755,-2.24010953,1258.0
