time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/approx_kl,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/std,train/learning_rate,train/loss,train/entropy_loss,train/clip_fraction,train/n_updates,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
101,27,51712,1876,0.020948978,-3.907857894897461,0.2,-0.02470630977768451,0.9703000783920288,0.0004092704424510632,-0.03187829256057739,-42.94968402385712,0.2213134765625,1600,0.004973349743522704,1257.0,-2.5461075853658532
102,27,52224,1876,0.018485172,0.26266878843307495,0.2,-0.017777032117010094,0.9690432548522949,0.0004092704424510632,-0.007268677465617657,-42.91451358795166,0.135986328125,1616,0.0753685794188641,1257.0,-2.5461075853658532
103,28,52736,1876,0.016505837,-0.40416622161865234,0.2,-0.029182236045016907,0.9678189158439636,0.0004092704424510632,-0.04327886924147606,-42.87607562541962,0.267333984375,1632,0.0065904163784580305,1257.0,-2.5461075853658532
104,28,53248,1876,0.018896218,0.12198227643966675,0.2,-0.02872693244717084,0.9676769971847534,0.0004092704424510632,-0.03837433084845543,-42.84771430492401,0.2481689453125,1648,0.0013333340102690272,1257.0,-2.541855738095238
105,28,53760,1876,0.02002699,0.21914511919021606,0.2,-0.015898624777037185,0.9666314721107483,0.0004092704424510632,-0.026775678619742393,-42.82972061634064,0.1524658203125,1664,0.05404127173824236,1257.0,-2.541855738095238
106,28,54272,1876,0.020593263,-2.734708547592163,0.2,-0.0254622908832971,0.9675845503807068,0.0004092704424510632,-0.04292633384466171,-42.80509400367737,0.2506103515625,1680,0.008926213340600953,1257.0,-2.5390722790697673
107,29,54784,1876,0.021875627,0.3245386481285095,0.2,-0.024600557459052652,0.9682047367095947,0.0004092704424510632,-0.01792900823056698,-42.842533349990845,0.1815185546875,1696,0.06932948384201154,1257.0,-2.5390722790697673
108,29,55296,1876,0.018487427,-0.7479698657989502,0.2,-0.025707395368954167,0.9684054255485535,0.0004092704424510632,-0.034176304936409,-42.84757602214813,0.2388916015625,1712,0.011392917687771842,1257.0,-2.5390722790697673
109,29,55808,1875,0.01605308,0.6433177590370178,0.2,-0.019344084372278303,0.9683900475502014,0.0004092704424510632,-0.0061759427189826965,-42.855615735054016,0.166748046875,1728,0.04391636769287288,1257.0,-2.533989568181818
110,30,56320,1875,0.021530941,0.8841490149497986,0.2,-0.022980664536589757,0.9672336578369141,0.0004092704424510632,-0.027808189392089844,-42.83821427822113,0.2747802734375,1744,0.015298041311325505,1257.0,-2.533989568181818
111,30,56832,1875,0.024389233,-2.165210485458374,0.2,-0.027149337460286915,0.9665431976318359,0.0004092704424510632,-0.029042698442935944,-42.80343759059906,0.2652587890625,1760,0.008594803279265761,1257.0,-2.5257520444444443
112,30,57344,1875,0.02210655,0.4968719482421875,0.2,-0.021183429984375834,0.96611487865448,0.0004092704424510632,-0.015575017780065536,-42.79311811923981,0.1397705078125,1776,0.06289675959851593,1257.0,-2.5257520444444443
113,30,57856,1875,0.02519561,-1.6213502883911133,0.2,-0.03198276221519336,0.9666343331336975,0.0004092704424510632,-0.028993189334869385,-42.787922859191895,0.2977294921875,1792,0.019760784110985696,1257.0,-2.5272708695652173
114,31,58368,1875,0.014209174,0.42630231380462646,0.2,-0.019894125121936668,0.966569721698761,0.0004092704424510632,-0.019448794424533844,-42.80572497844696,0.1798095703125,1808,0.054935252701397985,1257.0,-2.5272708695652173
115,31,58880,1875,0.018821537,-0.20788419246673584,0.2,-0.022269256704021245,0.9666290283203125,0.0004092704424510632,-0.022984161972999573,-42.80075979232788,0.2362060546875,1824,0.004856375548115466,1257.0,-2.5272708695652173
116,31,59392,1875,0.020700794,-2.1524736881256104,0.2,-0.026855030155275017,0.9667809009552002,0.0004092704424510632,-0.02182844839990139,-42.80656623840332,0.268310546875,1840,0.004242423587129451,1257.0,-2.5226070425531915
117,31,59904,1875,0.019972071,0.24634283781051636,0.2,-0.020905308745568618,0.9668424129486084,0.0004092704424510632,-0.03570188581943512,-42.80776357650757,0.167724609375,1856,0.0605707693612203,1257.0,-2.5226070425531915
