time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/entropy_loss,train/n_updates,train/value_loss,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/std,train/learning_rate,train/clip_range,rollout/ep_rew_mean,rollout/ep_len_mean
25,80,191488,1614,-41.81704556941986,5968,0.023951911425683647,-0.033207036554813385,-0.030632720881840214,0.5729109644889832,0.27001953125,0.02019229,0.9425697922706604,0.0004092704424510632,0.2,-2.32581406,1257.0
25,81,192000,1614,-41.83253359794617,5984,0.011778975022025406,-0.03236664459109306,-0.02320277932449244,0.9417562484741211,0.2237548828125,0.01892512,0.9430626630783081,0.0004092704424510632,0.2,-2.32581406,1257.0
25,82,192512,1614,-41.87571179866791,6000,0.021779503265861422,-0.02670629881322384,-0.018387214542599395,0.014806866645812988,0.1839599609375,0.018270034,0.9456941485404968,0.0004092704424510632,0.2,-2.3242741199999997,1257.0
26,83,193024,1615,-41.959046959877014,6016,0.026128277997486293,-0.016474802047014236,-0.02178170208935626,0.892673134803772,0.1793212890625,0.014878676,0.9468610882759094,0.0004092704424510632,0.2,-2.3242741199999997,1257.0
26,84,193536,1617,-41.980218172073364,6032,0.022403010458219796,-0.03178541734814644,-0.024631568929180503,0.12197399139404297,0.220947265625,0.019227406,0.9478715658187866,0.0004092704424510632,0.2,-2.3242741199999997,1257.0
26,85,194048,1620,-42.015751242637634,6048,0.02322995732538402,-0.027882497757673264,-0.023416670155711472,0.7999991178512573,0.22705078125,0.014268523,0.9494448304176331,0.0004092704424510632,0.2,-2.3226354099999997,1257.0
27,86,194560,1622,-42.050612807273865,6064,0.009717059961985797,-0.039333973079919815,-0.026074112014612183,0.9471096992492676,0.2501220703125,0.018833231,0.9497197866439819,0.0004092704424510632,0.2,-2.3226354099999997,1257.0
27,87,195072,1622,-42.04673671722412,6080,0.011105576195404865,-0.03198845311999321,-0.03412961997673847,0.04122859239578247,0.2967529296875,0.0253029,0.950278639793396,0.0004092704424510632,0.2,-2.3229271099999997,1257.0
27,88,195584,1622,-42.06444048881531,6096,0.020010731619549915,-0.02407761476933956,-0.01882887873216532,0.852321207523346,0.1727294921875,0.019080732,0.9505677223205566,0.0004092704424510632,0.2,-2.3229271099999997,1257.0
28,89,196096,1622,-42.07573044300079,6112,0.012598603556398302,-0.043007444590330124,-0.029589354220661335,-0.45478618144989014,0.2484130859375,0.019910697,0.9508945941925049,0.0004092704424510632,0.2,-2.3215251199999996,1257.0
28,90,196608,1622,-42.08742094039917,6128,0.0215521257778164,-0.03090367093682289,-0.023612687196873594,0.8444907665252686,0.193603515625,0.015432713,0.9508702754974365,0.0004092704424510632,0.2,-2.3215251199999996,1257.0
28,91,197120,1622,-42.09236228466034,6144,0.00889568829734344,-0.03331789746880531,-0.029795046633807942,0.6464691162109375,0.2672119140625,0.02168931,0.9510168433189392,0.0004092704424510632,0.2,-2.3215251199999996,1257.0
29,92,197632,1622,-42.093530774116516,6160,0.006712519272696227,-0.035201311111450195,-0.028095668269088492,-0.2452561855316162,0.2496337890625,0.018859932,0.9512025117874146,0.0004092704424510632,0.2,-2.3186099899999997,1257.0
29,93,198144,1622,-42.07870531082153,6176,0.022164496418554336,-0.02595660835504532,-0.02303090451459866,0.8038296699523926,0.1763916015625,0.0145683745,0.9496443271636963,0.0004092704424510632,0.2,-2.3186099899999997,1257.0
29,94,198656,1624,-42.00423002243042,6192,0.011496640363475308,-0.027828488498926163,-0.019383684237254784,-0.996159553527832,0.1593017578125,0.014271758,0.9475432634353638,0.0004092704424510632,0.2,-2.3181045,1257.0
