strategy,period,n_days,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
M5_eta3.0,2023,250,0.2007408148239335,0.20249939718610466,0.10612477390358378,1.315585385668701,0.09031621465155093
M5_eta3.0,2024,252,0.25316155519402067,0.2531615551940207,0.11023813946693647,1.6537157157315443,0.055790727559224026
M5_eta3.0,2025,250,0.19123530737586797,0.1929041173660202,0.16227992559522852,0.9180267284784231,0.15521441048104812
M5_eta3.0,2026,113,0.11019096211522957,0.26252754078028606,0.14149502249561166,1.4644058543087555,0.08772574863174432
M5_eta3.0,2021-2026,1368,1.2357631805630285,0.15975942473005222,0.15094185981438246,0.8427694668720487,0.22825403170222586
M5_eta7.0,2021,252,0.2518822007054919,0.25188220070549194,0.11270053576824729,2.047311919206568,0.055186639690916785
M5_eta7.0,2022,251,-0.0943598782698057,-0.09471742102977776,0.21785106129942472,-0.439904323284053,0.23715871530411445
M5_eta7.0,2023,250,0.2127389957956058,0.2146117590049501,0.1116067484836344,1.3461488995882687,0.08843432798349335
M5_eta7.0,2024,252,0.4210872725212193,0.42108727252121936,0.14690722699850403,2.1297768767928753,0.06368704183580018
M5_eta7.0,2025,250,0.30335981577458704,0.3061252990925811,0.18023754006749193,1.3470791835302056,0.18224195021965803
M5_eta7.0,2026,113,0.13093389187569685,0.31573893927176466,0.13430819459815568,1.8431552380199723,0.08243060367007167
M5_eta7.0,2021-2026,1368,1.8801078957070412,0.21514450990263145,0.15722885516163082,1.1122383939409732,0.2371587153041145
M6_eta1.0,2021,252,0.24613773002522865,0.24613773002522876,0.10938781371554644,2.063921209149362,0.04061500028766031
M6_eta1.0,2022,251,-0.1592850758680684,-0.15986601556237046,0.27948043666996986,-0.5554033271207013,0.2884298363554918
M6_eta1.0,2023,250,0.26581908822158967,0.26820836537124726,0.12182309290773526,1.5977181111594285,0.0928806134364838
M6_eta1.0,2024,252,0.3141112456437278,0.31411124564372783,0.11692612406922462,1.9720554656251608,0.05377928656906322
M6_eta1.0,2025,250,0.1747017140251993,0.1762158387688213,0.1563662021860982,0.8565778139489755,0.15254732588510958
M6_eta1.0,2026,113,0.12594364515895695,0.30282684176400343,0.13543254601640362,1.7562108252422275,0.09447041282229338
M6_eta1.0,2021-2026,1368,1.3049570186633255,0.16628935313386006,0.16654901239159817,0.8124513464464391,0.2884298363554917
M6_eta3.0,2021,252,0.2292345185642206,0.2292345185642206,0.11404100648561831,1.864368705850437,0.05486500910490717
M6_eta3.0,2022,251,-0.13884501697721152,-0.13935771738185843,0.251660774859306,-0.5502352143013444,0.26218335204165677
M6_eta3.0,2023,250,0.20996649150010083,0.21181278461962583,0.11515928865782643,1.288081972453102,0.08950798610440074
M6_eta3.0,2024,252,0.3136032454301986,0.31360324543019846,0.11820730676610508,1.9487153862973352,0.053522108388795855
M6_eta3.0,2025,250,0.13540542781353515,0.1365594931277232,0.1518244865475094,0.6516979057279939,0.14242896750588405
M6_eta3.0,2026,113,0.07826696988977043,0.18299401991037967,0.10597195399363565,1.299850863627425,0.07699728047803268
M6_eta3.0,2021-2026,1368,1.0598276812718048,0.1423809529572917,0.15537106197422942,0.7259218857139704,0.26218335204165677
M6_eta7.0,2021,252,0.25609345110108483,0.25609345110108483,0.10836638048118222,2.1558454998774983,0.0413457975154634
M6_eta7.0,2022,251,-0.1411091232892416,-0.14162947879222088,0.252520571158005,-0.5579615799056451,0.2649849217376039
M6_eta7.0,2023,250,0.20546453675683699,0.20726795745434456,0.10966566435275014,1.3126911211390846,0.07837364113202419
M6_eta7.0,2024,252,0.32479931440724863,0.32479931440724874,0.12458938421023633,1.923220044181639,0.05678848152246695
M6_eta7.0,2025,250,0.1889815622609845,0.19062917697151227,0.15405153997632706,0.9462623133532295,0.15175219954919436
M6_eta7.0,2026,113,0.08410298337638927,0.1973204681929448,0.10405480750933084,1.4376559945999214,0.07300826856549235
M6_eta7.0,2021-2026,1368,1.2208035024678623,0.1583260250623817,0.15538324381678442,0.8151363265410013,0.26498492173760385
UCRP,2021,252,0.2218897541096632,0.22188975410966316,0.11849391286510821,1.7480482175740046,0.056962335645088985
DIA,2021,252,0.2082574723501983,0.2082574723501982,0.12306584504160996,1.5963454243822532,0.06366507752564507
UCRP,2022,251,-0.09615598859295652,-0.09651996812332375,0.21211291046467787,-0.46695387257133675,0.22449811077691517
DIA,2022,251,-0.07015309660942766,-0.07042251063167904,0.19772355708993297,-0.37178363853617286,0.20757197187607085
UCRP,2023,250,0.221913857533146,0.22387458079531153,0.1170199625113228,1.3541147019465123,0.08557736333935541
DIA,2023,250,0.16019110258187005,0.16157101605735047,0.1140985385031959,0.9276798056585293,0.0855961606866913
UCRP,2024,252,0.21803412630868052,0.21803412630868046,0.10438408040232021,1.467776594995196,0.05079549670919387
DIA,2024,252,0.14824751136142209,0.1482475113614221,0.11337007634083407,0.8391466362268999,0.06053316245535672
UCRP,2025,250,0.15662829515084176,0.15797547892936636,0.1620334754702507,0.7356687954617751,0.15502281092534007
DIA,2025,250,0.1470599213410633,0.14831964460489866,0.16692506190931253,0.6687562442541768,0.15832221629282553
UCRP,2026,113,0.06889989736865235,0.16019809938254514,0.11762700316807545,1.0165249014691298,0.08497217059779344
DIA,2026,113,0.08670491611447165,0.203738454128241,0.14435670648055077,1.1076258735089675,0.09757536594617316
UCRP,2021-2026,1368,1.032152997893589,0.13953799693438684,0.1458156411715194,0.7464846826253098,0.22449811077691512
DIA,2021-2026,1368,0.8656652377909763,0.1217353906096863,0.14654285566900827,0.6359378294208274,0.20757197187607074
