strategy,period,n_days,avg_oneway_turnover,portfolio_entropy,risky_entropy,avg_largest_position,risky_largest_position,avg_cash_share,max_drawdown,cvar_5
M4_eta3.0,2023,250,0.00587875679926234,2.5317636895628852,2.531763682048591,0.10470543939816099,0.1047054394371508,3.7237536909378684e-10,0.09750051969254124,-0.015283852191308765
M4_eta3.0,2024,252,0.006871172184944693,2.114605277936117,2.1146052661652592,0.15731526564725273,0.15731526573916849,5.842765337000589e-10,0.05932141747190925,-0.017986695629125013
M4_eta3.0,2025,250,0.006316509892480078,2.4891464400847187,2.4025354399292387,0.1115720828630514,0.12147168538230443,0.0814972023158831,0.1619033182381749,-0.023239211497594982
M4_eta3.0,2026,113,0.01063275358331469,2.668673166935515,2.6570281385080814,0.10112824329942367,0.10140683691025337,0.0027472862710047,0.10385713206114805,-0.015914188033528932
M4_eta3.0,2021-2026,1368,0.0069247083483333725,2.2907559419228485,2.273965979926622,0.15713947522602015,0.15897162585189797,0.015120427999106342,0.1832226549791574,-0.02297640176634212
M4_eta7.0,2021,252,0.006011770132363485,2.3427410791608296,2.3424809352271994,0.144915155109648,0.14491928772258914,2.8516652167579993e-05,0.060054222827121514,-0.01760093035218397
M4_eta7.0,2022,251,0.006770874193657822,2.3744120093397885,2.3744117681266874,0.1157234678664972,0.11572346954027876,1.4463630449537431e-08,0.17720294657562718,-0.02778250136741164
M4_eta7.0,2023,250,0.005532071660496255,2.1044132957359527,2.010557384586407,0.1855420137884263,0.19444407919884285,0.04578213667957949,0.0582477595029648,-0.012842963543909005
M4_eta7.0,2024,252,0.007619434516202283,2.1881965513392814,2.188196542797782,0.13841553785387511,0.13841553791181296,4.185787606783608e-10,0.10580061364402644,-0.022111961659127728
M4_eta7.0,2025,250,0.006691536092834137,2.580575829914584,2.5080290783240633,0.10511594200974769,0.11296045122524652,0.10511594200974769,0.1443096820572729,-0.0220633375712842
M4_eta7.0,2026,113,0.009221826071486075,2.183723004557417,2.0657102347157936,0.1443526876068761,0.15980164469599784,0.09667583283333109,0.07985342747570472,-0.013614277048965421
M4_eta7.0,2021-2026,1368,0.006748919063199717,2.306857951869837,2.266652010608623,0.13846656996375667,0.1428038635754016,0.035567309001971886,0.1772029465756273,-0.021153736639791924
M5_eta1.0,2021,252,0.0063342590580400485,2.074735420125626,2.073409667322543,0.19775309686265669,0.19778770183193375,0.00017496016666549997,0.08181014605842887,-0.0199849760654831
M5_eta1.0,2022,251,0.0071892989734208546,2.623623963093416,2.6236237336925856,0.1062690042260229,0.10626900570659113,1.3932267120136175e-08,0.15338589822959547,-0.02573563945495289
M5_eta1.0,2023,250,0.006193003532755098,2.6202360522077446,2.545807218348157,0.10904478711460061,0.11613709910709871,0.06106844451106631,0.08296131361238843,-0.015037766730758899
M5_eta1.0,2024,252,0.007193935018600616,2.481110388942837,2.435059784998278,0.1383676190980043,0.14087936249553856,0.0178290372205063,0.0768727344167482,-0.019017952462546308
M5_eta1.0,2025,250,0.007311223825956907,2.4655959563948087,2.4655959344144986,0.11461540150028339,0.11461540163205775,1.1497083798858286e-09,0.18271209474882666,-0.026533564585796053
M5_eta1.0,2026,113,0.01002134373757754,2.615066020916871,2.5400463258663124,0.10340646103473429,0.11028694927601256,0.062387148129907206,0.08670438346153267,-0.0177899244636681
M5_eta1.0,2021-2026,1368,0.007106789204434464,2.4660549862104864,2.437529153622253,0.1308303492203686,0.13316386776012862,0.019630021924297896,0.1827120947488267,-0.0216320252502762
M5_eta3.0,2021,252,0.005999894380564695,2.1010419150274835,2.101024950396395,0.15401129502356864,0.154011505709664,1.3679893225695988e-06,0.06599995051437191,-0.01614175959124293
M5_eta3.0,2022,251,0.006898785217155827,2.372446195580818,2.2745552358380756,0.12101772297164691,0.1334830294586342,0.0933849534097528,0.2088681746937582,-0.028105985268949866
M5_eta3.0,2023,250,0.0059061745568005,2.3288979264804386,2.2276399386499453,0.12454059598332581,0.14016966233301706,0.11150106299435461,0.08414327653688743,-0.013432178330589847
M5_eta3.0,2024,252,0.007012268898454037,2.8203070499967207,2.8203070430239205,0.0808829374044622,0.08088293743272573,3.494368503346598e-10,0.06698974124483628,-0.016583049125923364
M5_eta3.0,2025,250,0.006746646690837069,2.70657735819104,2.6512392358572914,0.10903425082005083,0.11242521382684251,0.030161944029248523,0.1649930797437821,-0.02520193086929535
M5_eta3.0,2026,113,0.010902899531486512,2.528573695856664,2.528572642703686,0.1060478818215332,0.1060478892975124,7.049625573076354e-08,0.1141550636963914,-0.021332951835210678
M5_eta3.0,2021-2026,1368,0.006875652920165352,2.4709514496173663,2.4243695385888904,0.11691953025177233,0.12268258084545557,0.04302319287221712,0.20886817469375812,-0.021546818868140256
M5_eta7.0,2021,252,0.0063303344912033835,2.652711612564054,2.6527115873507445,0.10057018608971811,0.10057018622477051,1.3428659317864427e-09,0.058565657548574915,-0.016571182419764064
M5_eta7.0,2022,251,0.0069619680132911015,2.346619546102318,2.2640849150952267,0.142053701244122,0.14892727358069943,0.046153885526378745,0.20109753480683515,-0.028330503130922384
M5_eta7.0,2023,250,0.004647913111090087,2.1369242060453937,2.0122241258384856,0.15114520466962586,0.17389956095211784,0.13084769252958098,0.05486083075880281,-0.011861708919035565
M5_eta7.0,2024,252,0.006146540890332283,2.1214089192829384,2.0214193685281874,0.16553471389844523,0.17477109829926818,0.052848465740067706,0.08230205386698043,-0.01832851322805851
M5_eta7.0,2025,250,0.007012192401076889,2.2907621615742526,2.290762147447175,0.14231740688501524,0.142317406986719,7.146257444273902e-10,0.159105598484638,-0.024449738523953712
M5_eta7.0,2026,113,0.009446115079839975,2.2507465625318734,2.2507465525625068,0.18473046861613798,0.1847304687074101,4.940816667332036e-10,0.0889430531388981,-0.016739692106574732
M5_eta7.0,2021-2026,1368,0.006486888852007834,2.3050700537778783,2.248718745125271,0.1439723023768828,0.15109322684024845,0.04211576194364273,0.20291806490117945,-0.021637795611229402
M6_eta1.0,2021,252,0.005826031950855863,2.3497972732474253,2.254862774653713,0.1267863403767563,0.1448867723258822,0.12492811909988542,0.057923402269135636,-0.016634830989867573
M6_eta1.0,2022,251,0.006792844408716872,2.218816594016432,2.2188165841983007,0.1602420541238265,0.1602420542016067,4.85391310230379e-10,0.23553981352310127,-0.03018396575536442
M6_eta1.0,2023,250,0.00596425753791701,2.359873661430581,2.359873649165631,0.1418238937848246,0.14182389387247898,6.180505201840553e-10,0.12044374492504298,-0.01802781505907132
