algo,eta,hypothesis,arm,baseline,measure,value_arm,value_baseline,difference,seed_mean_arm,seed_mean_baseline,difference_seed_mean,seed_sd_arm,seed_sd_baseline,seed_band,exceeds_seed_band,n_days,exploratory
SAC,3.0,H4,M5,M4,cvar_5,-0.021546818868140256,-0.02297640176634212,0.0014295828982018623,-0.021114511372355482,-0.022552868167427936,0.001438356795072454,0.001287640014746845,0.0009886204007044258,0.0016233875397656083,False,1368,True
SAC,3.0,H4,M6,M5,max_drawdown,0.266082208438528,0.20886817469375812,0.057214033744769854,0.2294866638826138,0.22820907406234775,0.0012775898202660452,0.021098474426829206,0.030151432811683417,0.03680019733285442,True,1368,True
SAC,3.0,H4,M6,M5,cvar_5,-0.02273781024045562,-0.021546818868140256,-0.001190991372315365,-0.02168364147766291,-0.021114511372355482,-0.000569130105307427,0.0008684909796386155,0.001287640014746845,0.0015531559449362764,False,1368,True
SAC,3.0,SUPP,M2,M1,max_drawdown,0.27457275210840687,0.19032339136921958,0.08424936073918729,0.2483656528623087,0.1947286714218355,0.053636981440473186,0.016411971366746287,0.010014251335710406,0.019225972900159764,True,1368,True
SAC,3.0,SUPP,M2,M1,cvar_5,-0.021423600812502077,-0.020907376243942042,-0.000516224568560035,-0.022173673085381127,-0.020934352430937598,-0.0012393206544435292,0.0013046344456131987,0.001403153632918414,0.0019159622006325182,False,1368,True
SAC,7.0,H1,M3,M1,max_drawdown,0.27407166201169686,0.21513478974231864,0.058936872269378215,0.22097555272351355,0.23061472587004578,-0.009639173146532232,0.038427825644531226,0.030798870828512934,0.049247012377177934,True,1368,True
SAC,7.0,H1,M3,M1,cvar_5,-0.02319291282173364,-0.022609733769811804,-0.0005831790519218345,-0.021141920433971506,-0.02225249379553732,0.0011105733615658156,0.0009434354742761513,0.0015857538211140791,0.0018451790361102007,False,1368,True
SAC,7.0,H1,M4,M1,max_drawdown,0.1772029465756273,0.21513478974231864,-0.03793184316669135,0.21073270207761255,0.23061472587004578,-0.01988202379243323,0.0194113479971795,0.030798870828512934,0.03640564345508852,True,1368,True
SAC,7.0,H1,M4,M1,cvar_5,-0.021153736639791924,-0.022609733769811804,0.0014559971300198808,-0.022186892178007806,-0.02225249379553732,6.560161752951557e-05,0.0008883796654348407,0.0015857538211140791,0.0018176450729270614,False,1368,True
SAC,7.0,H1,M5,M1,max_drawdown,0.20291806490117945,0.21513478974231864,-0.012216724841139198,0.21309493505544075,0.23061472587004578,-0.01751979081460503,0.018953280918918642,0.030798870828512934,0.03616348022387876,False,1368,True
SAC,7.0,H1,M5,M1,cvar_5,-0.021637795611229402,-0.022609733769811804,0.0009719381585824027,-0.021002186947669452,-0.02225249379553732,0.0012503068478678693,0.0008064785431628892,0.0015857538211140791,0.0017790511015032815,False,1368,True
SAC,7.0,H1,M6,M1,max_drawdown,0.22414363328733242,0.21513478974231864,0.009008843545013773,0.27499328811103363,0.23061472587004578,0.04437856224098785,0.06490673045121788,0.030798870828512934,0.07184326065942775,False,1368,True
SAC,7.0,H1,M6,M1,cvar_5,-0.020859968034031316,-0.022609733769811804,0.001749765735780489,-0.02332788265442177,-0.02225249379553732,-0.0010753888588844497,0.0027260620827141346,0.0015857538211140791,0.0031537326551230728,False,1368,True
SAC,7.0,H3,M3,M2,max_drawdown,0.27407166201169686,0.18428470533567315,0.08978695667602371,0.22097555272351355,0.23105453882426308,-0.010078986100749532,0.038427825644531226,0.0766887786561573,0.08577800741180444,True,1368,True
SAC,7.0,H3,M3,M2,cvar_5,-0.02319291282173364,-0.022732634072671884,-0.00046027874906175506,-0.021141920433971506,-0.022384849969939315,0.0012429295359678086,0.0009434354742761513,0.0024477139358378853,0.002623237314048742,False,1368,True
SAC,7.0,H4,M4,M3,max_drawdown,0.1772029465756273,0.27407166201169686,-0.09686871543606956,0.21073270207761255,0.22097555272351355,-0.010242850645900997,0.0194113479971795,0.038427825644531226,0.043052273050724,True,1368,True
