algo,eta,hypothesis,arm,baseline,sharpe_arm,sharpe_baseline,difference,ci_low,ci_high,p_value,p_one_sided,p_holm,seed_band,exceeds_seed_band,regime_robust,correct_sign,significant,supported,loo_sign_stable,n_days,family,exploratory
PPO,3.0,H3,M3,M2,0.656682425890947,0.7410517328404591,-0.08440016060091804,-0.2618838754542246,0.09308355425238851,0.3556,0.8268,0.8268,0.17252235673856633,False,False,False,False,False,True,1368,eta=3.0,True
PPO,3.0,H4,M4,M3,0.8470185907525518,0.656682425890947,0.1904057703365451,-0.10766332356022382,0.488474864233314,0.2076,0.1064,0.1064,0.1653945704548144,True,False,True,False,False,True,1368,eta=3.0,True
PPO,3.0,H4,M5,M4,0.8427694668720487,0.8470185907525518,-0.00425067777482472,-0.29085934869726454,0.2823579931476151,0.9794,0.4994,0.4994,0.15671771934383408,False,False,False,False,False,False,1368,eta=3.0,True
PPO,3.0,H4,M6,M5,0.7259218857139704,0.8427694668720487,-0.11689031203577585,-0.3646066654870811,0.13082604141552942,0.3618,0.8216,0.8216,0.17599353131830983,False,False,False,False,False,True,1368,eta=3.0,True
PPO,3.0,SUPP,M2,M1,0.7410517328404591,0.9563564558715866,-0.21538345944737486,-0.5540540594466049,0.12328714055185519,0.218,0.8894,0.8894,0.18231081598862264,True,False,False,False,False,True,1368,eta=3.0,True
PPO,7.0,H1,M3,M1,0.5846970789096675,0.8297403908197041,-0.2451329236562794,-0.5536854095377347,0.06341956222517595,0.1216,0.9422,1.0,0.2092037614820668,True,False,False,False,False,True,1368,eta=7.0,True
PPO,7.0,H1,M4,M1,0.8724430517181722,0.8297403908197041,0.042718277158232607,-0.2598371091427444,0.34527366345920957,0.776,0.39,1.0,0.19751586074646213,False,False,True,False,False,False,1368,eta=7.0,True
PPO,7.0,H1,M5,M1,1.1122383939409732,0.8297403908197041,0.2826013119574603,-0.05299147998059278,0.6181941038955134,0.1042,0.0474,0.1896,0.2740230545701574,True,False,True,False,False,True,1368,eta=7.0,True
PPO,7.0,H1,M6,M1,0.8151363265410013,0.8297403908197041,-0.014609404949672321,-0.3364481412204489,0.3072293313211043,0.9374,0.5438,1.0,0.2077382810725,False,False,False,False,False,False,1368,eta=7.0,True
PPO,7.0,H3,M3,M2,0.5846970789096675,0.7229635518069729,-0.13831703661188524,-0.3606560707081016,0.0840219974843311,0.2296,0.8862,0.8862,0.16590518457773357,False,False,False,False,False,True,1368,eta=7.0,True
PPO,7.0,H4,M4,M3,0.8724430517181722,0.5846970789096675,0.28785120081451204,0.02190602652859767,0.5537963751004263,0.0356,0.0176,0.0176,0.1756936411047857,True,False,True,True,True,True,1368,eta=7.0,True
PPO,7.0,H4,M5,M4,1.1122383939409732,0.8724430517181722,0.2398830347992277,-0.0707064668699049,0.5504725364683604,0.1376,0.0634,0.0634,0.24938058493469614,False,False,True,False,False,True,1368,eta=7.0,True
PPO,7.0,H4,M6,M5,0.8151363265410013,1.1122383939409732,-0.29721071690713263,-0.5975063759205618,0.0030849421062965365,0.0518,0.9776,0.9776,0.2575526243681326,True,False,False,False,False,True,1368,eta=7.0,True
PPO,7.0,SUPP,M2,M1,0.7229635518069729,0.8297403908197041,-0.10681588704439417,-0.45363715128876864,0.2400053771999803,0.5382,0.735,0.735,0.18886182777769156,False,False,False,False,False,False,1368,eta=7.0,True
