time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/n_updates,train/std,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/value_loss,train/explained_variance,train/clip_range,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
11,19968,39,1774,0.1895751953125,608,0.9884514212608337,-0.01866716939548496,0.016619798,-43.58318734169006,-0.019622527062892914,0.0025861736394290347,-0.5217685699462891,0.2,0.0004092704424510632,-2.6186215333333327,1257.0
11,20480,40,1773,0.1873779296875,624,0.9886906743049622,-0.02064826083369553,0.013832616,-43.59390592575073,-0.02713545598089695,0.002142215787898749,-0.0030874013900756836,0.2,0.0004092704424510632,-2.6217255625,1257.0
11,20992,41,1773,0.2457275390625,640,0.9874725341796875,-0.022627870304859243,0.022317182,-43.57878589630127,0.006041824817657471,0.12351380300242454,0.016376018524169922,0.2,0.0004092704424510632,-2.6217255625,1257.0
12,21504,42,1772,0.1771240234375,656,0.9889160990715027,-0.01992917965981178,0.013356707,-43.56661558151245,-0.03371815383434296,0.005578397016506642,-6.5139689445495605,0.2,0.0004092704424510632,-2.6154756470588234,1257.0
12,22016,43,1770,0.2535400390625,672,0.9896911978721619,-0.02423336321953684,0.027825994,-43.611449003219604,-0.009359944611787796,0.11511427257210016,0.009109437465667725,0.2,0.0004092704424510632,-2.6154756470588234,1257.0
12,22528,44,1768,0.2088623046875,688,0.9910527467727661,-0.02148704419960268,0.015473562,-43.63200902938843,-0.02475537732243538,0.007942180018289946,-1.4415535926818848,0.2,0.0004092704424510632,-2.6154756470588234,1257.0
13,23040,45,1766,0.1951904296875,704,0.9906842708587646,-0.022862702448037453,0.011850331,-43.6587929725647,-0.03564104437828064,0.0032390369378845207,-0.056128501892089844,0.2,0.0004092704424510632,-2.6161334999999997,1257.0
13,23552,46,1765,0.252197265625,720,0.9911434054374695,-0.024875427363440394,0.02409204,-43.65065026283264,-0.00048459693789482117,0.08737907465547323,0.04555070400238037,0.2,0.0004092704424510632,-2.6161334999999997,1257.0
13,24064,47,1765,0.223388671875,736,0.9917216300964355,-0.026806851383298635,0.016813315,-43.67369878292084,-0.04291160777211189,0.007312830930459313,-2.2802627086639404,0.2,0.0004092704424510632,-2.604573368421052,1257.0
13,24576,48,1763,0.343017578125,752,0.9932519793510437,-0.02973987819859758,0.031183131,-43.70389521121979,0.0014092810451984406,0.1117250514216721,0.02404177188873291,0.2,0.0004092704424510632,-2.604573368421052,1257.0
14,25088,49,1762,0.178955078125,768,0.991912841796875,-0.019172324100509286,0.014848415,-43.71402943134308,-0.01987900771200657,0.005676052598573733,-5.339491844177246,0.2,0.0004092704424510632,-2.604573368421052,1257.0
14,25600,50,1762,0.26318359375,784,0.9918572902679443,-0.03350107398000546,0.019284438,-43.675660133361816,-0.04604070633649826,0.002270035009132698,0.01057666540145874,0.2,0.0004092704424510632,-2.6013545499999995,1257.0
14,26112,51,1762,0.2557373046875,800,0.992882490158081,-0.02495620705303736,0.024728833,-43.70111787319183,0.024884704500436783,0.15513079008087516,0.003922939300537109,0.2,0.0004092704424510632,-2.6013545499999995,1257.0
15,26624,52,1762,0.126708984375,816,0.991521954536438,-0.017210560166859068,0.012543188,-43.70541000366211,-0.019307663664221764,0.024485475558321923,-3.6537232398986816,0.2,0.0004092704424510632,-2.5932464285714283,1257.0
15,27136,53,1762,0.1871337890625,832,0.9910005927085876,-0.02206591668073088,0.021617586,-43.6597363948822,0.008543659001588821,0.07323716639075428,0.2714526057243347,0.2,0.0004092704424510632,-2.5932464285714283,1257.0
15,27648,54,1763,0.213623046875,848,0.9909182786941528,-0.024385909287957475,0.016873881,-43.66017436981201,-0.03101130947470665,0.004496554494835436,-1.7175161838531494,0.2,0.0004092704424510632,-2.5932464285714283,1257.0
15,28160,55,1763,0.2186279296875,864,0.9893611669540405,-0.022015640723111574,0.01578639,-43.639427185058594,-0.03729519248008728,0.0025432794864173047,0.3156064748764038,0.2,0.0004092704424510632,-2.6056786818181816,1257.0
16,28672,56,1763,0.2169189453125,880,0.9891648888587952,-0.019383877828659024,0.03126289,-43.59846115112305,-0.013478787615895271,0.027822660573292524,0.15335136651992798,0.2,0.0004092704424510632,-2.6056786818181816,1257.0
16,29184,57,1763,0.214111328125,896,0.9908968806266785,-0.02428038397920318,0.017633937,-43.6296626329422,-0.04320826753973961,0.0055300938911386766,-2.028451681137085,0.2,0.0004092704424510632,-2.606853956521739,1257.0
16,29696,58,1764,0.215087890625,912,0.990207314491272,-0.022656239452771842,0.01848586,-43.65176331996918,-0.0017492882907390594,0.1001444396097213,0.04786199331283569,0.2,0.0004092704424510632,-2.606853956521739,1257.0
17,30208,59,1764,0.241455078125,928,0.9920161962509155,-0.025321453606011346,0.016649764,-43.65717005729675,-0.02924208901822567,0.004427378007676452,-2.723357677459717,0.2,0.0004092704424510632,-2.6009895833333334,1257.0
17,30720,60,1763,0.237060546875,944,0.9936061501502991,-0.02351842835196294,0.023620222,-43.72018599510193,0.02030731737613678,0.1598812600132078,0.007291615009307861,0.2,0.0004092704424510632,-2.6009895833333334,1257.0
17,31232,61,1764,0.1905517578125,960,0.9961128234863281,-0.018997266539372504,0.014569042,-43.77686011791229,-0.016802072525024414,0.005177722778171301,-2.539865255355835,0.2,0.0004092704424510632,-2.6009895833333334,1257.0
18,31744,62,1763,0.1959228515625,976,0.9969645142555237,-0.02190563437761739,0.014594199,-43.84075713157654,-0.024614637717604637,0.005121077752846759,-0.008887171745300293,0.2,0.0004092704424510632,-2.60954604,1257.0
18,32256,63,1763,0.2391357421875,992,0.9960169792175293,-0.02462937167729251,0.020905253,-43.82738995552063,0.011287946254014969,0.15000482322648168,0.04786163568496704,0.2,0.0004092704424510632,-2.60954604,1257.0
18,32768,64,1763,0.1829833984375,1008,0.9954380989074707,-0.023231387574924156,0.015652716,-43.79709720611572,-0.03355470672249794,0.009298809178289957,-3.22904634475708,0.2,0.0004092704424510632,-2.606919230769231,1257.0
18,33280,65,1764,0.16162109375,1024,0.9956570267677307,-0.019149316009134054,0.014844213,-43.79163730144501,0.010595418512821198,0.12652642477769405,0.08294212818145752,0.2,0.0004092704424510632,-2.606919230769231,1257.0
19,33792,66,1763,0.237060546875,1040,0.9961116313934326,-0.024508434820745606,0.024007473,-43.80548119544983,-0.031066039577126503,0.003573141777451383,-7.817078590393066,0.2,0.0004092704424510632,-2.606919230769231,1257.0
19,34304,67,1763,0.2313232421875,1056,0.9967033267021179,-0.022931692175916396,0.015546671,-43.822651624679565,-0.03573661297559738,0.0029108762719260994,-0.027691125869750977,0.2,0.0004092704424510632,-2.6045299259259256,1257.0
19,34816,68,1763,0.2525634765625,1072,0.9969922304153442,-0.021056517711258493,0.017401665,-43.8374799489975,-0.01927807740867138,0.12449707125779241,0.04824841022491455,0.2,0.0004092704424510632,-2.6045299259259256,1257.0
20,35328,69,1763,0.2742919921875,1088,0.997428834438324,-0.027610974124399945,0.021402087,-43.85021770000458,-0.03687284514307976,0.008168378350092098,-7.292463302612305,0.2,0.0004092704424510632,-2.6009846428571426,1257.0
20,35840,70,1763,0.2529296875,1104,0.9969797730445862,-0.02436177822528407,0.021259297,-43.85627520084381,-0.005017802119255066,0.11946135375183076,0.0505979061126709,0.2,0.0004092704424510632,-2.6009846428571426,1257.0
20,36352,71,1763,0.256591796875,1120,0.9971972107887268,-0.028098748429329135,0.024918117,-43.84692072868347,-0.04375315085053444,0.005564402526943013,-1.297659158706665,0.2,0.0004092704424510632,-2.6009846428571426,1257.0
20,36864,72,1764,0.24658203125,1136,0.99806147813797,-0.029241421638289467,0.020005245,-43.865171670913696,-0.03756990656256676,0.0023886038579803426,-0.0806494951248169,0.2,0.0004092704424510632,-2.5959961034482757,1257.0
21,37376,73,1765,0.1337890625,1152,0.998549222946167,-0.017825663890107535,0.017142378,-43.883806228637695,-0.00692332349717617,0.10270414152182639,0.12719929218292236,0.2,0.0004092704424510632,-2.5959961034482757,1257.0
21,37888,74,1765,0.209716796875,1168,0.99761563539505,-0.01995136891491711,0.016141526,-43.87697756290436,-0.03223010525107384,0.010106969071784988,-4.654986381530762,0.2,0.0004092704424510632,-2.5989451,1257.0
21,38400,75,1766,0.2271728515625,1184,0.9970397353172302,-0.027639202016871423,0.025040967,-43.846588134765625,-0.010033588856458664,0.11983609898015857,0.09613430500030518,0.2,0.0004092704424510632,-2.5989451,1257.0
22,38912,76,1766,0.1864013671875,1200,0.997372031211853,-0.01957190447137691,0.017667275,-43.84428298473358,-0.018326880410313606,0.007426460302667692,-1.6807081699371338,0.2,0.0004092704424510632,-2.5989451,1257.0
22,39424,77,1766,0.2711181640625,1216,0.9964112043380737,-0.033345338655635715,0.024269355,-43.82879316806793,-0.04536634683609009,0.0023884689398983028,0.07781022787094116,0.2,0.0004092704424510632,-2.6021257419354837,1257.0
22,39936,78,1767,0.147705078125,1232,0.9958525896072388,-0.018326637960853986,0.018864593,-43.802064418792725,-0.014367204159498215,0.11580270435661077,0.11897027492523193,0.2,0.0004092704424510632,-2.6021257419354837,1257.0
22,40448,79,1767,0.22314453125,1248,0.9979520440101624,-0.022065716824727133,0.01954319,-43.819575548172,-0.0372200645506382,0.007278312186826952,-4.019717216491699,0.2,0.0004092704424510632,-2.6059347500000003,1257.0
23,40960,80,1767,0.2742919921875,1264,0.998430073261261,-0.027006802469259128,0.030556157,-43.879228353500366,-0.004445862025022507,0.15185185614973307,0.0376930832862854,0.2,0.0004092704424510632,-2.6059347500000003,1257.0
23,41472,81,1767,0.24951171875,1280,0.9988189339637756,-0.025703320890897885,0.016921382,-43.88255429267883,-0.03522469848394394,0.005432978738099337,-1.824934720993042,0.2,0.0004092704424510632,-2.6059347500000003,1257.0
23,41984,82,1767,0.24560546875,1296,0.9991543292999268,-0.02765001531224698,0.016938819,-43.89653825759888,-0.03582639992237091,0.001751312267515459,0.1920260190963745,0.2,0.0004092704424510632,-2.6101683939393943,1257.0
24,42496,83,1766,0.3533935546875,1312,0.9983692169189453,-0.021025457739597186,0.043064974,-43.88511526584625,-0.016643313691020012,0.0658600612077862,0.04418402910232544,0.2,0.0004092704424510632,-2.6101683939393943,1257.0
24,43008,84,1766,0.2691650390625,1328,1.000264286994934,-0.030718874360900372,0.020693393,-43.8972225189209,-0.03627562150359154,0.010745781881269068,-2.617229461669922,0.2,0.0004092704424510632,-2.615978,1257.0
24,43520,85,1766,0.151611328125,1344,1.000397801399231,-0.023328535491600633,0.018888682,-43.934518933296204,0.010095514357089996,0.17576361796818674,0.1318395733833313,0.2,0.0004092704424510632,-2.615978,1257.0
24,44032,86,1766,0.257568359375,1360,1.0004419088363647,-0.02624288732476998,0.023593917,-43.93025541305542,-0.0239013209939003,0.021303533925674856,-0.7442489862442017,0.2,0.0004092704424510632,-2.617442857142857,1257.0
25,44544,87,1766,0.185546875,1376,1.0000975131988525,-0.02393119856424164,0.022244856,-43.930251717567444,0.005776688456535339,0.16721735917963088,0.18583035469055176,0.2,0.0004092704424510632,-2.617442857142857,1257.0
25,45056,88,1766,0.2139892578125,1392,0.9985995888710022,-0.022929905782802962,0.015772983,-43.90219247341156,-0.030119638890028,0.005662409042997751,-6.874570369720459,0.2,0.0004092704424510632,-2.617442857142857,1257.0
25,45568,89,1767,0.19873046875,1408,0.9985329508781433,-0.019190199105651118,0.013800663,-43.86938714981079,-0.0350632518529892,0.004749858446302824,-0.006624937057495117,0.2,0.0004092704424510632,-2.6229828333333334,1257.0
26,46080,90,1767,0.1871337890625,1424,0.9986958503723145,-0.02177251521789003,0.019179095,-43.876219272613525,0.04702553153038025,0.21610816731117666,0.06812185049057007,0.2,0.0004092704424510632,-2.6229828333333334,1257.0
26,46592,91,1767,0.2286376953125,1440,0.9987393617630005,-0.026784672183566727,0.020513628,-43.873844265937805,-0.019050154834985733,0.04576395911863074,-1.9630093574523926,0.2,0.0004092704424510632,-2.6268352162162167,1257.0
26,47104,92,1767,0.2310791015625,1456,0.9996991753578186,-0.026736570376669988,0.02064174,-43.886982679367065,-0.011258590966463089,0.1773828067816794,0.11083793640136719,0.2,0.0004092704424510632,-2.6268352162162167,1257.0
26,47616,93,1767,0.240966796875,1472,0.9986683130264282,-0.02517838924541138,0.016157903,-43.89427447319031,-0.042931318283081055,0.003770163846638752,-9.5956449508667,0.2,0.0004092704424510632,-2.6268352162162167,1257.0
27,48128,94,1766,0.2471923828125,1488,0.9988996386528015,-0.02706378375296481,0.016867269,-43.86826956272125,-0.03308853879570961,0.003243545739678666,-0.025340676307678223,0.2,0.0004092704424510632,-2.6305881842105268,1257.0
27,48640,95,1766,0.1800537109375,1504,0.9989253878593445,-0.020743057917570695,0.022200294,-43.878169894218445,0.01191030815243721,0.1906601870432496,0.06635928153991699,0.2,0.0004092704424510632,-2.6305881842105268,1257.0
27,49152,96,1766,0.273193359375,1520,0.9994744062423706,-0.029212156921857968,0.028553464,-43.880831360816956,-0.036717597395181656,0.014508589621982537,-7.286624908447266,0.2,0.0004092704424510632,-2.6344764102564104,1257.0
28,49664,97,1765,0.1070556640625,1536,0.998799204826355,-0.014118559163762257,0.012704916,-43.88051521778107,0.02050965279340744,0.17519110487774014,0.13299471139907837,0.2,0.0004092704424510632,-2.6344764102564104,1257.0
28,50176,98,1765,0.2108154296875,1552,0.9986573457717896,-0.023702720311121084,0.014381559,-43.859126329422,-0.03889525309205055,0.01135779486503452,-1.2133302688598633,0.2,0.0004092704424510632,-2.6344764102564104,1257.0
28,50688,99,1765,0.255126953125,1568,0.9947426915168762,-0.028896809584693983,0.018468797,-43.81539165973663,-0.04480423778295517,0.0030234013102017343,-0.16118669509887695,0.2,0.0004092704424510632,-2.633597825,1257.0
28,51200,100,1765,0.1483154296875,1584,0.9933760166168213,-0.018766545414109714,0.016769469,-43.710482120513916,-0.001949302852153778,0.14553017052821815,0.17791134119033813,0.2,0.0004092704424510632,-2.633597825,1257.0
29,51712,101,1765,0.2845458984375,1600,0.9925287365913391,-0.02942955502658151,0.028962772,-43.68426847457886,-0.008527372032403946,0.009418474670383148,-4.4947333335876465,0.2,0.0004092704424510632,-2.632386682926829,1257.0
29,52224,102,1765,0.2352294921875,1616,0.9914948344230652,-0.018867369028157555,0.020165699,-43.65726101398468,0.018208259716629982,0.2409385268110782,0.03608107566833496,0.2,0.0004092704424510632,-2.632386682926829,1257.0
29,52736,103,1765,0.233642578125,1632,0.9914096593856812,-0.024601256824098527,0.021141965,-43.63569152355194,-0.03181903064250946,0.012278305919608101,-1.4355976581573486,0.2,0.0004092704424510632,-2.632386682926829,1257.0
30,53248,104,1765,0.2249755859375,1648,0.9912172555923462,-0.026422081020427868,0.016407754,-43.63839912414551,-0.04406486451625824,0.0022867297084303573,0.12430077791213989,0.2,0.0004092704424510632,-2.6316971904761903,1257.0
30,53760,105,1765,0.124755859375,1664,0.9915446043014526,-0.0173197543626884,0.017168883,-43.63130784034729,0.0037483908236026764,0.16439961595460773,0.26409298181533813,0.2,0.0004092704424510632,-2.6316971904761903,1257.0
