time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/clip_fraction,train/approx_kl,train/entropy_loss,train/explained_variance,train/std,train/clip_range,train/policy_gradient_loss,train/n_updates,train/value_loss,train/learning_rate,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
60,30720,25,1204,0.1724853515625,0.021825362,-43.3180832862854,0.33234626054763794,0.9795370697975159,0.2,-0.020412369034602307,944,0.1899360737297684,0.0004092704424510632,0.04822028428316116,1258.0,-2.0915204166666665
61,31232,25,1204,0.2578125,0.02493245,-43.29501008987427,-6.938728332519531,0.9790944457054138,0.2,-0.030585637607146055,960,0.014335800253320485,0.0004092704424510632,-0.028294762596488,1258.0,-2.0915204166666665
62,31744,26,1204,0.231201171875,0.015824452,-43.294036507606506,-0.25242865085601807,0.9796829223632812,0.2,-0.025022747984621674,976,0.002053134303423576,0.0004092704424510632,-0.03700989857316017,1258.0,-2.09359296
63,32256,26,1204,0.2508544921875,0.028685164,-43.303974986076355,0.02365809679031372,0.9795032739639282,0.2,-0.02219529211288318,992,0.2902830187231302,0.0004092704424510632,0.04718573018908501,1258.0,-2.09359296
64,32768,27,1204,0.234375,0.018157702,-43.29562485218048,-2.9664416313171387,0.9795728325843811,0.2,-0.027752128604333848,1008,0.007124838812160306,0.0004092704424510632,-0.041356030851602554,1258.0,-2.0953098461538464
65,33280,27,1204,0.1435546875,0.016526876,-43.29541492462158,0.09024250507354736,0.9792970418930054,0.2,-0.018633475410752,1024,0.2803170373663306,0.0004092704424510632,0.08202921599149704,1258.0,-2.0953098461538464
66,33792,28,1204,0.2152099609375,0.015219972,-43.30248415470123,-7.523189544677734,0.9806877970695496,0.2,-0.020503753097727895,1040,0.0144729266903596,0.0004092704424510632,-0.02526463009417057,1258.0,-2.0953098461538464
67,34304,28,1204,0.202880859375,0.016327452,-43.33923017978668,-0.1674509048461914,0.9810734987258911,0.2,-0.025185117701767012,1056,0.0036158066541247535,0.0004092704424510632,-0.04009464010596275,1258.0,-2.0927244074074074
68,34816,28,1204,0.216796875,0.020482728,-43.32432532310486,0.0156707763671875,0.9798843860626221,0.2,-0.025179180229315534,1072,0.4003626648336649,0.0004092704424510632,0.12014137208461761,1258.0,-2.0927244074074074
69,35328,29,1204,0.181884765625,0.0122000305,-43.26489865779877,-1.7594680786132812,0.9775293469429016,0.2,-0.024507635069312528,1088,0.0043951576662948355,0.0004092704424510632,-0.039094068109989166,1258.0,-2.08936375
70,35840,29,1204,0.135498046875,0.016180173,-43.207114815711975,0.07978367805480957,0.9765725135803223,0.2,-0.020633926178561524,1104,0.32081544771790504,0.0004092704424510632,0.04470812529325485,1258.0,-2.08936375
71,36352,30,1204,0.216064453125,0.021383965,-43.172576546669006,-11.2881498336792,0.9748202562332153,0.2,-0.023244105104822665,1120,0.0075600118179863784,0.0004092704424510632,-0.03472253680229187,1258.0,-2.08936375
72,36864,30,1204,0.2012939453125,0.014137009,-43.141852617263794,0.10142302513122559,0.9753192067146301,0.2,-0.02099914531572722,1136,0.004505447439441923,0.0004092704424510632,-0.030516833066940308,1258.0,-2.0871137931034487
73,37376,31,1204,0.1268310546875,0.01929426,-43.16909670829773,0.09078466892242432,0.9758976697921753,0.2,-0.022768626498873346,1152,0.32299376325681806,0.0004092704424510632,0.027273602783679962,1258.0,-2.0871137931034487
74,37888,31,1204,0.196044921875,0.019882364,-43.18495833873749,-3.252821922302246,0.9767853617668152,0.2,-0.025899890752043575,1168,0.035660952620673925,0.0004092704424510632,-0.04135040566325188,1258.0,-2.0822373
75,38400,31,1204,0.166259765625,0.021526413,-43.218804121017456,0.22876185178756714,0.9776740670204163,0.2,-0.023766291720676236,1184,0.3268748354166746,0.0004092704424510632,0.04464669153094292,1258.0,-2.0822373
76,38912,32,1204,0.2352294921875,0.020988949,-43.23126435279846,-10.543291091918945,0.9778303503990173,0.2,-0.025776834227144718,1200,0.018225894993520342,0.0004092704424510632,-0.027436405420303345,1258.0,-2.0822373
77,39424,32,1204,0.24560546875,0.016458202,-43.23185956478119,0.1839330792427063,0.9775021076202393,0.2,-0.026419330155476928,1216,0.005949325073743239,0.0004092704424510632,-0.017012689262628555,1258.0,-2.0836871612903227
78,39936,33,1204,0.0838623046875,0.011789646,-43.22031128406525,0.11070609092712402,0.9769764542579651,0.2,-0.013635471361340024,1232,0.3335749607067555,0.0004092704424510632,0.0650680810213089,1258.0,-2.0836871612903227
79,40448,33,1204,0.1798095703125,0.012211204,-43.21932017803192,-2.357774496078491,0.9777929782867432,0.2,-0.020195361110381782,1248,0.011113905449747108,0.0004092704424510632,-0.03967101871967316,1258.0,-2.0866939375
80,40960,33,1204,0.2100830078125,0.016189603,-43.23989748954773,0.1922258734703064,0.9780094027519226,0.2,-0.025993365205067676,1264,0.4449435384012759,0.0004092704424510632,0.06383271515369415,1258.0,-2.0866939375
81,41472,34,1204,0.218505859375,0.01597408,-43.238096952438354,-3.088308334350586,0.9779374003410339,0.2,-0.024538612458854914,1280,0.01693307656387333,0.0004092704424510632,-0.03454653546214104,1258.0,-2.0866939375
82,41984,34,1204,0.2344970703125,0.015299028,-43.22651171684265,0.3780022859573364,0.9774139523506165,0.2,-0.027035726641770452,1296,0.007946184749016538,0.0004092704424510632,-0.03745331987738609,1258.0,-2.08771
83,42496,35,1204,0.1007080078125,0.015904427,-43.2145539522171,0.3125208020210266,0.9769923090934753,0.2,-0.015512189813307486,1312,0.20218752254731953,0.0004092704424510632,0.018396534025669098,1258.0,-2.08771
84,43008,35,1204,0.1763916015625,0.013722562,-43.21550095081329,-2.9067487716674805,0.9781040549278259,0.2,-0.01992698246613145,1328,0.02511681753094308,0.0004092704424510632,-0.027130205184221268,1258.0,-2.0892269411764706
85,43520,36,1204,0.1163330078125,0.019588724,-43.24584460258484,0.21905076503753662,0.9781521558761597,0.2,-0.01740605739178136,1344,0.3683082037605345,0.0004092704424510632,0.13386791944503784,1258.0,-2.0892269411764706
86,44032,36,1204,0.2496337890625,0.019532852,-43.23717927932739,0.2020856738090515,0.9779496192932129,0.2,-0.02197714350768365,1360,0.060173427569679916,0.0004092704424510632,0.0035705305635929108,1258.0,-2.0882280285714288
87,44544,36,1204,0.103271484375,0.013891434,-43.24208724498749,0.6427137851715088,0.9787462949752808,0.2,-0.013331260219274554,1376,0.3487837128341198,0.0004092704424510632,0.1753663867712021,1258.0,-2.0882280285714288
88,45056,37,1204,0.1993408203125,0.015607412,-43.276957631111145,-19.001502990722656,0.9802219271659851,0.2,-0.021508436628209893,1392,0.014226737926946953,0.0004092704424510632,-0.03201276808977127,1258.0,-2.0882280285714288
89,45568,37,1204,0.2435302734375,0.014676488,-43.31290602684021,-0.07327592372894287,0.9809219837188721,0.2,-0.02940867023426108,1408,0.0025446402360103093,0.0004092704424510632,-0.03795093670487404,1258.0,-2.0921225833333335
90,46080,38,1204,0.150634765625,0.014773236,-43.32291257381439,0.05681329965591431,0.9810290336608887,0.2,-0.017566279086167924,1424,0.5510500450618565,0.0004092704424510632,0.09361261874437332,1258.0,-2.0921225833333335
91,46592,38,1204,0.204833984375,0.017241891,-43.320982217788696,-0.7621740102767944,0.9806346297264099,0.2,-0.02365300865494646,1440,0.048142220301087946,0.0004092704424510632,-0.017421387135982513,1258.0,-2.090979
92,47104,39,1204,0.1326904296875,0.022509834,-43.30296504497528,0.49005937576293945,0.9798056483268738,0.2,-0.02009733149316162,1456,0.25176869658753276,0.0004092704424510632,0.06946776062250137,1258.0,-2.090979
93,47616,39,1204,0.2237548828125,0.018205123,-43.280736446380615,-16.874507904052734,0.9791110157966614,0.2,-0.0260413102369057,1472,0.010530872907111188,0.0004092704424510632,-0.04113088175654411,1258.0,-2.090979
94,48128,39,1204,0.224853515625,0.014517962,-43.26616609096527,0.06739991903305054,0.979174017906189,0.2,-0.024032872985117137,1488,0.0044177569361636415,0.0004092704424510632,-0.025128783658146858,1258.0,-2.093025578947368
95,48640,40,1204,0.140625,0.016173255,-43.27883994579315,0.09162729978561401,0.9793129563331604,0.2,-0.0221987898403313,1504,0.5007874183356762,0.0004092704424510632,0.04651139676570892,1258.0,-2.093025578947368
96,49152,40,1204,0.244140625,0.022098355,-43.27841138839722,-0.5834047794342041,0.9793340563774109,0.2,-0.02790282813657541,1520,0.018821889359969646,0.0004092704424510632,-0.02415664866566658,1258.0,-2.0914953846153845
97,49664,41,1204,0.088134765625,0.0137173515,-43.28076195716858,0.429673433303833,0.9794133901596069,0.2,-0.015504391572903842,1536,0.39096856862306595,0.0004092704424510632,0.06435419619083405,1258.0,-2.0914953846153845
98,50176,41,1204,0.27783203125,0.015197844,-43.27433717250824,-10.002716064453125,0.9790030121803284,0.2,-0.023856428408180363,1552,0.006218074009666452,0.0004092704424510632,-0.034600112587213516,1258.0,-2.0914953846153845
99,50688,42,1204,0.287109375,0.017073117,-43.27332150936127,0.19440561532974243,0.9798603653907776,0.2,-0.027351012875442393,1568,0.0047004088628455065,0.0004092704424510632,-0.03620867431163788,1258.0,-2.0903637500000003
100,51200,42,1204,0.1204833984375,0.017773513,-43.29241478443146,0.17554724216461182,0.9796808958053589,0.2,-0.01997532998211682,1584,0.3321538674645126,0.0004092704424510632,0.02010880410671234,1258.0,-2.0903637500000003
101,51712,42,1204,0.251708984375,0.018870516,-43.26744520664215,-1.1200892925262451,0.9784835577011108,0.2,-0.022922114476386923,1600,0.023023671412374824,0.0004092704424510632,-0.021774262189865112,1258.0,-2.0919681707317075
102,52224,43,1204,0.1419677734375,0.020753603,-43.24229645729065,0.406754732131958,0.9784317016601562,0.2,-0.01660281972726807,1616,0.27255701599642634,0.0004092704424510632,0.051738522946834564,1258.0,-2.0919681707317075
103,52736,43,1204,0.2503662109375,0.018498775,-43.24143469333649,-8.247160911560059,0.9782779812812805,0.2,-0.02633329616219271,1632,0.004702928305050591,0.0004092704424510632,-0.04169300198554993,1258.0,-2.0919681707317075
104,53248,44,1204,0.2252197265625,0.015830519,-43.241238713264465,0.1534210443496704,0.9785440564155579,0.2,-0.026098540343809873,1648,0.006594434365979396,0.0004092704424510632,-0.029913876205682755,1258.0,-2.090569238095238
105,53760,44,1204,0.09130859375,0.016004987,-43.24783110618591,0.19527626037597656,0.9788104891777039,0.2,-0.016975684848148376,1664,0.3470088429749012,0.0004092704424510632,0.03762304037809372,1258.0,-2.090569238095238
106,54272,45,1204,0.2232666015625,0.017382763,-43.242084980010986,-1.0022902488708496,0.9782384037971497,0.2,-0.024481596468831412,1680,0.03827656107023358,0.0004092704424510632,-0.02431481145322323,1258.0,-2.0935866744186047
107,54784,45,1204,0.0479736328125,0.010240264,-43.22062695026398,0.3127131462097168,0.9779137372970581,0.2,-0.011916492730961181,1696,0.3755728891119361,0.0004092704424510632,0.06769773364067078,1258.0,-2.0935866744186047
108,55296,45,1204,0.1710205078125,0.016390096,-43.209787487983704,-1.6840145587921143,0.9771913290023804,0.2,-0.016612240026006475,1712,0.024225490837125108,0.0004092704424510632,-0.029731305316090584,1258.0,-2.0935866744186047
109,55808,46,1204,0.254638671875,0.015935816,-43.17537021636963,0.2885167598724365,0.9758575558662415,0.2,-0.027912653997191228,1728,0.007910695203463547,0.0004092704424510632,-0.035552192479372025,1258.0,-2.0930898636363637
110,56320,46,1204,0.0850830078125,0.01579253,-43.13619077205658,0.35529136657714844,0.9750184416770935,0.2,-0.015169800477451645,1744,0.27102236030623317,0.0004092704424510632,0.008299246430397034,1258.0,-2.0930898636363637
111,56832,47,1204,0.202392578125,0.020450957,-43.11091983318329,-2.265357255935669,0.9741356372833252,0.2,-0.023424244136549532,1760,0.07846443122252822,0.0004092704424510632,-0.02164449170231819,1258.0,-2.0916122
112,57344,47,1204,0.156494140625,0.016022064,-43.08809316158295,0.32841604948043823,0.9738441109657288,0.2,-0.016400894295657054,1776,0.4377161106094718,0.0004092704424510632,0.09959669411182404,1258.0,-2.0916122
113,57856,48,1204,0.2198486328125,0.019777548,-43.07661736011505,-4.6046671867370605,0.9733515977859497,0.2,-0.026189773867372423,1792,0.01636026523192413,0.0004092704424510632,-0.034037575125694275,1258.0,-2.0916122
114,58368,48,1204,0.2342529296875,0.018199053,-43.07950699329376,0.5585541725158691,0.974573016166687,0.2,-0.022494316392112523,1808,0.012623658927623183,0.0004092704424510632,-0.029697120189666748,1258.0,-2.0925427173913045
115,58880,48,1204,0.2879638671875,0.030693172,-43.109965324401855,0.2672837972640991,0.9744114875793457,0.2,-0.019588111274060793,1824,0.13404255191562697,0.0004092704424510632,0.00041785649955272675,1258.0,-2.0925427173913045
116,59392,49,1204,0.2208251953125,0.019153904,-43.077637672424316,-2.825049877166748,0.9727152585983276,0.2,-0.021944996929960325,1840,0.018884258664911613,0.0004092704424510632,-0.02053140103816986,1258.0,-2.0929529148936172
117,59904,49,1204,0.101806640625,0.013899099,-43.036773324012756,0.20516550540924072,0.9721341133117676,0.2,-0.01731594928423874,1856,0.4102369286119938,0.0004092704424510632,0.040118057280778885,1258.0,-2.0929529148936172
118,60416,50,1204,0.2813720703125,0.017904233,-43.02258610725403,-2.4284191131591797,0.9714962840080261,0.2,-0.029012657003477216,1872,0.005938610338489525,0.0004092704424510632,-0.042030252516269684,1258.0,-2.0907197708333336
