time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/learning_rate,train/loss,train/clip_fraction,train/approx_kl,train/entropy_loss,train/clip_range,train/std,train/n_updates,train/policy_gradient_loss,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
134656,30,1933,116,-6.445888519287109,0.0004092704424510632,-0.0349012054502964,0.2977294921875,0.027215187,-43.57371151447296,0.2,0.9949651956558228,4192,-0.028478506006649695,0.003929961018002359,1258.0,-2.24029567
135168,30,1933,117,0.12204068899154663,0.0004092704424510632,0.057123467326164246,0.0574951171875,0.009093631,-43.60756695270538,0.2,0.9956551194190979,4208,-0.008673690215800889,0.8138935416936874,1258.0,-2.24029567
135680,31,1933,118,-1.8335137367248535,0.0004092704424510632,-0.04013378918170929,0.24072265625,0.019286832,-43.59814715385437,0.2,0.994333803653717,4224,-0.02554595778201474,0.004389790428831475,1258.0,-2.24029567
136192,31,1933,119,0.02210026979446411,0.0004092704424510632,-0.03727928549051285,0.2120361328125,0.013782136,-43.49880397319794,0.2,0.9895319938659668,4240,-0.026074397974298336,0.003951993836381007,1258.0,-2.2366004999999998
136704,31,1933,120,0.4685679078102112,0.0004092704424510632,0.04342278838157654,0.06494140625,0.012932323,-43.368791341781616,0.2,0.9877004027366638,4256,-0.014293239553808235,0.5045963353477418,1258.0,-2.2366004999999998
137216,32,1933,121,-7.110034942626953,0.0004092704424510632,-0.031204456463456154,0.22900390625,0.017919242,-43.33778524398804,0.2,0.9871706962585449,4272,-0.02619168217643164,0.008762624958762899,1258.0,-2.2369337799999998
137728,32,1933,122,0.222758948802948,0.0004092704424510632,0.09617819637060165,0.03955078125,0.011086118,-43.32952582836151,0.2,0.9872637391090393,4288,-0.01157618619618006,0.6099617565050721,1258.0,-2.2369337799999998
138240,32,1933,123,-2.5746982097625732,0.0004092704424510632,-0.034750811755657196,0.2933349609375,0.024461962,-43.31154239177704,0.2,0.9853062629699707,4304,-0.026737119842437096,0.007564091501990333,1258.0,-2.2369337799999998
138752,32,1933,124,0.030462801456451416,0.0004092704424510632,-0.0325319841504097,0.2830810546875,0.019137233,-43.2935311794281,0.2,0.9878317713737488,4320,-0.02670342367491685,0.0038180956908036023,1258.0,-2.2339635099999997
139264,33,1933,125,0.49319279193878174,0.0004092704424510632,0.05774828791618347,0.065185546875,0.012598866,-43.374268889427185,0.2,0.9884421229362488,4336,-0.01039546744141262,0.4919694187119603,1258.0,-2.2339635099999997
139776,33,1933,126,-4.284919738769531,0.0004092704424510632,-0.028031494468450546,0.220947265625,0.016809847,-43.3375860452652,0.2,0.9857727289199829,4352,-0.022799904487328604,0.012165219188318588,1258.0,-2.23429145
140288,33,1932,127,0.19574081897735596,0.0004092704424510632,0.10317115485668182,0.092041015625,0.015747236,-43.28203094005585,0.2,0.9848410487174988,4368,-0.012503222002123948,0.670139248482883,1258.0,-2.23429145
140800,33,1932,128,-0.6796540021896362,0.0004092704424510632,-0.03387388959527016,0.2198486328125,0.014512327,-43.245808243751526,0.2,0.9830089211463928,4384,-0.023223127820529044,0.0038015352256479673,1258.0,-2.23429145
141312,34,1932,129,0.16577523946762085,0.0004092704424510632,-0.024271667003631592,0.250732421875,0.01690542,-43.20056915283203,0.2,0.9831088185310364,4400,-0.02410981991852168,0.0077306963939918205,1258.0,-2.2344683400000003
141824,34,1932,130,0.6668751239776611,0.0004092704424510632,0.042481061071157455,0.0770263671875,0.014115572,-43.20588433742523,0.2,0.9828933477401733,4416,-0.015279912375262938,0.3929151827469468,1258.0,-2.2344683400000003
142336,34,1932,131,-9.190338134765625,0.0004092704424510632,-0.024919912219047546,0.2598876953125,0.02853309,-43.18983292579651,0.2,0.9827466011047363,4432,-0.022183803506777622,0.01877907823654823,1258.0,-2.2333340500000003
142848,34,1931,132,0.2736479640007019,0.0004092704424510632,0.027193300426006317,0.041259765625,0.011646545,-43.19334626197815,0.2,0.9829341769218445,4448,-0.012837634123570751,0.6128680759575218,1258.0,-2.2333340500000003
143360,35,1932,133,-0.937017560005188,0.0004092704424510632,-0.029650717973709106,0.299560546875,0.026269812,-43.20857334136963,0.2,0.9837744832038879,4464,-0.030191974597983062,0.006879323118482716,1258.0,-2.2333340500000003
143872,35,1931,134,0.4189491271972656,0.0004092704424510632,-0.009349524974822998,0.21337890625,0.013341726,-43.242953181266785,0.2,0.9842479825019836,4480,-0.022036046128050657,0.05316755187232047,1258.0,-2.23201342
144384,35,1931,135,0.828521728515625,0.0004092704424510632,0.022418666630983353,0.1781005859375,0.02853698,-43.2487176656723,0.2,0.9841992855072021,4496,-0.021596898150164634,0.19683180004358292,1258.0,-2.23201342
144896,36,1932,136,-3.6065354347229004,0.0004092704424510632,-0.02656930312514305,0.2100830078125,0.013800934,-43.25751519203186,0.2,0.984900951385498,4512,-0.021464290795847774,0.0131801285315305,1258.0,-2.22967548
145408,36,1932,137,0.3804023861885071,0.0004092704424510632,0.03342578187584877,0.135009765625,0.013383562,-43.26502013206482,0.2,0.9842168092727661,4528,-0.011704508448019624,0.5189414732158184,1258.0,-2.22967548
