time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,train/n_updates,train/std,train/clip_range,train/clip_fraction,train/entropy_loss,train/value_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
37,134,1819,68608,-0.01831774263700936,0.019892834,0.007057078182697296,0.7572001218795776,2128,0.9823632836341858,0.2,0.1370849609375,-43.26352405548096,0.09172395244240761,0.0004092704424510632,1257.0,-2.947428685185185
37,135,1819,69120,-0.02247698837891221,0.019197572,-0.02002454176545143,-0.7865893840789795,2144,0.9829928278923035,0.2,0.194580078125,-43.271660566329956,0.0374565877718851,0.0004092704424510632,1257.0,-2.947428685185185
38,136,1819,69632,-0.025907975606969558,0.022416245,-0.0165869053453207,0.7297210693359375,2160,0.9829978942871094,0.2,0.2222900390625,-43.28295910358429,0.08608755294699222,0.0004092704424510632,1257.0,-2.9476398363636362
38,137,1819,70144,-0.020086986434762366,0.021413788,-0.012868551537394524,0.8791897296905518,2176,0.9833170175552368,0.2,0.2076416015625,-43.283671498298645,0.03351722937077284,0.0004092704424510632,1257.0,-2.9476398363636362
38,138,1820,70656,-0.02801712946529733,0.028139804,-0.03140060603618622,-2.0119292736053467,2192,0.9853026270866394,0.2,0.2886962890625,-43.31549310684204,0.013745471253059804,0.0004092704424510632,1257.0,-2.948610642857143
39,139,1820,71168,-0.013232834251539316,0.015274106,0.009325902909040451,0.6903893947601318,2208,0.9861353635787964,0.2,0.099609375,-43.37002491950989,0.0977294830372557,0.0004092704424510632,1257.0,-2.948610642857143
39,140,1820,71680,-0.027780517266364768,0.019845622,-0.03854401037096977,-1.8992946147918701,2224,0.9838148951530457,0.2,0.266357421875,-43.35500752925873,0.017609320901101455,0.0004092704424510632,1257.0,-2.945778649122807
39,141,1821,72192,-0.01879551664023893,0.015349108,-0.009232420474290848,0.6673009395599365,2240,0.9831508994102478,0.2,0.1324462890625,-43.28712570667267,0.09660485875792801,0.0004092704424510632,1257.0,-2.945778649122807
39,142,1821,72704,-0.025873730482999235,0.026322566,-0.0315588042140007,-0.02765369415283203,2256,0.9852965474128723,0.2,0.2969970703125,-43.309905648231506,0.014996062353020534,0.0004092704424510632,1257.0,-2.945778649122807
40,143,1821,73216,-0.0253330901323352,0.017638706,-0.03647109866142273,-1.5353758335113525,2272,0.9861778020858765,0.2,0.2493896484375,-43.36591196060181,0.005215102246438619,0.0004092704424510632,1257.0,-2.947493793103448
40,144,1822,73728,-0.02227815026708413,0.01737101,0.003216749057173729,0.33755236864089966,2288,0.9854119420051575,0.2,0.154296875,-43.37125849723816,0.11683808884117752,0.0004092704424510632,1257.0,-2.947493793103448
40,145,1823,74240,-0.01885183120612055,0.014861753,-0.025375377386808395,-2.6458475589752197,2304,0.986224889755249,0.2,0.2205810546875,-43.35906732082367,0.006309839169261977,0.0004092704424510632,1257.0,-2.95302613559322
40,146,1824,74752,-0.02014665279421024,0.015689302,-0.005279533565044403,0.3041740655899048,2320,0.9854183197021484,0.2,0.173583984375,-43.37962770462036,0.13829266955144703,0.0004092704424510632,1257.0,-2.95302613559322
41,147,1825,75264,-0.022138228174299,0.020114118,-0.026311412453651428,-2.5639631748199463,2336,0.9875170588493347,0.2,0.24951171875,-43.37679934501648,0.003551773952494841,0.0004092704424510632,1257.0,-2.95302613559322
0,1,4236,75776,-0.023938312762766145,0.022027336,-0.03044062852859497,-0.0805823802947998,2352,0.9861767888069153,0.2,0.2601318359375,-43.42128038406372,0.003202961441274965,0.0004092704424510632,1257.0,-2.9557963499999995
0,2,2719,76288,-0.01484689083736157,0.016360901,-0.010889756493270397,0.18773525953292847,2368,0.9853609204292297,0.2,0.102294921875,-43.36838102340698,0.16351872769882903,0.0004092704424510632,1257.0,-2.9557963499999995
0,3,2424,76800,-0.030084421974606812,0.023769151,-0.03459332883358002,-2.5440139770507812,2384,0.9838775396347046,0.2,0.2843017578125,-43.35090124607086,0.006099516860558651,0.0004092704424510632,1257.0,-2.9532410163934424
0,4,2299,77312,-0.022062435033149086,0.021289451,-0.009167801588773727,0.07201451063156128,2400,0.9829747080802917,0.2,0.2530517578125,-43.309982895851135,0.2617423948831856,0.0004092704424510632,1257.0,-2.9532410163934424
1,5,2228,77824,-0.034643977181985974,0.031222971,-0.043058156967163086,-1.0274603366851807,2416,0.984894335269928,0.2,0.39208984375,-43.32539510726929,0.015703132143244147,0.0004092704424510632,1257.0,-2.9532410163934424
1,6,2180,78336,-0.03221162655972876,0.019956913,-0.03445163741707802,-0.4549795389175415,2432,0.983178973197937,0.2,0.3067626953125,-43.35692608356476,0.007471331235137768,0.0004092704424510632,1257.0,-2.9529789677419354
1,7,2146,78848,-0.017274799931328744,0.017215086,-0.014847755432128906,0.5301103591918945,2448,0.9827615022659302,0.2,0.158203125,-43.302168011665344,0.12620539346244186,0.0004092704424510632,1257.0,-2.9529789677419354
1,8,2124,79360,-0.02195242820016574,0.014714566,-0.02987622655928135,-2.3677330017089844,2464,0.9830940961837769,0.2,0.229248046875,-43.31010437011719,0.016050697478931397,0.0004092704424510632,1257.0,-2.9504073650793647
2,9,2108,79872,-0.018419057538267225,0.015968176,0.002486785873770714,0.41830503940582275,2480,0.9832447171211243,0.2,0.1456298828125,-43.320375204086304,0.15227668383158743,0.0004092704424510632,1257.0,-2.9504073650793647
2,10,2097,80384,-0.020290169144573156,0.015633307,-0.0215379036962986,-1.388441801071167,2496,0.9826124906539917,0.2,0.2037353515625,-43.31234097480774,0.00855428192880936,0.0004092704424510632,1257.0,-2.9504073650793647
2,11,2083,80896,-0.02095847064629197,0.012093197,-0.03717372938990593,0.39920395612716675,2512,0.984690248966217,0.2,0.1942138671875,-43.32123875617981,0.0019973914495494682,0.0004092704424510632,1257.0,-2.94969278125
2,12,2076,81408,-0.019782668590778485,0.023470096,-0.0052634347230196,0.510789155960083,2528,0.9857959747314453,0.2,0.1639404296875,-43.38394367694855,0.11873207206372172,0.0004092704424510632,1257.0,-2.94969278125
3,13,2070,81920,-0.021185561694437638,0.014113262,-0.02527652122080326,-1.5973808765411377,2544,0.9859021306037903,0.2,0.2242431640625,-43.397531032562256,0.009411877850652672,0.0004092704424510632,1257.0,-2.9487433230769233
3,14,2066,82432,-0.017019054532283917,0.015734628,-0.00258081778883934,0.46460437774658203,2560,0.9860100150108337,0.2,0.1153564453125,-43.39432644844055,0.1768217517528683,0.0004092704424510632,1257.0,-2.9487433230769233
3,15,2060,82944,-0.02040066606423352,0.015434242,-0.012777820229530334,-0.7999835014343262,2576,0.9866392016410828,0.2,0.2314453125,-43.402846932411194,0.013758827612036839,0.0004092704424510632,1257.0,-2.9487433230769233
3,16,2055,83456,-0.024043395183980465,0.01731626,-0.005508158355951309,0.7320044636726379,2592,0.9862545728683472,0.2,0.1943359375,-43.41141641139984,0.07320987491402775,0.0004092704424510632,1257.0,-2.9490619696969698
4,17,2048,83968,-0.025496930786175653,0.04295484,-0.019553489983081818,0.8941143751144409,2608,0.9857977628707886,0.2,0.3363037109375,-43.387606620788574,0.05066573095973581,0.0004092704424510632,1257.0,-2.9490619696969698
4,18,2046,84480,-0.023066272944561206,0.018390425,-0.023117156699299812,-2.0950496196746826,2624,0.9849482178688049,0.2,0.2318115234375,-43.36351943016052,0.01188016077503562,0.0004092704424510632,1257.0,-2.9541507164179106
