time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/entropy_loss,train/std,train/n_updates,train/approx_kl,train/loss,train/learning_rate,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
47616,1265,93,37,-42.692935824394226,0.9612340331077576,1472,0.032404732,-0.03073323704302311,0.0004092704424510632,0.01364996688789688,0.2,2.276897430419922e-05,-0.029696758727368433,0.312744140625,-2.8830713513513517,1257.0
48128,1265,94,38,-42.67483973503113,0.9604896306991577,1488,0.019297056,-0.04473138600587845,0.0004092704424510632,0.005410562989709433,0.2,-6.592273712158203e-05,-0.023678594508965034,0.2310791015625,-2.887371552631579,1257.0
48640,1264,95,38,-42.66294574737549,0.9606557488441467,1504,0.017477391,0.10214008390903473,0.0004092704424510632,0.38482435420155525,0.2,8.481740951538086e-05,-0.02224007065524347,0.2060546875,-2.887371552631579,1257.0
49152,1264,96,38,-42.665507316589355,0.9606282711029053,1520,0.0142805725,-0.027154888957738876,0.0004092704424510632,0.004175098714767955,0.2,-0.02787148952484131,-0.016300129413139075,0.1680908203125,-2.888847025641026,1257.0
49664,1264,97,39,-42.65512442588806,0.9600481986999512,1536,0.01795423,0.1501050442457199,0.0004092704424510632,0.34792267344892025,0.2,4.887580871582031e-06,-0.021447203471325338,0.1983642578125,-2.888847025641026,1257.0
50176,1265,98,39,-42.630258321762085,0.9594172835350037,1552,0.020467304,-0.03530331328511238,0.0004092704424510632,0.01030483582871966,0.2,0.00010663270950317383,-0.02927089686272666,0.2435302734375,-2.888847025641026,1257.0
50688,1265,99,40,-42.61639320850372,0.9590823650360107,1568,0.023393176,-0.026764607056975365,0.0004092704424510632,0.004381967199151404,0.2,-2.3603439331054688e-05,-0.02544524175755214,0.2337646484375,-2.885677325,1257.0
51200,1265,100,40,-42.586596608161926,0.9577299356460571,1584,0.028255157,0.16203360259532928,0.0004092704424510632,0.3908907603472471,0.2,1.1861324310302734e-05,-0.025462225414230488,0.2640380859375,-2.885677325,1257.0
51712,1265,101,40,-42.545754194259644,0.9570761919021606,1600,0.014997511,-0.03966625779867172,0.0004092704424510632,0.003975967974838568,0.2,-0.0001404285430908203,-0.023567644937429577,0.2176513671875,-2.8865428780487807,1257.0
52224,1265,102,41,-42.5313138961792,0.9563884139060974,1616,0.019724976,0.11657941341400146,0.0004092704424510632,0.34641118720173836,0.2,1.4066696166992188e-05,-0.024795896402793005,0.239013671875,-2.8865428780487807,1257.0
52736,1265,103,41,-42.51157331466675,0.956581711769104,1632,0.0146959415,-0.03111909329891205,0.0004092704424510632,0.012036899832310155,0.2,0.00020891427993774414,-0.02315006114076823,0.2161865234375,-2.8865428780487807,1257.0
53248,1266,104,42,-42.50760841369629,0.9554171562194824,1648,0.013188733,-0.03780573606491089,0.0004092704424510632,0.00489268328237813,0.2,-0.00022482872009277344,-0.02145863122132141,0.1878662109375,-2.8880149523809524,1257.0
53760,1266,105,42,-42.45934534072876,0.9537314176559448,1664,0.025133504,0.17010046541690826,0.0004092704424510632,0.3719155667349696,0.2,2.4139881134033203e-05,-0.02575130648619961,0.2469482421875,-2.8880149523809524,1257.0
